dhe	at
një	isa
një	one
nga	mula
edhe	kahit
tij	kanyang
nuk	hinde
nuk	hindi
ishte	ay
duke	pagkakaroon
shumë	napaka
por	ngunit
por	pero
pas	sinusubaybayan
pas	sumusunod
pas	sinusundan
këtë	ito
këtë	nito
parë	seen
parë	nakita
tyre	kanilang
tyre	kanila
tyre	sila
tyre	silang
mund	ma
mund	pwede
mund	maari
gjatë	mahaba
gjatë	matagal
gjatë	haba
disa	ilang
disa	ilan
lidhje	links
lidhje	pinagsamahan
lidhje	kaugnayan
lidhje	relasyon
lidhje	koneksyon
lidhje	connection
lidhje	link
kjo	ito
kjo	nito
kjo	na
kjo	yan
kur	kapag
kur	kailan
mbi	mahigit
deri	till
deri	hanggang
jashtme	panlabas
jashtme	panlabas
saj	her
saj	kanya
saj	siya
kishte	ay
kishte	had
kishte	nagkaroon
vetëm	alone
vetëm	magisa
vetëm	lang
vetëm	lamang
vetëm	lng
vetëm	nalang
vetëm	basta
ata	kanila
ata	sila
ata	silang
ata	sila
ata	nila
pjesë	parts
pjesë	bahagi
pjesë	part
pjesë	parte
atë	kaniya
atë	niya
atë	siya
atë	kanya
sipas	ayon
shqiptare	albanian
madhe	big
madhe	malaking
madhe	malaki
rreth	tungkol
rreth	paligid
para	pera
para	salapi
para	cash
para	noon
para	dati
para	bago
per	tungkol
banorë	naninirahan
banorë	residente
komuna	munisipalidad
komuna	munisipyo
cila	aling
cila	alin
nje	isa
nje	one
kundër	kontra
kundër	counter
madh	napakalawak
lista	listahang
lista	listahan
lista	listahan
kantoni	pancit
gjithashtu	rin
gjithashtu	din
ndërsa	habang
cilat	aling
cilat	alin
ndryshme	ibang
ndryshme	ebolusyong
etj	atbp
etj	etc
duhet	need
duhet	kailangan
duhet	dapat
sipërfaqe	surface
sipërfaqe	ibabaw
sipërfaqe	ibabaw
ato	kanila
ato	sila
ato	silang
ato	sila
ato	nila
përgjithshëm	pangkalahatan
përgjithshëm	heneral
përgjithshëm	pangkalahatang
përgjithshëm	general
tjetër	kasunod
tjetër	susunod
tjetër	next
njohur	familiar
njohur	pamilyar
njohur	nakakilala
njohur	kinikilalang
njohur	nakilalang
njohur	kinikilala
njohur	nakilala
njohur	kilala
shqiptar	albanian
style	istilo
style	style
style	estilo
dytë	pangalawa
mirë	mabait
mirë	mabuti
fundit	huling
fundit	huli
fundit	last
fundit	pinakabagong
fundit	pinakabago
fundit	pinakahuling
