que	kad
como	kaip
como	lyg
como	kaip
más	daugiau
sus	jo
sus	tavo
sus	savo
sus	jūsų
entre	eurus
este	šio
este	rytų
pero	bet
dos	du
sobre	apie
esta	šio
enlaces	nuorodos
parte	dalies
parte	dalis
donde	kur
team	komanda
estados	narės
españa	ispanija
españa	ispanijos
gran	didelės
gran	dideli
gran	didysis
gran	didelis
gran	puikiai
gran	puiku
gran	puiki
gran	grand
unidos	jungtinės
unidos	jungtinė
estado	būsena
estado	statusą
estado	būklė
estado	būsenos
uno	uno
lugar	vieta
muy	labai
historia	istorijos
historia	pasakojimas
historia	istorija
historia	istorijos
historia	istorija
club	klubas
universidad	universitetas
universidad	koledžas
universidad	kolegijos
universidad	kolegija
universidad	koledžo
tres	tres
general	bendri
general	bendra
general	bendrieji
guerra	karas
guerra	karo
guerra	karui
guerra	karyba
aunque	nors
familia	šeimų
familia	šeima
familia	šeimos
familia	šeimyna
todo	viskuo
todo	visko
todo	viską
todo	viskas
tiempo	orai
tiempo	oras
tiempo	laiko
tiempo	laikas
provincia	provincija
contra	kasas
contra	contra
municipio	township
municipio	savivaldybė
juan	džoana
josé	joseph
josé	josef
bajo	žemi
serie	serija
serie	serijos
serie	serie
fútbol	futbolas
fútbol	futbolo
fútbol	futbolas
fútbol	futbolo
equipo	įrangos
equipo	įranga
equipo	komanda
norte	nord
río	upės
río	upė
han	han
argentina	argentinoje
argentina	argentina
argentina	argentinos
inglés	anglų
segunda	segunda
discusión	diskusijos
discusión	aptarimas
discusión	diskusija
condado	apskritis
final	finale
final	galutiniai
final	galutinis
final	galutinė
final	finalas
final	finalo
vida	gyvenimo
vida	gyvybės
vida	gyvybė
vida	gyvenimas
vida	vida
español	ispanų
español	ispaniškai
español	ispanijos
julio	julio
julio	julius
hay	šieno
lincoln	linkolnas
web	svetainė
web	interneto
web	žiniatinklio
internacional	internacional
quien	kas
quien	kurie
mundo	mundo
embargo	embargas
tanto	abi
tanto	abu
mayo	majas
temporada	sezoninio
temporada	sezonas
mejor	geresnė
mejor	geresnis
mejor	gerėja
mejor	geriau
mejor	geriausi
mejor	geriausia
mejor	aukščiausia
mejor	geriausios
mejor	geriausias
luego	tada
agosto	aug
noviembre	nov
estos	šių
abril	balandis
real	tikras
esto	šio
mundial	pasaulyje
casa	namas
sólo	tik
sólo	tik
sólo	tiesiog
cuenta	skaičiuoti
junio	birželis
junio	birželio
febrero	vasaris
ella	ella
ella	ji
ella	jai
solo	tik
solo	tik
solo	tiesiog
chile	čilės
chile	čili
obra	darbas
película	filmas
película	filmai
película	filmas
película	plėvelė
entonces	tada
banda	gaujos
banda	gauja
zona	zona
televisión	televizijos
televisión	televizija
carlos	karlas
carlos	karl
rey	karalius
premio	prizo
premio	prizas
premio	prizą
premio	premija
km²	km²
premios	apdovanojimai
premios	prizų
sitio	svetainė
sitio	apgulties
futbolistas	futbolininkai
bien	gerai
bien	geras
bien	puikiai
bien	gera
mar	jūra
mar	jūros
mar	vandenynas
estadounidense	amerikos
tierra	tierra
tierra	dirvožemio
tierra	dirvožemį
tierra	dirvožemis
ellos	jais
ellos	jas
ellos	joms
ellos	jiems
ellos	jomis
ellos	juos
ellos	jie
división	kvadratas
canción	daina
canción	dainos
trabajo	darbas
trabajo	darbas
especie	rūšis
especie	rūšių
especie	rūšys
luis	louis
luis	dole
luis	ludwig
dentro	viduje
obras	kūriniams
obras	veikia
obras	kūriniai
obras	darbai
color	spalva
color	spalvos
color	spalvų
color	spalva
distrito	rajonas
copa	copa
copa	taurė
muchos	daug
línea	linija
francisco	francisco
francisco	franciskas
francisco	pranciškus
grandes	didelių
grandes	dideli
grandes	didelis
grandes	didelės
grandes	dideli
grandes	didysis
grandes	didelis
grandes	grandes
liga	lygos
liga	lyga
estas	šių
muerte	mirtis
muerte	mirties
medio	vidutinės
largo	ilgai
largo	ilga
largo	ilgas
buenos	gerai
buenos	geras
buenos	puikiai
buenos	gera
hijo	sūnus
hecho	faktas
carrera	karjera
carrera	karjeros
carrera	carrera
poder	galios
poder	galia
pueblo	pueblo
pueblo	kaimo
pueblo	kaime
pueblo	jonava
pueblo	kaimas
departamento	departamentas
departamento	buto
departamento	butas
departamento	bute
localidades	vietose
localidades	vietovės
localidades	vieta
veces	kartus
york	york
ejemplo	mėginys
ejemplo	bandinys
ejemplo	mėginio
ejemplo	ėminys
género	lytis
padre	tėvas
isbn	isbn
campo	laukas
campo	stovyklos
campo	stovykla
isla	sala
isla	islandija
isla	islandijos
isla	salos
isla	isla
frente	kaktą
frente	kaktos
antonio	antanas
antonio	tony
antonio	tonis
antonio	antonijus
director	direktorius
española	ispanų
española	ispaniškai
española	ispanijos
momento	laikas
momento	akimirką
momento	momentas
momento	akimirka
densidad	tankio
densidad	tankis
campeonato	čempionatas
campeonato	čempionato
tarde	vėlai
tarde	vakaras
tarde	vakaro
tarde	vakare
tarde	popietę
ejército	karinė
ejército	karinis
ejército	karinės
ejército	armijos
ejército	kariuomenė
ejército	armija
estación	stotis
estación	stoties
observatorio	observatorija
observatorio	observatorijos
aires	airėse
escuela	mokykla
escuela	mokykla
escuela	mokyklos
información	info
información	informacija
canciones	dainas
canciones	dainos
canciones	dainų
