টেলার	テラー
পেইন্টিং	絵画
শুন্য	ゼロ
হিলস	ヒルズ
ভজন	チャント
চায়ের	お茶
চায়ের	紅茶
দাম্পত্য	ブライダル
ফিউশন	フュージョン
প্রজ্ঞা	オンス
প্রজ্ঞা	知恵
গেটের	ゲート
শুঙ্গ	春画
সুইং	スウィング
সুইং	スイング
মাতৃ	母方
রন্ধনপ্রণালী	料理
অভিনেতাদের	俳優
আইজ্যাক	アイザック
আইজ্যাক	イサク
শাস্তির	処罰
লী	リー
এস্তোনিয়া	エストニア
দুর্বলতা	衰弱
রিয়া	レア
ব্যুৎপত্তি	語源
কাউন্টার	カウンタ
কাউন্টার	カウンター
প্রসব	分娩
প্রসব	出産
বাধ্যবাধকতা	義務
বাধ্যবাধকতা	債務
অলঙ্কার	ジュエリー
ইউরোপা	エウロパ
কাজাখস্তান	カザフスタン
সহচর	コンパニオン
বহুবিধ	倍数
বহুবিধ	複数
ক্যারোলিনা	カロライナ
পেশোয়ার	ペシャワール
লন	芝生
ছদ্ম	疑似
আড্ডা	溜まり場
আড্ডা	チャット
আড্ডা	雑談
ডিস্ট্রিক্ট	地区
ডিস্ট্রিক্ট	ディストリクト
বসতে	座る
বসতে	sit
ডানায়	ウイングス
ক্লিনটন	クリントン
মন্ত্রীদের	大臣
মন্ত্রীদের	公使
গাজা	ガザ
আদার	ショウガ
আদার	ジンジャー
আদার	生姜
বীচ	ビーチ
বীচ	砂浜
একতা	統一
অ্যান্টেনা	アンテナ
বোতাম	ボタン
বোতাম	ボタン
ব্রি	ブリー
ব্রি	ブリ
পূর্ণতা	満腹
মশলা	調味料
মশলা	味付け
মশলা	香辛料
মশলা	スパイス
প্রত্যাশিত	期待
ঢেলে	注ぐ
শরণার্থীদের	難民
স্থানীয়দের	地元
স্থানীয়দের	地元民
চাদর	シート
চাদর	シーツ
ইংরাজি	イングリッシュ
ইংরাজি	英語
ফ্লয়েড	フロイド
বহিরাগত	外部
ম্যাপ	地図
ম্যাপ	マップ
ট্রয়	トロイ
ট্রয়	イリオス
বিভ্রান্ত	混乱
স্পাই	スパイ
ফাঁক	隙間
ফাঁক	ギャップ
ব্যাচ	バッチ
কপালে	おでこ
হরর	ホラー
গফ	ゴフ
মহাকাব্যিক	叙事詩
মহাকাব্যিক	epic
মহাকাব্যিক	エピック
কাকাতুয়া	オウム
প্যাট	パット
কাট	切り傷
সাংবাদিকদের	ジャーナリスト
মার্কাস	マルクス
মার্কাস	マーカス
ইন্ডিপেন্ডেন্ট	独立
ইন্ডিপেন্ডেন্ট	インディペンデント
অ্যারিজোনা	アリゾナ
জর্দান	ヨルダン
জর্দান	ジョーダン
পার্ট	パート
পার্ট	部分
টেপ	テープ
সুইচ	切り替え
সুইচ	スイッチ
হাঁটু	ひざ
বেচে	アライブ
ধর্ষণের	強姦
ধর্ষণের	レイプ
আলজেরীয়	アルジェリア
বিকেলে	午後
এনজাইম	酵素
কং	コング
রুবেল	ルーブル
শব্দসমষ্টি	フレーズ
মনিটর	モニター
মনিটর	モニタ
মনিটর	モニタ
গম্ভীর	深刻
হার্জেগোভিনা	ヘルツェゴヴィナ
এমআইটি	mit
কোট	コート
কোট	引用
নগ্নতা	ヌード
নগ্নতা	全裸
আকাশচুম্বী	摩天楼
পূর্বপুরুষদের	先祖
টেড	テッド
টেড	ted
কুং	クン
ক্ষত্রিয়	クシャトリヤ
উপকণ্ঠে	郊外
ফো	フォー
লিডার	リーダー
হামবুর্গ	ハンブルグ
হামবুর্গ	ハンブルク
অ্যাডোবি	adobe
বাসিন্দারা	住民
প্লেবয়	プレイボーイ
কনকাকাফ	concacaf
নির্দোষ	無実
দারিদ্র	貧困
আগ্নেয়াস্ত্র	銃器
লিটার	リットル
জানুন	学習
জানুন	学ぶ
দাড়িয়ে	スタンディング
ব্রুকলিন	ブルックリン
ব্যাটারী	電池
ব্যাটারী	バッテリー
ব্যাটারী	バッテリ
চুম্বন	キス
চুম্বন	接吻
চুম্বন	キス
চুম্বন	キス
চুম্বন	kiss
চুম্বন	接吻
সান্টা	サンタ
বোমাবর্ষণ	爆撃
ইভান্স	エヴァンス
ইভান্স	エヴァンズ
ইভান্স	エバンス
সংহতি	連帯
সেরে	回復
সেরে	リカバリ
সেরে	回収
টেসলা	テスラ
ফোটে	ブルーム
সেনেগাল	セネガル
মুনি	ムーニー
বাঁচার	サバイバル
চার্চিল	チャーチル
উপকার	営利
উপকার	収益
উপকার	利益
উপকার	給付
উপকার	利益
উপকার	福利
লেবু	レモン
সুখী	ハッピー
সুখী	幸せ
গীর্জা	チャーチ
গীর্জা	教会堂
গীর্জা	教会
হান্ট	ハント
হান্ট	狩り
ট্রেডমার্ক	商標
ঘটনাসমূহ	イベント
ঘটনাসমূহ	行事
পোর্তো	ポルト
ফিঞ্চ	フィンチ
শোভাযাত্রা	行進
শ্রবণ	聴聞
শ্রবণ	聴覚
শ্রবণ	聴力
শ্রবণ	審問
ছেলেরা	boys
ছেলেরা	男の子
ছেলেরা	息子
ছেলেরা	みんな
সস্তা	安い
সস্তা	安上がり
পরিবাহী	車掌
মানসিকতা	考え方
হাটে	ウォーキング
পরিদর্শনে	訪問
ওরিয়েন্টাল	オリエンタル
বোল্ট	ボルト
আঙ্গুল	フィンガー
ডক	ドッキング
ডক	ドック
অসলো	オスロ
খাঁটি	ピュア
খাঁটি	純粋
গোলাবারুদ	弾薬
কিংডম	王国
সরবরাহকারী	プロバイダ
সরবরাহকারী	プロバイダー
কার্নেল	カーネル
বিষয়াবলী	トピック
সনাক্তকরণ	検知
সনাক্তকরণ	検出
টিউমার	腫瘍
আস্তানা	屋根裏
আস্তানা	アスタナ
হত্যাকান্ড	殺人
পরিচালকদের	取締役
পরিচালকদের	マネージャー
পরিচালকদের	マネージャ
ময়লা	汚い
ময়লা	ダーティ
ময়লা	ダーティー
ময়লা	ダート
বার্নস	バーンズ
ঝিনুক	牡蠣
ঝিনুক	カキ
ঝিনুক	オイスター
ঝিনুক	牡蠣
ঝিনুক	カキ
ঝিনুক	オイスター
ইদ্রিস	イドリース
ব্রেস্টস্ট্রোক	平泳ぎ
লিথুয়ানিয়া	リトアニア
বাত	関節炎
ছাদে	屋上
ছাদে	屋根
দারা	ダラ
জেনারেটর	ジェネレータ
সিগারেট	タバコ
সিগারেট	タバコ
ফ্যাকাল্টি	学部
ফ্যাকাল্টি	教職員
সাবধান	注意
সাবধান	注意深い
ইতিমধ্যেই	すでに
ইতিমধ্যেই	既に
লুমিয়া	lumia
দাতা	ドナー
কার্গো	貨物
সাই	psy
পাউডার	粉末
পাউডার	パウダー
অ্যাকিলিস	アキレス
অ্যাকিলিস	アキレウス
বিশৃঙ্খলা	無秩序
বিশৃঙ্খলা	カオス
বিশৃঙ্খলা	混沌
অন্যভাবে	さもなければ
মরিসন	モリソン
ভাঁজ	折りたたみ
ফ্ল্যাগ	フラグ
ফ্ল্যাগ	国旗
অনুরাগী	ファン
