категорија	categoria
година	ano
како	como
како	like
како	curta
како	como
дека	essa
дека	isso
дека	que
бил	bill
бил	sido
кои	oms
кои	who
кои	quem
кои	qual
кој	oms
кој	who
кој	quem
тоа	essa
тоа	isso
тоа	que
други	outro
други	outros
други	outras
други	outra
други	outros
други	outras
која	qual
има	tem
била	estava
била	era
била	tava
била	foi
била	sido
македонија	macedónia
македонија	macedônia
додека	enquanto
кога	quando
кога	when
страна	lateral
страна	lado
страна	side
биле	estavam
биле	foram
биле	eram
дел	part
дел	parte
дел	del
дел	dell
околу	sobre
време	hora
време	horário
време	tempo
време	time
век	século
век	century
под	embaixo
под	debaixo
под	sob
под	under
може	poderiam
може	podia
може	poderia
може	podiam
може	pode
може	podem
може	lata
може	can
неговата	seu
неговата	his
неговата	sua
еден	um
еден	uma
еден	one
врски	laços
врски	gravatas
врски	ligações
врски	links
исто	mesma
исто	mesmo
исто	mesmos
надворешни	externas
надворешни	externo
надворешни	externos
надворешни	externa
повеќе	mais
повеќе	more
податоци	data
податоци	dados
каде	aonde
каде	onde
многу	muito
многу	muito
многу	much
многу	lot
многу	lote
објекти	facilidades
објекти	instalações
објекти	objectos
објекти	objetos
години	years
години	anos
календар	calendário
сите	todas
сите	tudo
сите	todos
сите	todos
една	um
една	uma
една	one
меѓу	entre
било	qualquer
пред	antes
ова	este
ова	esta
ова	isso
ова	isto
ова	essa
ова	esse
јазик	língua
јазик	lingua
јазик	língua
јазик	idioma
јазик	linguagem
само	só
само	apenas
само	somente
само	unicamente
само	só
само	apenas
каталог	catálogo
каталог	catálogo
таа	ela
таа	she
број	número
број	numero
овој	este
овој	esta
овој	isso
овој	isto
овој	essa
овој	esse
градот	cidade
беше	estava
беше	era
беше	tava
беше	foi
беше	sido
општ	genéricos
општ	genérica
општ	genéricas
општ	genérico
односно	respectivamente
односно	respetivamente
кај	bei
оваа	este
оваа	esta
оваа	isso
оваа	isto
оваа	essa
оваа	esse
тие	essas
тие	aqueles
тие	esses
тие	aquelas
тие	eles
тие	elas
нов	novo
нов	novas
нов	novos
нов	novidade
нов	nova
селото	sapporo
времето	clima
времето	tempo
времето	meteorologia
времето	hora
времето	horário
времето	tempo
времето	time
некои	alguns
некои	algum
некои	algumas
претставува	representa
претставува	represente
претставува	poses
место	spot
место	lugar
место	place
место	local
место	sítio
место	local
овие	estes
овие	essas
овие	estas
овие	esses
општина	município
општина	concelho
започнува	começa
започнува	inicia
започнува	começa
светот	world
светот	mundo
преку	via
преку	através
преку	through
македонски	macedónia
македонски	macedônia
неколку	poucas
неколку	poucos
неколку	vários
неколку	varios
неколку	várias
земјата	earth
земјата	terra
две	duas
две	two
две	dois
небо	ceu
небо	sky
небо	céu
небо	céus
уште	ainda
уште	mais
уште	more
список	lista
список	listar
неговиот	seu
неговиот	his
неговиот	sua
септември	setembro
споменува	menções
кое	qual
сјај	glitter
сјај	brilho
град	vila
град	cidade
град	cidade
агол	canto
агол	cantinho
агол	cantos
агол	recanto
агол	esquina
агол	angle
агол	ângulo
село	vila
село	aldeia
информации	info
информации	informações
информации	informação
германија	germânia
германија	alemanha
помеѓу	entre
црква	igrejas
црква	igreja
подоцна	depois
познати	conhecida
познати	conhecido
познати	conhecidas
познати	conhecidos
познати	famosa
познати	famosas
познати	famosos
познати	famoso
жители	habitantes
жители	residentes
жители	moradores
бидејќи	porque
бидејќи	pq
треба	need
треба	preciso
треба	precisa
треба	necessidade
својата	seu
својата	sua
мини	mini
мини	minas
мини	minnie
против	contra
голем	large
голем	grande
голем	grandes
голем	big
голем	grande
голем	grandes
период	periodo
период	período
луѓе	men
луѓе	homens
луѓе	pessoas
луѓе	povo
луѓе	gente
војна	guerra
војна	war
војна	guerras
сад	eua
сад	usa
скопје	skopje
република	república
три	tres
три	three
три	três
без	sem
помош	assistência
помош	socorro
помош	ajude
помош	ajudar
помош	ajuda
помош	socorro
помош	sos
поделба	divisão
поделба	partição
поделба	divisória
поделба	dividir
поделба	divida
поделба	divide
космос	cosmo
космос	cosmos
космос	kosmos
освен	excepto
освен	exceto
над	over
над	acima
неговите	seu
неговите	his
неговите	sua
иако	embora
иако	embora
низ	através
низ	through
низ	cavado
села	vilas
села	aldeias
почетокот	kickoff
пример	exemplo
јазици	linguas
јазици	idiomas
јазици	línguas
потоа	então
потоа	depois
денес	hj
денес	hoje
начин	maneira
начин	way
два	duas
два	two
два	dois
точка	ponto
точка	dot
точка	ponto
точка	point
заедно	juntos
заедно	juntas
литература	literatura
пак	novamente
пак	pac
него	ele
сепак	ainda
смета	considera
постојат	existem
постојат	existir
постојат	existirem
своите	seu
своите	sua
објект	objeto
објект	objecto
објект	facilidade
јануари	janeiro
систем	system
систем	sistema
име	nome
десно	certo
десно	direito
десно	direita
основни	essencial
основни	essenciais
основни	básicas
основни	básica
основни	basic
основни	básico
основни	básicos
сателитот	satélite
сателитот	satellite
сателитот	satélites
можат	pode
можат	podem
можат	lata
можат	can
користи	uso
користи	usar
користи	use
користи	utilizar
користи	utilização
нив	eles
класификација	classificação
група	grupo
група	agrupar
истражувања	inquéritos
истражувања	investigação
истражувања	pesquisa
истражувања	pesquisas
европа	europa
прв	primeira
прв	primeiros
прв	primeiramente
прв	primeiro
држави	estados
држави	países
откриен	detectadas
откриен	detectada
откриен	detectado
откриен	detectados
откриен	revelada
откриен	revelados
откриен	reveladas
откриен	revelou
откриен	revelado
проучување	estudando
проучување	estudar
проучување	estudo
проучување	estuda
проучување	estude
проучување	estudar
пат	pat
пат	rodoviário
пат	estrada
пат	road
галаксии	galáxias
август	augusto
август	august
август	agosto
вклучен	implicado
вклучен	envolvida
вклучен	envolvido
вклучен	envolvidos
вклучен	noiva
вклучен	noivos
вклучен	noivo
предмет	item
предмет	objeto
предмет	objecto
предмет	sujeito
предмет	assunto
предмет	objecto
астрономски	astronômico
астрономски	astronomia
соѕвездие	constelação
набљудување	observação
мај	may
мај	maio
мај	pode
истражувачи	exploradores
истражувачи	investigadores
истражувачи	pesquisadores
критериуми	critérios
критериуми	critério
март	march
март	marchar
март	marcha
март	março
користена	utilizada
користена	usada
користена	usado
користена	utilizado
користена	utilizados
користена	usados
ѕвезди	estrelas
ѕвезди	stars
голема	large
голема	grande
голема	grandes
голема	big
голема	grande
голема	grandes
секој	alguém
секој	cada
цел	gol
цел	objetivo
цел	golo
цел	baliza
цел	meta
поделби	divisões
оние	essas
оние	aqueles
оние	esses
оние	aquelas
јули	julho
америка	america
америка	américa
америка	américas
цар	czar
цар	imperador
цар	imperadores
цар	czar
често	freqüentemente
често	frequentemente
често	freqüentemente
често	frequentemente
поправени	fixo
поправени	fixas
поправени	fixos
поправени	corrigido
поправени	fixa
поправени	reparada
поправени	reparado
припаѓа	pertence
истражување	inquérito
истражување	investigação
истражување	pesquisa
истражување	pesquisas
работи	coisas
работи	funciona
работи	obras
работи	trabalhos
работи	works
работи	trabalha
работи	trabalhando
работи	trabalhar
работи	funcionando
градови	vilas
градови	cidades
места	locais
места	lugares
места	sítios
места	pintas
места	manchas
места	spots
места	assentos
места	lugares
места	bancos
места	slots
април	april
април	abril
роден	born
роден	nascido
роден	nascida
роден	nasceu
октомври	outubro
земја	pais
земја	país
земја	earth
земја	terra
повторно	novamente
око	eye
око	olho
око	olhos
франција	franca
франција	frança
димензии	dimensões
округот	condado
округот	shire
округот	condado
позната	conhecida
позната	conhecido
позната	conhecidas
позната	conhecidos
позната	famosa
позната	famosas
позната	famosos
позната	famoso
позната	familiar
позната	familiarizado
нивните	suas
галаксија	galaxy
галаксија	galáxia
игри	games
игри	jogos
деклинација	declinação
историја	historia
историја	história
откако	após
откако	after
откако	depois
ноември	novembro
јуни	june
јуни	junho
лакот	curvar
лакот	arco
лакот	proa
лакот	bow
теме	vértice
теме	vértices
живот	vida
живот	life
северна	norte
северна	setentrional
северна	northern
настани	eventos
настани	acontecimentos
ширина	largura
култура	cultura
пласман	classificações
центар	centralizar
центар	centrar
центар	centro
центар	center
центар	centrar
центар	centralizar
центар	centro
центар	centre
втората	segunda
втората	second
втората	segundo
население	população
декември	dezembro
мери	meri
мери	mary
мери	maria
трае	dura
дела	funciona
дела	obras
дела	trabalhos
дела	works
дела	trabalha
дела	deeds
дела	della
ден	dia
состојба	estaduais
состојба	state
состојба	estado
состојба	estadual
состојба	condição
состојба	estado
дијаметар	diâmetro
рим	roma
особено	particularmente
особено	especialmente
означена	marcada
означена	marcados
означена	identificado
означена	marcado
означена	identificada
означена	assinalado
означена	assinaladas
означена	assinalados
италија	italia
италија	itália
тогаш	então
тогаш	depois
реката	rio
леќа	lente
леќа	lentes
леќа	lentilha
земји	países
шаблон	padrão
шаблон	modelo
вид	gentil
вид	bondoso
вид	tipo
член	membro
член	artigo
беа	estavam
беа	foram
беа	eram
познат	conhecida
познат	conhecido
познат	conhecidas
познат	conhecidos
познат	famosa
познат	famosas
познат	famosos
познат	famoso
округ	condado
округ	distrito
американски	americano
американски	americanos
американски	american
американски	americana
област	oblast
област	area
област	área
јужна	sulistas
јужна	sulista
јужна	sul
јужна	southern
јужна	meridional
јужна	sul
јужна	south
едно	um
едно	uma
едно	one
етапа	palco
етапа	etapa
забележан	avistado
износ	quantia
износ	quantidade
износ	montante
филмови	filmes
филмови	películas
филмови	filmes
филмови	cinema
англиски	ingles
англиски	inglês
бугарија	bulgaria
бугарија	bulgária
првенство	campeonato
првенство	championship
опсерваторија	observatório
грција	grécia
однос	coito
однос	relacionamentos
однос	relacionamento
однос	relação
содржи	contém
спроведено	conduzida
спроведено	conduzido
милиони	milhões
милиони	milhão
милиони	milhões
милиони	milhoes
збор	word
збор	palavra
нивната	suas
февруари	fevereiro
работа	emprego
работа	job
работа	trabalho
работа	jó
работа	trabalhos
работа	trabalho
работа	trabalhar
работа	trabalhe
функција	função
функција	funções
држава	pais
држава	país
држава	estaduais
држава	state
држава	estado
држава	estadual
календари	calendários
секоја	cada
секоја	cada
русија	russia
русија	rússia
постои	existe
метри	contadores
метри	metros
метри	medidores
метри	metros
нејзината	dela
нејзината	ela
нејзината	her
големи	large
големи	grande
големи	grandes
големи	big
големи	grande
големи	grandes
четири	four
четири	quatro
џон	john
џон	joão
џон	joao
џон	jon
олимписки	olympic
олимписки	olímpico
олимписки	olímpica
олимписки	olímpicos
делови	peças
делови	partes
политика	política
политика	politica
политика	política
видови	variedades
видови	castas
видови	espécies
видови	espécie
империја	empire
империја	império
главен	chief
главен	chefe
главен	alcaide
главен	principais
главен	main
главен	principal
врска	link
врска	ligação
врска	relacionamentos
врска	relacionamento
врска	relação
врска	vínculo
врска	laço
врска	bond
свети	shine
свети	brilhe
свети	brilhar
свети	brilha
свети	sagrado
свети	sagrados
свети	sagrada
свети	santo
свети	saint
свети	santa
свети	brilho
вклучувајќи	incluindo
вклучувајќи	inclusive
телескоп	telescópio
групи	grupos
најчесто	principalmente
награда	recompensar
награда	recompensa
награда	recompensas
награда	prémio
награда	premio
награда	prêmio
награда	prémio
награда	prêmio
значи	média
значи	meios
значи	significa
разговор	conversação
разговор	conversa
разговор	papo
разговор	conversar
разговор	chat
разговор	conversa
филм	filme
филм	película
филм	filmes
филм	películas
филм	filme
википедија	wikipédia
википедија	wikipedia
крај	end
крај	final
крај	terminar
крај	fim
вода	águas
вода	agua
вода	água
резултат	pontuação
резултат	placar
резултат	resultado
улога	papel
претседател	presidente
училиште	escola
страница	pagina
