மற்றும்	y
ஒரு	una
ஒரு	one
ஒரு	uno
இந்த	este
இந்த	esto
இந்த	esta
இந்த	éstas
இந்த	estos
இந்த	estas
இந்த	éstos
ஆம்	si
ஆம்	yes
ஆம்	sí
இது	este
இது	esto
இது	esta
மக்கள்	pueblos
மக்கள்	pueblo
மக்கள்	gente
மக்கள்	personas
என்ற	titulado
என்ற	el
என்ற	las
என்ற	los
என்ற	la
என்ற	derivada
என்ற	derivado
ஆண்டு	año
என்று	eso
என்று	que
தமிழ்	tamil
தமிழ்	tamiles
இந்திய	indios
இந்திய	indio
இந்திய	india
இந்திய	hindú
இருந்து	from
இருந்து	de
இருந்து	desde
பல	muchas
பல	muchos
பல	múltiple
பல	múltiples
பல	multiples
முதல்	from
முதல்	de
முதல்	desde
முதல்	primera
முதல்	primeras
முதல்	primer
முதல்	primeros
முதல்	primero
மேலும்	más
மேலும்	mas
மேலும்	more
தொகை	monto
தொகை	cantidad
தொகை	importe
சில	pocos
சில	pocas
சில	algunas
சில	algunos
சில	some
உள்ளது	disponible
உள்ளது	disponibles
உள்ளது	existe
அவர்	él
அவர்	ella
அவர்	su
அவர்	her
இருக்கும்	existente
இருக்கும்	existentes
வெளி	subcontratación
வெளி	externalización
வெளி	externa
வெளி	externo
வெளி	externos
வெளி	exterior
வெளி	espaciales
வெளி	space
வெளி	espacial
வெளி	espacio
அமைந்துள்ளது	localizada
அமைந்துள்ளது	localizado
அமைந்துள்ளது	ubicado
அமைந்துள்ளது	situado
மூலம்	procedencia
மூலம்	fuente
மூலம்	origen
மூலம்	source
மூலம்	original
மூலம்	originales
கொண்ட	contenidas
கொண்ட	contenida
வரை	dibujar
வரை	dibuja
வரை	empate
வரை	sorteo
வரை	hasta
பின்னர்	luego
பின்னர்	entonces
பின்னர்	posteriormente
பின்னர்	después
ஆனால்	sino
ஆனால்	pero
வேண்டும்	need
வேண்டும்	necesitar
வேண்டும்	necesito
வேண்டும்	necesita
வேண்டும்	necesidad
வேண்டும்	quieres
வேண்டும்	quiero
வேண்டும்	querer
வேண்டும்	want
வேண்டும்	quieren
வேண்டும்	debería
வேண்டும்	deberían
வேண்டும்	deberia
வேண்டும்	debiera
கொண்டு	traído
கொண்டு	trajo
கொண்டு	traido
கொண்டு	traída
கொண்டு	trae
கொண்டு	traiga
கொண்டு	traer
கொண்டு	traigan
கொண்டு	con
பட்டியல்	playlist
பட்டியல்	lista
பட்டியல்	listado
அமைந்துள்ள	localizada
அமைந்துள்ள	localizado
அமைந்துள்ள	ubicado
அமைந்துள்ள	situado
அதன்	sus
அதன்	su
பெண்கள்	hembras
பெண்கள்	muchachas
பெண்கள்	girls
பெண்கள்	niñas
பெண்கள்	chicas
பெண்கள்	mujer
பெண்கள்	mujeres
பெண்கள்	femenino
கொண்டுள்ளது	tiene
கொண்டுள்ளது	ha
கொண்டுள்ளது	contiene
கொண்டுள்ளது	contenga
போது	durante
போது	cuándo
போது	when
போது	cuando
இணைப்புகள்	conexiones
இணைப்புகள்	anexos
இணைப்புகள்	adjuntos
இணைப்புகள்	acoplamientos
இணைப்புகள்	vínculos
இணைப்புகள்	enlaces
இணைப்புகள்	links
இரண்டு	dos
இரண்டு	two
தகவல்	info
தகவல்	información
தகவல்	informacion
தகவல்	información
தகவல்	informacion
தகவல்	informaciones
தகவல்	mensajes
தகவல்	mensaje
மாவட்ட	distrito
மொத்த	totales
மொத்த	total
வளர்ச்சி	desarrollo
வளர்ச்சி	crecimiento
மாவட்டம்	distrito
அந்த	eso
அந்த	que
மிகவும்	very
மிகவும்	muy
திட்டம்	project
திட்டம்	proyecto
திட்டம்	proyectar
திட்டம்	plano
திட்டம்	plan
தேசிய	nacionales
தேசிய	national
தேசிய	nacional
