den	die
och	en
med	med
med	mee
med	met
som	soos
som	watter
som	watse
runt	rond
runt	rondte
månaden	maandelikse
månaden	maandeliks
månaden	maand
nederbörd	neerslag
ligger	lies
ligger	geleë
ingår	ingesluit
att	dat
att	wat
att	dai
ett	een
familjen	familie
familjen	gesin
för	vir
för	altesaam
inga	beweeg
inga	reflekteer
inga	inga
delen	deel
delen	gedeelte
släktet	genus
underarter	subspesie
life	lewe
listade	gelys
landet	country
landet	land
meter	meter
meter	meter
meter	meter
meter	yards
huvudstaden	capitol
huvudstaden	hoofstad
havet	see
havet	oseaan
invånare	inwoners
invånare	landsburgers
invånare	burgers
invånare	citizens
januari	januarie
genomsnitt	gemiddelde
genomsnitt	gemiddeld
genomsnittlig	gemiddelde
genomsnittlig	gemiddeld
var	var
var	was
var	was
var	were
var	waar
var	waarheen
juli	julie
juli	juli
han	han
har	het
per	per
vattendrag	riviere
från	van
från	vanuit
från	vanaf
kanada	kanada
kanada	canada
provinsen	provinsie
men	maar
högsta	supreme
högsta	maksimum
högsta	hoogste
augusti	august
augusti	augustus
kan	kon
kan	kan
länkar	skakels
externa	eks
externa	eksterne
läge	location
läge	ligging
läge	modus
även	selfs
även	ook
februari	februarie
under	tydens
under	gedurende
lake	meer
sjö	meer
sjö	see
inte	nie
kommun	munisipaliteit
två	twee
lac	lac
long	lank
juni	junie
lat	lui
december	desember
växer	vergroting
växer	groeiende
växer	blou
många	vele
många	baie
efter	na
efter	nadat
efter	ná
nära	toemaak
nära	sluit
nära	naby
väster	wes
provins	provinsie
öster	oos
först	eerste
först	eers
berg	berg
berg	mountains
berg	berge
indonesien	indonesië
usa	vsa
mars	maart
mars	optog
mars	mars
mindre	kleiner
mindre	klein
mindre	minder
norr	noorde
norr	noord
oktober	oktober
man	man
september	september
större	major
större	majoor
större	hoofvak
större	groter
större	groter
centrala	sentrale
centrala	sentraal
nordväst	noordwes
blev	geword
andra	sekondes
andra	sekonde
andra	ander
hade	moes
där	waar
där	waarheen
nordost	noordelike
county	provinsie
county	county
nog	genoeg
huvudsakligen	hoofsaaklik
ovanligt	uncommon
namngivna	genaamd
söder	suid
mycket	baie
mycket	much
jpg	jpg
regionen	streek
ottawa	ottawa
creek	mus
ganska	taamlik
närmaste	naaste
närmaste	naaste
november	november
maj	may
maj	mei
maj	mag
maj	maj
cest	cest
platt	platt
platt	plat
född	gebore
finland	finland
samhälle	samelewing
samhälle	gemeenskap
samhälle	geselskap
samhälle	samelewing
samhälle	gemeenskap
samhälle	community
hon	sy
platser	sitplekke
platser	liggings
platser	plekke
platser	webwerwe
