armies	armeed
separation	eraldamine
separation	lahutamine
spy	spioon
cliff	kalju
cliff	cliff
technically	tehniliselt
reactions	reaktsioonid
lithuanian	leedu
trick	trikk
curve	kõver
accidents	õnnetused
accidents	õnnetusi
horizontal	horisontaalsed
horizontal	horisontaalne
legends	legendid
enzyme	ensüümi
enzyme	ensüüm
freight	kaubavedu
hydrogen	vesinik
broadcasts	ringhäälingusaadete
viii	viii
caroline	caroline
pull	tõmba
plymouth	plymouth
twentieth	twentieth
airfield	lennuväli
dale	dale
synthesis	sünteesi
rape	vägistamine
seoul	soul
engagement	kihlus
coin	münt
coin	mündi
lucy	lucy
consequently	järelikult
platinum	plaatina
twins	kaksikud
memories	mälestusi
memories	mälestused
robertson	robertson
verified	kontrollitud
verified	tõendatud
milton	milton
geological	geoloogilise
geological	geoloogiline
defining	määratlemine
dinner	õhtusöök
thriller	thriller
retreat	taganeda
albany	albany
abdul	abdul
ignore	eiramine
ignore	ignoreeritakse
ignore	eirata
ignore	eiratakse
migration	ränne
migration	rände
carefully	ettevaatlikult
carefully	hoolikalt
sudan	sudaani
sudan	sudaan
manages	haldab
duration	kestus
henderson	hendersoni
henderson	henderson
explorer	maadeavastaja
marco	marco
aids	aids
aids	aidsi
gathered	kogutud
gathered	kogunenud
privately	eraviisiliselt
privately	privaatselt
reflected	kajastatud
afraid	kardan
allegedly	väidetavalt
delay	viivitus
developers	arendajad
belfast	belfasti
arctic	arktika
kurt	kurt
windsor	windsor
plates	plaadid
plates	taldrikud
fourteen	neliteist
nominee	nominent
monroe	monroe
hearts	südamed
belgrade	belgradi
pale	pale
pale	kahvatu
pursuit	jälitamine
pursuit	tagaajamine
glory	hiilgus
destroyer	hävitaja
deeply	sügavalt
preston	preston
deceased	surnud
speaks	räägib
speaks	kõneleb
gathering	kogunemine
angry	vihane
incomplete	puudulik
incomplete	mittetäielik
configuration	konfiguratsioon
configuration	seadistus
configuration	seadistamine
brad	brad
skill	oskused
skill	oskus
skill	oskuste
intense	pingeline
intense	intensiivne
tasmania	tasmaania
commitment	pühendumus
commitment	kohustuse
commitment	pühendumine
commitment	kohustus
loved	meeldis
loved	armastasin
loved	armastas
loved	armastasid
reforms	reformid
uruguay	uruguay
napoleon	napoleoni
napoleon	napoleon
confirm	kinnitus
confirm	kinnitada
confirm	kinnitan
confirm	kinnita
breed	tõug
breed	tõu
enabled	lubatud
licence	litsents
refugees	pagulased
refugees	pagulaste
adrian	adrian
pipe	toru
pipe	piip
karen	karen
altered	muudetud
budapest	budapestis
budapest	budapesti
heir	pärija
advisor	nõuandja
advisor	nõunik
illustrate	illustreerivad
hide	peidetakse
hide	peitu
hide	peitmine
hide	peida
announcement	väljakuulutamine
announcement	teadaanne
compact	kompaktne
tissue	kude
tissue	koe
tissue	koed
particles	osakesed
refuses	keeldub
receiver	vastuvõtja
receiver	saaja
civilians	tsiviilisikud
marsh	marsh
vinyl	vinüül
delayed	hilinenud
wednesday	kolmapäev
checking	kontrollimine
chilean	tšiili
hey	hei
chambers	chambers
demo	demo
agrees	nõustub
ahmad	ahmad
santos	santos
interpreted	tõlgendada
desired	soovitud
followers	järgijad
problematic	problemaatiline
problematic	probleemne
springfield	springfieldi
kit	komplekt
kit	kit
remarks	märkused
burton	burton
monarch	monarh
observations	tähelepanekud
observations	vaatlused
beetle	mardikas
promised	lubas
cream	koor
cream	kreem
cream	koort
potter	potter
favourite	lemmik
transformation	ümberkujundamine
transformation	muutumine
mcdonald	mcdonald
bavaria	baieri
kumar	kumar
mixture	segu
endangered	ohustatud
mate	mate
everybody	kõik
lyon	lyoni
illustration	illustratsioon
kyle	kyle
brook	oja
geometry	geomeetria
ping	pingi
ping	ping
variants	variandid
baroque	barokk
iso	iso
integral	lahutamatu
jake	jake
hopes	lootused
hopes	loodab
cornell	cornell
modes	režiimid
servant	teenija
servant	teener
kenny	kenny
hurt	haiget
maker	tegija
inline	sisene
carlo	carlo
lynn	lynn
stability	püsivus
stability	stabiilsus
hoping	lootes
hoping	loodab
beetles	mardikad
joel	joel
logos	logode
vital	elutähtis
malcolm	malcolm
winnipeg	winnipegi
kilometers	kilomeetrit
buddhism	budism
nose	nina
nose	ninna
pace	tempo
thunder	äike
physicians	arstid
bolivia	boliivia
forget	unusta
crops	põllukultuurid
crops	kultuurid
halifax	halifax
toll	toll
monk	monk
monk	munk
extraordinary	erakorraline
lessons	tunnid
lessons	õppetunnid
pub	pubi
monte	monte
