metodele	méthodes
harold	harold
compozitorul	compositeur
compozitorul	compositrice
blindate	blindé
blindate	blindée
blindate	blindés
blindate	blindé
blindate	blindée
blindate	blindés
roy	roy
teorema	théorème
brațe	bras
brațe	armes
proceselor	processus
proceselor	procédés
părul	cheveu
părul	cheveux
părul	coiffure
jon	jon
universale	universal
universale	universels
universale	universelle
universale	universel
poduri	passerelles
poduri	ponts
adaptat	adaptée
adaptat	adaptés
adaptat	adaptées
adaptat	adapté
brigadă	brigade
negri	noirs
provizoriu	provisoire
provizoriu	provisoires
provizoriu	provisoirement
normale	normale
normale	normaux
normale	normales
normale	normal
templu	temple
templu	tempe
beneficiat	profité
beneficiat	bénéficié
consumul	consommation
sandu	sandu
pcr	pcr
religii	religions
religii	cultes
ungheni	ungheni
arsenal	arsenal
blocuri	blocages
blocuri	blocs
achiziționat	acquise
achiziționat	acquises
achiziționat	acquis
achiziționat	achetée
achiziționat	acheté
achiziționat	achetées
achiziționat	achetés
oana	oana
executate	exécuté
executate	exécutés
executate	exécutée
treizeci	trente
treizeci	thirty
suburbie	faubourg
suburbie	banlieue
preferă	préfère
preferă	préfère
preferă	préférer
preferă	préférez
preferă	préfèrent
proprietarul	propriétaire
nobili	nobles
nobili	noble
nobili	nobles
nobili	noblesse
forțată	forcé
forțată	obligé
forțată	contraint
forțată	forcée
ducat	duché
metropolitan	métropolitain
metropolitan	métropolitaine
metropolitan	metropolitan
scuze	désolé
scuze	désolée
scuze	désolés
scuze	pardon
iubirea	aime
iubirea	amour
iubirea	aimer
iubirea	love
ann	ann
ann	anne
talent	talents
talent	talent
salvador	salvador
cultul	secte
cultul	culte
cultul	cultes
low	basses
low	basse
low	faible
low	faibles
low	bas
santo	santo
grammy	mamie
grammy	grammy
nucleul	core
nucleul	cœur
nucleul	coeur
nucleul	noyau
astronomie	astronomie
metalice	métallisé
metalice	métallique
metalice	métalliques
philadelphia	philadelphie
philadelphia	philadelphia
molotov	molotov
sony	sony
feminină	féminine
feminină	féminines
feminină	féminin
gură	bouche
gură	embouchure
plăci	assiettes
plăci	plaques
plăci	carreaux
plăci	tuiles
plăci	carrelage
psihologie	psychologie
creator	créatrice
creator	créateur
circuit	circuit
neutru	neutre
neutru	neutres
neutru	neutralité
bahia	bahia
topografice	topographique
telefon	téléphone
telefon	telephone
telefon	téléphone
controlată	contrôlées
controlată	contrôlés
controlată	contrôlée
controlată	contrôlé
benedict	benedict
benedict	benoît
larry	larry
copenhaga	copenhague
lipsește	manquants
lipsește	manquante
lipsește	manque
lipsește	manquant
lipsește	disparu
roland	roland
trepte	marches
trepte	étapes
conservarea	préservation
conservarea	conservation
conservarea	préservation
conservarea	conservation
mahmud	mahmoud
mahmud	mahmud
pictată	peintes
pictată	peinte
pictată	peint
pictată	peints
progresul	progrès
progresul	progression
progresul	progresser
progresul	avancement
ciclu	cycle
rundă	arrondi
rundă	ronde
rundă	rond
rundă	rondes
rundă	ronds
emanuel	emanuel
reforme	réformes
junior	juniors
junior	junior
platon	platon
arhivele	archives
metrou	métro
metrou	métro
metrou	metro
vendée	vendée
vicar	vicaire
einstein	einstein
prelucrarea	transformation
prelucrarea	traitement
sclavi	esclave
sclavi	esclaves
wrestling	catch
wrestling	lutte
wrestling	wrestling
wrestling	lutter
nasr	nasr
merit	mérites
merit	mérite
perspectivă	perspective
singular	singulière
singular	singulier
recenzie	revue
recenzie	examen
recenzie	révision
pierdută	perdu
pierdută	perdues
pierdută	perdue
pierdută	lost
pierdută	perdus
stewart	stewart
trimisă	envoyés
trimisă	envoyées
trimisă	envoyée
trimisă	envoyé
aveyron	aveyron
obținută	obtenues
obținută	obtenue
obținută	obtenus
obținută	obtenu
adâncimea	profondeur
adâncimea	profondeurs
chelsea	chelsea
unire	fusionner
unire	fusionne
unire	fusion
unire	collage
unire	cautionnement
întâlnirea	rencontre
întâlnirea	réunion
panzer	panzer
cursa	course
cursa	race
doctoratul	doctorat
catalogul	catalogue
catalogul	catalogue
publicitate	publicitaire
publicitate	publicité
publicitate	publicités
vânt	vent
vânt	éolien
vânt	éolienne
vânt	vents
blocarea	bloquer
blocarea	bloquant
blocarea	blocage
obiectivul	objectif
regilor	rois
regilor	kings
spirituale	spirituelle
spirituale	spirituel
spirituale	spirituelles
ing	ing
elevii	étudiants
elevii	etudiants
elevii	élèves
elevii	élèves
determinarea	détermination
frumoasa	beau
frumoasa	superbe
frumoasa	magnifiques
frumoasa	magnifique
frumoasa	belle
mobilă	mobile
mobilă	portable
mobilă	ameublement
mobilă	meubles
mobilă	mobilier
mobilă	meuble
potter	potter
corina	corina
anonim	anonyme
plumb	plomb
localizat	situés
localizat	située
localizat	localisé
localizat	situé
localizat	localisées
localizat	localisée
localizat	localisés
localizat	localisé
side	latéraux
side	côté
side	latérale
side	latéral
efortul	effort
navală	navale
navală	navales
cartoon	cartoon
pânză	canevas
pânză	canvas
pânză	toile
pânză	toiles
necunoscută	inconnue
necunoscută	inconnu
necunoscută	inconnus
necunoscută	inconnues
doctrina	doctrine
senatul	sénat
concentrat	concentré
concentrat	concentrés
concentrat	concentrée
concentrat	concentrées
concentrat	concentré
concentrat	concentre
concentrat	concentrer
concentrat	concentré
concentrat	concentrée
săli	halls
stars	etoiles
stars	vedettes
stars	étoiles
lipsesc	manquants
lipsesc	manquante
lipsesc	manque
lipsesc	manquant
lipsesc	disparu
catalog	catalogue
catalog	catalogue
diesel	gazole
diesel	diesel
toronto	toronto
toronto	montréal
darwin	darwin
teolog	théologien
rey	rey
cadre	cadres
cadre	montures
așteptat	attendus
așteptat	escompté
așteptat	attendue
așteptat	attendu
copie	copiez
copie	exemplaire
copie	copier
copie	copie
augusta	augusta
conservatorul	véranda
conservatorul	conservatoire
nièvre	nièvre
individ	individuelle
individ	individuels
individ	individuel
cauze	cause
cauze	causes
