ριχάρδος	richard
ακαδημαϊκό	akademisk
ακαδημαϊκό	akademiske
κιμ	kim
κοιλιά	mave
κοιλιά	maven
κοιλιά	mave
κοιλιά	belly
κοιλιά	maven
κοιλιά	underlivet
κοιλιά	mave
πυρ	fyr
πυρ	brand
πυρ	ild
πυρ	brande
μπάρι	bari
μπάρι	barry
προσφέροντας	tilbyder
προσφέροντας	tilbyde
ακουστική	akustik
ακουστική	akustisk
ακουστική	akustiske
πολωνική	polak
πολωνική	polske
πολωνική	polsk
πέδρο	pedro
αμοιβή	gebyr
αμοιβή	afgift
αμοιβή	honorar
αμοιβή	vederlag
αμοιβή	aflønning
αμοιβή	godtgørelse
αμοιβή	belønning
αμοιβή	dusør
μύθοι	myter
μύθοι	legender
μύθοι	sagn
υψηλότερα	højere
μετατόπιση	skift
μετατόπιση	shift
μετατόπιση	forskydning
μετατόπιση	udligne
μετατόπιση	forskydning
παρουσιάστηκαν	præsenterede
παρουσιάστηκαν	fremlagt
παρουσιάστηκαν	præsenteret
παρουσιάστηκαν	præsenteres
μέτρια	medium
μέτρια	mellemstor
μέτρια	medie
μέτρια	mediet
μέτρια	moderate
μέτρια	moderat
επηρεάσει	påvirker
επηρεάσει	påvirke
επηρεάσει	påvirkede
επηρεάσει	påvirket
μάρσαλ	marshall
μάρσαλ	marshalls
ποσά	beløb
συνταγματική	forfatningsmæssig
συνταγματική	forfatningsmæssige
υποδομών	infrastruktur
μάζες	masse
μάζες	massevis
δορυφόρο	satellitbaseret
δορυφόρο	satellit
στροφές	fart
στροφές	hastighed
στροφές	speed
στροφές	hastigheden
τραπέζι	bordet
τραπέζι	bord
τραπέζι	tabel
δορυφόρους	satellitter
δορυφόρους	satellitterne
διονύσου	dionysos
διαφοροποίηση	differentiering
διαφοροποίηση	graduering
διαφοροποίηση	sondring
διαφοροποίηση	graduering
διαφοροποίηση	spredning
εντοπιστεί	spores
εντοπιστεί	sporede
διακρίνει	sondrer
διακρίνει	skelner
συνδεδεμένη	tilsluttet
συνδεδεμένη	forbundne
συνδεδεμένη	forbundet
συνδεδεμένη	knyttet
συνδεδεμένη	forbundet
αναφέρω	nævne
αναφέρω	nævner
αναφέρω	nævn
εγκέφαλο	brain
εγκέφαλο	hjerne
εγκέφαλο	hjernen
προσθέτοντας	tilføjelse
προσθέτοντας	tilføjer
χασάν	hassan
χασάν	hasan
εκτελέστηκαν	henrettet
εκτελέστηκαν	henrettede
φλόγα	flamme
φλόγα	flammen
φλόγα	flammer
ηλέκτρα	elektra
ηλέκτρα	electra
ηλέκτρα	elektra
οργανώνει	arrangerer
οργανώνει	organiserer
οργανώνει	tilrettelægger
οργανώνει	organiserer
ραούλ	raoul
ραούλ	raul
ραούλ	raúl
ραούλ	rahul
κυκλάδες	kykladerne
δον	don
δολοφονίες	drab
δολοφονίες	attentater
δολοφονίες	mordene
δολοφονίες	mord
μποτσουάνα	botswana
αρμονία	harmoni
αρμονία	harmony
ρήνου	rhinen
ρήνου	rhin
τσάρλι	charlie
ηλιακή	sol
ηλιακή	solceller
ηλιακή	solenergi
μοτίβα	mønstre
κινδύνους	risici
κινδύνους	farer
κινδύνους	farerne
πύργοι	towers
πύργοι	tårnene
πύργοι	tårne
φόρουμ	fora
φόρουμ	forum
φόρουμ	forummet
διαφθορά	fordærv
διαφθορά	korruption
διαφθορά	bestikkelse
μεμονωμένα	individuelt
μεμονωμένα	enkeltvis
μεμονωμένα	individuelt
μεμονωμένα	individ
μεμονωμένα	individuelle
μεμονωμένα	individuel
στράτευμα	trop
στράτευμα	tropperne
στράτευμα	tropper
τετάρτη	onsdag
διασταύρωση	krydset
διασταύρωση	junction
τει	tei
μαχητικά	boksere
μαχητικά	jagerfly
μαχητικά	krigere
μαχητικά	kæmpere
αιχμάλωτος	fangen
αιχμάλωτος	fange
αιχμάλωτος	bundne
αιχμάλωτος	fangenskab
αιχμάλωτος	fanget
αιχμάλωτος	fangede
αιχμάλωτος	indfanget
συνομοσπονδίας	forbund
χίτσκοκ	hitchcock
αντίποινα	repressalier
αντίποινα	gengældelse
αντίποινα	repressalier
αντίποινα	repressalier
παραχώρηση	koncessioner
παραχώρηση	koncession
παραχώρηση	indrømmelse
παραχώρηση	koncessionen
ιδανικό	ideal
ιδανικό	ideelt
ιδανικό	ideelle
ιδανικό	ideel
ενηλίκων	voksen
ενηλίκων	voksent
ενηλίκων	voksne
ενηλίκων	voksne
ύδατα	waters
ύδατα	farvande
ύδατα	vandområder
ύδατα	farvand
υψηλάντη	ypsilanti
μεραρχίες	divisioner
μεραρχίες	afdelinger
αυστριακό	østrigske
αυστριακό	østriger
αυστριακό	østrigsk
πυροβολικό	artilleri
τέλεια	perfekt
τέλεια	perfekte
τέλεια	perfect
τέλεια	fantastisk
τέλεια	fedt
τέλεια	stor
τέλεια	skønt
τέλεια	herligt
απογραφές	opgørelser
απογραφές	fortegnelser
απογραφές	tællinger
γάτα	cat
γάτα	katten
γάτα	kat
θαύμα	mirakel
θαύμα	miraklet
θαύμα	vidunder
θαύμα	mon
θαύμα	wonder
ισότητα	ligestilling
ισότητα	lighed
ισότητα	ligebehandling
ισότητα	lige
ισότητα	equal
ίκαρος	icarus
αλγερίας	algeriet
γκαλερί	gallerier
γκαλερί	galleriet
γκαλερί	galleri
κολούμπια	columbia
κολούμπια	colombia
εγκεφαλικό	slagtilfælde
εγκεφαλικό	hjerneblødning
εγκεφαλικό	takt
αλαμπάμα	alabama
έφορος	kurator
εντάξει	okay
σύνορο	grænse
σύνορο	kant
σύνορο	grænsen
σύνορο	grænse
λειτουργική	funktionel
λειτουργική	funktions
λειτουργική	funktionelle
λειτουργική	funktionelt
λειτουργική	operationelt
λειτουργική	operationel
λειτουργική	operationelle
λειτουργική	operativt
κρίσεις	anfald
κρίσεις	krampe
κρίσεις	krampeanfald
κρίσεις	kramper
κρίσεις	kriser
κρίσεις	kriserne
πωλήσεων	salget
πωλήσεων	salg
γλυκό	sød
γλυκό	søde
γλυκό	sødt
γλυκό	sweet
γκαρντ	gard
μιγκέλ	miguel
ρούντολφ	rudolph
ρούντολφ	rudolf
ρούντολφ	rudolf
πήτερ	peter
χρήσιμες	nyttig
χρήσιμες	brugbar
χρήσιμες	nyttigt
χρήσιμες	nyttige
κοπεγχάγη	copenhagen
κοπεγχάγη	københavn
δίσκοι	plader
δίσκοι	records
δίσκοι	registreringer
δίσκοι	fortegnelser
δίσκοι	optegnelser
δίσκοι	skiver
δίσκοι	diske
δίσκοι	skiver
δίσκοι	disketter
δίσκοι	diske
ολοκαύτωμα	holocaust
βενεζουέλας	venezuelanske
βενεζουέλας	venezuela
βενεζουέλας	venezuelas
βενεζουέλας	venezuela
έσπασε	flad
έσπασε	brød
υποκείμενο	emne
υποκείμενο	emnet
καθήκον	pligt
καθήκον	pligten
καθήκον	told
καθήκον	arbejdsopgave
καθήκον	opgave
παναμά	panama
σημειωματάριο	notesbog
λιγότερες	færre
λιγότερες	færre
λιγότερες	mindre
δόση	dosis
δόση	dosering
δόση	dosis
δόση	dosering
εξεγέρσεις	uroligheder
εξεγέρσεις	optøjerne
εξεγέρσεις	optøjer
εξεγέρσεις	opstande
αεροπλάνα	flyvemaskiner
αεροπλάνα	fly
αλκοόλ	alkohol
τόνο	tunfisk
τόνο	tun
τόνο	tonefald
τόνο	tone
κατάχρηση	misbrug
κατάχρηση	underslæb
κατάχρηση	mishandling
κατάχρηση	misbrug
κατάχρηση	overgreb
ρίτσι	ritchie
ρίτσι	richie
ρίτσι	ricci
χώμα	jordbunden
χώμα	jord
χώμα	jordbund
χώμα	snavs
χώμα	skidt
χώμα	smuds
στρατιώτη	soldaten
στρατιώτη	soldat
άλεξ	alex
στενός	smalle
στενός	snæver
στενός	snævert
στενός	snævre
στενός	smal
μαχητές	kombattanter
μαχητές	krigere
μαχητές	boksere
μαχητές	jagerfly
μαχητές	krigere
μαχητές	kæmpere
μαχητές	militante
παπαϊωάννου	papaioannou
αποκτήθηκε	erhvervede
αποκτήθηκε	anskaffet
αποκτήθηκε	erhvervet
υγιεινής	hygiejne
ευκαιρίες	muligheder
μοντάζ	montage
μοντάζ	redigerer
μοντάζ	redigering
μηχανικοί	mekanik
μηχανικοί	ingeniører
λατ	lat
ενέκρινε	godkendt
ενέκρινε	godkendte
ενέκρινε	vedtaget
ενέκρινε	adopteret
μασσαλία	marseille
μασσαλία	marseille
μασσαλία	marseilles
πλημμύρες	oversvømmelser
πλημμύρες	oversvømmelserne
πλημμύρες	oversvømmelse
πλημμύρες	oversvømmelser
πλημμύρες	oversvømmelse
αλλα	andre
αλλα	andet
αλλα	men
σθένος	fortitude
διαβήτη	sukkersyge
διαβήτη	diabetes
ασημένια	sølvfarvet
ασημένια	silver
ασημένια	sølv
όπερες	operaer
νικολά	nicolas
συνήθεια	brugerdefineret
συνήθεια	skik
συνήθεια	tilpasset
συνήθεια	brugerdefinerede
συνήθεια	sædvane
συνήθεια	vane
συνήθεια	vaner
τσάρου	zar
κατάρτιση	træning
κατάρτιση	uddannelse
κατάρτιση	oplæring
λαογραφία	folklore
λαογραφία	sagn
κυβερνείο	guvernement
μεταξάς	metaxas
κάι	kai
απολύθηκε	affyret
απολύθηκε	fyret
χιούμορ	humor
χιούμορ	humor
ανακάλυψαν	opdagede
ανακάλυψαν	opdaget
αγαπημένο	yndlings
αγαπημένο	favorit
αγαπημένο	yndlings
αγαπημένο	favorit
ρομπέρτο	roberto
πάτρικ	patrick
πρόβλεψη	prognoser
πρόβλεψη	forudsigelse
πρόβλεψη	prognose
κούπερ	cooper
ρούμπενς	rubens
τάφους	grave
τάφους	graves
τάφους	grave
τάφους	gravene
συγγενής	relativ
απόκλιση	afvigelse
απόκλιση	divergens
γιοι	sons
γιοι	sønner
κατοικείται	beboede
κατοικείται	beboet
ντιν	dekan
ντιν	dean
διαστημόπλοιο	rumskib
διαστημόπλοιο	rumfartøjer
διαστημόπλοιο	rumskibet
διαστημόπλοιο	rumskib
νιλ	neil
νιλ	neal
διορθώσεις	korrektioner
διορθώσεις	berigtigelser
διορθώσεις	rettelser
διορθώσεις	rettelser
διορθώσεις	redigerer
πρόδρομος	forløber
μαρόκου	marokko
μαρόκου	marokkos
ιού	virusen
ιού	virus
φόρμα	formular
φόρμα	blanket
φόρμα	form
φόρμα	formen
φόρμα	jumpsuit
διαφορών	tvister
διαφορών	stridigheder
έζησαν	boet
έζησαν	boede
έζησαν	levede
έζησαν	levet
αδάμ	adam
έλλη	ellie
έλλη	elli
μιανμάρ	myanmar
προσφέρεται	tilbydes
προσφέρεται	tilbudte
προσφέρεται	tilbudt
προσφέρεται	udbudt
κλειστή	lukkede
κλειστή	lukket
γράφημα	diagram
γράφημα	figur
γράφημα	graf
γράφημα	diagram
γράφημα	figur
εκτόξευση	opsendelse
εκτόξευση	igangsætning
εκτόξευση	lancering
εκτόξευση	udsætning
εκτόξευση	iværksættelse
εκτόξευση	opsendelse
εκτόξευση	lancering
εκτόξευση	iværksætte
εκτόξευση	affyring
ταϊλάνδη	thailand
καπνού	tobaksvarer
καπνού	tobak
ρόδος	rhodes
ρόδος	rhodos
φάρμακο	medicin
φάρμακο	lægevidenskab
φάρμακο	lægemiddel
φάρμακο	narkotika
εκτελέσει	udfør
εκτελέσει	udføre
εκτελέσει	udfør
εκτελέσει	henrette
αιχμάλωτοι	indsatte
αιχμάλωτοι	fangerne
αιχμάλωτοι	fanger
αιχμάλωτοι	fængslede
χάμιλτον	hamilton
όμηρο	gidslet
όμηρο	gidsel
γυαλί	glas
γυαλί	glass
κάτοικος	resident
κάτοικος	beboer
κάτοικος	bosat
κάτοικος	bosiddende
ουδέτερη	neutral
ουδέτερη	neutralt
ουδέτερη	neutrale
