panorama	panorama
leon	leona
leon	leone
leon	leon
enzime	enzymů
enzime	enzymy
strateški	strategicky
strateški	strategické
strateški	strategický
strateški	strategická
medina	medina
emituje	vyzařuje
amino	amino
doktorsku	doktorské
murphy	murphyho
murphy	murphy
liu	liou
liu	liu
helikopter	vrtulníku
helikopter	helikoptéra
helikopter	helikoptéru
helikopter	vrtulník
aparat	přístroje
aparat	přístroj
aparat	aparát
cska	cska
ropstva	otroctví
provela	provedena
prašine	prachu
prašine	prach
molekuli	molekuly
molekuli	molekul
stvoren	vytvořené
stvoren	stvořil
stvoren	vytvořeno
stvoren	vytvořil
stvoren	vytvořena
stvoren	vytvořen
filipini	filipíny
atena	athena
arheološko	archeologické
lišće	listí
lišće	listů
lišće	listy
zant	zant
janez	janez
omar	omar
omar	omara
negativni	záporné
negativni	negativní
matt	matt
matt	matta
kampanju	kampaň
kampanju	kampaně
kampanju	tažení
trinaest	třináctka
trinaest	thirteen
trinaest	třináct
baker	baker
baker	pekař
neobično	nezvykle
neobično	neobvykle
neobično	nezvyklé
neobično	neobvyklé
neobično	neobvyklá
neobično	neobvyklý
punu	plné
punu	plný
punu	plná
simone	simone
dance	dánové
zeta	zeta
della	della
alen	allen
alen	allena
alen	alen
baby	baby
baby	zlato
baby	dítě
baby	miláček
migracije	migrace
migracije	migraci
klasifikacije	klasifikace
rečenice	věty
rečenice	vět
rečenice	rozsudky
izdana	emitované
izdana	vydané
izdana	vydaná
izdana	vydáno
izdana	vydaný
rog	roh
rog	horn
dodijeljen	přiděleno
dodijeljen	přidělená
dodijeljen	přidělen
dodijeljen	přidělený
dodijeljen	přidělené
prekinuo	přerušena
prekinuo	přerušil
prekinuo	přerušeno
kanali	kanály
kanali	kanálů
sklonište	přístřeší
sklonište	útulek
sklonište	útulku
sklonište	přístřešek
sklonište	kryt
sklonište	úkryt
smanjen	snížený
smanjen	snížení
smanjen	snížené
smanjen	snížená
uređivanje	úprava
uređivanje	upravit
tudor	tudor
robertson	robertson
odgovori	odpovědi
plemić	šlechtice
plemić	šlechtic
izvoz	export
izvoz	vývoz
izvoz	export
izvoz	exportovat
izvoz	vývoz
organizuje	organizování
organizuje	pořádá
organizuje	organizuje
prostore	prostory
prostore	mezery
murat	murad
murat	murat
gljive	plíseň
gljive	houba
motivi	motivy
merlin	merlin
zatvoreni	uvězněn
zatvoreni	uvězněné
zatvoreni	uvězněný
zatvoreni	uvězněni
udaraljke	bicí
knin	knin
hidroksid	hydroxid
gregor	gregor
sobu	pokoj
sobu	místnost
templates	šablony
sazviježđa	souhvězdí
patrijarh	patriarcha
nikl	niklu
nikl	nikl
leberecht	leberecht
tone	tuny
tone	tun
tone	tuny
tone	tun
teret	naložit
teret	načíst
teret	zatížení
teret	břemeno
teret	břímě
teret	zátěž
danilo	danilo
wikitable	wikitable
ubrzanje	zrychlení
ubrzanje	točivého
parker	parkerová
parker	parker
vrat	krk
vrat	šíje
vrat	krku
korisnički	uživatele
korisnički	uživatelem
korisnički	uživatel
amonijak	amoniaku
konrad	konrad
konrad	conrada
konrad	conrad
provode	strávit
provode	utrácet
provode	utratit
sočiju	soči
zima	zimní
zima	zima
zima	winter
relativnosti	relativity
barset	barset
olga	olga
blog	blog
blog	blogu
migracija	migrace
migracija	migraci
vezuje	váže
bobby	bobbyho
bobby	bobby
leeds	leeds
objašnjenja	vysvětlení
objašnjenja	vysvětlivky
predgrađu	předměstí
izbjeglica	uprchlík
izbjeglica	uprchlíka
izbjeglica	uprchlíků
izbjeglica	uprchlíky
izbjeglica	uprchlíci
stalne	trvalý
stalne	trvalá
stalne	permanentní
stalne	trvalé
stalne	stálá
atene	aténách
pripremi	připravit
industrijska	průmyslový
industrijska	průmyslová
industrijska	průmyslové
pobjedio	vyhrála
pobjedio	vyhráli
pobjedio	vyhrál
tyler	tyler
tyler	tylera
suđenje	proces
suđenje	soud
klaus	klaus
radovan	radovan
voyager	voyager
voyager	voyageru
morrison	morrison
lotus	lotus
zakonski	právně
zakonski	legálně
okruzi	kraje
okruzi	okrsků
takmičari	soutěžících
takmičari	soutěžící
takmičari	konkurenty
takmičari	konkurenti
takmičari	konkurence
molekulska	molekulární
fosili	fosilních
fosili	fosilní
točak	kolo
točak	kolečko
kalaj	tin
kanadski	kanadský
kanadski	kanadská
kanadski	kanadské
ontario	ontario
alice	alenka
alice	alice
paket	balík
paket	balíček
paket	balení
andora	andorra
elvis	elvis
elvis	elvise
odlično	vynikající
postojeći	existující
postojeći	stávající
izgubljeni	ztracený
izgubljeni	ztraceno
izgubljeni	ztratil
izgubljeni	ztraceni
izgubljeni	ztracen
izgubljeni	ztracená
pažnja	pozor
pažnja	pozornost
ponavlja	opakuje
uzimanje	braní
oton	otho
pretvaranje	otočit
pretvaranje	proměnit
pretvaranje	přepočet
pretvaranje	přeměna
pretvaranje	konverze
optužbe	nálože
optužbe	obvinění
optužbe	poplatky
optužbe	obvinění
optužbe	obviňování
transformacija	proměnit
transformacija	proměna
transformacija	přeměna
transformacija	transformace
transformacija	proměny
zatvara	zavře
zatvara	zavírá
zatvara	zavírání
zatvara	uzavření
papir	papíru
papir	papírové
papir	papír
vještački	uměle
složeni	kompozitní
urednika	redakce
urednika	editoři
javor	javorový
orbiti	orbitu
valentin	valentin
valentin	valentýn
valentin	valentine
stabilna	stáj
stabilna	stabilní
cxd	cxd
pasa	psy
pasa	psi
pasa	psů
bazirana	založen
bazirana	založený
bazirana	založeno
disertaciju	dizertaci
loza	vinice
namjera	úmysl
namjera	záměr
namjera	úmysl
namjera	záměr
mohammed	mohammed
mohammed	mohamed
poslati	pošlete
poslati	poslat
poslati	pošli
poslati	zaslat
poslati	odeslat
patuljak	trpaslík
sutjeska	sutjeska
proza	prózu
obilježen	označeny
obilježen	označená
obilježen	označené
obilježen	označeno
sol	sol
turistička	turistická
turistička	turistické
turistička	turista
brodovima	lodě
brodovima	lodí
smatrajući	prohlížení
napisano	psáno
napisano	napsané
napisano	písemná
napisano	písemné
napisano	napsáno
platforme	plošina
platforme	nástupiště
platforme	platforma
platforme	platformy
platforme	platformu
manjine	menšiny
crteža	pozemky
crteža	spiknutí
vještica	čarodějnice
