залізний	இரும்பு
якоб	யாக்கோபு
якоб	ஜேக்கப்
якоб	jakob
воскресіння	உயிர்ப்பித்து
рукописи	manuscripts
тримається	கோடுகள்
збираються	கூட்டம்
фраза	வாக்கியம்
міфи	கட்டுக்கதைகள்
фольклор	நாட்டார்
фольклор	கிராமிய
фольклор	நாட்டாரியல்
заповіт	ஏற்பாட்டில்
будівельник	பில்டர்
рання	சீக்கிரமாக
джейсон	ஜேசன்
комерційного	வணிக
комерційного	வணிகம்
юліан	ஜூலியன்
анатомія	உடற்கூறு
тед	டெட்
польщу	போலந்து
керрі	கெர்ரி
керрі	கேரி
страйк	வேலைநிறுத்தம்
віддали	கொடுத்தார்
віддали	கொடுத்தோம்
платівки	பதிவுகள்
платівки	சாதனைகள்
рибу	மீன்
рибу	மீன்கள்
оригінал	மூலம்
оригінал	மூல
оригінал	மெய்யான
оригінал	ஒரிஜினல்
оригінал	அசல்
тихий	பசிபிக்
відмова	தோல்வி
камер	கேமராக்கள்
себастьян	செபாஸ்டியன்
постійна	மாறிலி
євгеній	யூஜின்
хоп	ஹாப்
підвищити	அதிகரித்துள்ளது
підвищити	அதிகரிக்க
підвищити	அதிகரிக்கும்
підвищити	அதிகரிப்பு
змії	பாம்புகள்
змії	பாம்பு
безпосередній	உடனடி
провідник	வழிகாட்டி
провідник	கடத்தி
провідник	நடத்துனர்
допомагали	உதவியது
мільярдів	பில்லியன்
мільярдів	டிரில்லியன்
протести	எதிர்ப்புகள்
ельзас	alsace
шеф	தலைவன்
шеф	தலைமை
завтра	நாளைக்கு
завтра	நாளைய
завтра	நாளை
жозеф	ஜோசப்
жозеф	யோசேப்பு
зупинка	நிறுத்துதல்
зупинка	நிறுத்துகிறது
зупинка	நிறுத்தப்பட்டது
зупинка	நிறுத்தி
зупинка	நின்றது
зупинка	நிறுத்து
зупинка	நிறுத்தம்
зупинка	நிறுத்த
поліцейських	காவலர்கள்
допомагати	உதவுவது
дзвін	பெல்ஸ்
дзвін	பெல்
дзвін	மணி
холодний	குளிரில்
холодний	சளி
холодний	ஜலதோஷம்
холодний	குளிர்
сорок	நாற்பது
вантажний	சரக்கு
епізоди	அத்தியாயங்கள்
відпочинок	ஓய்வு
відпочинок	கேளிக்கை
відпочинок	ஓய்வு
автомат	இயந்திரத்தில்
автомат	இயந்திரம்
автомат	பொறி
автомат	எந்திரம்
калію	பொட்டாசியம்
цифр	இலக்கங்கள்
змінився	மாறிவிட்டது
змінився	மாற்றப்பட்டது
змінився	மாற்றப்பட்ட
пів	அரை
пів	பாதி
спираючись	நம்பி
подвійний	இரட்டிப்பு
подвійний	இரட்டை
подвійний	இரட்டை
