הפיל	слон
הואשם	обвинет
הואשם	обвинети
הואשם	обвинет
הואשם	обвини
הואשם	обвинети
הואשם	обвинета
ליאו	лео
ליאו	лав
דורי	дори
אורות	светла
עשורים	декади
עשורים	децении
צפייה	гледање
צפייה	поглед
צפייה	гледав
צפייה	гледање
צפייה	гледајќи
צפייה	гледа
צפייה	гледањето
מלאים	полни
מלאים	целосна
מלאים	полна
מלאים	полн
אדריכלים	архитекти
מחכה	чекањето
מחכה	чекам
מחכה	чекајќи
מחכה	чекање
מחכה	чека
מחכה	чекаат
שלחו	прати
שלחו	испратете
שלחו	испрати
אשם	крив
אשם	виновни
אשם	виновно
אשם	виновна
אשם	виновен
מיתרים	жици
מיתרים	низи
מיתרים	конци
הצלה	спасување
הצלה	спас
הצלה	спасувачки
המיועדים	представници
מדויקים	прецизни
מדויקים	точна
מדויקים	прецизен
מדויקים	точен
מדויקים	прецизно
עלילות	заговори
עלילות	парцели
מנדטים	мандати
מנדטים	мандатите
גישות	ставови
גישות	ставовите
תאונות	несреќи
תאונות	незгоди
ארמסטרונג	армстронг
ספרטה	спартански
ספרטה	спарта
מבוגר	возрасна
מבוגר	возрасни
מבוגר	возрасен
עבה	дебела
עבה	густи
עבה	дебели
עבה	дебело
עבה	дебел
ביצה	мочуриште
ביצה	јајце
קולורדו	колорадо
אתמול	вчера
התנגשות	судар
התנגשות	судир
מסרים	пораки
הלחם	леб
איסלנד	исланд
בובי	боби
סליחה	извини
סליחה	извинете
אריסטו	аристотел
המשלוח	пратка
פורמלי	формално
פורמלי	формални
פורמלי	формална
פורמלי	формален
הערכת	проценка
סיפון	шпил
סיפון	палубата
סיפון	палуба
בכר	бакр
הגיל	возраст
הגיל	старост
טק	тец
טק	tech
טק	техничар
טק	тех
בצמוד	придружни
תומפסון	томсон
תומפסון	томпсон
הש	хеш
שלד	скелетни
שלד	скелет
שלד	костур
כותבת	пишува
כותבת	пишување
כותבת	запишување
פרננדו	фернандо
חיתוך	сечење
פסוקים	стихови
גויס	регрутиран
גויס	регрутирани
הנאה	уживање
הנאה	задоволство
קודמת	претходен
קודמת	претходно
קודמת	претходна
קודמת	претходни
נורמן	норман
מוקשים	рудници
מוקשים	рудниците
מוקשים	мини
חסד	милост
חסד	љубезност
חסד	добрина
חסד	благодет
חסד	грејс
הולמס	холмс
הענקת	доделување
קיצוניים	екстремистите
קיצוניים	екстремисти
מליון	милион
מליון	милиони
אתגר	предизвик
נערים	дечки
נערים	момци
נערים	момчиња
נערים	машки
נערים	тинејџери
החשבון	сметка
החשבון	сметката
הדוק	тесна
הדוק	цврсто
הדוק	тесен
צריכת	издув
צריכת	потрошувачка
צריכת	конзумирање
לותר	лутер
פרוטוקול	протокол
לחזית	преден
לחזית	предни
לחזית	предна
לחזית	фронт
לחזית	напред
אוסטרי	австрискиот
אוסטרי	австриски
אוסטרי	австриска
אוסטרי	австриско
המחיר	цена
פרסומת	комерцијално
פרסומת	комерцијален
פרסומת	реклама
פרסומת	комерцијални
פרסומת	комерцијална
חלשה	слабо
חלשה	слаби
חלשה	слаба
חלשה	слаб
סערה	сторм
סערה	бура
סערה	олуја
סערה	невреме
מנגן	претставите
מנגן	свири
מנגן	свирење
מנגן	играње
מנגן	свири
מנגן	манган
מנצחים	добитниците
מנצחים	добитници
מנצחים	победниците
מנצחים	победници
הורג	убива
הורג	убивањето
הורג	убивање
מל	мел
מל	мал
מל	mal
הומור	хумор
הומור	хуморот
הומור	хумор
ששון	сасун
טיים	времето
טיים	време
מירון	мерон
השכונות	населби
אשראי	кредит
אשראי	заслуга
רוזנברג	розенберг
ארנה	арена
זרמים	потоци
זרמים	струи
גדודים	баталјони
רוצח	убиец
רוצח	убиец
רווחה	благосостојба
אורלינס	орлеанс
הפיליפינים	филипините
הפיליפינים	филипини
חסידים	следбеници
חסידים	апостоли
ניסים	чуда
נשימה	здивот
נשימה	здив
נשימה	дишење
נשימה	дише
נשימה	дишењето
המשיח	христос
המשיח	христа
ריקו	рико
זירת	сцена
סטודיו	studio
סטודיו	студио
מרחוק	оддалеку
נפגעה	оштетен
נפגעה	оштети
נפגעה	оштетено
נפגעה	оштетена
נפגעה	оштетени
פסקול	саундтрак
גורל	судбината
גורל	судбина
גורל	судбината
גורל	судбина
אריזונה	аризона
בטוחה	безбедни
בטוחה	безбедно
בטוחה	безбедна
בטוחה	безбеден
בטוחה	уверен
בטוחה	уверени
בטוחה	самоуверен
בטוחה	убеден
אסטוניה	естонија
בודק	проверување
בודק	проверувам
קונצרטים	концерти
העמדה	позиција
העמדה	положба
מסעדות	ресторани
ארט	уметност
ארט	арт
ארט	уметничко
ארט	уметноста
יקום	вселена
יקום	универзум
מיניות	сексуалност
מיניות	полов
מיניות	сексуално
מיניות	сексуална
מיניות	сексуални
סודי	тајна
סודי	доверливо
להבהיר	разјасни
אחי	bro
אחי	брате
אחי	брат
אחי	друже
אחי	брате
אחי	брат
פאשה	паша
בהתחשב	разгледува
בהתחשב	размислува
קדומה	предрасуди
קדומה	предрасуда
דיק	кур
דיק	дик
עדים	сведоци
עדים	очевидци
עדים	сведоците
עדים	сведок
עדים	сведок
צפויה	очекувано
צפויה	очекуван
צפויה	очекува
צפויה	очекувана
צפויה	предвидливи
צפויה	предвидлив
צפויה	предвидливо
כיס	џебот
כיס	џеб
כיס	џеп
כיס	џебен
ברמות	нивоа
שותפות	партнерство
נחת	слета
נחת	маринец
מיר	мире
לטביה	латвија
לטביה	латвиски
שביעי	седмо
שביעי	седмата
שביעי	седми
שביעי	седмиот
שביעי	седма
שביעי	седмото
מנהרות	тунели
מנהרות	тунелите
ערובה	заложници
ערובה	заложништво
ערובה	заложничка
ערובה	заложник
ערובה	гаранции
ערובה	гаранција
מוקף	опкружена
מוקף	опкружени
מוקף	опколен
מוקף	опколени
מוקף	опкружен
גנטית	генетски
גנטית	генетски
גנטית	генетска
הוסף	додавање
הוסף	додади
הוסף	додај
בוואריה	баварската
בוואריה	баварија
אוריינות	писменост
פשוטות	едноставен
פשוטות	едноставно
פשוטות	едноставна
פשוטות	проста
אמנותי	уметнички
אמנותי	уметничко
אורחים	посетители
אורחים	гости
איומים	закани
אטומי	атомска
אטומי	атомски
תקלה	дефект
תקלה	дефект
מישיגן	мичиген
כיסא	стол
כיסא	столица
כיסא	столче
הילדה	хилда
שנפלו	паднат
שנפלו	паднатиот
שנפלו	падната
שנפלו	паднати
חינוכי	образовна
חינוכי	образовен
חינוכי	образовни
חינוכי	едукативна
הורשע	осудена
הורשע	осуден
הורשע	осудени
דחף	потисок
דחף	турна
דחף	импулс
דאלאס	далас
טיול	патување
טיול	трип
הרווח	заработка
הרווח	профит
קליבלנד	кливленд
כובע	капи
כובע	шешири
כובע	кап
כובע	капа
כובע	шапка
כובע	капата
כובע	шешир
כובע	капа
קורפוס	corpus
קורפוס	корпус
הצפנה	криптирање
סוני	сони
סוני	сони
סוני	сунитски
בחינם	слободни
בחינם	бесплатно
בחינם	слободно
בחינם	слободна
בחינם	слободен
לכוון	нишани
רחמים	сожалување
רחמים	жално
רחמים	милост
רפובליקה	република
רפובליקה	republic
רפובליקה	републиката
רומני	романскиот
רומני	романска
רומני	романски
רומני	ромни
ברטון	бартон
ברטון	бартон
ברטון	бретонски
זרעים	семиња
נידון	осудени
נידון	осуден
נידון	осуди
נידון	осудена
נידון	осудена
נידון	осуден
נידון	осуди
נירנברג	нирнберг
מודרניות	современоста
מודרניות	модерен
מודרניות	модерно
מודרניות	модерни
מודרניות	современ
מודרניות	модерна
בהינתן	дадена
בהינתן	дадени
בהינתן	дадено
בהינתן	даден
החזרה	проба
חגים	одмори
חגים	празници
לשדר	пренесе
הנחיות	упатство
הנחיות	насоки
הנחיות	насоки
הנחיות	упатства
הנחיות	директивите
הנחיות	упатство
הנחיות	инструкции
הנחיות	упатства
פסים	пругасти
פסים	пруги
חלקיק	честички
חלקיק	честици
חלקיק	честички
חלקיק	честичка
נזקים	штети
נזקים	штети
נזקים	оштетување
בואנוס	буенос
מני	мани
מני	мени
מני	мани
הכיל	содржани
דגלים	знамиња
מקל	стап
מקל	стик
אטלס	атлас
מעריצים	фановите
מעריצים	фанови
מעריצים	навивачи
מעריצים	обожаватели
מנועים	моторите
מנועים	мотори
מיאמי	мајами
מוסוליני	мусолини
קשתות	стрелаштво
קשתות	лакови
קשתות	поклонува
מושבות	колонии
נרשמה	истакна
נרשמה	констатира
נרשמה	забележано
ולס	валцер
ולס	бунари
ולס	велс
יריב	конкурент
יריב	ривал
יריב	душман
יריב	противник
יריב	противникот
יריב	противкандидат
יריב	противник
רצופים	последователни
בקביעות	редовно
בקביעות	постојано
בקביעות	константно
פיה	пиа
פיה	самовила
פיה	вила
ליון	лион
ספיידרמן	спајдермен
טבלה	табела
טבלה	маса
טבלה	табелата
ביתא	бета
נאפולי	неапол
נאפולי	наполи
נאפולי	наполи
חולי	пациенти
חולי	болест
ארגן	организира
ארגן	организирање
ארגן	договорен
הולם	соодветни
הולם	соодветна
הולם	соодветен
הולם	соодветно
הולם	адекватни
הולם	адекватен
הולם	холм
המונים	маси
מעורר	стимулирање
מסת	масовен
מסת	масовно
מסת	маса
מסת	масовни
מסת	миса
אחיות	сестрите
אחיות	сестри
הולנדי	дач
הולנדי	холандска
הולנדי	холандскиот
הולנדי	холандски
יהונתן	џонатан
נכנסת	пристигнува
נכנסת	доаѓа
פין	пенис
פין	перка
פין	фин
האחיות	сестрите
האחיות	сестри
מאובנים	фосили
ריאות	дробови
שקר	лажи
שקר	лага
שקר	лагата
שקר	лажна
שקר	неточно
שקר	лажен
נפשי	ментален
נפשי	ментално
נפשי	ментална
נפשי	ментални
מציינת	индицира
מציינת	нагласувајќи
מציינת	забележувајќи
מציינת	истакнувајќи
מכסה	капак
מכסה	капаче
מכסה	насловната
מכסה	корица
מכסה	насловна
מכסה	квота
מכסה	квоти
מכסה	навлаки
מכסה	покрива
מכסה	покривајќи
התיאור	опис
מסייע	помошничка
מסייע	помошник
מסייע	помагаат
מסייע	помага
בונים	дабари
שוחררו	пуштен
שוחררו	пуштени
שוחררו	ослободен
עבאס	абас
ננסי	ненси
סוללות	акумулатори
סוללות	батерии
סוללות	батериите
כיכבה	глумеше
לאבד	губат
לאבד	губење
לאבד	губејќи
לאבד	губат
לאבד	изгуби
המולדת	татковина
המולדת	татковината
המולדת	татковина
ליבה	суштински
ליבה	јадрото
ליבה	јадро
בטי	бети
קדומות	предрасуди
קדומות	предрасуда
פיצוי	компензација
פיצוי	надоместок
פיצוי	реституција
גשרים	мостови
רכיב	компонента
נוחות	комфорт
נוחות	комфор
נוחות	утеха
נוחות	удобност
בעוצמה	напнато
אורז	пакување
אורז	ориз
אורז	рајс
השערות	хипотези
השערות	влакната
פלסטין	палестина
לנון	ленон
מתקבלת	одржливи
מתקבלת	одржлив
ברוקולי	брокула
אלת	божица
מתמטי	математички
מתמטי	математичка
