càlid	ấm
bruges	brugge
bruges	bruges
restricció	constraint
importació	nhập
importació	danh
amfibi	amphibious
niger	niger
holocaust	holocaust
rajola	lát
rajola	ngói
gonzaga	gonzaga
miniatura	miniature
botons	nút
cremat	táng
dimonis	quỷ
onades	sóng
neue	neue
teodosi	theodosius
endemisme	endemism
gaetano	gaetano
liberalisme	liberalism
goethe	goethe
mecklenburg	mecklenburg
mecklenburg	ludwigslust
tutor	guardian
tutor	latin
tèrmic	nhiệt
sophie	sophie
harper	harper
nizam	nizam
natiu	native
defensant	cọc
orgull	ngạo
brillantor	trưng
creacions	creations
huguet	huguet
novetat	novelty
buffalo	trâu
buffalo	buffalo
icc	icc
haití	haiti
klein	klein
camille	camille
rap	rap
aaron	aaron
rojas	rojas
sequera	lau
lucia	lucia
mamelucs	mamluk
amore	amore
citació	citation
mickey	mickey
batejar	christened
sarthe	sarthe
radial	radial
christoph	christoph
silèsia	silesia
observadors	observers
australis	australis
prestacions	lợi
romanç	romance
falles	fail
clos	clos
remix	remix
puente	puente
classicisme	classicism
heretat	thừa
vílnius	vilnius
pelegrí	pilgrim
ada	ada
hughes	hughes
astrònoms	astronomers
ecosistemes	ecosystems
suzuki	suzuki
alpí	alpine
màscara	nạ
màscara	mask
titus	titus
vertebrata	vertebrata
salari	lương
karen	karen
pensaments	suy
sancho	sancho
fraccions	fractions
montes	montes
calderón	calderón
bruixa	thuỷ
bruixa	thủy
tempo	gear
zhao	triệu
palacio	palacio
metà	mêtan
metà	metan
metà	methane
xilè	chile
baikonur	baikonur
bretagne	bretagne
préstec	vay
shan	đan
shan	shan
prieto	prieto
uzbekistan	uzbekistan
derivació	derivation
passi	qua
passi	đèo
passi	pass
grava	sỏi
mtv	mtv
esquirol	sóc
philipp	philipp
heròdot	herodotus
camisa	áo
bars	thanh
sard	sard
elies	elijah
diferenciades	reel
preludi	prelude
hussein	hussein
votacions	bầu
beatles	beatles
pete	pete
nationale	nationale
freud	freud
minisèrie	miniseries
whitehead	whitehead
lotus	lotus
elst	elst
dolmen	dolmen
feix	beam
gaza	gaza
inundació	lụt
inundació	gượng
qatar	qatar
orgànic	organic
murat	murat
millorant	healing
nasr	nasr
circumscripcions	constituencies
destacament	detachment
kassel	kassel
concepción	concepción
primats	primates
enviament	gửi
enviament	phái
aposta	cược
betis	betis
emil	emil
break	break
break	phá
juventus	juventus
rèplica	replica
halle	halle
comnè	komnenos
luisa	luisa
abelles	ong
octets	byte
octets	bytes
auf	auf
secta	cult
storia	storia
escriptori	bàn
canaveral	canaveral
interrupció	ngắt
mama	mommy
mama	mẹ
nocturns	nocturnes
abric	khoác
analítica	analytic
grey	xám
atzur	azur
negreta	đậm
negreta	bold
pia	pia
contrapunt	counterpoint
deformació	warp
calvados	calvados
neurones	neurons
fòsfor	phốtpho
invitació	mời
winston	winston
take	lấy
take	bắt
take	chụp
wwe	wwe
cubana	cuba
canària	canaria
claire	claire
anarquisme	anarchism
mohamed	mohamed
seül	hé
seül	seoul
sogorb	segorbe
wien	wien
tito	tito
perla	pearl
perla	trân
millars	mijares
wales	wales
georgià	georgian
corones	crowns
comenta	luận
gauss	gauss
elvira	elvira
fertilitat	fertility
litúrgia	liturgy
claret	claret
barraca	lán
barraca	shack
vençut	bại
galera	galera
entès	hiểu
richardson	richardson
forja	forge
cub	cube
cub	rubik
willem	willem
gauguin	gauguin
antigen	antigen
hermes	hermes
dent	răng
montbui	montgomery
anhalt	anhalt
repte	thạch
repte	thách
dubai	dubai
celtes	celts
augusto	augusto
currículum	cv
currículum	resume
lucien	lucien
vals	waltz
vals	valse
assassins	assassins
milton	milton
reservat	reserved
elias	elias
theodor	theodor
emissores	trạm
brots	mầm
anas	anas
manolo	manolo
westfàlia	westphalia
corydoras	corydoras
màrqueting	marketing
cambodja	campuchia
gota	giọt
gota	bỏ
gota	thả
cardiff	cardiff
ming	minh
ming	ming
creient	believer
monts	monts
hostil	địch
samarcanda	samarkand
leopoldo	leopoldo
cabot	cabot
capadòcia	cappadocia
amenaçar	true
amenaçar	tru
ferradura	horseshoe
vaques	bò
todd	todd
cubà	cuba
rachel	rachel
clermont	clermont
fonte	fonte
amour	amour
seriós	bách
vittorio	vittorio
zenit	zenith
connor	connor
inèdit	unreleased
tòxics	độc
claredat	clarity
cargol	ốc
reflexions	reflections
banya	sừng
banya	kèn
banya	horn
tigris	tigris
salada	mặn
dénia	denia
mediawiki	mediawiki
peons	pawns
justificació	justification
hutchinson	hutchinson
amanda	tô
amanda	amanda
lope	lope
sirià	syria
sirià	syrian
xxx	xxx
christine	christine
kabul	kabul
pat	pat
pat	vỗ
opositors	opponents
orne	orne
préstecs	vay
arslan	arslan
novo	novo
baluard	bastion
fame	fame
bellas	bella
bellas	bellas
biodiversitat	biodiversity
hunt	hunt
hunt	săn
níquel	nickel
níquel	niken
grip	cúm
grip	cúm
enviant	gửi
enviant	phái
assegut	ngồi
pieter	pieter
busquets	busquets
camino	camino
diamants	rô
huber	huber
jubilat	hưu
nusos	hải
