paquets	csomagok
caixes	dobozok
caixes	dobozokat
caixes	ládák
lentament	lassan
suplement	kiegészítés
accessible	elérhető
accessible	hozzáférhető
accessible	megközelíthető
accessible	érhető
filadèlfia	philadelphiában
filadèlfia	philadelphia
filadèlfia	philadelphiai
especialistes	szakértők
especialistes	szakemberek
hardy	hardy
hudson	hudson
combinar	kombinálni
amir	amir
infraestructura	infrastruktúra
olor	illata
olor	szag
olor	illat
olor	szag
olor	szag
olor	illat
watson	watson
substrat	szubsztrát
substrat	hordozó
prix	prix
holandès	holland
holandès	dutch
ibèric	ibériai
harris	harris
mortal	halálos
mortal	halandó
servit	szolgálta
servit	szolgált
elionor	eleanor
anàlisis	elemzések
gal	gal
chen	chen
trans	trans
trans	transz
anunci	bejelentés
anunci	közlemény
exposat	kitett
compressió	kompressziós
dilluns	hétfőn
dilluns	hétfő
editada	szerkesztett
examen	vizsga
rudolf	rudolf
mèdici	medici
viscut	élt
viscut	lakott
viscut	éltem
cama	lábat
cama	lábát
cama	láb
paquet	csomag
paquet	csomagolás
paquet	csomagot
paquet	csomagban
sergi	sergi
transforma	átalakítás
transforma	átalakul
morfologia	morfológia
bru	bru
èmfasi	hangsúly
èmfasi	hangsúlyt
tierra	tierra
dispersió	diszperzió
autopista	főút
autopista	országút
autopista	autópálya
rebuda	kapott
rebuda	fogadott
rebuda	beérkezett
huracà	hurrikán
margaret	margaret
margaret	margit
desastre	katasztrófa
protector	védelmező
protector	védő
estructural	szerkezeti
estructural	strukturális
defensiva	védekező
defensiva	védekezés
entrat	bevitt
entrat	belépett
entrat	beléptem
entrat	lépett
conscient	tudatos
capitals	capitals
sensible	érzékeny
sensible	érzékenyek
sensible	kényes
criminal	bűnöző
criminal	bűnözői
warner	warner
humits	nedves
humits	nyirkos
bank	bank
bit	bites
bit	kicsit
gustav	gustav
decorats	díszített
decorats	kitüntetett
fans	rajongók
fans	rajongói
fans	szurkolók
julien	julien
josef	josef
esclau	szolga
esclau	rabszolga
tebes	théba
hms	hms
ajudat	segített
ajudat	segítettek
setena	hetedik
maduresa	lejárat
schmidt	schmidt
condemna	elítélése
condemna	elítéli
adjacents	szomszédos
anatòlia	anatólia
bany	fürdő
bany	mosdó
bany	fürdőszoba
estimació	becsült
estimació	becslés
estimació	becslési
estimació	becslés
barba	szakállas
barba	szakáll
exportació	exportálni
exportació	export
exportació	kivitel
exportació	kiviteli
suports	kellékek
anatomia	anatómia
codificació	kódolás
codificació	kódolási
codificació	kódolás
francesca	francesca
jurament	eskü
venjança	bosszú
venjança	bosszú
mercenaris	zsoldosok
medicaments	gyógyszerek
habitacions	helyiségek
habitacions	szoba
habitacions	szobákban
habitacions	szobák
tija	szár
exclusiva	zártkörű
exclusiva	exkluzív
exclusiva	kizárólagos
integrant	integrálása
contractat	felbérelt
contractat	felvett
sumatra	szumátra
scala	scala
passatge	átjáró
veïnat	szomszédsági
veïnat	szomszédság
veïnat	környék
recuperat	felépült
registrat	bejegyzett
registrat	regisztrált
registrat	nyilvántartott
relatiu	relatív
relatiu	viszonylagos
relatiu	rokon
next	következő
proporcional	arányos
gastronomia	gasztronómia
pisa	pisa
dependent	eltartott
dependent	függő
esperant	vár
esperant	várakozás
esperant	várunk
esperant	várok
concentrar	koncentrálni
cine	cine
gonzalo	gonzalo
característics	jellemző
característics	jellegzetes
incendis	tüzek
pretor	praetor
sony	sony
kurt	kurt
ibm	ibm
suggerir	javaslom
sou	fizetés
focs	tűzijáték
dividits	osztva
dividits	megosztott
dividits	megosztva
preservació	megőrzése
thompson	thompson
oportunitats	lehetőségek
oportunitats	lehetőségeket
cook	cook
cook	főzni
cook	főz
cook	szakács
cook	főzés
eugeni	eugene
assistents	résztvevők
assistents	asszisztensek
targetes	kártyák
targetes	lapok
targetes	kártya
latitud	szélesség
agrària	agraria
caçadors	vadászok
catherine	katalin
catherine	catherine
uganda	uganda
reglament	előírás
reglament	rendelet
reglament	szabályozás
beguda	ital
beguda	igyál
beguda	ital
beguda	igy
bicicleta	bicikli
bicicleta	kerékpár
duració	időtartam
duració	időtartama
consolidació	konszolidáció
determinació	meghatározás
determinació	meghatározása
elevades	emelkedett
elevades	megemelkedett
pep	pep
combinat	együttesen
combinat	együttes
combinat	kombinált
facció	frakció
sultanat	szultanátus
carlota	charlotte
estels	csillagok
estels	sztárok
estels	csillag
esclavitud	rabszolgaság
àtom	atom
segòvia	segovia
ortega	ortega
ramírez	ramirez
dinosaures	dinoszauruszok
immediata	azonnali
envolten	körül
esquadra	brigád
esquadra	osztag
levi	levi
dead	halott
dead	halottak
guipúscoa	gipuzkoa
brut	brutus
lang	lang
clans	klánok
tubs	csövek
tubs	csöveket
penes	bánat
celebracions	ünnepségek
celebracions	ünneplés
accidents	véletlenek
accidents	balesetek
entrant	indító
entrant	kezdő
lloyd	lloyd
fix	rögzített
fix	fix
fix	rögzítve
privilegi	kiváltság
apòstols	apostolok
càlculs	számítás
càlculs	számítások
càlculs	számításokat
acompanyament	pad
acompanyament	kíséret
montenegro	montenegró
descàrrega	letöltés
descàrrega	letöltése
realista	realista
realista	reális
angel	angyal
angel	angel
angel	angyalka
handbol	kézilabda
mercedes	mercedes
mercedes	merci
bizanci	bizánc
hondures	honduras
malawi	malawi
primari	elsődleges
primari	primer
mobilitat	mobilitás
crustacis	rákok
racó	sarkon
racó	kanyar
racó	sarok
troia	troy
ascendir	felemelkedni
pintada	gyöngytyúk
erupció	kitörés
gats	macskák
gats	cicák
homer	homer
perpendicular	merőleges
poderosa	erőteljes
poderosa	erős
futurs	határidős
nissaga	vérvonal
sàhara	szahara
promotor	szervező
tabac	dohány
metropolitan	fővárosi
metropolitan	metropolitan
pics	golyó
pics	töltények
pics	golyók
pics	csúcsok
pronunciat	kifejezett
fiable	megbízható
fiable	megbízhatóak
montpeller	montpellier
assassí	gyilkos
precipitacions	csapadék
eficiència	hatékonyság
sencera	egészben
sencera	egész
entesa	megértés
entesa	egyetértés
entesa	megértő
entesa	megértést
stanford	stanford
info	info
info	infó
info	információ
info	infók
info	információk
virgili	virgil
classic	klasszikus
classic	classic
cràter	kráter
esquadró	század
suprema	legfőbb
suprema	legfelsőbb
antologia	anthology
franquícia	franchise
declaracions	kimutatások
declaracions	állítások
declaracions	nyilatkozatok
declaracions	állítások
mecànic	autószerelő
mecànic	szerelő
mecànic	mechanikai
mecànic	mechanikus
explorar	felfedezés
explorar	felfedezése
hereva	örökösnő
wei	wei
diferencial	differenciál
martell	martell
baker	baker
baker	pék
turistes	turisták
turistes	turistákat
calcària	mészkő
leiden	leiden
limitacions	korlátok
limitacions	korlátozások
limitacions	korlátozás
consola	konzol
partició	partíció
postura	testtartás
postura	tartás
tribunals	bíróságok
cortés	cortés
descomposició	bomlás
significativament	jelentősen
conreus	termés
conreus	növények
respostes	válaszokat
respostes	válaszok
respostes	válaszokat
respostes	válaszok
respostes	válaszok
conservadors	konzervatívok
candidatures	jelölések
candidatures	jelöléseket
gòbids	géb
mariners	tengerészek
suportar	elviselni
horari	menetrend
horari	ütemezés
horari	ütemterv
horari	beosztás
kurdistan	kurdisztán
devoció	odaadás
kent	kent
remei	orvosság
portals	portálok
melodies	dallamok
mixta	kevert
mixta	vegyes
mixta	keverve
mosaic	mozaik
proa	íj
auxiliars	segéd
auxiliars	kisegítő
desenes	tízes
atacant	támad
agnès	agnes
agnès	ágnes
evans	evans
utrecht	utrecht
infeccions	fertőzések
infeccions	fertőzés
explotar	felrobban
lliurement	szabadon
olivier	olivier
genèric	általános
genèric	generikus
gendarmeria	csendőrség
vocació	hivatás
complement	modul
slam	slam
graham	graham
prosperitat	jólét
savi	bölcsek
savi	bölcs
andes	andok
gutiérrez	gutiérrez
gutiérrez	gutierrez
belgrad	belgrád
ingredients	hozzávalók
ingredients	összetevők
advocats	ügyvédek
mills	mills
elegits	megválasztott
fuga	szökés
fuga	menekülés
fuga	megszökni
rom	rom
rom	rumot
rom	rum
louise	louise
hospitals	kórházak
hospitals	kórházakban
obligació	kötelezettség
esteban	esteban
trastorn	rendellenesség
trastorn	zavar
sara	sara
villanueva	villanueva
panzer	panzer
imam	imám
oslo	oslo
prevenció	megelőzés
prevenció	megelőzési
prevenció	megelőzése
mussolini	mussolini
bombarders	bombázók
comparar	összehasonlítani
comparar	összehasonlítás
comparar	összehasonlítása
vespre	este
vespre	estét
morales	morales
jeff	jeff
descans	szünet
descans	törés
descans	pihenés
descans	többi
descans	pihenő
bryan	bryan
radar	radar
sopar	vacsora
sopar	vacsora
residencial	bentlakásos
residencial	lakossági
johan	johan
lisa	lisa
lisa	liza
plasma	plazma
ratolí	eger
ratolí	egér
basilea	bázeli
corbes	görbe
corbes	görbék
correcció	korrekció
correcció	korrekciós
correcció	kiigazítás
correcció	helyesbítés
correcció	javítás
correcció	korrektség
àvia	nagymama
cooper	cooper
internacionalment	nemzetközileg
guillermo	guillermo
mostrat	megjelenített
néta	unoka
néta	unokája
folklore	folklór
gant	gent
seine	seine
raïm	szőlő
raïm	szőlőt
solo	szóló
solo	solo
solo	önálló
hot	forró
hot	hot
hot	meleg
hot	dögös
conqueridor	hódító
herman	herman
werner	werner
rituals	rituálék
discursos	beszédek
bust	rajtaütés
amfibis	kétéltűek
sts	sts
detinguts	fogvatartottak
desenvolupats	fejlett
desenvolupats	fejlesztett
desenvolupats	kifejlesztett
desenvolupats	kidolgozott
mikhaïl	mihail
caledònia	kaledónia
detenció	letartóztatás
detenció	őrizet
detenció	büntetés
entrevistes	interjúk
entrevistes	interjú
subespècie	alfaj
sofre	kén
aïllada	elkülönített
aïllada	elszigetelt
manhattan	manhattanben
manhattan	manhattan
manhattan	manhattani
hopkins	hopkins
haia	hágai
melbourne	melbourne
sociologia	szociológia
estratègic	stratégiai
jerry	jerry
namíbia	namíbia
ramos	ramos
teòrica	elméleti
timbre	csengő
timbre	bell
timbre	harang
acumulació	felhalmozódása
magatzems	raktárak
mali	mali
pous	wells
taverna	kocsma
taverna	kocsmában
true	igaz
true	igazi
connecticut	connecticut
impost	adó
impost	adózás
impost	adók
aurora	aurora
deux	deux
terrat	tető
terrat	tetőn
darwin	darwin
lugo	lugo
coets	rakétákat
coets	rakéták
romàntic	romantikus
precipitació	csapadék
executiva	végrehajtó
executiva	ügyvezető
matthew	matthew
matthew	máté
preservar	megőrzése
preservar	megőrizni
preservar	megőrzése
intermedi	közbenső
intermedi	köztes
beatriu	beatrice
polígon	sokszög
corregir	helyes
corregir	korrekt
