georg	گئورگ
fixo	ثابت
fixo	معین
penas	پر
penas	پرهای
penas	پر
penas	پرم
gardens	باغ
gardens	بوستان
gardens	باغها
segura	ایمن
segura	امان
segura	امن
segura	ایمن
segura	امن
info	اطلاعات
introduzida	معرفی
faro	فارو
chipre	قبرس
falcão	شاهین
falcão	فالکون
falcão	هاک
falcão	قوش
falcão	هاوک
capturar	دستگیر
capturar	دستگیری
saudita	عربستان
marítimo	دریانوردی
pen	قلم
inseto	حشره
inseto	باگ
inseto	اشکال
expectativa	انتظارات
expectativa	امید
expectativa	انتظارات
expectativa	توقع
expectativa	آرزوهای
sultão	سلطان
gerenciamento	مدیریت
gerenciamento	مدیریت
estrangeiras	خارجه
estrangeiras	خارجی
formados	تشکیل
protesto	اعتراض
protesto	اعتراضی
protesto	تظاهرات
protesto	اعتراض
protesto	اعتراضات
protesto	اعتراضی
pecado	گناه
pecado	sin
pecado	گناهی
craig	کرگ
craig	کریگ
craig	گریک
drive	درایو
drive	رانندگی
drive	سوق
burocratas	bureaucrats
pensando	تفکر
pensando	فکر
wellington	ولینگتون
pilar	ستون
pilar	رکن
pilar	ستونی
pilar	ارکان
geográfico	جغرافیایی
geográfico	جغرافی
geográfico	جغرافیایی
full	پر
full	کاملش
full	سرشار
full	فول
full	پره
roberts	رابرتس
roberts	رابرتز
pato	داک
pato	اردک
pato	مرغابی
classificadas	مرتب
concreto	بتون
concreto	بتن
ama	ama
ama	آما
ama	نانی
ama	دایه
ama	loves
protegido	محفوظ
prefixo	پیشوند
institucional	نهادی
square	مربع
square	میدان
lendas	افسانه
prato	غذایی
prato	خوراک
prato	دیش
prato	پلاک
prato	بشقاب
mixagem	اختلاط
mixagem	مخلوط
mixagem	میکس
mixagem	اختلاط
mixagem	آمیختن
mixagem	تلفیق
anuais	سالانه
anuais	سالیانه
difusão	انتشار
difusão	پخش
difusão	مخابره
pas	pas
psd	psd
tributo	وطنم
tributo	خراج
muro	وال
muro	دیواری
muro	دیوار
fraco	ناتوان
fraco	ضعیفی
fraco	ضعیف
fraco	سست
dezesseis	sixteen
dezesseis	شانزده
demonstração	دمو
demonstração	تظاهرات
bull	بول
salário	حقوق
salário	اجرت
salário	دستمزد
salário	اجر
salário	مزد
rodolfo	رودولفو
rodolfo	رودولف
rodolfo	رودولف
wallace	والاس
wallace	والیس
cole	کول
comandos	فرمانها
comandos	فرمانهای
comandos	کماندو
comandos	تکاور
comandos	کنترلهای
conspiração	رسم
conspiração	نیرنگ
conspiração	توطئه
conspiração	دسیسه
antero	آنترو
carol	کرول
carol	کارول
fall	سقوط
fall	پاییز
fall	fall
fall	افتادن
gilbert	گیلبرت
jake	جیک
aníbal	هانیبال
sagrada	مقدس
detalhe	جزئیات
detalhe	جزییات
triste	غمگین
triste	ناراحتی
triste	غم
doente	بیمار
doente	صبور
doente	صبر
doente	استقامت
doente	مریض
doente	بیمار
doente	مریضی
aveiro	aveiro
happy	خوشبخت
happy	خوش
happy	شاد
happy	خوشحال
happy	مبارک
prédios	ساختمانهای
prédios	ساختمانها
radar	راداری
radar	رادار
variados	متنوع
variados	assorted
representações	لاماسو
bonito	خوشتیپ
bonito	خوشگل
bonito	خوشگله
bonito	خیلی
saboia	ساووی
pacto	عهد
pacto	عهدی
pacto	عهد
pacto	پیمان
cabelos	موی
cabelos	مو
cabelos	موها
escândalo	رسوایی
rivais	رقیب
rivais	رقبای
lyon	لیون
jessica	جسیکا
absolutamente	مطلقا
contemporâneos	معاصر
pacheco	پاچکو
tragédia	تراژدی
tyler	تایلر
brandão	براندائو
suspeita	بدگمانی
suspeita	ظن
suspeita	مشکوک
suspeita	مظنون
suspeita	مضنون
interessado	علاقمندی
interessado	علاقه
interessado	علاقمند
diabo	شیطان
golpes	طوفانی
vela	شمع
vela	بادبان
vela	ولا
vela	قایقرانی
vela	دریانوردی
vigilância	نظارت
vigilância	نظارتی
arquitecto	معمار
arquitecto	architect
óbvio	واضح
tiger	ببر
tiger	ببری
tiger	تایگر
tiger	پلنگ
müller	مولر
alexandra	الکساندرا
hal	هال
hal	هل
hal	hal
pesada	سنگینی
pesada	سنگین
alessandro	الساندرو
alessandro	آلساندرو
equações	معادلات
bruto	خام
bruto	چندش
bruto	گروس
bruto	ناخالص
bruto	ناهموار
bruto	خروشان
bruto	بروت
regressou	بازگشت
regressou	بازگشته
interino	موقت
fernández	فرناندز
fernández	فرناندز
linguística	زبانشناسی
linguística	کلامی
linguística	زبانی
wikis	wikis
utilizador	کاربر
johns	جانز
tiros	نماها
etiópia	حبشه
etiópia	اتیوپی
dependência	وابستگی
dependência	اعتیاد
compor	نگارش
compor	سرودن
compor	نگارش
compor	تألیف
adelaide	آدلاید
amado	محبوب
amado	دلبند
alcançado	رسید
multidão	mob
multidão	اوباش
multidão	جمعیت
multidão	شلوغی
multidão	ازدحام
resolvido	حل
resolvido	مرتب
polegadas	اینچ
polegadas	اینچ
teodoro	تئودور
guarnição	گریسون
guarnição	پادگان
roland	رولند
roland	رولاند
completos	تکمیل
especializado	متخصص
dano	صدمه
dano	آسیب
dano	آسیبهای
dano	صدمات
hesse	هسه
hesse	هسن
reconhece	شناخت
reconhece	بشناسید
reconhece	میشناسند
reconhece	شناخت
reconhece	میشناسند
reconhece	نشناخت
console	کنسول
barreira	برزخی
barreira	مانع
protestante	پروتستان
mineral	معدنی
fina	لاغر
fina	نازک
fina	لاغری
adolescência	نوجوانی
adolescência	بلوغ
mind	ذهن
mind	mind
líbano	لبنان
algarve	الگاروه
sólido	توپر
sólido	یکدست
sólido	جامد
dirigentes	رهبران
magnético	مغناطیسی
gigantes	غول
licenciatura	زینه
licenciatura	درجه
ameaças	تهدید
ameaças	تهدیدات
ameaças	تهدیدها
ameaças	تهدیدهای
ameaças	تحدید
ameaças	تهدید
múltiplos	چندگانه
múltiplos	چندین
totalidade	کلیت
mercadorias	کالاها
mercadorias	کالاهای
mercadorias	کالا
mercadorias	اجناس
mercadorias	کالاها
mercadorias	باربری
agradeço	قدرش
patrícia	پاتریشیا
comemoração	یادبود
comemoração	جشن
comemoração	تجلیل
sentença	حکم
sentença	جمله
frutas	میوه
frutas	میوه
precisava	لازم
precisava	نیاز
índices	شاخصهای
índices	شاخص
índices	نمایه
prevenção	پیشگیری
melodia	ملودی
melodia	آهنگ
junius	یونیوس
pesquisador	محقق
pesquisador	پژوهشگر
celebração	جشن
celebração	تجلیل
manuscrito	خطی
crônicas	مزمن
crônicas	سرگذشت
boi	بول
württemberg	وورتمبرگ
caçadores	شکارچیان
masters	اساتید
masters	استادان
masters	اربابان
masters	مسترز
sebastian	سباستین
sebastian	سباستیان
incapaz	ناتوان
interessados	علاقمندی
interessados	علاقه
interessados	علاقمند
deficiência	آوانس
deficiência	ناتوانی
deficiência	معلولیت
deficiência	افتادگی
deficiência	معلول
kew	kew
collins	کالینز
hospitais	بیمارستان
hospitais	بیمارستانها
briga	بجنگ
tomado	گرفته
maomé	محمد
maomé	محمد
painel	داشبورد
painel	تابلو
painel	پانل
painel	پنل
painel	تابلوی
diariamente	روزانه
diariamente	daily
diariamente	دیلی
chi	خی
chi	chi
armadura	زره
armadura	زره
