die	என்ற
van	பெயரிடப்படாத
van	இருந்து
van	விட்டும்
van	அனுப்புநர்
van	முதல்
het	கிடைத்தது
het	கிடைத்த
het	கொண்டுள்ளது
het	has
wat	என்ன
wat	என்னென்ன
wat	அந்த
wat	என்று
met	குல
met	கொண்டு
met	இதனால்
met	உடன்
was	இருந்தது
was	இருந்தன
was	இருந்தனர்
was	இருந்த
vir	இதற்கு
vir	க்கு
vir	இதற்காக
vir	க்காக
nie	அல்ல
nie	இல்லை
nie	கூடாது
dit	இந்த
dit	இது
deur	கதவு
ook	also
ook	அத்துடன்
ook	கூட
dat	அந்த
dat	என்று
hulle	அவர்கள்
hulle	அவர்களை
hulle	அவர்களுக்கு
hulle	இவர்களுக்கு
suid	தெற்கு
suid	தென்
uit	அவுட்
uit	வெளியில்
uit	வெளியே
jaar	ஆண்டு
jaar	வருடம்
jaar	வருடமும்
eerste	முதலாவது
eerste	முதலில்
eerste	முதல்
maar	ஆனாலும்
maar	ஆனா
maar	ஆனால்
kan	முடியும்
hierdie	இந்த
hierdie	இது
ander	மற்றவை
ander	பிற
ander	வேறு
ander	மற்ற
soos	போல்
soos	போல
soos	விரும்பு
soos	விருப்பம்
soos	பிடித்திருக்கிறது
afrika	ஆப்பிரிக்கா
afrika	ஆப்பிரிக்க
oor	அறிமுகம்
oor	பற்றி
oor	குறித்து
oor	சுமார்
oor	காது
oor	செவி
oor	காதில்
oor	மீதம்
oor	மீதமுள்ள
een	ஒன்று
een	ஒன்றை
een	ஒரு
gebruik	உபயோகம்
gebruik	பயன்
gebruik	பயன்பாடு
gebruik	பயன்படுத்து
afrikaanse	ஆப்பிரிக்க
groot	பெரிய
groot	பெரும்
groot	சிறந்த
groot	சிறப்பாக
groot	உயரிய
meer	ஏரி
meer	பலவற்றிற்கு
meer	அதிகம்
meer	மேலும்
onder	கீழே
onder	கீழே
onder	கீழ்
onder	கீழ
twee	இரண்டு
twee	இருவர்
kerk	தேவாலயம்
kerk	சர்ச்
duimnael	குறும்படம்
tussen	இடையிலான
tussen	இடையே
tussen	இடைப்பட்ட
gemeente	சபையில்
gemeente	சபை
baie	மிகவும்
baie	மிக
baie	பல
baie	பலர்
begin	ஆரம்பம்
begin	தொடக்கம்
begin	தொடங்கு
begin	துவங்கு
hul	அவர்களின்
hul	அவர்களது
hul	தங்கள்
lêer	ஐந்தொகை
waar	எங்கே
waar	எங்கு
waar	மெய்
waar	உண்மையாக
waar	உண்மையான
waar	உண்மை
dié	இந்த
dié	இது
eeu	நூற்றாண்டு
haar	அவளை
haar	அவர்
haar	அவளின்
haar	அவளது
haar	அவரது
eksterne	வெளி
eksterne	வெளிப்புற
sien	பார்ப்பதை
sien	பார்த்ததில்
sien	பார்
sien	பார்க்க
sien	காண்கிறேன்
nuwe	புதிதாக
nuwe	புதியது
nuwe	புதிய
nuwe	புதிது
leë	காலி
leë	காலியான
leë	வெற்று
leë	வெற்று
hom	அவருக்கு
hom	அவனுக்கு
hom	அவர்
hom	அவரை
hom	அவனை
voor	முன்
voor	முன்னணி
voor	முன்னால்
voor	முன்பு
voor	முன்
voor	முன்னர்
stad	நகரம்
stad	சிட்டி
land	நாடு
land	நாட்டின்
skakels	இணைப்புகள்
skakels	இணைப்புக்கள்
later	பின்னர்
later	பிறகு
later	பிற்பகுதியில்
later	பின்னாளில்
nog	பலவற்றிற்கு
nog	அதிகம்
nog	மேலும்
net	மட்டுமே
net	மட்டும்
net	வெறும்
net	சும்மா
tydens	உடலுறவில்
tydens	போது
sou	இருந்திருந்தால்
naam	பெயர்
deel	பகிர்வில்
deel	பகிர்
deel	பகிரவும்
deel	பாகம்
deel	பகுதி
drie	மூன்று
pous	போப்
pous	திருத்தந்தை
sal	செய்வான்
ons	நம்
ons	நம்முடைய
ons	எங்களின்
ons	எங்களது
ons	எங்கள்
ons	நமது
mense	மக்களே
mense	நபர்கள்
mense	மக்களின்
mense	மக்கள்
bestaan	உள்ளது
nasionale	தேசிய
nasionale	தேசியக்
maak	செய்ய
kom	வந்து
kom	வரவும்
kom	வாருங்கள்
noord	வடக்கே
noord	வட
noord	வடக்கு
jpg	jpg
gebied	பரப்பு
gebied	பரப்பளவு
gebied	பகுதியில்
gebied	பகுதி
vanaf	இருந்து
vanaf	விட்டும்
vanaf	அனுப்புநர்
vanaf	முதல்
laat	லேட்
saam	ஒன்றாய்
saam	ஒன்றாக
style	பாணிகள்
terwyl	போதே
terwyl	இருக்கும்போதே
veral	குறிப்பாக
moet	வேண்டியது
weer	மீண்டும்
weer	மறுபடியும்
weer	வானிலை
weer	காலநிலை
werk	வேலை
werk	பணி
werk	பணியை
werk	வேலை
werk	பணி
klein	சிறிய
klein	சிறு
klein	சிறியது
klein	சிறு
klein	மைனர்
klein	மிகச்சிறிய
oos	கிழக்கு
hier	இங்கே
hier	இதோ
hier	இங்கு
tyd	நேரம்
tyd	காலம்
geword	ஆனார்
vlag	குறிகள்
vlag	கொடியை
vlag	கொடி
verskeie	பல்வேறு
verskeie	மற்றவை
verenigde	யுனைடெட்
verenigde	ஐக்கிய
verenigde	united
verenigde	ஐக்கியம்
mei	மே
wes	வேஸ்ட்
wes	மேற்கு
vorm	வடிவம்
staan	நிற்கும்
staan	நின்று
staan	நிற்கிறார்
staan	நின்றுகொண்டு
staan	நிற்பது
staan	நிற்கும்
staan	நிற்க
staan	நில்
isbn	isbn
genoem	குறிப்பிட்டுள்ளார்
dan	பின்னர்
dan	அப்பொழுது
dan	பிறகு
dan	அப்போது
dan	பின்பு
bevolking	மக்கள்தொகை
gemaak	செய்த
gemaak	made
gebou	கட்டுதல்
gebou	கட்டிட
gebou	கட்டிடம்
gebou	பில்டிங்
jare	ஆண்டுகள்
jare	வருடங்கள்
januarie	ஜனவரி
januarie	சனவரி
januarie	கைமுறையாக
januarie	கையேடு
januarie	கைமுறை
junie	ஜூன்
junie	jun
junie	ஜீன்
junie	ஜூன்
amerikaanse	அமெரிக்கன்
amerikaanse	அமெரிக்கர்
amerikaanse	அமெரிக்க
slegs	மட்டுமே
slegs	மட்டும்
slegs	வெறும்
slegs	சும்மா
nadat	பிறகும்
nadat	பின்பும்
nadat	பிறகு
nadat	பின்
dorp	dorp
april	ஏப்ரல்
lank	லாங்
lank	long
lank	நீண்ட
gestig	நிறுவல்
oktober	அக்டோபர்
julie	ஜூலை
sedert	என்பதால்
sedert	துவக்கப்பட்டது
reeds	ஏற்கனவே
reeds	முன்பே
kaapstad	பார்சிலோனா
september	செப்டம்பர்
engels	ஆங்கிலம்
party	விருந்து
party	கொண்டாட்டம்
party	கட்சி
party	பார்ட்டி
desember	டிசம்பர்
maart	மார்ச்
alle	அனைத்தும்
alle	எல்லா
alle	அனைத்து
alle	எல்லாம்
alle	அனைவரும்
alle	எல்லாமே
augustus	ஆகஸ்ட்
augustus	ஆகஸ்டு
februarie	பெப்ரவரி
februarie	பிப்ரவரி
gaan	கலந்துகொள்கிறார்
gaan	செல்கிறார்
gaan	செல்கிறேன்
gaan	செல்கிறது
gaan	போகிறது
nou	இப்போ
nou	இப்பொழுது
nou	இப்போது
nou	தற்போது
nou	தற்பொழுது
gebore	பிறந்தது
gebore	பிறப்பு
gebore	பிறந்து
provinsie	மாகாணம்
provinsie	வட்டாரம்
provinsie	நிலை
provinsie	மாநிலம்
lewe	வாழ்க்கை
lewe	உயிர்
lewe	ஆயுள்
vier	நான்கு
vier	கொண்டாடுகின்றனர்
vier	கொண்டாடுகிறார்
vier	கொண்டாட்டம்
vier	கொண்டாடு
vier	கொண்டாட்டம்
vier	கொண்டாடும்
november	நவம்பர்
franse	பிரெஞ்சு
dood	இறப்பு
dood	மரணம்
dood	மறைவு
dood	மரணத்தை
dood	இறந்து
dood	dead
dood	இறந்த
amptelike	அதிகாரி
amptelike	அதிகாரப்பூர்வ
amptelike	official
koning	ராஜா
koning	மன்னன்
koning	கிங்
koning	அரசன்
der	டெர்
dieselfde	அதே
dieselfde	ஒரே
wêreld	உலகம்
wêreld	உலக
wêreld	உலகமே
volgende	அடுத்தது
volgende	அடுத்து
volgende	அடுத்த
geleë	அமைந்துள்ள
geleë	அமைந்துள்ளது
geleë	அமைந்திருக்கும்
miljoen	மில்லியன்
aantal	அளவு
plaaslike	உள்ளார்ந்த
plaaslike	வட்டார
plaaslike	உள்ளூர்
plaaslike	உள்
regs	சரியா
regs	வலது
dikwels	எப்போதாவது
dikwels	பெரும்பாலும்
dikwels	அடிக்கடி
