aktet	actos
teknologjike	tecnológico
teknologjike	tecnológicas
teknologjike	tecnológicos
teknologjike	tecnológica
partizanët	partisanos
fotografia	fotografía
fotografia	fotografia
korriku	julio
ndërlikuar	complicado
ndërlikuar	difícil
vërejtur	notado
vërejtur	notó
detyrohet	debe
besimtare	creyendo
besimtare	creer
primitive	primitivo
primitive	primal
primitive	primitivo
primitive	primitivos
primitive	primitivas
primitive	primitiva
kualifikueset	eliminatorias
dale	dale
çelësi	llaves
çelësi	claves
çelësi	clave
çelësi	key
çelësi	llave
çelësi	tecla
dante	dante
porosi	recado
ted	ted
vendosë	desplegado
vendosë	desplegarse
vendosë	desplegar
vendosë	despliegue
due	due
due	debido
dine	cenar
sallën	dancehall
françeskan	franciscano
paqësore	pacífico
paqësore	pacíficos
paqësore	pacífica
kanadez	canadiense
kanadez	canadienses
specialist	especialista
specialist	especializado
specialist	especialistas
flokët	cabello
flokët	pelo
flokët	cabellos
flokët	peinado
alban	alban
vështirësitë	dificultad
vështirësitë	dificultades
vështirësitë	penurias
interpretimi	rendimiento
interpretimi	desempeño
interpretimi	actuación
interpretimi	performance
interpretimi	interpretación
interpretimi	interpretando
interpretimi	intérpretes
interpretimi	interpretación
interpretimi	interpretar
skocez	escoceses
skocez	escocesa
skocez	escocés
skocez	scottish
vietnami	vietnam
ndaloi	parado
shen	shen
linte	inmóvil
linte	papelería
linte	estacionario
piero	piero
miniera	minero
miniera	minería
miniera	minas
forcuar	fortalecido
forcuar	reforzada
forcuar	fortalecida
forcuar	reforzado
forcuar	reforzar
forcuar	fortalecimiento
forcuar	fortalecer
prona	propiedad
prona	propiedades
prona	inmueble
vere	summer
vere	verano
vere	vinos
vere	vino
anëtari	reclutador
perseri	again
perseri	nuevamente
punëtor	trabajadora
punëtor	trabajador
punëtor	obrero
faraonit	faraón
aksion	action
aksion	acción
aksion	accion
prerja	cortar
prerja	corte
finalist	finalista
finalist	finalistas
faraoni	fir
faraoni	abeto
faraoni	faraón
besimet	creencias
zhvendosur	desplazada
zhvendosur	desplazado
zhvendosur	desplazadas
zhvendosur	desplazados
kuba	cuba
cilësitë	calidades
cilësitë	cualidades
intervista	entrevista
intervista	entrevistas
intervista	entrevistas
kong	confucio
kong	kong
synonte	pretendía
synonte	pretendido
arritje	logros
arritje	realizaciones
arritje	logro
arritje	logros
arritje	logro
müller	müller
larë	lavada
larë	lavados
larë	lavado
larë	cepillado
balte	clay
balte	arcilla
balte	barro
dëbuar	desalojados
dëbuar	expulsada
dëbuar	expulsado
dëbuar	expulsados
dëbuar	desterrado
përmbledhja	sinopsis
përmbledhja	resumen
përmbledhja	síntesis
përmbledhja	sumario
kolonitë	colonias
dizajni	concepción
dizajni	diseño
fshatarëve	campesinos
truri	brain
