beta	beta
kristus	kristus
kristus	christ
pakottaa	kraft
pakottaa	force
pakottaa	kraften
toivoi	håpet
toivoi	håpte
sain	fikk
sain	henta
sain	got
sain	har
hannah	hannah
koota	montere
kohtalon	skjebnen
kohtalon	skjebne
kohtalon	destiny
kohtalon	skjebnen
kohtalon	skjebne
katkesi	konk
katkesi	blakk
katkesi	brakk
katkesi	brøt
taiteellinen	kunstnerisk
taiteellinen	kunstneriske
erityisiä	spesifikk
erityisiä	spesifikt
erityisiä	spesifikke
galaxy	galaksen
galaxy	galakse
galaxy	galaxy
koripallo	basket
koripallo	basketball
juttuja	stuff
juttuja	saker
juttuja	greier
franco	franco
mason	mason
omaisuutta	eiendom
tyhjä	tomme
tyhjä	tomt
tyhjä	tom
tyhjä	blankt
tyhjä	tomt
tyhjä	blank
kannet	dekker
kannet	dyna
naton	nato
orgaaninen	organisk
orgaaninen	økologisk
hapen	oksygen
kiinasta	china
kiinasta	kina
kohdat	varer
kohdat	elementer
kohdat	gjenstander
kohdat	poeng
kohdat	punkter
nashville	nashville
eduard	eduard
bordeaux	bordeaux
loma	holiday
loma	ferie
loma	helligdag
loma	ferie
loma	helligdager
loma	skolefri
loma	høytider
raportin	rapportere
raportin	rapporterer
raportin	rapporter
raportin	rapport
sisilian	sicilia
sisilian	siciliansk
jackie	jackie
airbus	airbus
koirat	fotballturnering
koirat	hunder
koirat	dogs
vahinkoa	skade
vahinkoa	skade
touko	mai
touko	may
määrätty	foreskrevet
määrätty	tilordnes
määrätty	tildelte
määrätty	tilordnet
määrätty	tildelt
kristityt	christian
kristityt	kristen
kristityt	kristne
kerää	samler
kerää	samle
kerää	sanke
kerää	samle
kerää	samles
halli	hall
halli	hangar
anime	anime
promo	promo
aikakausi	æra
aikakausi	era
aikakausi	epoke
vaunut	vogn
vaunut	vogn
vaunut	vogner
vaunut	vogner
vaunut	vognene
vuosituhannen	årtusen
vuosituhannen	millennium
salvador	salvador
fisher	fisher
piirsi	trakk
piirsi	tegnet
piirsi	drew
rgb	rgb
kuukausia	måneder
kuukausia	månedsvis
epäilty	mistenkte
epäilty	mistanke
epäilty	mistenker
epäilty	mistenkt
marina	marina
mainitsi	nevnte
mainitsi	nevnt
mainitsi	nevnes
hotellin	hotell
hotellin	hotel
laitteiden	enheter
olympia	olympia
olympia	olympiske
olympia	olympic
vajaan	boden
vajaan	skur
highway	landevei
highway	highway
ratkaisi	løste
ratkaisi	løst
ratkaisi	oppklart
taloja	hus
pätkä	shorty
rannat	strender
rannat	sandstrender
rannat	strendene
floridan	florida
brandon	brandon
kokko	bål
lentokoneita	fly
lentokoneita	flyene
vastarintaa	motstand
painettu	trykte
painettu	trykt
tuhoa	ødelegge
tuhoa	ødeleggelse
tuhoa	tilintetgjørelse
normandian	normandy
normandian	normandie
cole	cole
regina	regina
säde	bjelke
säde	stråle
säde	beam
säde	radius
vieras	besøkende
vieras	gjest
vieras	gjesten
vieras	fremmede
vieras	fremmed
tulosten	resultater
tulosten	resultat
korvat	ørene
korvat	ører
lämpöä	varmekabler
lämpöä	heat
lämpöä	heten
lämpöä	varme
ulkopuolinen	ekstern
ulkopuolinen	eksternt
ulkopuolinen	eksterne
ulkopuolinen	utenforstående
ulkopuolinen	outsider
keskikokoinen	medium
keskikokoinen	middels
tulipalo	brann
tulipalo	fyre
tulipalo	ild
miekan	sverd
jelena	jelena
jelena	jelena
teemoja	temaer
estetty	forbudte
estetty	bannlyst
estetty	utestengt
estetty	forbudt
estetty	forbød
estetty	blokkerte
estetty	blokkert
sid	sid
mayer	mayer
osallistuminen	oppmøte
osallistuminen	deltakelse
osallistuminen	deltagelse
isoisä	bestefar
isoisä	farfar
isoisä	bestefar
isoisä	farfar
isoisä	farfaren
isoisä	bestefar
rannikkoa	kystlinjen
rannikkoa	kystlinje
einstein	einstein
solujen	cellene
solujen	celler
jet	jet
ralli	rally
ralf	ralf
myynnin	salget
myynnin	salg
joni	joni
kennedyn	kennedy
verkkoon	rutenett
saattueita	konvoiene
kirjaimellisesti	bokstavelig
kirjaimellisesti	bokstavelig
ehdokkuutta	kandidatur
crawford	crawford
egyptiin	egypt
kristinusko	kristendommen
kristinusko	kristendom
yksilöiden	enkeltindivider
yksilöiden	enkeltpersoner
yksilöiden	individer
yksilöiden	eksemplarer
työntekijät	ansatte
työntekijät	medarbeidere
työntekijät	arbeidere
aktiivisia	aktive
aktiivisia	aktivt
aktiivisia	aktiv
aktiivisia	active
castro	castro
kuljettajan	sjåfør
järjestöt	assosiasjoner
järjestöt	foreninger
järjestöt	organisasjoner
järjestöt	organisasjon
järjestöt	organisasjoner
sekaisin	forvirret
sekaisin	forvirra
saariston	skjærgården
saariston	skjærgård
aukio	firkantet
aukio	kvm
aukio	kvadratisk
aukio	kvadrat
sevillan	sevilla
monroe	monroe
kannattajia	støttespillere
kannattajia	supportere
kannattajia	tilhengere
pidemmälle	ytterligere
pidemmälle	lenger
pidemmälle	lengre
pidemmälle	videre
väkivaltaa	vold
pérez	pérez
laajempaa	bredere
laajempaa	bredere
sauna	badstue
sauna	sauna
legenda	legende
legenda	legend
tapahtumaan	hendelse
tapahtumaan	arrangementet
tapahtumaan	hending
tapahtumaan	arrangement
sullivan	sullivan
toimintoja	funksjonalitet
cannesin	cannes
isot	big
isot	store
isot	stor
isot	stort
sánchez	sánchez
sánchez	sanchez
riitti	ritus
puhemies	president
puhemies	presidenten
puhemies	høyttaler
richards	richards
edwin	edwin
kahvila	kafeteria
kahvila	kantine
kahvila	café
kahvila	cafe
kahvila	kafé
kahvila	café
kahvila	kafe
kahvila	kafé
aamu	morgon
aamu	morgen
aamu	formiddag
aamu	morning
tina	tinn
tina	tin
tina	tina
viestinnän	kommunikasjon
aviomies	ektemann
liittoutuneet	allierte
hallinnut	dominert
rajoja	grenser
indianapolis	indianapolis
kristittyjä	kristne
hävittäjät	jagerfly
hävittäjät	destroyere
kiviä	stones
kiviä	steiner
kiviä	steiner
kiviä	bergart
kiviä	rocks
sukellusveneen	ubåt
markkinat	markeder
markkinat	markedet
markkinat	market
markkinat	marked
washingtonissa	washington
ajat	tidspunkter
ajat	tider
ajat	tidene
ajat	ganger
ajat	times
korvattu	erstattet
alpha	alpha
alpha	alfa
eagle	eagle
eagle	ørn
valentin	valentin
suu	kjeften
suu	munn
suu	munnen
elisa	eliza
elisa	elisa
yksinään	alone
yksinään	åleine
yksinään	alene
yksinään	aleine
psykologian	psykologi
sabbath	sabbath
lindgren	lindgren
puhdas	pur
puhdas	ren
puhdas	rent
puhdas	pure
puhdas	rein
puhdas	reint
puhdas	ren
puhdas	rydde
puhdas	rent
milanon	milan
milanon	milano
kansalainen	statsborger
kansalainen	borger
amsterdamin	amsterdam
uhrien	ofre
uhrien	ofrene
uhrien	offer
maku	smak
maku	smakebit
maku	smake
fia	fia
ssp	ssp
suojella	beskytter
suojella	beskytte
suojella	beskytte
suojella	beskytt
suojella	ivareta
kuoron	sangkor
vuoret	fjell
sedan	sedan
katherine	katherine
turvallisuuden	sikkerheten
turvallisuuden	trygghet
turvallisuuden	sikkerhet
ajatukset	tankene
ajatukset	tanker
demokratian	demokrati
kerros	etasje
kerros	etg
kerros	gulv
ohjus	missil
villi	wild
villi	vill
villi	vilt
luxemburgin	luxembourgs
luxemburgin	luxemburg
luxemburgin	luxembourg
fair	rettferdig
fair	fair
wallace	wallace
olento	vesen
olento	skapning
orlando	orlando
lokakuu	oktober
lokakuu	october
lokakuu	okt
lokakuu	oct
suuntaus	trend
suuntaus	trenden
suuntaus	orientering
suuntaus	legning
jensen	jensen
hirviö	beist
hirviö	beast
hirviö	beistet
hirviö	udyr
hirviö	uhyre
hirviö	monster
vallitsee	rår
aurora	aurora
espanjaa	spansk
epäselvä	tvetydig
epäselvä	uklart
epäselvä	utydelig
epäselvä	uklar
epäselvä	tåkete
case	case
case	sak
case	kasus
case	saken
luettelot	katalogene
luettelot	lister
luodaan	oppretting
luodaan	oppretter
luodaan	opprette
luodaan	skape
maradona	maradona
kalaa	fisk
kalaa	fisker
kalaa	fish
kalaa	fisken
malin	malin
malin	mali
historiallista	historisk
historiallista	historisk
heinäkuu	juli
heinäkuu	july
vuorten	fjell
platon	platon
ajoitettu	planlagte
ajoitettu	planlagt
suojata	beskytte
suojata	beskytt
suojata	ivareta
paolo	paolo
kiinnostuneita	interesserte
kiinnostuneita	interessert
muotoilu	formatering
muotoilu	design
muotoilu	forming
puolustajat	forsvarere
sudanin	sudan
sudanin	sudan
mitat	dimensjoner
mitat	dimensjonene
mitat	dimensjon
irene	irene
lääkkeiden	medisiner
lääkkeiden	legemidler
todellisuuden	virkeligheten
todellisuuden	realitet
todellisuuden	reality
todellisuuden	realiteten
todellisuuden	virkelighet
erotettu	separert
erotettu	atskilt
erotettu	utvist
erotettu	sparken
erotettu	fyrte
erotettu	avfyrt
erotettu	oppsagt
hevosvoimaa	hestekrefter
prosessin	prosess
prosessin	prosessen
valikoima	utvalg
valikoima	utvalget
kirjoittaminen	skriver
kirjoittaminen	skriving
keltaiset	gult
keltaiset	gule
keltaiset	gul
uskoivat	trodd
uskoivat	trodde
dylan	dylan
luominen	skapelsen
luominen	oppretting
luominen	skapning
luominen	skaperverk
luominen	skapelse
luominen	opprettelse
luominen	oppretting
luominen	oppretter
luominen	opprette
luominen	skape
vaihdella	varierer
vaihdella	variere
arsenal	arsenal
seikkailu	adventure
seikkailu	eventyr
seikkailu	eventyret
palmer	palmer
käymään	besøke
käymään	besøk
bafta	bafta
linkkiä	link
linkkiä	kobling
linkkiä	lenke
joachim	joachim
gloria	gloria
asp	asp
silmä	øyet
silmä	øye
kane	kane
karibian	karibia
karibian	caribbean
karibian	karibien
karibian	karibisk
kokemus	opplevelse
kokemus	erfaring
kokemus	opplev
katto	taket
katto	tak
huomattavaa	merkverdig
huomattavaa	bemerkelsesverdig
haltija	keeper
haltija	vokter
haltija	holder
haltija	innehaver
kerttu	grete
kirjaimet	bokstaver
kirjaimet	brev
petter	petter
kysymyksen	spørsmål
kysymyksen	spørsmålet
maila	balltre
maila	bat
maila	flaggermus
madison	madison
maastossa	terrenget
maastossa	terreng
riippumaton	independent
riippumaton	uavhengige
riippumaton	uavhengig
riippumaton	selvstendig
asemat	posisjoner
asemat	stillinger
asemat	stasjoner
asemat	stasjonene
taiteilijoita	artister
taiteilijoita	kunstnere
pysähtyi	sluttet
pysähtyi	stoppes
pysähtyi	stoppet
pysähtyi	stanset
pysähtyi	slutta
pysähtyi	stoppa
nalle	bjørn
nalle	bear
irma	irma
laukaisu	lansering
laukaisu	utskyting
laukaisu	lanser
kenian	kenya
valvoo	monitorene
valvoo	skjermene
valvoo	skjermer
wim	wim
immonen	immonen
