depressione	depresszió
javier	javier
spessore	vastagsága
spessore	vastagságú
identificazione	azonosítás
identificazione	azonosító
operativa	operatív
inviata	elküldött
inviata	elküldve
inviata	küldött
petto	mellkasi
petto	láda
petto	mell
petto	mellkas
petto	melle
petto	mell
circostanze	körülmények
circostanze	körülmény
circostanze	körülmények
circostanze	körülmény
igor	igor
descrivere	ismertesse
descrivere	leírni
devil	ördög
interpretazioni	értelmezések
terrestri	földi
terrestri	földfelszíni
terrestri	szárazföldi
biografie	életrajzok
biografie	életrajz
repubblicano	republikánusok
repubblicano	republikánus
pavimento	emelet
pavimento	padló
legali	jogi
legali	legális
legali	törvényes
zucchero	cukor
zucchero	cukrot
zucchero	cukorral
funzionalità	funkciók
funzionalità	funkció
pdc	pdc
sacerdoti	papok
clero	papság
rappresentazioni	előadások
frontale	front
frontale	eleje
frontale	frontális
england	anglia
england	england
england	angliai
ordinario	közönséges
ordinario	hétköznapi
soppressione	eltörlése
soppressione	törlés
soppressione	elnyomás
soci	társak
soci	partnerek
pérez	perez
pérez	pérez
hugh	hugh
again	újra
secondarie	középfokú
secondarie	másodlagos
specializzata	szakosodott
specializzata	szakosított
specializzata	szakosodott
specializzata	szakosított
manovra	manőver
manovra	manőver
valencia	valencia
variazione	változás
variazione	változtatás
variazione	megváltozott
variazione	változások
archivi	archívum
sospensione	felfüggesztése
sospensione	szuszpenzió
sospensione	felfüggesztés
pirati	kalózok
pirati	kalóz
tavole	táblák
tavole	asztal
tavole	táblázatok
tavole	táblázat
tavole	asztalok
veneziano	velencei
wallace	wallace
pesaro	pesaro
sultano	szultán
toro	toro
toro	taurus
toro	bull
toro	bika
eletti	megválasztott
superman	superman
modern	modern
modern	korszerű
mass	tömeges
mass	tömege
mass	mise
mass	tömeg
percentuali	százalék
emissione	kiállító
emissione	kibocsátó
emissione	kibocsátási
emissione	kibocsátás
massimi	maxima
after	után
after	after
after	miután
after	utána
ferite	sérülés
ferite	sérültek
ferite	sérülések
ferite	sebek
kiev	kijevi
phoenix	főnix
phoenix	phoenix
alluminio	alumínium
alluminio	alumínium
vendere	eladás
vendere	eladási
vendere	eladás
vendere	eladni
corno	szarva
corno	kürt
corno	horn
piatti	edények
piatti	edényeket
piatti	ételek
futuri	jövőbeli
futuri	jövő
futuri	határidős
protesta	tiltakozás
protesta	tüntetés
rachel	rachel
immacolata	makulátlan
immacolata	hibátlan
immacolata	makulátlan
canti	énekelni
canti	énekelj
canti	énekel
canti	dalok
canti	dalokat
intellettuali	értelmiségiek
intellettuali	intellektuális
intellettuali	szellemi
elia	elijah
elia	elia
elia	elias
bersaglio	célpont
bersaglio	cél
manifesto	plakát
manifesto	poszter
manifesto	kiáltvány
napoletano	nápolyi
fedeltà	hűség
fedeltà	hűség
raw	nyersen
raw	nyers
illustri	jeles
integrato	integrált
integrato	beágyazott
perfino	még
tomáš	tomáš
watson	watson
interfaccia	interfész
finanziaria	pénzügyi
terrore	terror
terrore	rettegés
terrore	rémület
reynolds	reynolds
martiri	mártír
istanbul	isztambul
colorado	colorado
für	für
separati	külön
separati	különálló
separati	elkülönített
separati	külön
continuato	folyamatos
continuato	folytatása
continuato	folytatta
continuato	folytatás
continuato	folytatódott
colorazione	színezés
colorazione	színező
parità	paritás
parità	egyenlőséget
parità	egyenlőség
etiopia	etiópia
sandra	sandra
soggiorno	maradj
illinois	illinois
magico	varázs
magico	magic
magico	varázslat
magico	mágia
magico	varázslatos
magico	mágikus
orleans	orleans
spalla	vállán
spalla	válla
spalla	váll
spalla	segéd
challenge	kihívás
scipione	scipio
bach	bach
getto	jet
phillips	phillips
giocate	játék
giocate	játszani
giocate	play
giocate	játssz
sentito	hallott
sentito	hallottam
sloveno	szlovén
sloveno	szlovén
call	hívás
call	hívd
indiani	indiánok
indiani	indiaiak
indiani	indián
indiani	indiai
geometria	geometria
biagio	biagio
millennio	millennium
giganti	giants
giganti	óriások
giganti	óriás
zia	zia
rimosso	eltávolították
rimosso	eltávolított
rimosso	eltávolította
traduzioni	fordítás
traduzioni	fordítás
traduzioni	fordítások
happy	boldogság
happy	boldog
accompagnamento	kíséret
accompagnamento	kísérő
minerali	érc
minerali	ásványok
minerali	ércek
minerali	ásványi
mondi	vb
mondi	világok
mozart	mozart
fissa	rögzített
fissa	fix
fissa	rögzítve
distinguere	különbséget
distinguere	megkülönböztető
bmw	bmw
campionessa	bajnok
monarchia	monarchia
adolfo	adolfo
adolfo	adolphe
adolfo	adolf
installazione	telepítés
installazione	létesítmény
installazione	telepítés
installazione	telepítése
installazione	telepítés
installazione	telepíteni
installazione	telepítése
spin	spin
spin	forgás
michigan	michigan
violoncello	cselló
applicata	alkalmazták
collaboratori	munkatársai
collaboratori	munkatársak
collaboratori	kollaboránsok
collaboratori	közreműködő
collaboratori	közreműködők
esposti	kitett
joão	joão
leon	leon
alexandre	alexandre
colli	colli
colli	dombok
colli	hills
grotte	barlangok
alessandra	alexandra
alessandra	alessandra
definiti	meghatározott
definiti	meghatározva
abiti	ruhák
abiti	ruhákat
abiti	ruhák
abiti	ruha
abiti	ruhát
assi	tengelyek
assi	ász
assi	tengelyek
ostilità	ellenségeskedés
rodríguez	rodriguez
rodríguez	rodríguez
hop	hop
compleanno	születésnap
compleanno	szülinapi
compleanno	szülinapot
compleanno	születésnapi
cristoforo	christopher
cristoforo	kristóf
ernest	ernest
severo	perselus
severo	severo
severo	súlyos
severo	szigorú
severo	stern
return	visszatérés
return	vissza
return	visszatér
cecil	cecil
governi	kormányok
esistere	léteznek
esistere	létezni
esistere	létezik
comandanti	parancsnokok
pallone	léggömb
pallone	lufi
pallone	bál
pallone	labdát
pallone	golyó
pallone	labda
pallone	ball
recitato	szavalt
attraversato	keresztbe
adatta	alkalmas
adatta	megfelelő
adatta	fit
adatta	fitt
arizona	arizona
arizona	arizonai
arizona	arizonában
wagner	wagner
promosse	hirdetett
cristallo	kristályos
cristallo	crystal
cristallo	kristály
vercelli	vercelli
secco	szárazon
secco	száraz
annibale	hannibal
crollo	összeomlás
cosimo	cosimo
body	test
body	testem
body	holttest
combatté	harcolt
combatté	küzdött
amanda	amanda
picco	csúcs
negozi	boltok
negozi	boltokban
negozi	üzletek
rca	rca
cancellazioni	törlés
ignazio	ignacio
ignazio	ignatius
ronald	ronald
retro	retro
naso	orr
naso	orrot
melbourne	melbourne
peste	járvány
peste	pestis
ghost	ghost
ghost	szellem
harvey	harvey
isaac	isaac
pausa	szünet
pausa	törés
pausa	szünet
razze	races
razze	versenyek
