الكرامة	αξιοπρέπεια
الكتف	ώμος
الكتف	ώμο
معترف	αναγνωρίζεται
معترف	αναγνωρισμένο
معترف	αναγνωρισμένος
معترف	αναγνωρισμένη
معترف	αναγνωρισμένα
القط	κατ
القط	γάτα
القط	γάτος
القط	cat
بركان	ηφαίστειο
هامبورغ	αμβούργο
جزئي	μερική
جزئي	μερικό
الفقرات	εδάφια
الفقرات	παραγράφους
الفقرات	παράγραφοι
ربحية	αποδοτικότητα
ربحية	κερδοφορία
حفيد	εγγονός
حفيد	εγγονό
الليثيوم	λιθίου
الليثيوم	λίθιο
بنين	μπενίν
هدم	κατεδάφιση
اغنية	τραγουδι
اغنية	τραγούδι
اغنية	σονγκ
مصرف	τράπεζα
مصرف	bank
قياسي	στάνταρ
قياسي	πρότυπο
قياسي	standard
مذكرة	υπόμνημα
مذكرة	μνημόνιο
مذكرة	υπόμνημα
الكلاسيكي	κλασσική
الكلاسيكي	κλασικά
الكلاسيكي	κλασική
تلقائي	αυτόματο
تلقائي	αυτόματη
تلقائي	αυτόματος
تلقائي	αυτόματες
تلقائي	αυτόματα
المنتدى	forum
المنتدى	φόρουμ
خزان	τανκ
خزان	δεξαμενή
خزان	δεξαμενή
صممت	σχεδιασμένη
صممت	σχεδιασμένα
صممت	σχεδιασμένος
صممت	σχεδιασμένο
صممت	σχεδιάστηκε
مجلد	φάκελος
مجلد	φάκελο
وليم	ουίλιαμ
وليم	γουίλιαμ
قبله	φιλί
قبله	kiss
السكن	στέγαση
السكن	στέγασης
السكن	ακίνητα
السكن	καταλύματα
السكن	κατάλυμα
السكن	στέγαση
السكن	διαμονή
حائز	χόλντερ
حائز	κάτοχος
التنقيب	ανασκαφές
التنقيب	ανασκαφή
كيان	οντότητα
البعيد	μακρινές
البعيد	απόμακρη
البعيد	απόμακρος
البعيد	μακρινή
البعيد	μακρινό
البعيد	απομακρυσμένο
البعيد	απομακρυσμένα
البعيد	απομακρυσμένη
صعوبات	δυσκολίες
صعوبات	δυσχέρειες
جدل	αντιπαράθεση
جدل	διαμάχη
شون	σον
شون	σων
اسطنبول	κων
اسطنبول	κωνσταντινούπολη
اسطنبول	ιστανμπούλ
باتمان	μπάτμαν
الفلم	ταινία
الفلم	ταινια
يولد	γεννήθηκα
يولد	γεννημένος
يولد	γεννήθηκε
يولد	γεννηθείς
حرق	κάψει
حرق	καύση
حرق	κάψιμο
حرق	κάψε
حرق	έγκαυμα
حرق	καύση
حرق	κάψιμο
النيجر	νίγηρα
نقش	χάραξη
نقش	χάραξης
نقش	επιγραφή
فلورنسا	φλωρεντία
فلورنسا	φλόρενς
بورت	μπερτ
بورت	λιμάνι
بورت	πορτ
بورت	λιμένας
بورت	θύρα
مترجم	διερμηνέας
مترجم	μεταφραστής
مترجم	μεταφραστή
مترجم	διερμηνέας
مترجم	διερμηνέα
مترجم	υπότιτλους
جلسات	σύνοδοι
جلسات	συνεδρίες
تام	ταμ
عال	high
عال	ψηλά
عال	υψηλή
عال	υψηλός
عال	υψηλό
عال	δυνατά
مريض	ασθενής
مريض	ασθενή
مريض	άρρωστος
مريض	άρρωστοι
مريض	άρρωστη
مريض	άρρωστο
بطريق	πιγκουίνος
جرعة	δόση
جرعة	δόσης
مناورات	ελιγμούς
مناورات	γυμνάσια
مناورات	ελιγμούς
مثيرة	sexy
مثيرة	σέξι
مثيرة	σέξυ
مثيرة	συναρπαστική
مثيرة	συναρπαστικό
مثيرة	συναρπαστικός
مثيرة	συναρπαστικά
المقيمين	κάτοικοι
المقيمين	κατοίκους
المثالية	ιδεαλισμό
الشفاء	γιατρειά
الشفاء	επούλωση
شتاء	χειμώνα
شتاء	χειμώνας
شتاء	γουίντερ
شرب	ποτό
شرب	πίνω
شرب	πίνουμε
شرب	πίνοντας
شرب	ποτό
اكتساب	αποκτήσει
اكتساب	εξαγορά
اكتساب	απόκτηση
ليوناردو	leonardo
ليوناردو	λεονάρντο
المتاحف	μουσεία
بورما	βιρμανία
بورما	βιρμανίας
سين	σεν
النزاعات	συγκρούσεις
النزاعات	διενέξεις
النزاعات	διαφορές
النزاعات	διαφωνίες
النزاعات	αμφισβητήσεις
النزاعات	διαφορών
منتظم	τακτικά
منتظم	τακτική
منتظم	κανονική
منتظم	κανονικός
منتظم	κανονικό
الجيولوجية	γεωλογική
رمزي	συμβολική
رمزي	συμβολικά
رمزي	συμβολικό
استكشاف	εξερεύνηση
استكشاف	εξερεύνηση
درعا	πανοπλία
درعا	ασπιδα
درعا	ασπίδα
الصانع	κατασκευαστής
الصانع	κατασκευαστή
الصانع	παραγωγός
فرس	φοράδα
الذئاب	λύκους
الذئاب	λύκοι
المواصفات	προδιαγραφές
المواصفات	προδιαγραφή
المواصفات	προδιαγραφές
كيب	κιπ
زر	κουμπί
الطيبة	καλωσύνη
الطيبة	καλοσύνη
الطيبة	ευγένεια
جوقة	χορωδία
موانئ	λιμένες
موانئ	θύρες
موانئ	λιμάνια
شعور	συναίσθημα
شعور	αίσθηση
شعور	αίσθημα
العملاق	γίγαντας
العملاق	γιγάντια
العملاق	γίγαντα
العملاق	γιγαντιαίο
ريفية	αγροτικές
ريفية	αγροτική
ريفية	αγροτικός
الصهيوني	σιωνιστές
ليلا	νύχτα
ليلا	βραδιά
ليلا	νυχτα
العجز	αναπηρίας
العجز	αναπηρία
العجز	ανικανότητα
العجز	έλλειμμα
الانتقام	εκδίκηση
جرام	γραμμάριο
بولونيا	μπολόνια
نيكولا	νικόλα
نيكولا	νίκολα
الضابط	αξιωματικός
الفاكهة	καρποί
الفاكهة	καρπός
الفاكهة	φρούτο
الفاكهة	φρούτα
الكود	κώδικα
الكود	κωδικός
الكود	κώδικας
حريق	φωτιά
حريق	πυρ
حريق	φωτια
