бухгалтер	محاسب
їли	خوردنی
завершене	انتہائی
завершене	پورا
завершене	نپٹ
завершене	ختم
завершене	تفصیلات
завершене	نہایت
завершене	ماہر
завершене	مکمّل
завершене	انتہائی
завершене	پورا
завершене	نپٹ
завершене	ختم
завершене	تفصیلات
завершене	نہایت
завершене	ماہر
завершене	مکمّل
завершене	تمام
черепашки	کچھوا
затриманий	تولیت-
затриманий	حراست
затриманий	قید
ілюстратор	نقّاش
унікальність	ندرت
унікальність	یکتائی
дотик	بگاڑنا
дотик	امتیاز
дотик	جانچ
дотик	مشق
дотик	پرکھ
дотик	امتحان
дотик	ذرا
дотик	ٹکرانا
дотик	پھٹکی
дотик	چٹکی
дотик	بگاڑنا
дотик	امتیاز
дотик	لمس
дотик	جانچ
дотик	مشق
дотик	پرکھ
дотик	امتحان
дотик	ذرا
дотик	ٹکرانا
дотик	پھٹکی
дотик	چٹکی
єви	شام.
біс	بُھتنا.
біс	شخص
біс	برا
біс	نفر
біс	ابلیس
біс	بھوت
біс	بدی
біс	چالاک
біс	شر
біс	آدمی
успадкування	میراث
успадкування	ترکہ.
згодні	متفق
згодні	مطابق
бора	خشک
пластові	پنجر
пластові	پرانا
пластові	بوسیدہ.
пластові	متحجر
пластові	فوصل.
тензор	تناویہ
сітку	بجلی
сітку	جنگلہ
сітку	جالی.
блиску	اجلاپن.
блиску	جِلا
блиску	چمکانا.
блиску	جھوٹی
капсули	مجمل
капсули	خلاصہ
прикметник	صفت
круто	تحمل
круто	پُرسکون
круто	بردباری
круто	ڈھیٹ
круто	ٹھنڈک
круто	بیگانہ
круто	خنکی.
круто	نامانوس
круто	عوام
шістнадцять	xvi
дистанція	گریز
дистанція	بُعد.
дистанція	گریز
дистанція	دُوری
дистанція	بُعد.
незвичайні	نرالا.
незвичайні	انوکھا
незвичайні	امتیازی.
незвичайні	استثنائی
незвичайні	غیرمعمولی
пластику	مٹّی
пластику	لچکیلا.
пластику	ملائم
пластику	ملائمہ.
пластику	بناوٹی
божевільний	دیوانہ.
зайві	نقلی.
зайві	بناوٹی
зайві	فالتو
зайві	حشو
зайві	فاضل
зайві	اضافی
зайві	ذیلی
зайві	زائد
зайві	مزید
почуттям	ولولہ
почуттям	جذبہ
почуттям	شوق
почуттям	پسندیدگی.
гаразд	توثیق.
гаразд	منظوری
гаразд	مناسب
гаразд	درست.
полярний	قطبی.
