kategória	kategori
roku	tahun
ako	caranya
ako	like
ako	ibarat
bol	bol
bol	ws
bol	been
pozri	lihat
pozri	tengok
pozri	look
obce	komun
mba	mba
obyvateľov	penduduk
obec	commune
obec	komun
obec	munisipaliti
obec	perbandaran
obec	kampung
pre	untuk
jeho	its
bod	takat
bod	point
pri	pri
bola	ws
bola	been
zoznam	senarai
odkazy	rujukan
odkazy	pautan
odkazy	link
socorro	socorro
externé	luaran
ale	tapi
ale	tetapi
iné	lain
iné	lain
the	the
počet	nombor
boli	were
podľa	bawah
podľa	dibawah
podľa	under
miesto	spot
miesto	place
miesto	tempat
miesto	lokasi
miesto	location
miesto	tapak
bolo	ws
obcí	komun
obci	commune
obci	komun
jej	its
jej	nya
jej	her
ich	their
ich	antaranya
ich	mereka
ich	ich
medzi	antara
projekty	projek
team	pasukan
team	team
byť	being
byť	menjadi
francúzska	perancis
francúzska	france
francúzska	perancis
najvyšší	supreme
najvyšší	tertinggi
však	namun
však	bagaimanapun
pod	dibawah
pod	pod
pod	bawah
pod	dibawah
pod	under
pred	pre
pred	pra
pred	sebelum
vývoj	perkembangan
vývoj	pembangunan
vývoj	evolusi
vývoj	evolution
vývoj	perkembangan
graf	graf
graf	carta
najnižší	serendah
najnižší	terendah
kde	kde
kde	mana
môže	may
môže	mei
môže	mampukah
môže	boleh
nasledujúci	mengikuti
nasledujúci	following
nasledujúci	next
nasledujúci	selanjutnya
nasledujúci	seterusnya
keď	bila
keď	apabila
len	sahaja
len	hany
len	cuma
len	hanya
mesto	bandar
mesto	city
mesto	bandaraya
mesto	bandar
mesto	kota
tiež	juga
usa	usa
rokov	tahun
nie	tidak
nie	bukan
nie	tak
september	september
úmrtia	kematian
úmrtia	death
úmrtia	maut
úmrtia	ajal
úmrtia	kematian
neskôr	later
neskôr	kemudiannya
neskôr	nanti
slovenský	slovakia
slovenský	slovakia
slovenský	slovak
aby	buat
storočia	berkurun
storočia	abad
storočia	century
nad	nad
nad	diatas
utc	utc
jpg	jpg
časti	bahagian
stránka	page
stránka	mukasurat
stránka	halaman
stránka	tapak
skupiny	berkumpulan
skupiny	group
skupiny	kumpulan
skupiny	berkumpulan
skupiny	kumpulan
skupiny	groups
html	html
roka	tahun
časť	seksyen
časť	bahagian
časť	bahagian
ngc	ngc
október	oktober
október	october
október	oct
mesta	bandar
mesta	city
mesta	bandaraya
mesta	bandar
mesta	kota
marec	mac
marec	march
august	ogos
august	aug
skupina	berkumpulan
skupina	group
skupina	kumpulan
veľmi	sangat
potom	barulah
potom	then
potom	kemudiannya
potom	kemudian
oficiálna	rasmi
oficiálna	official
narodenia	lahir
narodenia	melahirkan
narodenia	birth
narodenia	kelahiran
narodenia	beranak
tento	ni
osobnosti	personaliti
osobnosti	personaliti
bratislava	bratislava
november	november
november	nov
november	julai
december	disember
december	ogos
iba	sahaja
iba	hany
iba	cuma
iba	hanya
roky	tahun
oblasti	keluasan
oblasti	kawasan
oblasti	area
január	januari
súbor	fail
mal	mal
proti	terhadap
apríl	apr
apríl	april
sveta	world
sveta	dunia
bez	tanpa
najmä	terutamanya
najmä	terutamanya
najmä	especially
viac	lebih
viac	lagi
