bregdet	море
institut	институт
institut	института
pjesëmarrje	участието
pjesëmarrje	участие
ekstreme	крайно
ekstreme	краен
ekstreme	екстремно
ekstreme	екстремни
ekstreme	крайни
jul	юлий
jul	джулиъс
jul	юл
perse	персей
fribourg	фрибур
spektatorë	зрители
delegat	делегиране
delegat	делегира
shtypja	потисничество
shtypja	репресии
shtypja	потискане
lëkurë	кожен
lëkurë	кожи
lëkurë	кожа
lëkurë	кожена
lëkurë	кожата
lëkurë	кожа
pylli	форест
pylli	гора
pylli	горски
dëmtim	нараняване
dëmtim	контузия
dëmtim	травма
dëmtim	наранявания
dëmtim	вреда
dëmtim	увреждане
dëmtim	щети
dëmtim	повреда
dëmtim	вреди
dëmtim	повреди
lek	пари
lek	парите
ngrënë	яла
ngrënë	ял
ngrënë	изяде
ngrënë	изяден
ngrënë	изядени
ngrënë	ял
ngrënë	изядена
krenar	горди
krenar	горда
krenar	горд
lagjet	квартали
lagjet	квартали
lagjet	каютата
lejen	лиценз
lejen	книжка
lejen	книжката
lejen	позволение
lejen	разрешение
kompjuterët	компютрите
kompjuterët	компютри
tyne	тайн
shkatërruan	унищожени
shkatërruan	унищожена
shkatërruan	разрушени
shkatërruan	унищожен
shkatërruan	унищожено
nina	нина
sjellja	поведение
sjellja	нагласа
sjellja	отношение
sjellja	поведение
sjellja	поведение
kthim	възстановяване
kthim	връщане
kthim	завръщане
eddie	еди
diskutimi	дискусия
diskutimi	обсъждания
diskutimi	дискусии
diskutimi	обсъждане
nova	nova
nova	нова
dorëzuar	доставена
dorëzuar	доставени
dorëzuar	доставен
dorëzuar	доставено
dorëzuar	предадени
dorëzuar	предадено
tipe	типове
tipe	видове
mbledhura	събрано
mbledhura	събрани
mbledhura	събрана
mbledhura	събирани
aleksander	александър
postare	пощенски
mtv	mtv
ekspedita	експедиции
ekspedita	експедиция
legjendë	легендата
legjendë	легенда
kozmike	космически
kozmike	космическо
brandt	бранд
brandt	брант
internacional	международно
internacional	международен
internacional	интернешънъл
internacional	международни
internacional	международна
zgjidhen	решен
zgjidhen	решени
zgjidhen	разрешен
fushatën	кампанията
fushatën	кампания
ricardo	рикардо
hir	саке
zagrebit	загреб
gjyqi	процес
delle	деле
kurorë	венец
kurorë	краун
kurorë	корона
kurorë	короната
kurorë	коронясването
transferuar	прехвърлен
transferuar	прехвърлено
transferuar	прехвърлени
transferuar	преместен
transferuar	прехвърлена
josip	йосип
barbara	барбара
hugo	хюго
hugo	уго
hugo	юго
selman	селман
bekuar	благословено
bekuar	благословен
bekuar	благословена
bekuar	благословени
përparësi	приоритетни
përparësi	приоритетна
përparësi	приоритет
production	продукция
production	производство
pronar	собственик
pronar	притежател
pronar	собственика
pronar	хазяина
qumësht	мляко
jersey	джърси
jersey	джързи
përparuar	напреднал
përparuar	напреднала
përparuar	разширено
përparuar	напреднали
dhuratë	подарък
dhuratë	дарба
dhuratë	дар
shiu	рейн
shiu	дъжд
polare	полярна
zeusi	зевс
rada	рада
skenat	сцените
skenat	сцени
revolucionar	революционер
revolucionar	революционна
revolucionar	революционен
revolucionar	революционно
cover	прикритие
cover	корица
cover	покритие
cover	покриване
rusë	руснаци
rusë	руснаците
financuar	финансиран
financuar	финансирана
financuar	финансирани
financuar	финансиран
financuar	финансирани
financuar	финансирана
pallat	палас
pallat	двореца
pallat	дворец
pallat	дворецът
pallat	палат
arkitekti	архитект
njohës	познавач
nxiti	настоятелно
nxiti	порив
oslo	осло
roosevelt	рузвелт
vetëdijshëm	съзнание
vetëdijshëm	съзнателно
vetëdijshëm	съзнателен
dimri	зима
dimri	зимата
presionin	напрежение
presionin	натиск
presionin	налягане
gjumë	дрямка
gjumë	спя
gjumë	спим
gjumë	сън
gjumë	спи
motër	како
motër	сис
motër	сестра
atlantique	atlantique
daljen	появата
daljen	появяване
daljen	поява
tektonike	тектонични
kolonë	колона
ulliri	маслиново
ulliri	олив
ulliri	маслини
shpërngulur	разселени
ndërtime	изграждане
ndërtime	строеж
ndërtime	конструкция
ndërtime	строителство
simbolizon	символизира
simbolizon	символизира
kepi	нос
kepi	кейп
kepi	кабо
kepi	наметало
saga	сага
graubünden	граубюнден
skulpturë	скулптура
skulpturë	скулптури
playstation	playstation
dino	дино
piloti	пилот
piloti	пилотен
menaxher	управител
menaxher	мениджър
lituania	литва
museo	museo
rrezatimi	лъчение
rrezatimi	радиация
rrezatimi	облъчване
dabi	даби
bankat	бенкс
bankat	банките
bankat	банкс
bankat	банки
bankat	банкиране
bankat	банкови
alain	ален
donald	доналд
bllokuar	блокирани
bllokuar	блокирано
bllokuar	блокиран
bllokuar	блокирана
fjalorin	речник
fjalorin	речник
fjalorin	речника
perendim	запад
perendim	западно
perendim	западна
perendim	западен
perendim	уест
atmosferike	атмосферни
next	следващо
next	следващ
next	следваща
million	милион
bora	сняг
bora	снежна
bora	бора
mblodhi	събрано
mblodhi	събрани
mblodhi	събрана
mblodhi	събирани
karli	карли
dijetarët	учени
ndërprerë	пауза
ndërprerë	прекъсната
ndërprerë	прекъснати
ndërprerë	прекъснато
ndërprerë	прекъсва
ndërprerë	прекъснат
ndërprerë	прекъснато
ishim	бяха
profet	пророк
profet	пророка
profet	пророкът
qiellore	небесен
qiellore	небесна
qiellore	небесно
qiellore	небесен
qiellore	небесно
mekanik	механика
mekanik	монтьор
mekanik	механик
mala	мала
erërat	ветровете
erërat	ветрове
erërat	бриз
heqjen	премахване
heqjen	изваждане
heqjen	отстраняване
sezone	сезоните
sezone	сезони
italianët	италианците
italianët	италианци
shkurti	февруари
pjesëtar	член
karaktere	знаци
karaktere	герои
karaktere	символи
remix	ремикс
republikane	републиканец
republikane	републикански
republikane	републиканска
republikane	републиканци
elementë	позиции
elementë	артикули
elementë	предмети
elementë	елементи
elementë	елементи
elementë	компоненти
shpërndara	пръснати
shpërndara	разпръснат
shpërndara	разпръснати
fantastike	страхотни
fantastike	страхотен
fantastike	страхотно
fantastike	страхотна
fantastike	супер
fantastike	фантастичен
fantastike	фантастично
fantastike	фантастична
fantastike	фантастични
fantastike	невероятна
fantastike	удивително
fantastike	изумително
fantastike	невероятен
fantastike	невероятно
martesë	женитба
martesë	брака
martesë	брак
martesë	сватба
martesë	бракът
martesë	свадба
martesë	сватба
ortodoksë	православна
fytyrën	фейс
fytyrën	лицето
fytyrën	лице
étienne	етиен
këndon	пее
android	андроид
moore	мор
moore	мур
rri	остани
diferenca	разликата
diferenca	разлика
qeni	кученце
qeni	кученце
qeni	куче
qeni	кучето
qeni	дог
shpërndarja	споделянето
shpërndarja	споделяне
shpërndarja	дистрибуция
shpërndarja	разпределяне
shpërndarja	разпространение
shpërndarja	разпределение
breza	поколенията
breza	поколения
qipro	кипър
natyre	естество
natyre	природа
natyre	природата
përkrahje	подпомагане
përkrahje	подкрепа
përkrahje	поддръжка
qeveritë	правителства
qeveritë	правителствата
paraqitjet	изяви
paraqitjet	изявления
musliman	мюсюлманин
musliman	мюсюлмански
musliman	мюсюлмани
musliman	мюсюлманска
transmetimi	трансмисия
transmetimi	предаване
transmetimi	пренос
transmetimi	излъчване
transmetimi	излъчване
transmetimi	излъчването
sikh	сикхизъм
