kategória	kategorya
egy	isa
egy	one
nem	hinde
nem	hindi
ben	ben
volt	ay
volt	had
volt	nagkaroon
volt	ay
magyar	magyar
magyar	hungarian
meg	meg
első	unang
első	muna
csak	lang
csak	lamang
csak	lng
csak	nalang
csak	basta
még	kahit
még	parin
van	may
település	nayon
település	settlement
település	munisipalidad
település	munisipyo
település	lokalidad
között	pagitan
mint	parang
mint	like
mint	gustuhin
további	karagdagang
további	karagdagang
további	pa
további	pang
nagy	large
nagy	malaki
nagy	malaking
nagy	big
nagy	malaking
nagy	malaki
személyek	persons
ország	bansa
ország	makabayan
évek	taon
klub	club
klub	samahan
több	pa
több	pang
információk	info
információk	impormasyon
született	ipinanganak
született	pinanganak
lett	naging
lett	leton
vita	talakayan
vita	vita
vita	debate
vita	alitan
vita	pagtutol
budapest	budapest
aki	sino
ezt	ito
ezt	nito
itt	rito
itt	dito
itt	nandito
akkor	then
akkor	pagkatapos
fájl	tipunan
fájl	magsampa
fájl	talaksan
fájl	file
azonban	subalit
azonban	gayunman
azonban	gayunpaman
amerikai	amerikano
német	aleman
január	january
január	enero
május	mayo
május	maaaring
kell	need
kell	kailangan
kell	pangangailangan
kell	dapat
ahol	saan
ahol	asan
csapat	team
amely	aling
amely	alin
más	ibang
március	marso
augusztus	august
augusztus	agosto
minden	all
minden	puro
minden	lahat
minden	kada
minden	tuwing
minden	bawat
ami	ami
ami	aling
ami	alin
lehet	pwede
lehet	maari
sem	nor
július	hulyo
szeptember	setyembre
június	june
június	hunyo
alatt	ibaba
október	oktubre
labdarúgó	putbolista
második	pangalawa
megye	county
megye	kondado
megye	kagawaran
megye	departamento
bélyegkép	thumbnail
február	february
február	pebrero
mert	kc
mert	kasi
mert	dahil
később	mamaya
jpg	jpg
december	december
december	disyembre
november	nobyembre
november	november
bar	hadlangan
bar	bar
cikkek	akda
cikkek	artikulo
április	april
április	abril
város	bayan
város	lungsod
város	siyudad
város	city
amikor	kapag
amikor	kailan
létrehozott	ginawa
létrehozott	nilikha
három	tatlong
három	tatlo
nemzetközi	internasyonal
nemzetközi	international
nemzetközi	internasyunal
nemzetközi	pandaigdig
díj	fee
díj	bayad
díj	prize
díj	premyo
díj	award
található	matatagpuan
mellett	katabi
kép	picture
kép	larawan
kép	larawan
kép	imahe
kép	itrato
kép	larawan
kép	litrato
kép	litratong
jános	juan
jános	john
jános	jános
től	mula
istván	stephen
istván	esteban
istván	istván
http	http
lásd	makita
lásd	see
lásd	makakita
lásd	tingnan
szent	santo
szent	santa
szent	banal
szent	banal
angol	british
angol	tagalog
angol	ingles
ezért	samakatuwid
király	pambihira
király	galing
király	astig
király	cool
külső	panlabas
külső	panlabas
előtt	noon
előtt	dati
előtt	bago
mely	aling
mely	alin
nemzeti	national
nemzeti	pambansa
nemzeti	pambansang
nemzeti	nasyonal
józsef	joseph
élő	buhay
élő	tinitirahan
élő	pamumuhay
élő	mabuhay
élő	mamuhay
élő	live
lászló	lászló
évi	taon
század	kumpanya
század	kompanya
század	siglo
század	century
ferenc	francis
hivatalos	official
hivatalos	opisyal
saját	sarili
saját	sariling
ellen	ellen
sok	lots
sok	maraming
sok	maraming
sok	marami
sok	magkano
sok	marami
sok	madami
sok	lot
svg	svg
végeredmény	outcome
végeredmény	kinalabasan
először	unang
először	muna
szövetség	tipan
szövetség	alyansa
szövetség	pederasyon
szövetség	association
része	bahagi
része	part
része	parte
jobbra	diba
jobbra	kanang
olimpiai	olimpiko
olimpiai	olympic
nagyon	napaka
következő	kasunod
következő	susunod
következő	next
kis	liit
kis	maliit
kis	kaunti
kis	maliit
együtt	sama
együtt	magkasama
team	team
néhány	ilang
néhány	ilan
isbn	isbn
utolsó	huling
utolsó	huli
utolsó	last
utolsó	pinal
utolsó	pangwakas
utolsó	final
utolsó	panghuling
ott	may
templom	templo
templom	iglesia
templom	simbahan
templom	church
volna	nais
magyarország	hungary
elhunyt	lumipas
elhunyt	pasado
elhunyt	namayapa
elhunyt	namatay
legjobb	makakaya
legjobb	pinakamagandang
legjobb	pinakamaganda
legjobb	best
európa	europa
európa	gresya
olasz	italian
olasz	italyano
hivatkozások	links
kapott	natanggap
római	roman
római	romano
számos	ilang
teljes	kabuuang
teljes	kabuuan
teljes	busog
teljes	full
teljes	buo
teljes	buong
teljes	complete
teljes	kumpletuhin
teljes	kompleto
teljes	kumpleto
legnagyobb	pinakamalaking
legnagyobb	pinakamalaking
legnagyobb	pinakamalaking
legnagyobb	greatest
egyesült	united
egyesült	nagkakaisa
család	kapamilya
család	pamilya
falu	nayon
neve	pangalan
neve	pong
igen	oo
igen	opo
igen	yeah
halál	kamatayan
bár	hadlangan
bár	bar
bár	bagaman
bár	although
szett	set
szett	itakda
készült	ginawa
születési	kapanganakan
katolikus	katoliko
film	pelikula
film	sine
film	movie
from	mula
kapcsolódó	nauugnay
kapcsolódó	kaugnay
kapcsolódó	kaugnayan
kapcsolódó	kaugnay
négy	apat
eredeti	orihinal
éve	taon
áll	standing
áll	nakatayo
áll	stands
adott	binigay
adott	given
adott	ibinigay
adott	nagbigay
míg	habang
györgy	george
sándor	alejandro
sándor	alexander
európai	europeo
európai	european
jegyzőkönyv	minuto
jegyzőkönyv	protocol
lajos	louis
őket	kanila
őket	sila
őket	silang
egész	whole
egész	buo
egész	buong
vett	nakabili
vett	binili
szintén	rin
szintén	din
károly	charles
károly	karl
mai	mai
különböző	ibang
péter	pedro
péter	peter
bajnokság	kampeonato
bajnokság	championship
bajnokság	tournament
szó	salitang
szó	salita
harmadik	ikatlong
harmadik	pangatlo
belül	inside
belül	loob
kiadó	publisher
kiadó	umupa
kiadó	upahan
kiadó	rent
kiadó	upa
kiadó	paglalathala
kiadó	publishing
női	babae
női	female
női	kababaihan
junior	junior
wikipédia	wikipedia
mind	all
mind	puro
mind	lahat
lenne	nais
jelentős	makabuluhang
sorozat	serye
sorozat	series
sorozat	serial
tól	mula
lap	sheet
lap	journal
lap	tab
vált	naging
orosz	russian
orosz	ruso
hazai	domestic
cikk	artikulo
dél	tanghali
dél	noon
dél	katimugang
dél	southern
dél	timog
éves	taunang
száma	bilang
spanyol	spanish
spanyol	kastila
spanyol	espanyol
iii	iii
egyetlen	single
egyetlen	solong
község	munisipalidad
község	munisipyo
csoport	grupo
csoport	pangkat
csoport	group
író	manunulat
író	author
most	ngayon
ismert	kilala
hosszú	mahaba
hosszú	matagal
hosszú	haba
általában	kadalasan
általában	kadalasan
épült	nakapaloob
épült	binuo
férfi	male
férfi	lalaki
férfi	kalalakihan
férfi	lalaking
férfi	lalaki
férfi	man
szerzett	nakuha
királyi	royal
ember	pantao
ember	tao
ember	makatao
ember	human
ember	lalaking
ember	lalaki
ember	man
régi	matanda
régi	luma
vissza	bumalik
vissza	pagbabalik
vissza	likod
vissza	bumalik
vissza	balikan
vissza	balik
japán	japan
japán	hapon
japán	hapon
japán	japanese
japán	hapones
egyéb	miscellaneous
egyéb	kalokohan
egyéb	iba
teljesen	lubos
teljesen	ganap
teljesen	totally
gyakran	madalas
