serena	serena
přístupné	tillgängligt
hrdinové	hjältar
hrdinové	heroes
islám	islams
islám	islam
ověřit	bekräfta
ověřit	verifiera
fiba	fiba
softwaru	software
softwaru	mjukvara
softwaru	programvara
reaguje	reagerar
reaguje	lyhörd
reaguje	mottaglig
molekuly	molekyl
molekuly	molekyler
císařský	kejserliga
císařský	imperial
loděnice	yard
loděnice	varvet
loděnice	varv
loděnice	skeppsvarv
loděnice	varv
loděnice	skeppsvarv
loděnice	yards
loděnice	meter
kontinentu	världsdel
kontinentu	kontinent
kontinentu	kontinenten
interwiki	interwiki
táborů	lägren
táborů	läger
uvězněn	fängslad
uvězněn	inspärrad
uvězněn	fängslades
uvězněn	fängslad
uvězněn	fängslade
uvězněn	fångad
uvězněn	fångade
uvězněn	instängd
tower	tower
tower	torn
tower	tornet
oprava	reparation
oprava	reparera
oprava	reparationer
oprava	lagning
oprava	rättelser
oprava	rättelse
oprava	korrigering
složité	knepig
složité	knepigt
složité	komplext
složité	komplicerad
složité	komplex
složité	komplexa
složité	komplicerat
složité	komplicerade
složité	krångligt
složité	komplicerad
složité	komplicerat
hostince	inn
hostince	värdshus
matematické	matematiska
matematické	matematisk
matematické	matematiskt
žlutý	gula
žlutý	gult
žlutý	gul
rusi	rus
oleje	olja
oleje	oljor
přáteli	kompisar
přáteli	vänner
dopad	impact
dopad	effekter
dopad	inverkan
dopad	påverkan
grant	bevilja
grant	grant
časy	gånger
časy	tider
časy	tiderna
časy	times
časy	ggr
margaret	margaret
margaret	margareta
panna	jungfru
panna	jungfrun
panna	oskuld
panna	virgin
panna	jungfru
jules	jules
audio	ljudsignal
audio	ljud
audio	audio
cestoval	reste
cestoval	rest
cestoval	reste
cestoval	rest
winter	vintern
winter	winter
winter	vinter
rick	rick
turisty	turister
turisty	turisterna
končetiny	lemmar
končetiny	extremiteter
končetiny	lem
končetiny	lemmar
končetiny	extremiteter
končetiny	extremiteter
akademické	akademisk
akademické	akademiker
akademické	akademiska
akademické	akademiskt
kaplan	kyrkoadjunkt
kaplan	fältpräst
kaplan	kaplan
nárůst	öka
nárůst	ökning
nárůst	höjning
poezii	poesi
pozor	uppmärksamhet
kino	kino
kino	bio
kino	biografer
kino	biograf
šumperk	šumperk
ovlivněn	påverkade
ovlivněn	påverkad
ovlivněn	påverkat
ovlivněn	påverkad
ovlivněn	påverkade
ovlivněn	berörd
ovlivněn	drabbad
ovlivněn	påverkat
ovlivněn	påverkas
sester	systrar
relevantní	relevant
relevantní	relevans
relevantní	relevanta
relevantní	relevant
novak	novak
starosti	oroar
starosti	bekymmer
dorazil	anlänt
dorazil	framme
dorazil	anlände
fin	fena
fin	fin
léčbě	behandla
poskytnout	tillhandahålla
