মরমী	мистик
ইন্সপেক্টর	инспектор
লেবেল	ярлыки
লেবেল	ярлык
লেবেল	лейбл
লেবেল	метка
ক্যালেন্ডার	календарь
ক্যালেন্ডার	календари
জন্মভূমি	родину
জন্মভূমি	родина
গ্রীষ্ম	лето
গ্রীষ্ম	summer
গ্রীষ্ম	саммер
গ্রীষ্ম	летний
স্বায়ত্তশাসন	автономии
স্বায়ত্তশাসন	самостоятельность
স্বায়ত্তশাসন	автономию
স্বায়ত্তশাসন	автономия
উপবাস	поста
দ্রবীভূত	растворяется
সলোমন	соломон
সলোমন	соломоновых
সলোমন	соломона
টান	притча
তালিব	талиб
ইথিওপিয়ার	эфиопия
ইথিওপিয়ার	эфиопии
দুঃসাহসী	смело
দুঃসাহসী	приключений
ফয়েজ	фаиз
এডওয়ার্ডস	эдвардс
নেপোলিয়ন	наполеона
নেপোলিয়ন	наполеон
চেপে	down
চেপে	вниз
ভয়ানক	ужасно
ভয়ানক	вопиющим
গ্র্যাজুয়েট	окончила
গ্র্যাজুয়েট	окончил
গ্র্যাজুয়েট	выпускник
বাসিন্দাদের	жителей
বাসিন্দাদের	резиденты
বাসিন্দাদের	жители
অপ্রকাশিত	неопубликованные
ইউনিক্স	unix
স্টোর	магазин
পদবি	фамилия
সদস্যগণ	членов
সদস্যগণ	члены
সদস্যগণ	участники
প্রি	пре
গুজরাটি	гуджарати
সারাহ	сара
এলিস	элиза
মসলা	специи
মসলা	специй
মসলা	специи
দাঙ্গার	беспорядков
দাঙ্গার	беспорядки
মার্কেটিং	сбыт
মার্কেটিং	маркетинг
মার্কেটিং	маркетинга
মুসলমানরা	мусульман
মুসলমানরা	мусульманам
মুসলমানরা	мусульмане
স্তন	груди
স্তন	грудь
গ্রেগরি	григорий
গ্রেগরি	грегори
বুলগেরীয়	вариант
ফোর্বস	форбс
পুনরাবৃত্তি	повторение
পুনরাবৃত্তি	повторения
পুনরাবৃত্তি	повторить
পুনরাবৃত্তি	повторите
পুনরাবৃত্তি	повторять
পুনরাবৃত্তি	повторяю
পুনরাবৃত্তি	повторить
পুনরাবৃত্তি	переделать
ডেন্টাল	стоматологические
মন্দা	рецессии
মন্দা	спад
উদার	щедрый
উদার	щедрые
উদার	щедро
উদার	щедрость
বখতিয়ার	бахтияр
ক্রেতা	покупателя
ক্রেতা	покупатель
ক্রেতা	покупателем
ক্রেতা	покупателям
ক্রেতা	покупателей
ক্রেতা	покупатели
উপলব্ধ	доступно
উপলব্ধ	доступные
উপলব্ধ	доступны
উপলব্ধ	доступен
উপলব্ধ	имеющихся
ইথিওপিয়া	эфиопия
ইথিওপিয়া	эфиопию
ইথিওপিয়া	эфиопии
লেআউট	макет
স্লোগান	лозунги
স্লোগান	слоган
স্লোগান	лозунг
স্লোগান	девиз
বন্যপ্রাণ	дикой
নামায	молитву
নামায	молитва
অর্ধপরিবাহী	semiconductor
আরোহী	отправка
আরোহী	восходящей
সেরেনা	серена
সেরেনা	сирена
বিস্ময়কর	изумительно
ইউজিন	евгений
ইউজিন	юджин
সেলিনা	селина
সেলিনা	селена
