het	gavo
wat	kas
wat	ko
wat	kokie
wat	kad
word	tapti
dit	šio
deur	durys
deur	durų
dat	kad
hulle	jais
hulle	jas
hulle	joms
hulle	jiems
hulle	jomis
hulle	juos
maar	bet
hierdie	šio
soos	lyg
soos	kaip
afrika	afrikos
afrika	afrika
oor	apie
oor	ausies
afrikaanse	afrikos
afrikaanse	afrika
groot	puikiai
groot	puiku
groot	puiki
meer	ežeras
meer	daugiau
twee	du
kerk	kerk
tussen	eurus
gemeente	susirinkimas
gemeente	mazgas
gemeente	surinkimo
baie	labai
baie	daug
waar	kur
waar	tiesa
waar	tikra
dié	šio
leë	tuščia
leë	tuščias
hom	jį
skakels	nuorodos
nog	nogajų
nog	daugiau
net	tik
net	tik
net	tiesiog
sou	būtų
deel	akcija
deel	dalintis
deel	dalies
deel	dalis
pous	popiežius
sal	bus
bestaan	egzistuoti
kom	ateik
laat	vėlai
style	parengtus
moet	turi
weer	orai
weer	oras
werk	darbas
werk	darbas
klein	nedideli
klein	mažučiai
oos	rytų
hier	čia
hier	cia
tyd	laiko
tyd	laikas
geword	tapti
verenigde	jungtinės
verenigde	jungtinė
wes	vakarų
wes	vakarai
staan	nuolatinio
isbn	isbn
dan	tada
januarie	rankinis
junie	birželis
junie	birželis
junie	birželio
amerikaanse	amerikos
slegs	tik
slegs	tik
slegs	tiesiog
april	balandis
lank	ilgai
lank	ilga
lank	ilgas
gestig	įkurta
reeds	jau
kaapstad	barselonoje
engels	anglų
februarie	vasaris
nou	dabar
provinsie	provincija
provinsie	apskritis
universiteit	universitetas
lewe	gyvenimo
lewe	gyvybės
lewe	gyvybė
lewe	gyvenimas
vier	švęsti
dood	mirtis
dood	mirties
dood	miręs
koning	karalius
aantal	kiekis
voëls	paukščiai
steeds	dar
sluit	uždaryti
sluit	glaudžiai
sluit	užverti
naby	arti
naby	netoli
hoofstad	kapitalas
hoofstad	kapitalo
state	narės
einde	baigti
einde	užbaigti
duitsland	vokietija
kaap	žaliojo
oorlog	karas
oorlog	karo
oorlog	karui
ryk	imperija
ryk	turtingas
asook	labdarys
afrikaans	afrikanų
geskiedenis	istorijos
geskiedenis	istorija
vis	žuvis
vis	žuvys
vis	žuvų
plaas	farm
wetenskaplike	mokslininkas
seun	berniukas
seun	sūnus
algemene	bendri
algemene	bendra
algemene	bendrieji
stadion	stadionas
kinders	vaikai
vertaal	išversti
munisipaliteit	borough
munisipaliteit	savivaldybė
tans	dabar
kort	trumpa
kort	trumpi
kort	trumpai
kort	trumpas
self	save
mens	žmonijos
mens	žmogaus
mens	žmogus
plek	vieta
binne	viduje
swart	juodai
swart	juodas
swart	juodi
swart	juoda
moontlik	įmanoma
maande	mėnesiai
skool	mokykla
skool	mokyklos
familie	šeima
familie	šeimos
familie	šeimyna
hoe	kaip
eiland	sala
eiland	islandija
eiland	islandijos
eiland	salos
soms	kartais
engeland	anglija
engeland	anglijos
engeland	england
johannesburg	johanesburgo
ontwerp	projektavimas
ontwerp	dizaino
ontwerp	dizainas
paar	keletą
rol	roll
vrou	moteris
vrou	žmona
moderne	moderni
woord	žodžiai
tale	kalbos
ontvang	gavimo
ontvang	gautas
amerika	amerikoje
amerika	amerika
amerika	amerikos
webwerf	svetainė
staat	lapas
vandag	šiandienos
vandag	šiandien
geskryf	sudegino
see	seneka
see	jūra
see	jūros
verander	pakeisti
weg	šalin
man	vyru
man	vyro
man	vyras
man	vyru
man	vyras
man	žmogus
huis	namas
besoek	įspūdį
besoek	aplankyti
besoek	lankėsi
administratiewe	administracinis
administratiewe	administracinės
bekende	žymi
beste	geriausi
beste	geriausia
beste	aukščiausia
beste	geriausios
beste	geriausias
kerke	bažnyčios
kerke	bažnyčių
rooi	raudona
skryf	rašyti
skryf	dega
wie	kas
wie	kurie
visse	žuvys
romeinse	romos
gekom	keliavo
sterk	stiprūs
sterk	tvirtas
sterk	stipri
sterk	stiprus
reeks	serija
reeks	serijos
speel	žaisti
speel	groti
speel	grojimą
speel	žaidžia
bou	statybos
wil	nori
wil	norit
stigting	formavimas
streek	regionų
rivier	upės
rivier	upė
grond	dirvožemio
grond	dirvožemį
grond	dirvožemis
spesies	rūšis
spesies	rūšių
spesies	rūšys
verklaar	deklaruotas
meter	metras
meter	metrų
meter	metrai
meter	metrų
historiese	istorinis
historiese	istorinė
historiese	istoriniai
historiese	istorinis
historiese	istorinė
span	komanda
distrik	rajonas
gewen	laimėjo
god	dievas
japan	japonija
japan	japonijos
pad	kelias
pad	kelių
pad	kelio
militêre	karinė
militêre	karinis
militêre	karinės
inligting	informacija
paul	paulius
katolieke	katalikų
keiser	imperatorius
boek	knygą
boek	knyga
sowel	abi
sowel	abu
goed	gerai
goed	geras
goed	puikiai
goed	gera
beide	abi
beide	abu
goeie	gerai
goeie	geras
goeie	puikiai
goeie	gera
val	atleisti
val	krenta
hendrik	hendrik
beheer	kontrolė
min	min
predikant	dvasininkija
park	park
park	parkas
grens	pasienio
skeidsregter	arbitražo
skeidsregter	teisėjas
oudste	seniausias
uiteindelik	pagaliau
buite	lauko
buite	lauke
invloed	įtaka
ouderdom	amžiaus
ouderdom	amžius
blou	auga
blou	augti
blou	blur
woorde	žodžiai
verkiesing	rinkimai
verkiesing	rinkimų
griekse	graikų
sterre	kibirkščių
sterre	barų
sterre	žvaigždžių
jou	tavo
jou	savo
jou	jūsų
slag	mūšių
oseaan	vandenynas
museum	muziejus
museum	muziejų
gregoriaanse	grigaliaus
bome	medžiai
voltooi	atliktas
voltooi	baigtos
voltooi	baigti
voltooi	užbaigti
kilometer	kilometre
kilometer	kilometrai
kilometer	kilometrų
kilometer	kilometrai
raad	patarimų
raad	patarimai
dorpe	miestus
dorpe	miestai
gebly	gyveno
