категорія	category
від	from
від	vid
для	for
також	also
про	about
його	his
його	its
його	him
був	was
населення	demographics
населення	population
було	was
він	wien
під	underneath
під	under
після	after
час	times
час	time
але	but
області	areas
які	which
при	pri
який	which
була	was
були	were
осіб	persons
міста	cities
міста	whim
див	see
село	selo
село	village
район	raion
район	district
через	via
через	due
через	through
села	villages
села	sela
так	yeah
так	yes
тому	ago
рік	rick
рік	year
відстань	distance
ради	council
сша	usa
має	has
має	must
область	oblast
область	area
того	togo
яка	what
яка	which
вони	they
сайті	website
близько	close
близько	near
війни	wars
файл	file
між	between
роки	years
обговорення	discussion
обговорення	discussions
обговорення	discuss
коли	when
вона	she
лише	only
список	list
вересня	september
цей	this
березня	march
місце	spot
місце	place
місце	location
місце	seat
муніципалітет	municipality
україні	ukraine
серпня	august
січня	january
травня	may
грудня	december
інших	other
інших	others
жовтня	october
жовтня	oct
серед	among
один	one
липня	july
участь	participating
участь	involvement
участь	participation
участь	participate
вид	kind
вид	species
вид	view
можна	can
червня	june
місто	town
місто	city
вже	already
життя	life
життя	lifestyle
срср	ussr
квітня	april
листопада	november
лютого	february
лютого	feb
опис	description
центр	ops
центр	center
центр	centre
захід	west
тільки	only
франції	france
століття	centuries
століття	century
рада	council
рада	rada
відстані	distances
схід	east
статті	articles
склад	syllable
склад	warehouse
міні	mini
особи	persons
особи	person
історія	story
історія	history
зображення	images
зображення	picture
зображення	image
зображення	pictures
пункти	items
пункти	points
пункти	options
пункти	entries
код	code
сайт	website
сайт	site
разом	together
інші	other
інші	others
проти	versus
проти	against
тут	here
український	ukrainian
мова	language
історії	stories
історії	history
всі	all
багато	lots
багато	many
багато	much
більше	more
кількість	count
кількість	number
кількість	quantity
шаблони	templates
шаблони	patterns
дуже	very
два	two
перший	first
площа	plaza
площа	square
площа	area
країни	country
країни	countries
назва	name
назва	title
наук	sciences
розташований	located
без	without
голова	head
голова	chairman
народився	born
щодо	about
сторінка	page
той	that
росії	russia
все	everything
все	all
київ	kiev
зокрема	including
роботи	work
біля	near
веб	web
статтю	article
праворуч	right
потім	then
землі	earth
армії	armies
армії	army
саме	precisely
саме	samer
саме	exactly
північний	north
північний	northern
день	day
частина	part
південний	southern
південний	south
смерті	death
період	period
перша	first
такі	following
такі	such
двох	two
навіть	even
розташування	placement
розташування	positioning
розташування	locations
розташування	arrangement
розташування	location
розташування	position
кар	career
три	three
працював	worked
висота	altitude
висота	elevation
висота	height
входить	enters
входить	includes
шаблонів	stencils
різних	different
фільми	films
фільми	movies
сільська	rural
церква	church
створення	creating
створення	generation
створення	create
створення	creation
створення	composing
значення	meaning
значення	values
значення	value
вул	str
системи	system
йому	him
крім	except
тоді	then
ніж	knife
адреса	address
член	member
член	cock
франція	france
адміністративний	administrative
групи	groups
буде	will
буде	bodø
там	there
динаміка	dynamics
національний	national
управління	governance
управління	management
всіх	all
всіх	everyone
нього	him
річки	rivers
дата	date
людей	people
хоча	although
хоча	though
мови	languages
мови	language
українська	ukrainian
поселення	settlement
розподіл	distribution
знаходиться	located
пізніше	later
розвитку	development
вулиця	street
кілька	few
хімічно	chemically
згодом	later
провінції	provinces
картка	card
часто	frequently
часто	often
олександр	alexander
офіційний	official
тис	taxus
департамент	department
віком	aged
тощо	etc
майже	almost
права	right
права	rights
муніципалітетів	communes
церкви	churches
стала	constant
голови	heads
голови	transplant
південь	south
вулиці	streets
перед	prior
перед	before
сім	seven
мав	had
яке	which
автор	creator
автор	author
володимир	wladimir
володимир	volodymyr
володимир	vladimir
типу	type
академії	academy
фільм	movie
фільм	film
карта	map
команди	commands
команди	teams
іван	ivan
іван	john
використання	usage
використання	using
використання	use
використання	uses
головний	chief
головний	main
зоря	zarya
зоря	star
деякі	some
музей	museum
діяльність	activities
діяльність	activity
частини	parts
закінчив	finished
джерела	sources
джерела	providers
джерела	source
кам	camps
честь	honour
честь	honor
організації	organizations
організації	organise
організації	organizing
своїх	their
сил	forces
померли	deaths
дві	two
діяльності	activities
діяльності	activity
клуб	club
ігор	games
ігор	igor
партії	party
перелік	list
перелік	enumeration
роль	role
складається	consists
усі	everybody
усі	all
усі	everyone
україна	ukraine
свої	their
свої	its
університет	university
відомий	famous
микола	nikolai
микола	mikołaj
микола	nicolai
микола	nikolay
микола	mykola
італії	italy
спочатку	initially
школа	school
право	jus
право	right
право	law
євро	euro
далі	next
знову	again
одна	one
хто	who
моря	seas
стаття	article
стаття	paragraph
звання	ranks
звання	rank
статус	status
помер	dead
помер	died
родини	families
польщі	poland
львів	lviv
група	group
новий	new
зір	vision
великий	big
великий	great
назви	names
залізниця	railroad
залізниця	railways
залізниця	railway
система	system
північ	midnight
північ	north
більшість	most
більшість	majority
особливо	particularly
особливо	especially
народження	born
народження	birth
інформація	info
інформація	information
влади	authorities
округ	subprefecture
округ	okrug
округ	district
інститут	institute
інститут	institut
інститут	institution
будинок	house
дослідження	research
дослідження	exploration
дослідження	studies
війна	war
війна	warfare
комуни	commune
приблизно	approx
приблизно	about
приблизно	approximately
багатьох	many
відповідно	respectively
війська	troops
регіон	region
велика	big
велика	magna
людини	humans
рід	clan
рід	reid
рід	genus
рід	reed
дітей	children
міст	bridge
міст	anzac
міст	cities
міст	pont
мала	mala
мала	malaya
генерал	general
мали	had
доходів	equality
статей	articles
статей	sexes
навчання	studying
навчання	study
навчання	learning
навчання	tutorial
єднання	fittings
син	son
фізична	physical
рішення	decision
рішення	decisions
рішення	solutions
питання	question
питання	issues
питання	questions
питання	clue
досить	enough
люди	humans
люди	people
тепер	now
ним	him
медіана	median
компанії	companies
іншими	humbled
іншими	others
походження	origin
дані	data
дані	dani
роду	rightfully
видання	edition
видання	issue
раніше	previously
раніше	earlier
румунії	romania
зазвичай	normally
зазвичай	usually
зазвичай	typically
сан	sens
сан	san
використовується	used
команда	command
команда	team
всього	total
таблиці	tables
таблиці	table
початок	start
початок	begin
початок	beginning
початок	starting
пояс	waist
пояс	belt
сергій	sergei
сергій	serhiy
сергій	sergiy
сергій	sergey
станція	tashkent
станція	station
станція	novosibirsk
існує	exist
існує	exists
проект	project
мати	mother
чоловік	husband
чоловік	man
ліворуч	left
усіх	everyone
книги	books
книги	book
михайло	mikhail
михайло	michael
країн	countries
нагороди	awards
поштові	postage
поштові	postal
офіційна	official
індекси	indices
індекси	indexes
переважно	mainly
переважно	mostly
дії	operations
дії	actions
дії	activity
дії	action
станції	station
станції	stations
світі	littlest
немає	none
освіти	education
професор	professor
руху	moving
японії	japan
служби	services
служби	service
відомі	known
відомі	famed
виробництва	manufacture
орган	organ
різні	different
різні	various
різні	miscellaneous
поділ	divisions
поділ	separations
поділ	splitting
поділ	fission
поділ	division
треба	need
треба	gotta
довжина	length
сили	strength
сили	forces
іграх	olympics
шевченка	chorus
основні	basic
роботу	work
іванович	ivanovich
неї	convictions
неї	neuilly
прапора	flag
тих	sew
тих	those
дня	day
твори	essays
герб	herb
росія	russia
василь	basil
василь	vasily
василь	vasyl
василь	vasil
депутатів	deputies
іспанії	spain
індекс	index
місця	places
місця	locations
місця	seats
відбувається	happening
розвиток	development
альбом	album
товариства	society
засновані	based
гравці	players
серії	series
серії	episodes
німеччини	germany
просто	simply
просто	just
нові	new
письменник	novelist
письменник	writer
інформації	info
слова	words
зараз	now
зараз	currently
працює	running
працює	works
батько	father
декілька	several
декілька	multiple
відомості	information
відомості	details
розмір	size
президент	president
президента	presidential
москва	moscow
американський	american
повністю	fully
повністю	completely
повністю	totally
посилання	references
посилання	link
посилання	reference
посилання	links
пісні	songs
члени	members
науки	science
нова	new
нова	nova
роман	romans
роман	roman
річка	river
