din	от
care	кой
care	което
care	която
mai	mai
mai	маи
mai	повече
mai	още
pentru	за
lui	неговият
lui	неговата
lui	му
lui	неговия
sunt	са
sit	сайт
dupa	след
dupa	след
ale	але
lea	леа
prin	чрез
prin	през
regiunea	район
regiunea	регион
regiunea	област
mare	страхотно
mare	биг
mare	голямо
mare	големи
mare	голям
mare	голяма
mare	море
mare	морето
anul	година
anul	годината
comuna	обща
comuna	общ
comuna	общи
comuna	чести
comuna	община
comuna	обща
comuna	общ
comuna	общи
comuna	чести
externe	външна
externe	външно
externe	външни
externe	външен
locuitori	обитатели
locuitori	жители
locuitori	пребиваващи
locuitori	обитатели
locuitori	жители
legaturi	връзки
legaturi	връзки
legaturi	връзки
vezi	видя
vezi	вижте
vezi	виж
dar	но
cod	код
cod	треска
populatie	популация
populatie	население
bucuresti	букурещ
bucuresti	букурещ
bucuresti	букурещ
romania	румъния
romania	румъния
jpg	jpg
lista	списък
lista	списък
ucraina	украйна
nume	името
nume	наименование
nume	име
ani	нап
ani	ани
ani	години
ani	годините
intre	между
intre	между
pana	тил
pana	докато
pana	перо
pana	перце
doua	двама
doua	две
doua	двама
doua	две
rege	крал
rege	кинг
rege	кралят
rege	цар
rege	краля
sub	под
alte	друго
alte	друг
alte	други
cand	когато
cand	кога
cand	когато
cand	кога
regiune	район
regiune	регион
regiune	област
anii	години
anii	годините
parte	част
judetul	окръг
judetul	графство
judetul	окръг
judetul	графство
centura	колан
centura	колан
centura	колана
centura	колан
centura	колана
dinastia	династия
dinastia	династията
septembrie	септември
timp	времето
timp	време
despre	относно
unde	къде
majoritatea	повечето
majoritatea	мнозинство
majoritatea	мнозинството
majoritatea	мажоритарен
densitate	плътност
limba	език
limba	езикът
limba	езика
limba	език
limba	език
limba	езикът
limba	езика
limba	език
iunie	джун
iunie	юни
multe	mnogo
multe	много
socorro	сокоро
prima	първи
prima	първо
prima	премия
octombrie	октомври
august	август
august	аугуст
sat	село
sat	сат
sat	седна
sat	sat
martie	март
biserica	църква
biserica	чърч
biserica	църквата
biserica	църква
biserica	чърч
biserica	църквата
fisier	файл
fisier	файлът
fisier	досие
fisier	файл
fisier	файлът
fisier	досие
decembrie	декември
toate	всички
toate	всичко
ianuarie	януари
latns	latns
latd	latd
longd	longd
adresa	адрес
adresa	адрес
noiembrie	ноември
cum	как
imagine	снимка
imagine	картинка
imagine	имидж
imagine	картинка
imagine	образ
imagine	изображение
statul	щат
statul	държава
statul	държавно
lor	тяхното
lor	тяхната
lor	техните
lor	техният
familia	семейство
familia	семейството
numele	името
numele	наименование
numele	име
timpul	времето
timpul	време
nord	северно
nord	север
nord	северна
nord	nord
principala	основни
principala	основна
principala	главна
principala	главен
principala	главни
principala	основни
principala	основна
principala	главна
principala	главен
principala	главни
sud	южно
sud	южен
sud	юг
sud	южна
aprilie	ейприл
aprilie	април
erau	бяха
loc	място
primul	първи
primul	първо
iulie	юли
doar	само
doar	единствено
doar	просто
doar	само
editura	издател
editura	издателство
asteroid	астероид
februarie	февруари
recensamantului	преброяването
recensamantului	преброяване
trei	три
trei	трима
asteroizi	астероиди
longm	longm
latm	latm
discutie	дискусия
discutie	обсъждания
discutie	дискусии
discutie	обсъждане
discutie	дискусия
discutie	обсъждания
discutie	дискусии
discutie	обсъждане
discutie	дискусия
discutie	обсъждания
discutie	дискусии
discutie	обсъждане
franta	франция
franta	франция
franta	франция
partea	част
fara	без
fara	без
departamentul	отдел
departamentul	департамент
foarte	много
