doyle	doyle
tagasiside	odozva
kõrvits	tekvica
manfred	manfred
toitainete	živiny
toitainete	živín
toitainete	živiny
toitainete	živín
caspar	caspar
bobby	bobbyho
bobby	bobby
sumeri	sumerských
simone	simone
tenor	tenor
eemaldamine	odstrániť
eemaldamine	odobrať
eemaldamine	odstránenie
eemaldamine	odstraňovanie
eemaldamine	odstránenie
ball	ball
ball	loptu
ball	lopty
ball	lopta
ball	loptička
ball	guľa
globaalne	globálny
globaalne	globálna
globaalne	globálne
key	kľúčová
key	kľúč
key	kľúčové
tõestatud	dokázaná
tõestatud	preukázané
tõestatud	preukázaná
tõestatud	dokázané
toetajad	priaznivcov
vähk	karcinóm
vähk	rakovina
vähk	rakovinu
vähk	rak
coq	coq
ato	ato
bahama	bahamy
bahama	bahamských
larsson	larsson
kandidatuuri	kandidatúru
kandidatuuri	nominácia
kandidatuuri	vymenovanie
kandidatuuri	nomináciu
viola	viola
sept	sept
ookean	ocean
ookean	oceánu
ookean	oceán
jäljed	stopy
jäljed	stôp
jäljed	skladby
jäljed	trate
jäljed	stopy
jäljed	traces
jäljed	stôp
lyoni	lyon
võtmine	užívanie
võtmine	brať
kultuuriline	kultúrna
kultuuriline	kultúrny
kultuuriline	kultúrne
kohtumised	stretnutí
kohtumised	zasadnutia
kohtumised	stretnutia
kohtumised	schôdze
kohtumised	zasadania
vastupidine	inverznú
vastupidine	opačné
vastupidine	reverznej
vastupidine	spätný
vastupidine	opačne
vastupidine	oproti
vastupidine	opak
vastupidine	opačné
bois	bois
kilp	štít
kilp	štíty
miami	miami
sidemeid	obväzy
sidemeid	obväzy
tähelepanuväärne	pozoruhodný
tähelepanuväärne	pozoruhodné
abu	abu
olof	olof
magic	magické
magic	magic
magic	čary
magic	mágia
magic	kúzlo
vali	vybrať
vali	zvoľte
vali	vyberte
vali	vybrať
vali	zvoľte
vali	výber
hubble	hubble
osalus	účasti
osalus	účasť
modifitseeritud	modifikovaný
modifitseeritud	zmenený
modifitseeritud	modifikované
modifitseeritud	zmenené
modifitseeritud	modifikovaná
gregorio	gregorio
glasgow	glasgow
patricia	patricia
quercus	quercus
quercus	dub
vahemaa	vzdialenosti
vahemaa	vzdialenosť
karm	drsný
karm	drsne
karm	tvrdý
karm	ťažké
karm	tvrdá
karm	tvrdé
karm	kruté
seimi	sejmu
kauplus	shop
kauplus	nakupovať
kauplus	obchod
kauplus	predajňa
lähemale	bližšie
koore	kôra
koore	kôry
marja	berry
sektsioon	oddiel
sektsioon	časť
sektsioon	úsek
sektsioon	sekcia
huvid	záujmov
huvid	záujmy
huvid	záujem
huvid	úroky
huvid	úrok
mõõk	meč
ensüüm	enzým
retseptorid	receptora
retseptorid	receptor
retseptorid	receptory
retseptorid	receptorov
ülemineku	prechod
ülemineku	prechodné
föderatsioon	federácia
föderatsioon	federácie
pronks	bronz
laager	tábora
laager	camp
laager	tábor
saatja	vysielač
saatja	odosielateľ
price	price
price	cena
price	cene
sõltuv	závislé
sõltuv	závislých
sõltuv	závislá
tunnistab	uznáva
tunnistab	priznáva
tunnistab	pripúšťa
tunnistab	priznáva
tunnistab	pripúšťa
tunnistab	uznáva
index	index
tarbija	spotrebiteľské
tarbija	spotrebiteľa
tarbija	spotrebiteľ
kolmkümmend	tridsať
kolmkümmend	thirty
mündid	mince
vastutus	zodpovednosť
vastutus	ručenie
vastutus	záväzok
vastutus	pasíva
vastutus	zodpovednosť
vastutus	zodpovednosti
vastutus	povinnosti
vastutus	zodpovednosť
apostel	apoštol
arusaadav	pochopil
arusaadav	rozumel
arusaadav	pochopili
arusaadav	rozumela
arusaadav	pochopila
arusaadav	zrozumiteľné
arusaadav	pochopiteľné
lõpmatu	nekonečný
lõpmatu	nekonečné
lõpmatu	nekonečná
lõpmatu	nekonečnej
lõpmatu	nekonečne
struve	struve
osatähtsus	intenzita
osatähtsus	intenzity
osatähtsus	intenzitu
osatähtsus	svietivosť
osatähtsus	intenzity
dean	dekan
dean	deana
dean	dean
seisukohad	pohľady
seisukohad	zobrazenia
seisukohad	názory
britid	britov
britid	briti
britid	briti
sakslane	nemecká
sakslane	nemčina
sakslane	nemecky
sakslane	nemecké
sakslane	nemecký
sergio	sergio
liikuva	mobile
liikuva	mobilné
liikuva	mobil
liikuva	mobilný
põõsas	bush
põõsas	busha
põõsas	haluz
mozart	mozart
presley	presley
mehitatud	obsadený
vaidlused	sporoch
vaidlused	spory
lugemine	čítajte
lugemine	čítaj
lugemine	čítanie
lugemine	čítať
lugemine	čítania
lugemine	čítaní
lugemine	čítanie
lugemine	čítam
vertikaalselt	vertikálne
henning	henning
parimat	najlepsie
parimat	najlepšie
parimat	najlepší
parimat	najlepšia
parimat	najlepsi
marin	marin
alonso	alonso
peidetud	ukryté
peidetud	skrytý
peidetud	skrytá
peidetud	skryté
dünaamika	dynamika
dünaamika	dynamiky
dünaamika	dynamiku
dünaamika	dynamický
dünaamika	dynamic
dünaamika	dynamická
dünaamika	dynamické
muhammad	muhammad
muhammad	mohamed
edukad	úspešné
edukad	úspešní
edukad	úspešný
edukad	úspešná
tutvustab	zavádzajú
tutvustab	zavádza
kinnine	uzavretá
kinnine	zatvorená
kinnine	zatvorené
kinnine	zavreté
kinnine	uzavreté
federico	federico
lászló	lászló
kirjuta	píšte
kirjuta	písať
kirjuta	napísať
kirjuta	napíšte
kirjuta	píš
kirjuta	napíš
tüüringi	durínsko
täpsus	presnosť
täpsus	presné
täpsus	presnosť
täpsus	správnosť
täpsus	presnosť
kombinatsioon	kombináciu
kombinatsioon	kombinácia
kombinatsioon	kombinácie
kombinatsioon	kombinácii
christie	christie
üliõpilane	študenta
üliõpilane	študent
üliõpilane	študentky
üliõpilane	študentka
hapnikku	kyslíka
hapnikku	kyslík
hapnikku	kyslíkom
vöö	opasok
vöö	pás
maalitud	namaľoval
maalitud	maľba
maalitud	maľoval
arizona	arizone
komi	komi
segatud	zmiešaný
segatud	zmiešaná
segatud	zmiešané
segatud	zmiešaný
valley	valley
valley	dolina
valley	údolia
valley	údolie
juhani	juhani
armin	armin
tunnis	hodinové
tunnis	hodinová
tunnis	hodinovú
tunnis	hodinový
mars	marse
mars	mars
vennaskonna	bratstva
vennaskonna	bratstvo
väljuvad	odchádzajúce
kõrgused	výšok
kõrgused	výšky
kõrgused	heights
lõigatud	rez
lõigatud	strih
põhjendatud	podložené
põhjendatud	odôvodnené
põhjendatud	odôvodnený
põhjendatud	odôvodnené
põhjendatud	oprávnený
põhjendatud	odôvodnené
põhjendatud	oprávnené
põhjendatud	opodstatnené
põhjendatud	oprávnená
epitsenter	epicentrom
epitsenter	epicentra
samoa	samoa
seksuaalne	pohlavný
seksuaalne	sexuálna
seksuaalne	sexuálne
