كيان	qënia
البعيد	largësi
البعيد	largët
البعيد	largët
صعوبات	vështirësi
صعوبات	vështirësitë
جدل	kundërshti
جدل	polemika
جدل	polemikë
شون	shawn
شون	shaun
اسطنبول	stamboll
اسطنبول	stambolli
باتمان	batman
الفلم	filmi
الفلم	film
يولد	lindur
يولد	lindë
يولد	lind
حرق	djeg
حرق	digjem
حرق	digjet
حرق	djeg
النيجر	nigeri
النيجر	nigeria
نقش	gdhendje
نقش	mbishkrim
فلورنسا	firence
بورت	burt
بورت	bert
بورت	porte
بورت	port
بورت	portin
بورت	porti
مترجم	perkthyes
مترجم	përkthyesi
مترجم	përkthyes
مترجم	interpretues
مترجم	përkthyesi
مترجم	përkthyes
جلسات	seancat
جلسات	sesionet
جلسات	seanca
تام	tam
تام	tem
القراءات	lexime
عال	high
عال	lart
عال	lartë
عال	zëshëm
مريض	pacienti
مريض	pacientin
مريض	paciente
مريض	pacient
مريض	sëmur
مريض	semure
مريض	semur
مريض	sëmurë
بطريق	pinguin
جرعة	dozë
مناورات	manovrat
مناورات	manovrat
مثيرة	sexy
مثيرة	seksi
مثيرة	emocionuese
المقيمين	banorëve
المقيمين	banorët
المقيمين	banoret
المقيمين	banorë
المثالية	ideali
الشفاء	shërimi
الشفاء	shërim
الشفاء	shërimin
شتاء	dimri
شتاء	dimër
شتاء	dimrit
شتاء	dimrin
شرب	pish
شرب	pija
شرب	pirja
شرب	pihet
شرب	pi
شرب	pije
شرب	pi
شرب	pish
شرب	pini
شرب	pija
اكتساب	blerje
اكتساب	marrja
اكتساب	blerja
ليوناردو	leonardo
المتاحف	muzeumet
المتاحف	muze
بورما	burma
بورما	birmani
سين	sen
النزاعات	konfliktet
النزاعات	konflikte
النزاعات	mosmarrëveshjet
منتظم	rregullt
الزكاة	zeqatin
الجيولوجية	gjeologjike
رمزي	simbolike
رمزي	simbolik
استكشاف	eksplorimin
استكشاف	eksplorimit
استكشاف	eksploruar
درعا	parzmore
درعا	armatura
درعا	mburojën
درعا	mburoje
درعا	mburojë
درعا	mburoja
الصانع	prodhues
فرس	mare
الذئاب	ujqit
الذئاب	ujqërit
الذئاب	ujq
المواصفات	specifika
زر	buton
زر	butoni
القبلية	fisnore
الطيبة	mirësi
الطيبة	mirësinë
الطيبة	mirësia
الطيبة	mirësisë
جوقة	korit
جوقة	kor
جوقة	kori
موانئ	portet
شعور	ndjen
شعور	feeling
شعور	ndjesi
شعور	ndjenja
شعور	ndjenjë
العملاق	gjigant
العملاق	gjiganti
العملاق	gjigande
العملاق	gjigand
العملاق	gjigandi
ريفية	rural
ريفية	rurale
الصهيوني	nacist
ليلا	natë
ليلا	nata
ليلا	naten
ليلا	nate
ليلا	natën
العجز	paaftësi
العجز	paaftësisë
العجز	deficit
العجز	deficiti
الانتقام	hakmarrje
الانتقام	hak
الانتقام	hakmarrja
جرام	gram
بولونيا	bologna
نيكولا	nikola
نيكولا	nicola
الضابط	oficeri
الضابط	oficer
الفاكهة	frut
الفاكهة	fruti
الفاكهة	fruta
الكود	kodin
الكود	kod
الكود	kodi
حريق	zjarr
حريق	zjar
شواطئ	plazhet
شواطئ	plazhe
الخلط	përzier
الخلط	përzierjen
الخلط	përzierja
الخلط	konfuzion
الخلط	hutuar
الخلط	konfuze
الخلط	konfuz
الخلط	ngatërruar
الزهراء	zahra
زمان	zaman
المقابر	varreza
المقابر	varrezë
تصريح	autorizimi
تصريح	autorizim
تصريح	lejen
تصريح	leje
تصريح	leja
دلالة	rëndësia
منفصل	ndahen
منفصل	ndare
منفصل	ndahen
هود	lagja
هود	hood
بديلة	alternative
بديلة	alternativë
بديلة	alternativa
بديلة	alternativ
بديلة	alternativ
ذروة	kulm
ذروة	kulmin
ذروة	kulmi
الشيعية	shitë
الشهادات	certifikatë
الشهادات	certifikata
الشهادات	çertifikatë
الشهادات	çertifikata
الشهادات	dëshmitë
الشهادات	certifikata
الشهادات	çertifikata
الشهادات	çertifikatat
التنبؤ	parashikimi
التنبؤ	parashikim
المشرف	moderator
المشرف	mbikqyrësi
المشرف	mbikëqyrësi
المشرف	mbikëqyrës
المشرف	mbikqyrës
المشرف	admin
المشرف	administratori
المشرف	administrator
ترميز	gërmave
هيلين	helena
هيلين	helen
يفتح	hapet
الحمد	falenderimi
الحمد	lavdërim
الصيانة	mirëmbajtje
الصيانة	mirëmbajtjen
الصيانة	mirëmbajtja
التبغ	duhanit
التبغ	duhan
التبغ	duhani
اصدار	edicioni
اصدار	edicion
اصدار	edicionin
اصدار	version
اصدار	versionin
اصدار	versioni
اصدار	lëshimi
اصدار	çështja
اصدار	çështje
ليلي	lily
ليلي	lili
فيشر	fisher
فيشر	fisheri
كول	cole
كول	kole
كول	kol
صغار	young
راسل	russell
صديقة	qik
شتات	diaspora
شتات	diasporë
شتات	diasporën
الجمجمة	kafkë
الجمجمة	kafka
الكبريت	squfur
الكبريت	squfurit
الظل	hije
الظل	hijet
الظل	hije
الظل	hija
الظل	hije
يختار	zgjedh
كارتر	carter
كارتر	karter
نيفادا	nevada
القلم	lapsin
القلم	stilolaps
القلم	laps
القلم	lapsi
القلم	pen
التقديرات	vlerësojnë
التقديرات	llogarit
التقديرات	vlerësimet
تدرج	gradient
تدرج	fut
تدرج	fute
مواصلة	vazhdimin
مواصلة	vazhdimi
مواصلة	vazhdim
مواصلة	vazhdoni
مواصلة	vazhdojn
مواصلة	vazhdo
مواصلة	vazhdojnë
كاي	kai
كاي	kay
كاي	kej
كاي	kei
التنين	dragoi
التنين	dragua
التنين	dragon
تغيرت	ndryshuar
تغيرت	ndryshoi
تتويج	kurorë
القيروان	kairouan
اريد	dëshironi
اريد	duan
اريد	duam
اريد	doni
هول	halli
هول	sallë
هول	hall
مشارك	pjesëmarrës
مشارك	pjesmarrës
الطقوس	rituali
الطقوس	ritual
الطقوس	ritualin
الطقوس	ritualet
الطقوس	ritet
الطقوس	rituale
الفطر	kërpudha
المعتقدات	besime
المعتقدات	besimet
المعتقدات	bindjet
دل	del
جرذ	rat
جرذ	miu
سكاي	qiellit
سكاي	sky
سكاي	qielli
