打架	kovoti
奇跡	stebuklus
奇跡	stebuklas
奇跡	stebuklus
精緻	subtilus
比值	santykis
比值	marža
浣熊	meškėnas
浣熊	meškėnai
香織	kaori
蕾絲	nėriniai
半夜	vidurnakčio
阿嬤	kopenhagoje
阿嬤	močiute
阿嬤	močiutė
阿嬤	treniruotė
臨近	artėja
臨近	artinasi
滑坡	slidus
滑坡	nuošliaužos
發燒	karščiavimas
病床	lovos
小麥	kviečiai
小麥	kviečių
橡	ąžuolo
橡	ąžuolų
導覽	kelionių
導覽	ekskursija
導覽	kelione
明信片	atvirukas
明信片	atvirukus
天狼星	sirius
提琴	smuikas
引文	citatą
引文	citata
葫蘆	hulu
氣動	pneumatinės
恐怖主義	terorizmu
恐怖主義	terorizmas
恐怖主義	teroristų
恐怖主義	teroristai
恐怖份子	teroristai
著色	spalvotas
散播	plinta
陰莖	dick
上衣	palaidinė
納粹黨	naciai
照相機	kamera
利茲	leeds
防範	atsargumas
優雅	elegantiška
優雅	elegancija
肋骨	šonkaulių
肋骨	šonkaulių
蚊子	uodų
臀部	hip
臀部	klubas
臀部	klubo
臀部	klubai
臀部	klubų
深層	gilus
深層	gili
深層	giliai
隱私	privatumas
隱私	privatumo
專制	tironiją
專制	autoritarinių
專制	diktatūra
專制	diktatūros
救世主	gelbėtojas
取樣	mėginys
取樣	bandinys
取樣	mėginio
取樣	ėminys
簡潔	paprastumas
床位	lovos
魔法師	vedlys
魔法師	burtininkas
魔法師	magas
腎臟	inkstai
磋商	konsultacijos
磋商	konsultacijų
磋商	pasitarimai
奴役	katorgos
奴役	vergovė
職工	darbuotojui
職工	darbuotojas
工程學	inžinerija
工程學	inžinieriai
工程學	inžinerijos
大豆	sojų
萊茵河	reino
補貼	subsidija
補貼	subsidijas
補貼	subsidijų
補貼	subsidijos
難忘	įsimintina
氣質	temperamentas
劍術	aptvarų
安然	enron
肥皂	muilo
肥皂	muilas
衍射	difrakcijos
盧比	rupijų
盧比	rupija
英畝	hektarų
英畝	akras
奢侈	prabanga
奢侈	prabangos
斯拉夫人	slavai
劫機	užgrobimas
綏靖	nuolaidžiavimo
火柴	atitinka
才華	talentas
才華	talentinga
才華	talentingas
船隊	laivyno
船隊	laivynas
船隊	konvojus
船隊	laivynų
海牛	lamantinas
污染物	teršalai
污染物	teršalų
外套	švarkas
外套	paltą
閱兵	paradas
閱兵	paradų
輪廓	kontūras
輪廓	kontūrai
卵巢	kiaušidės
卵巢	kiaušidžių
因數	faktorius
因數	daugiklis
因數	veiksnys
邀請賽	invitational
鉻	chromo
保佑	palaimink
土匪	banditas
土匪	banditai
撒旦	šėtonas
密謀	kreivės
幼稚	naivi
幼稚	vaikiškas
退休金	pensija
退休金	pensijos
退休金	pensija
退休金	pensijos
益智	galvosūkiai
益智	molekulių
衝動	impuls
技藝	įgūdžiai
作弊	apgaudinėja
預告片	priekabos
預告片	priekabų
預告片	priekaba
蟾蜍	dau
轉錄	transkripcijos
儲蓄	taupymas
儲蓄	santaupos
儲蓄	taupymo
儲蓄	santaupų
篇章	sura
咖哩	kario
口頭	žodžiu
倡導	advocate
論證	argumentai
沙龍	šeron
果汁	sultys
果汁	sulčių
慷慨	dosnumą
慷慨	dosnus
靜脈	venomis
單詞	žodžiai
金髮	blondinė
聲樂	vokalinių
正午	vidurdienį
正午	vidurdienį
迷人	žavinga
地質學家	geologas
地質學家	geologų
專賣	monopolijos
專賣	monopolija
專賣	monopolis
凱旋	triumfas
試鏡	nusifilmuoti
油漆	dažai
油漆	dažų
油漆	dažai
威望	prestige
觀光客	turistai
觀光客	turistų
鄭州	džengdžou
茶葉	arbata
茶葉	arbatos
櫟	quercus
櫟	ąžuolo
櫟	ąžuolų
督導	priežiūros
督導	priežiūra
豌豆	žirniai
豌豆	žirnių
怒火	pyktis
怒火	pykčio
氣味	kvapas
氣味	kvapą
氣味	kvepia
玄武岩	bazaltas
搶奪	panų
餘額	balansas
餘額	likučiai
清真	halal
腦袋	smegenys
腦袋	smegenų
腦袋	smegenys
腦袋	smegenis
英俊	gražuolis
英俊	gražus
木制	medinė
木制	mediniai
熏	kaoru
可笑	absurdiška
可笑	absurdas
可笑	absurdiškas
粘土	molis
粘土	molio
火線	crossfire
鐘錶	laikrodžiai
片假名	katakana
劣勢	nenaudai
綠地	žalia
中樞	centrus
中樞	hub
交集	sankirtos
配對	pora
劍客	muškietininkai
椰	kokosų
保齡球	boulingo
藤子	fujiko
螃蟹	krabai
螃蟹	krabas
懸崖	uolų
懸崖	uolos
拆毀	griovimo
師兄	broli
師兄	brolis
