aranžman	توافق
brojke	شکلها
brojke	شکلی
brojke	شکلهای
brojke	ارقام
batman	بتمن
bacio	انداخت
dijalog	محاوره
dijalog	محاوره
rasti	رشد
koloniju	کلونی
koloniju	مستعمره
pozitivan	مثبت
odluci	تصمیم
odluci	فیصله
apache	آپاچی
prihvaćanje	پذیرفتن
prihvaćanje	پذیرش
prihvaćanje	پذیرفتن
prihvaćanje	پذیرش
prihvaćanje	قبولی
dob	عصر
dob	age
dob	سنی
dob	سن
podne	نیمروز
podne	ظهر
tina	تینا
debljina	ضخامت
dolar	دلار
dolar	دالر
paulie	پائولی
sjene	سایه
sjene	شادو
lopez	لوپز
rtl	rtl
poteškoća	دشواری
poteškoća	سختی
disanje	تنفس
disanje	تنفس
ogroman	بزرگی
software	نرمافزار
arabije	عربستان
olga	اولگا
jede	خوردن
jede	خوری
jede	میخورد
odgoja	پرورش
gusto	ضخیم
gusto	کلفت
rekonstrukcija	بازسازی
erupcija	فوران
šesnaest	sixteen
šesnaest	شانزده
kan	khan
kan	خان
kan	هانگ
kan	کان
sumnja	مظنونین
sumnja	بدگمانی
sumnja	ظن
sumnja	شک
sbc	sbc
igranje	پخش
jaki	قوی
horn	هورن
horn	بوق
horn	شیپور
horn	صور
pobunjenika	شورشی
pobunjenika	یاغی
pobunjenika	طغیان
biblija	انجیل
četrnaest	چهارده
koordinate	مختصات
walesa	ولز
walesa	ویلز
stockholm	استکهلم
magnetsko	مغناطیسی
zbunjen	پریشان
zbunjen	گیج
zbunjen	سردرگم
zbunjen	آشفته
standardima	استانداردها
standardima	استانداردهای
kontroverze	مجادله
kontroverze	جدال
kontroverze	جنجال
abdul	عبدل
margaret	مارگرت
margaret	مارگارت
price	قیمتش
price	بهای
price	پرایس
price	بهایی
price	قیمتی
price	قیمت
price	داستان
price	داستانها
stana	استن
židove	یهود
židove	یهودیان
židove	یهودی
židove	یهودی
atlantic	اطلس
atlantic	اطلسی
atlantic	آتلانتیک
svinje	خوک
platforme	سکوهای
plamen	شراره
plamen	شعله
plamen	شعله
beat	بیت
čuvar	گاردین
čuvar	نگهبانی
čuvar	گارد
ratko	راتکو
hrast	اوک
hrast	بلوط
melodije	تونز
kiss	بوس
kiss	بوسه
kiss	ماچ
kiss	kiss
kiss	ببوس
odgovorna	مسئول
odgovorna	مسول
odgovorna	مسئولیت
icao	ایکائو
doseg	گستره
doseg	گسترۀ
premijeru	پریمیر
premijeru	افتتاحیه
infrastrukture	زیرساخت
okusa	طعمی
okusa	مزه
okusa	مزه
okusa	مزه
osjećaje	احساسات
osjećaje	احساس
osjećaje	احساساتی
lamarck	لامارک
hipoteza	فرضیه
organiziranje	سازماندهی
kylie	کایلی
pravno	قانونا
pravno	مجاز
pravno	قانونی
pravno	حقوقی
zbroj	مجموع
zbroj	مبلغ
diamond	الماس
diamond	دیاموند
diamond	الماسی
diamond	دایموند
duncan	دانکن
pumpa	پمپ
pumpa	تلمبه
fern	فرن
fern	سرخس
airbus	ایرباس
clara	کلارا
pera	پر
pera	پرم
pera	پر
pera	پرهای
norme	نورم
nosa	دماغ
nosa	بینی
bomba	بمب
metalni	متال
metalni	فلز
metalni	فلزی
metalni	فلز
metalni	فلزی
tower	تاور
tower	برج
bush	بوته
bush	بوش
euonymus	شمشاد
ujak	عمو
ujak	عموی
ujak	دایی
dokumenta	اسناد
dokumenta	سند
dokumenta	نوشتار
bauer	باور
bauer	بائر
izvorna	اصیل
izvorna	اصلی
izvorna	اوریجینال
sara	ساره
sara	sara
sara	سرا
lokomotive	محرکه
lokomotive	لوکوموتیو
rené	رنه
rené	رنه
radoslav	رادوسلاف
neriješeno	گره
neriješeno	کروات
neriješeno	کراوات
sullivan	سالیوان
firenca	فلورنس
firenca	فلورانس
slabi	ناتوان
slabi	ضعیفی
slabi	ضعیف
slabi	سست
svijetlo	سبک
svijetlo	روشنایی
svijetlo	نور
svijetlo	روشن
svijetlo	نوری
svijetlo	یکدست
svijetlo	درخشان
braun	براون
predsjednici	جمهور
zadatke	تکالیف
posjeti	آباد
posjeti	ملاقات
posjeti	عیادت
posjeti	بازدید
posjeti	برسد
posjeti	بازدید
posjeti	دیدن
posjeti	بازدید
ekonomist	اقتصاددان
emitiranje	پخش
emitiranje	مخابره
pločice	کاشی
izrazi	عبارتهای
vulkan	آتشفشان
vulkan	وولکان
jacob	یعقوب
jacob	جیکوب
jacob	یاکوب
jacob	جاکوب
purcell	پرسل
okružuju	اطراف
okružuju	احاطه
okružuju	پیرامون
okružuju	محاصره
okružuju	احاطه
okružuju	فراگیر
intervencije	مداخلات
