morris	morris
als	als
populiacijų	bevölkerung
populiacijų	populationen
populiacijų	bevölkerungen
spartakas	spartacus
ralph	ralph
aistra	leidenschaft
aistra	passion
aistra	leidenschaften
aistra	leidenschaftlich
lau	lau
pumpurai	knospen
aramėjų	aramäisch
città	città
neutronų	neutronen
neutronų	neutron
įrengimai	anlagen
įrengimai	installationen
atostogos	ferien
atostogos	urlaub
laskeris	lasker
estetika	ästhetik
estetika	ästhetisch
estetika	ästhetischen
saksofonas	saxophon
jachta	yacht
jachta	segelboot
liepsnos	flamme
liepsnos	feuer
liepsnos	flammen
liepsnos	flammen
liepsnos	flames
reikmenys	zubehörteile
reikmenys	zubehör
reikmenys	accessoires
aerodromo	flugplatz
katastrofa	katastrophen
katastrofa	desaster
katastrofa	katastrophenhilfe
katastrofa	katastrophe
katastrofa	unglück
katastrofa	katastrophen
katastrofa	desaster
katastrofa	katastrophe
kakava	kakao
kakava	kakaobutter
kataras	katar
danai	dänen
antropologija	anthropologie
konsultavimo	beratung
konsultavimo	beratungsleistungen
konsultavimo	unternehmensberatung
konsultavimo	beratungsunternehmen
colin	colin
prognozė	prognose
prognozė	vorhersage
prognozė	vorhersagen
prognozė	voraussage
prognozė	prognose
oršos	orscha
heinz	heinz
valentino	valentino
gėrimus	likör
gėrimus	spirituosen
gėrimus	alkohol
gėrimus	schnaps
gėrimus	schnaps
gėrimus	saufen
gėrimus	alkohol
gili	tiefe
gili	tief
gili	deep
gili	tiefen
intensyvi	intensive
intensyvi	intensiver
intensyvi	intensiv
intensyvi	heftig
intensyvi	intensiven
surinktos	zusammengestellt
surinktos	zusammengebaut
surinktos	zusammengesetzt
surinktos	montiert
atsargiai	vorsichtig
atsargiai	sorgfältig
atsargiai	vorsicht
atsargiai	aufpassen
atsargiai	sorgfältig
atsargiai	vorsichtig
agentai	agenten
agentai	vertreter
claudio	claudio
griežtas	streng
griežtas	strenger
griežtas	strikte
griežtas	strengen
griežtas	strenge
griežtas	zeichenkette
griežtas	zeichenfolge
griežtas	zeichenketten
griežtas	string
griežtas	schnur
urbino	urbino
jena	jena
šeichas	sheikh
šeichas	scheich
derrida	derrida
heep	heep
priemaišų	verunreinigung
priemaišų	verunreinigungen
priemaišų	verschmutzungen
bliuzo	blues
bliuzo	blau
kaukės	maske
kaukės	masken
lėtinė	chronischen
lėtinė	chronisch
lėtinė	chronischer
lėtinė	chronische
prisimena	erinnert
kaukė	maske
kaukė	schablone
kaukė	masken
dzin	ding
dzin	jin
šautuvą	flinte
šautuvą	beifahrer
šautuvą	schrotflinte
šautuvą	gewehr
šautuvą	flinte
šautuvą	gewehr
nuodai	vergiften
nuodai	vergiftet
nuodai	vergiftung
nuodai	gift
pigmentas	pigment
pigmentas	pigmente
kviečia	eingeladen
kviečia	bittet
kviečia	einladungen
kviečia	lädt
clausura	clausura
lópez	lópez
marilyn	marilyn
dubline	dublin
jules	jules
bloga	böse
bloga	schlecht
bloga	bad
bloga	schlimm
bloga	schlechten
laikotarpiai	perioden
laikotarpiai	zeiten
laikotarpiai	zeiträume
kaltinimai	anschuldigungen
kaltinimai	vorwürfe
kaltinimai	anklagen
kaltinimai	beschuldigungen
generatorius	generatoren
generatorius	generator
generatorius	stromerzeuger
rex	rex
tiraspol	tiraspol
repertuarą	repertoire
bandera	bandera
keista	merkwürdig
keista	komisch
keista	seltsam
keista	schräg
keista	strange
keista	merkwürdig
keista	seltsam
keista	komisch
granados	granados
gerhard	gerhard
diskusijas	gespräche
diskusijas	diskussion
diskusijas	diskussionen
diskusijas	debatte
diskusijas	aussprache
diskusijas	verhandlungen
diskusijas	diskussionen
diskusijas	debatten
spencer	spencer
dre	dre
kazino	casinos
kazino	kasinos
kazino	kasino
kazino	casino
kazino	kasinos
prieiga	zugang
prieiga	zugänglichkeit
prieiga	erreichbarkeit
prieiga	barrierefreiheit
leidėjai	verlage
leidėjai	herausgeber
leidėjai	verleger
leidėjai	verlag
pleistoceno	pleistozän
lango	schaufenster
lango	fenster
mazda	mazda
mokomųjų	tertiäre
mokomųjų	tertiären
tereza	tereza
pučia	weht
pučia	schläge
pučia	bläst
superlyga	superliga
virusai	viren
valgo	isst
valgo	frisst
paskirstymo	vertrieb
paskirstymo	aufteilung
paskirstymo	verteilung
kovinė	milizen
kovinė	miliz
prov	prov
klinikų	kliniken
argumentai	vorbringen
argumentai	argumenten
argumentai	argumente
paulina	pauline
paulina	volker
lovos	betten
lovos	bett
lovos	bettwäsche
lovos	bett
larisa	larissa
singapūras	singapur
spora	spore
spora	sporen
bobas	bob
zanzibaro	tansania
zanzibaro	sansibar
lava	lava
pranašas	prophet
pranašas	propheten
užtaisas	patrone
tyčia	bewusst
tyčia	absichtlich
tyčia	bewußt
tyčia	vorsätzlich
tyčia	absichtlich
tyčia	vorsätzlich
tunise	tunesien
ansambliai	ensembles
ansambliai	kombinationen
obligacijos	schuldverschreibungen
obligacijos	obligationen
obligacijos	anleihen
obligacijos	bindungen
išnykimas	ausrottung
išnykimas	erlöschen
išnykimas	aussterben
saugyklos	archiv
saugyklos	depot
saugyklos	repository
kurorto	entertainer
intensyvus	intensive
intensyvus	intensiver
intensyvus	intensiv
intensyvus	heftig
intensyvus	intensiven
purvo	dreck
purvo	schlamm
chan	chan
pietūs	mittag
pietūs	mittagspause
pietūs	mittags
pietūs	mittagessen
žemumų	tiefland
riebalai	fetten
riebalai	fett
riebalai	fette
riebalai	fetten
riebalai	fettgehalt
riebalai	fett
riebalai	fette
gerard	gérard
gerard	gerard
gestapo	gestapo
obligacijų	bindung
obligacijų	anleihe
obligacijų	kaution
obligacijų	anleihen
obligacijų	bond
obligacijų	schuldverschreibungen
obligacijų	obligationen
obligacijų	anleihen
obligacijų	bindungen
atakamos	atacama
koch	koch
humanitarinės	humanitärer
humanitarinės	humanitäre
humanitarinės	humanitären
cha	cha
derinti	kombiniert
derinti	kombinieren
derinti	verbinden
ištikimas	treue
ištikimas	loyal
ištikimas	treu
ištikimas	treuen
ištikimas	treue
ištikimas	gläubige
ištikimas	treu
ištikimas	gläubigen
ištikimas	treuen
sustiprina	stärkt
markgrafas	markgrafen
markgrafas	markgraf
kooperatyvų	sozialwirtschaft
kooperatyvų	genossenschaften
kooperatyvų	genossenschaft
kooperatyvų	kooperativen
solidarumo	solidarisch
solidarumo	solidarität
citroën	citroën
azovo	asow
wallace	wallace
fernández	fernandez
fernández	fernández
svečias	gästezimmer
svečias	gäste
svečias	gast
šventa	heilig
šventa	heilige
šventa	heiligen
šventa	heiliges
šventa	heiliger
beitar	beitar
veto	veto
veto	vetorecht
salono	kabine
salono	hütte
salono	kabinen
paliaubas	waffenruhe
paliaubas	waffenstillstand
paliaubas	frieden
paliaubas	friede
dramblys	elefanten
dramblys	elefant
atnaujinimas	aktualisierung
atnaujinimas	upgrade
atnaujinimas	aktualisieren
atnaujinimas	aufrüstung
atnaujinimas	aktualisierung
atnaujinimas	aktualisierungen
atnaujinimas	aktualisieren
atnaujinimas	erneuerung
atnaujinimas	verlängerung
atnaujinimas	stadterneuerung
murray	murray
robur	robur
lvovas	lwow
notre	notre
nižnij	nischni
veši	gedeiht
fame	bekanntheit
fame	berühmtheit
fame	ruhm
fame	berühmt
fame	fame
mokymai	ausbildung
mokymai	schulungen
mokymai	weiterbildung
mokymai	schulung
mokymai	fortbildung
fff	fff
jungo	joch
ruta	ruta
tėtis	vater
tėtis	papi
tėtis	daddy
tėtis	papa
