castle	замок
rain	дощ
eugene	євген
eugene	юджин
eugene	євгеній
çakmak	носову
evrimsel	еволюційна
duyar	дізнається
spin	лічильника
kaldırma	вилучення
kaldırma	видалення
kaldırma	підняти
kaldırma	ліфт
kaldırma	підібрали
kaldırma	піднімати
kaldırma	вилучення
kaldırma	видалення
emmanuel	еммануель
gregory	ґреґорі
gregory	григорій
gregory	грегорі
aşı	вакцина
aşı	вакцини
feneri	маяк
atanan	призначена
atanan	оргкомітет
atanan	призначені
atanan	призначив
esasen	принципово
ahlak	етика
ahlak	віце
ahlak	заступник
ahlak	мораль
ahlak	мораль
ahlak	мораль
dimitri	дмитро
dimitri	дмитрій
duyuruldu	оголосили
malmö	мальме
sözde	вірогідно
sözde	ніби
sözde	імовірно
şiddetle	сильно
şiddetle	криваво
şiddetle	насилля
şiddetle	насильство
ajan	агенти
ajan	агент
harrison	гаррісон
logosu	логотип
kaçak	runner
kaçak	біг
kaçak	втікач
çevirmen	перекладач
çevirmen	інтерпретатор
çevirmen	переклад
korunma	захист
işçiler	робітників
işçiler	працівників
işçiler	працівники
işçiler	робітники
işçiler	співробітників
işçiler	працівників
işçiler	працівники
işçiler	службовців
devil	диявол
devil	біс
connecticut	коннектикут
uyku	сон
uyku	спати
uyku	забуте
uyku	спить
meksikalı	мексиканська
meksikalı	мексиканський
tanıma	визнання
colin	колін
golcü	scorer
kubbe	купол
rakam	цифр
rakam	цифри
rakam	цифру
rakam	цифра
rakam	число
rakam	кількість
rakam	номер
rakam	номера
rakam	числівник
jules	жуль
görüşmeler	дискусії
görüşmeler	обговорення
görüşmeler	зустрічей
görüşmeler	зустрічі
imal	виготовлено
imal	виготовлена
patrik	патріарх
marsilya	марсель
asil	благородний
asil	благородні
sürpriz	здивувати
sürpriz	здивування
sürpriz	сюрприз
sürpriz	несподіванка
biter	завершується
biter	завершує
biter	закінчується
esnek	гнучкий
esnek	гнучка
esnek	гнучкість
esnek	flex
cameron	кемерон
lopez	лопес
şikâyet	скарга
kalıntılar	залишається
kalıntılar	залишки
kalıntılar	руїни
kalıntılar	радикали
günah	гріхом
günah	гріха
günah	гріх
günah	гріхи
mide	живіт
mide	шлунок
parma	парма
mehdi	мехді
denizci	моряк
denizci	морська
rika	ріка
joel	джоел
yazıyor	записує
yazıyor	пише
elena	олена
elena	елена
elena	олена
volga	волга
kanatlı	крилаті
vestfalya	вестфалія
crystal	ясні
crystal	кристал
julian	юліан
beklenmedik	неочікуваний
beklenmedik	несподіваний
beklenmedik	несподіване
pasaportu	паспорт
duyarlı	адаптивний
duyarlı	чутливі
duyarlı	урахуванням
şampiyonları	чемпіони
fritz	фріц
etken	фактори
etken	коефіцієнт
etken	фактор
zincir	ланцюги
zincir	ланцюжок
zincir	ланцюг
mekaniği	механіка
depo	склад
depo	зберігання
depo	носії
depo	сховище
depo	сховище
nişan	aim
nişan	квітень
nişan	квітня
nişan	квітні
nişan	заручини
nişan	взаємодія
burton	бертон
stanford	стенфорд
başlıkları	заголовки
hac	паломництво
planlı	заплановану
planlı	заплановані
planlı	заплановано
planlı	запланований
planlı	запланована
planlı	заплановано
planlı	запланований
planlı	заплановане
çerçeve	кадри
çerçeve	блоки
çerçeve	рамки
çerçeve	каркас
çerçeve	рамках
çerçeve	блок
çerçeve	кадр
çerçeve	рамка
artı	плюс
artı	plus
protokol	протокол
edinburgh	единбург
cadde	стріт
cadde	вулиця
tanımlama	визначення
tanımlama	визначення
tanımlama	ідентифікація
tanımlama	опис
tanımlama	characterization
rovers	волоцюги
yatan	закладання
disiplin	дисципліни
disiplin	дисципліна
disiplin	дисциплінарна
tutulması	затемнення
jedi	джедаї
torres	торрес
genişletilmiş	збільшено
genişletilmiş	широкий
kompleks	комплекс
kompleks	складні
lazio	лаціо
nevada	невада
eskimo	eskimo
eskimo	іглу
ekvador	еквадор
çeşitlilik	різноманітність
çeşitlilik	diversity
çeşitlilik	різноманітності
çeşitlilik	різноманіття
çeşitlilik	різноманітність
çeşitlilik	сорти
çeşitlilik	різноманітності
sankt	sankt
sankt	санкт
barselona	барселона
çekilmesi	зняття
honda	honda
fosil	пластові
tevrat	тора
silindir	циліндр
silindir	циліндри
market	продуктовий
market	маркет
market	ринкова
market	ринок
market	ринку
chi	чі
chi	хі
chi	chi
defteri	записник
defteri	зошит
azalır	знижує
azalır	зменшує
nbc	викладала
uzaklık	дистанція
uzaklık	відстань
uzaklık	дистанції
milyonlarca	мільйонами
milyonlarca	мільйони
yaratmak	створення
dâhil	включено
dâhil	включені
savcı	прокурор
savcı	прокурора
winter	зима
israilli	ізраїльська
iade	повертається
iade	повертає
iade	повернутися
iade	повернення
sola	ліворуч
sola	ліва
sola	лівий
sola	зліва
yükselir	сходить
yükselir	піднімається
maggie	меггі
bıçak	лезо
bıçak	клинок
bıçak	ножі
bıçak	ніж
anlatıyor	розповідає
anlatıyor	підказує
anlatıyor	повідомляє
nikola	нікола
nikola	нікола
hıristiyanlık	християнство
kararları	рішення
kararları	рішень
kaldırmak	вилучення
kaldırmak	видалення
kaldırmak	піднімати
desteklenen	підтримувані
desteklenen	підтримали
desteklenen	підтримується
nietzsche	ніцше
ntv	нтв
komut	команд
komut	команди
komut	наказую
komut	командний
komut	команда
yöneticiler	менеджерів
yöneticiler	директорів
yöneticiler	адміністраторів
yöneticiler	лінійки
yöneticiler	адміністратори
yöneticiler	керівники
kayalık	рокі
statik	статичні
lima	ліма
baltimore	балтимор
pazarı	маркет
pazarı	ринкова
pazarı	ринок
pazarı	ринку
diferansiyel	диференціальна
aydınlık	світлі
aydınlık	світле
aydınlık	light
aydınlık	світло
aydınlık	світлий
aydınlık	яскраві
aydınlık	яскраве
aydınlık	яскрава
aydınlık	зійшла
aydınlık	яскравість
felix	фелікс
neolitik	неоліт
maryland	меріленд
glory	славу
glory	слава
sorar	запитує
sorar	питає
brad	бред
randy	ренді
kilit	блокування
kilit	зафіксувати
kilit	замкнути
kilit	заблокувати
kilit	блокування
kilit	блокує
kilit	замки
kıdemli	стаж
kıdemli	старший
kıdemli	сеньйор
sektörü	сектор
igor	єгор
igor	ігор
igor	ігоре
miles	кілометрів
tecrübeli	досвідчений
tecrübeli	досвідчені
tecrübeli	досвідченого
tecrübeli	досвідчених
borç	борги
borç	борг
borç	кредитні
borç	кредит
borç	кредиту
borç	борг
borç	боргу
aralıklarla	проміжки
yönetmenlik	керує
viktor	віктор
sincan	сіньцзян
claire	клер
étienne	етьєн
spurs	сперс
çifti	пара
çifti	пари
çifti	пара
çifti	парочка
tanık	свідки
tanık	свідок
tanık	вдавалось
belarus	білорусі
belarus	білорусь
periyodik	періодична
periyodik	регулярні
çömlek	кераміка
diziler	масивів
asistanı	помічники
asistanı	помічника
asistanı	помічник
aileleri	сімей
aileleri	родин
aileleri	родини
falcon	falcon
falcon	сокіл
jamie	джеймі
boğa	taurus
boğa	бик
boğa	бул
boğa	бика
boğa	булл
oranları	курси
oranları	швидкостей
sporcular	спортсмени
sporcular	спортсмени
norveçli	норвезька
arıcılık	бджільництво
mutfak	кухня
mutfak	кухні
mutfak	кухня
mutfak	кухню
eleştirmen	критик
gilbert	гілберт
spartak	спартак
carolina	кароліна
cihazlar	пристроями
cihazlar	пристроїв
cihazlar	пристрої
janet	джанет
taşıdı	несуть
taşıdı	проводяться
okumak	прочитайте
okumak	читати
okumak	прочитані
okumak	читайте
okumak	прочитати
okumak	читання
okumak	читання
ural	урал
sembol	символ
sembol	шеврон
hicaz	хіджаз
christina	крістіна
christina	христина
bildirir	сповіщає
bildirir	повідомить
uzmanlık	спеціалізації
uzmanlık	specialty
mesih	месія
keşfi	відкриття
keşfi	знахідка
chaplin	чаплін
tay	кольт
johan	йоган
çete	банда
çete	gang
çete	банди
foster	фостер
fotoğrafçı	фотограф
grönland	ґренландії
şimdiden	уже
şimdiden	вже
soykırım	геноцид
soykırım	голокосту
bakanlık	міністерства
bakanlık	міністерство
ibm	ibm
faith	віра
key	ключ
key	клавіша
peri	німфа
peri	фея
çizim	ескіз
çizim	креслення
çizim	малюнок
çizim	малювання
ihracat	експортує
ihracat	експорт
ihracat	експорт
ihracat	експортувати
shane	шейн
simetrik	симетричне
mah	mah
infaz	виконано
infaz	виконання
yüzük	кільце
yüzük	перстень
yüzük	каблучка
yüzük	кільцева
yüzük	кільця
yüzük	обручки
deneyimi	досвід
genişleme	розширення
genişleme	розгортання
genişleme	розширення
bağlanmış	долучено
aramaya	пошук
yanlışlıkla	помилково
yanlışlıkla	випадково
tutsak	полоні
tutsak	затримані
tutsak	полонених
tutsak	полон
sonsuza	назавжди
sonsuza	forever
sonsuza	навіки
protokolü	протокол
emily	емілі
haiti	гаїті
üçüncüsü	третє
üçüncüsü	третій
üçüncüsü	третя
iphone	iphone
buluşma	кондратюка
buluşma	дату
buluşma	дата
buluşma	датою
buluşma	засідання
buluşma	нарада
buluşma	зустрічі
buluşma	зустріч
kazanma	вигравати
kazanma	забив
kazanma	виграш
kazanma	перемагає
korkut	лякати
korkut	налякати
fikirler	ідеї
liderlik	провідних
liderlik	вели
liderlik	провідний
liderlik	лідерство
liderlik	лідерства
temelde	принципово
temelde	коротше
jimnastik	зарядка
jimnastik	гімнастика
sağlanan	надані
sağlanan	надано
sağlanan	вказано
sağlanan	надано
garcia	гарсія
sembolik	символічне
sembolik	символічні
sembolik	символічних
minimum	мінімальна
minimum	мінімальний
minimum	мінімум
minimum	мінімально
minimum	мінімальне
minimum	мінімальна
minimum	мінімальне
cbs	cbs
cbs	гіс
yen	єн
joey	джої
asistan	жителька
asistan	помічники
asistan	помічника
asistan	помічник
parametre	параметр
karşılaşma	збіг
karşılaşma	відповідність
karşılaşma	матч
karşılaşma	двобій
karşılaşma	сірники
karşılaşma	могил
karşılaşma	зустріч
bitkisel	овочі
bitkisel	овочеві
bitkisel	вегетативне
sedan	седан
önerisi	пропозиція
topluluklar	громад
topluluklar	товариств
veronica	вероніка
nötron	нейтронів
nötron	нейтронна
hentbol	гандбол
hentbol	гандболу
agg	agg
derinliği	глибина
beğeni	рейтинг
beğeni	оцінкою
beğeni	оцінка
beğeni	уподобання
beğeni	уподобань
beğeni	подобається
beğeni	вподобань
beğeni	вподобання
beğeni	любителів
şifreleme	шифрування
şifreleme	шифрування
şifreleme	шифрування
şifreleme	криптографія
şifreleme	шифрування
galileo	галілео
chuck	чак
goethe	гете
wales	уельсу
wales	уельс
fetih	завоювання
fetih	conquest
fetih	підкорення
fetih	завойовником
kulüpleri	клуби
kulüpleri	жир
kulüpleri	клубів
meşgul	зайнята
meşgul	зайнятість
meşgul	зайнятий
meşgul	зайнято
beyan	заява
beyan	виписка
beyan	твердження
beyan	декларація
beyan	оголошення
engellendi	заблоковано
engellendi	заблокували
engellendi	заблоковані
taklit	імітація
chan	чан
yakalandı	зловили
yakalandı	спіймав
yakalandı	полон
yakalandı	спіймав
yakalandı	захопили
yakalandı	захоплені
çekimler	пострілів
çekimler	постріли
monarşi	монархія
kaybeder	втратить
kaybeder	програє
kaybeder	втратити
kaybeder	програти
milletvekilleri	депутатів
milletvekilleri	mps
mevsim	сезонні
mevsim	season
mevsim	сезон
mevsim	сезону
mevsim	сезони
videoları	відео
analitik	аналітичних
bahreyn	бахрейн
sarp	круті
maccabi	маккабі
atp	атп
turne	гастролі
turne	tour
turne	тур
turne	турне
kaydedilen	записано
kaydedilen	записав
kaydedilen	збережені
kaydedilen	збережених
kaydedilen	збережено
kaydedilen	збережений
kaydedilen	врятований
sipariş	порядок
sipariş	замовити
sipariş	ордер
sipariş	наказ
sipariş	порядок
sipariş	замовлення
ağaçlar	дерев
ağaçlar	дерева
bern	берн
bulanık	нечіткий
bulanık	утворення
ispat	довести
gözlemci	спостерігач
gözlemci	спостерігача
gerilla	партизан
gerilla	партизани
gerilla	партизанська
gerilla	партизанів
değişti	змінився
değişti	змінилася
değişti	змінено
değişti	змінений
değişti	змінені
toplamak	збір
toplamak	збирання
dolaşım	гостра
dolaşım	обіг
anlamsız	безглуздо
anlamsız	марними
bataklık	болото
bataklık	марш
bataklık	марші
katılacak	присутній
palermo	палермо
göller	озер
göller	озера
katılımı	приїзд
katılımı	участі
katılımı	участь
havzası	басейн
blackburn	блекберн
eklenmiş	додано
eklenmiş	додані
çar	цар
farkında	уважні
farkında	відомо
farkında	усвідомлює
asi	rebel
greg	грег
tyler	тайлер
ilaçlar	медикаментів
ilaçlar	ліки
ilaçlar	ліків
ilaçlar	ліки
ilaçlar	медицина
ilaçlar	таблетки
ilaçlar	пігулки
nielsen	нільсен
yahudilere	жиди
yahudilere	євреї
yahudilere	євреїв
yasadışı	незаконними
yasadışı	незаконно
yasadışı	незаконне
yasadışı	незаконні
yasadışı	незаконний
yasadışı	нелегально
yasadışı	стихійний
viking	вікінгів
gps	gps
medeni	цивільно
medeni	цивільний
medeni	громадянська
medeni	цивілізованому
medeni	цивілізовані
fiziki	фізична
fiziki	фізичні
fiziki	фізичне
riski	ризик
quebec	квебек
teşhis	діагностичний
teşhis	ідентифікація
teşhis	ідентифікувати
teşhis	діагноз
teşhis	діагностика
teşhis	діагностики
teşhis	діагностика
tavşan	lepus
tavşan	заєць
tavşan	зайчик
tavşan	кролик
tavşan	кріль
tavşan	кролі
piknik	пікнік
thunder	грім
yaklaşan	наступних
yaklaşan	майбутні
yaklaşan	наближається
hayvanat	зоопарк
luigi	луїджі
başlatıldı	ініціювали
iğne	вприскування
iğne	голка
iğne	голки
iğne	pin
iğne	закріпити
iğne	пен
dokuma	злиття
dokuma	відкатів
eşsiz	незамінний
eşsiz	унікальний
eşsiz	унікальне
eşsiz	унікальні
nicole	ніколь
todd	тодд
todd	тод
katılımcılar	учасників
katılımcılar	учасники
katılımcılar	учасникам
katılımcılar	учасників
katılımcılar	учасники
ellen	еллен
ellen	елен
deve	верблюди
deve	верблюда
granada	ґранада
vokalist	вокаліст
vokalist	вокал
wesley	веслі
ameliyat	хірургія
ameliyat	дія
ameliyat	операція
mercury	меркурій
pearl	перл
pearl	перли
pearl	перлина
pearl	перлини
beckett	беккет
kaplar	контейнерів
kaplar	контейнери
harfler	листи
harfler	літер
harfler	літери
taşlar	камені
taşlar	камінці
taşlar	каменів
taşlar	камені
taşlar	скелі
taşlar	астероїди
taşlar	каміння
taşlar	скелях
hesaplama	обчислювальна
hesaplama	обчислення
hesaplama	підрахунок
hesaplama	обчислення
hesaplama	підрахунку
hesaplama	розрахунки
hesaplama	обчислення
hesaplama	розрахунки
madagaskar	мадагаскар
cohen	коен
ekvator	екватор
ekvator	еквадор
anayasal	конституційний
anayasal	конституційного
jonas	йонас
ekler	вставляє
ekler	додає
karen	карен
pascal	паскаль
çarpan	мультиплікатор
esp	esp
laurent	лоран
tarafsızlık	нейтралітет
motorları	двигуни
motorları	рушії
touch	дотик
discovery	відкриття
discovery	знахідка
kürek	веслування
kürek	лопата
kürek	рядок
çıkarken	вихід
bilbao	більбао
bahçeleri	сади
bahçeleri	садів
takas	торгівлі
takas	торгівля
takas	торгова
takas	торгівля
takas	поміняти
takas	обмін
cola	кока
cola	кокс
cola	кола
cola	колу
cola	кола
yalancı	брехун
dul	вдова
dul	вдови
xxx	xxx
bolton	болтон
romen	румунська
komplo	креслення
komplo	графіка
komplo	графік
komplo	змова
komplo	креслення
césar	сезар
açıklamalar	підписи
açıklamalar	пояснення
açıklamalar	описи
store	зберігати
store	магазин
seine	сен
galya	галлія
iletim	перенесення
hawks	гоукс
beatles	beatles
kumaş	тканина
kumaş	тканину
kumaş	тканина
kumaş	тканини
reaksiyon	реакція
odak	фокус
odak	фокусування
odak	focus
düsseldorf	дюссельдорф
verlag	verlag
sınav	екзамен
sınav	вікторина
sınav	тесті
sınav	тест
sınav	іспит
sınav	екзамен
sınav	іспитів
sınav	експертизи
sınav	іспити
sınav	екзамени
sınav	екзаменів
sınav	перевірка
sınav	перевірити
sınav	test
sınav	тест
tarama	сканування
tarama	навігація
tarama	навігацію
tarama	перегляду
tarama	сканування
tarama	сканувати
tüyleri	пір
donetsk	донецьк
donetsk	донецька
evcil	pet
nathan	натан
kenneth	кеннет
fisher	фішер
satürn	сатурн
sorunlu	проблемних
karesi	квадратний
karesi	площа
karesi	квадрат
komisyon	комісія
