категорія	categoría
від	de
від	da
від	do
від	dende
від	de
від	por
від	pola
від	polo
для	para
для	por
також	tamén
про	sobre
про	de
його	o
його	seu
його	súa
його	seus
його	a
його	seus
його	súas
його	seu
його	o
його	súa
його	a
його	el
його	o
його	lle
був	era
був	estaba
був	foi
був	foi
населення	poboación
населення	mundial
було	era
було	estaba
було	foi
було	foi
він	el
він	que
він	está
під	baixo
під	debaixo
під	baixo
під	debaixo
під	de
після	tras
після	de
після	despois
після	logo
або	ou
або	ou
або	tampouco
час	veces
час	times
час	tempos
час	momento
час	tempo
час	vez
час	hora
але	pero
але	mais
області	zonas
області	áreas
які	que
які	cal
який	que
який	cal
була	era
була	estaba
була	foi
були	foi
були	eran
були	estaban
були	foron
осіб	persoas
міста	cidades
міста	nas
див	ver
див	vexo
село	aldea
село	da
село	pobo
село	vila
район	distrito
район	fiscal
район	do
через	través
через	via
через	rúa
через	por
через	debido
через	ao
через	cando
через	a
через	mor
через	débeda
через	través
через	a
через	por
села	aldeas
села	pobos
так	si
так	si
тому	anos
тому	meses
тому	fai
тому	hai
тому	días
тому	polo
тому	tanto
тому	por
тому	iso
тому	daquela
рік	ano
відстань	distancia
відстань	distancias
відстань	lonxe
відстань	as
відстань	até
сша	eua
має	ten
має	debo
має	que
має	debe
має	debemos
має	deben
має	hai
область	área
область	zona
яка	que
яка	o
яка	que
яка	cal
вони	que
вони	eles
сайті	sitio
сайті	web
сайті	páxina
близько	preto
близько	preto
близько	do
близько	da
близько	de
війни	guerras
війни	guerra
між	entre
між	os
роки	anos
обговорення	discusión
обговорення	debates
обговорення	discusións
обговорення	falar
обговорення	sobre
обговорення	discutir
коли	cando
коли	se
вона	ela
вона	que
лише	único
лише	só
лише	única
список	lista
список	listaxe
вересня	setembro
вересня	de
цей	isto
цей	esta
цей	este
березня	marzo
березня	de
березня	marcha
місце	lugar
місце	momento
місце	punto
місце	sobre
місце	lugar
місце	casa
місце	sitio
місце	sentar
місце	asento
місце	sitio
місце	senta
місце	séntese
місце	sente
муніципалітет	concello
україні	ucrania
серпня	de
серпня	agosto
січня	xaneiro
січня	de
став	foi
став	a
став	converteuse
став	nunha
став	nun
став	en
став	se
став	converteu
травня	poden
травня	pode
травня	maio
травня	que
травня	podo
грудня	decembro
грудня	de
інших	outra
інших	outros
інших	outro
інших	outras
інших	aos
інших	outros
інших	demais
інших	outras
жовтня	outubro
жовтня	de
серед	entre
серед	os
серед	as
серед	entre
якщо	se
один	unha
один	un
липня	xullo
липня	de
участь	participación
участь	participar
участь	participación
участь	implicación
участь	participación
участь	participar
вид	tipo
вид	como
вид	clase
вид	especie
вид	especies
вид	vista
вид	opinión
вид	punto
вид	visión
можна	poden
можна	podo
можна	podes
можна	podemos
можна	pode
можна	non
червня	xuño
місто	cidade
місто	pobo
місто	vila
місто	aldea
місто	city
місто	cidade
місто	da
вже	xa
життя	vida
життя	a
життя	estilo
життя	de
життя	vida
квітня	abril
квітня	de
листопада	novembro
листопада	de
лютого	febreiro
лютого	de
опис	descrición
центр	centro
центр	center
центр	de
центр	centro
центр	cerne
захід	oeste
захід	occidente
захід	occidental
захід	do
захід	da
захід	west
тільки	único
тільки	só
тільки	única
франції	francia
франції	franza
щоб	a
щоб	para
щоб	que
бути	ser
бути	estar
століття	séculos
століття	século
століття	xiii
схід	leste
схід	oriente
схід	este
схід	do
схід	próximo
статті	artigos
склад	almacén
особи	persoas
особи	persoa
особи	alguén
над	por
над	de
історія	historia
історія	relato
історія	historia
історія	da
зображення	as
зображення	imaxes
зображення	foto
зображення	imaxe
зображення	fotografía
зображення	imaxe
зображення	as
зображення	fotos
зображення	imaxes
зображення	fotografías
пункти	obxectos
пункти	os
пункти	puntos
пункти	artigos
пункти	das
пункти	puntos
пункти	opcións
код	código
код	code
сайт	sitio
сайт	web
сайт	páxina
сайт	zona
сайт	lugar
разом	xuntos
інші	outra
інші	outros
інші	outro
інші	outras
інші	aos
інші	outros
інші	demais
інші	outras
проти	en
проти	contra
проти	os
тут	aquí
український	ucraniano
мова	idioma
мова	linguaxe
мова	a
мова	lingua
історії	historias
історії	as
історії	historia
історії	da
всі	todo
всі	todos
всі	todas
багато	moita
багато	moreas
багато	moitas
багато	moito
багато	moitos
багато	moitos
багато	cantas
багато	moitas
багато	cantos
багато	canto
багато	grazas
багато	moito
багато	máis
багато	tanto
більше	maior
більше	máis
більше	ampla
більше	máis
більше	grandes
більше	grande
більше	maiores
більше	é
більше	son
більше	máis
кількість	contan
кількість	contar
кількість	conde
кількість	con
кількість	conta
кількість	número
кількість	cantidade
шаблони	patróns
дуже	moi
два	dous
два	dúas
перший	primeiro
перший	primeira
площа	cadrado
площа	square
площа	cadradas
площа	praza
площа	limpo
площа	área
площа	zona
країни	país
країни	países
країни	paises
країни	dos
назва	nome
назва	se
назва	título
розташований	atópanse
без	sen
голова	cabeza
голова	a
голова	presidente
народився	nacín
народився	naceu
народився	nacer
народився	naciches
народився	nacen
щодо	sobre
щодо	de
щодо	sobre
той	que
той	iso
росії	rusia
все	todo
все	o
все	todo
все	todos
все	todas
зокрема	incluíndo
зокрема	mesmo
зокрема	incluído
зокрема	incluídos
зокрема	a
роботи	traballo
