tożsamość	identitat
machine	màquina
składników	ingredients
sławy	famosos
sławy	fama
sławy	fame
wykonawcy	artistes
wykonawcy	contractista
wykonawcy	intèrprets
wykonawcy	contractistes
beta	beta
rodríguez	rodríguez
zysk	lucre
zysk	guany
ring	anell
instruktor	instructor
iata	iata
ludzkie	humà
ludzkie	humans
wykonywanie	realitzant
wykonywanie	escèniques
zagrożony	amenaçat
zagrożony	amenaçada
martínez	martínez
dzieciństwa	infància
dzieciństwa	infantesa
portów	ports
nicholas	nicholas
nicholas	nicolau
mateusza	matthew
mateusza	mateu
punk	punk
brać	take
specjalistów	especialistes
specjalistów	professionals
spencer	spencer
wiatru	vent
ósmy	vuitè
ósmy	vuitena
syberii	sibèria
tarcza	escut
romuald	romuald
przedstawiciela	representant
piwo	cervesa
piwo	beers
piwo	cerveses
arystokrata	aristòcrata
kultur	cultures
willi	willi
willi	villas
katastrof	catàstrofes
katastrof	desastres
komenda	ordre
komenda	comandament
atlantic	atlantic
atlantic	atlàntic
uni	uni
pokonać	beat
pokonać	superar
pokonać	derrota
age	edat
rysunek	croquis
rysunek	esbós
rysunek	figura
rysunek	dibuix
urzędnicy	passants
urzędnicy	funcionaris
panorama	panorama
gitarze	guitarra
karne	sanció
karne	penalització
karne	pena
dole	bottom
dole	fons
marsa	mart
marsa	mars
podpis	firma
podpis	signatura
znajomości	connexions
nigerii	nigerià
nigerii	nigèria
posiadać	tinguin
posiadać	posseir
potencjał	potencials
potencjał	potencial
włoskie	italià
xbox	xbox
boeing	boeing
niespodziewanie	inesperadament
niespodziewanie	sorprenentment
wirginia	virgínia
wirginia	virginia
dick	dick
konie	cavalls
konie	cavall
agresji	agressió
kiss	kiss
kiss	petó
kolejność	orde
kolejność	ordre
kolejność	seqüència
imigrantów	immigrants
imigrantów	immigrant
pogrzeb	enterrament
pogrzeb	funeral
angelo	angelo
mostów	ponts
petra	petra
bułgaria	bulgària
straße	straße
lekkoatletyka	atletisme
kopia	còpia
podróżnik	viatger
podróżnik	viatger
bogate	ric
bogate	rich
bogate	rics
odziedziczył	heretat
delegacji	delegació
delegacji	delegacions
ems	sme
ems	ems
chelsea	chelsea
zwolennicy	simpatitzants
zwolennicy	partidaris
wątek	fil
nigdzie	enlloc
ograniczone	limitades
ograniczone	limitat
ograniczone	limitats
ograniczone	restringits
ograniczone	restringida
ograniczone	restringeix
ograniczone	restringit
kowalczyk	kowalczyk
amerykanów	americans
dowolny	freestyle
dowolny	qualsevol
sosnowiec	sosnowiec
alfons	alfons
alfons	alfonso
właściwy	competent
właściwy	competents
amerykanin	american
amerykanin	americà
linux	linux
bordeaux	bordeus
teorie	teoria
teorie	teories
hierarchii	jerarquia
centralne	centrals
centralne	central
porsche	porsche
emilia	emilia
emilia	emília
emilia	emilie
powiązane	associada
powiązane	associades
powiązane	connectat
powiązane	enllaçat
powiązane	relacionat
powiązane	relacionada
powiązane	relacionats
katolicyzm	catolicisme
bolszewików	bolxevics
milion	milions
milion	milió
powierzono	encomanats
powierzono	encomanat
etiopii	etiòpia
etiopii	etíop
błędne	errònia
doświadczeń	experiències
projektant	dissenyador
otwór	obertura
otwór	forat
justyna	justine
justyna	justin
propagandy	propaganda
odpowiedzialność	responsabilitat
odpowiedzialność	responsabilitats
odpowiedzialność	responsabilitat
police	policia
bundesligi	bundesliga
hokej	hoquei
liu	liu
odkryty	outdoor
odkryty	alella
wyjaśnienia	explicació
wyjaśnienia	explicacions
wyjaśnienia	aclariment
okrążenia	voltes
okrążenia	falda
hop	hop
współrzędnych	coordenades
marynarzy	mariners
avenue	avinguda
gustav	gustau
gustav	gustav
mobile	mòbil
filadelfii	filadèlfia
filadelfii	philadelphia
oddziaływania	impactes
kadencja	termini
kadencja	cadència
kadencja	tinença
poczta	correu
poczta	publicació
wenus	venus
zapraszam	benvingut
zapraszam	benvinguda
zapraszam	benvinguts
cosworth	cosworth
felipe	felipe
zasług	merit
zasług	mèrit
wyróżnić	ressalta
wyróżnić	ressaltat
zurychu	zuric
zurychu	zurich
pasażerski	passatger
cia	cia
cia	cia
pojedynczy	single
sprinter	sprinter
ból	dolor
rgb	rgb
pierwotne	primal
pierwotne	primària
pierwotne	primari
działało	treballat
działało	treballats
grobu	sepultura
martín	martín
więzienie	presó
kupił	comprat
wycofany	retirin
justin	justin
beck	beck
true	cert
true	true
ginie	gina
collegium	collegium
indianapolis	indianapolis
kadetów	cadets
sprawdzone	comprovat
sprawdzone	verificat
sprawdzone	provat
sprawdzone	provada
rzymskie	roman
rzymskie	romà
godło	emblema
hampshire	hampshire
motywy	temes
motywy	motius
tras	rutes
rakieta	coet
rakieta	míssil
hart	hart
khan	khan
wymieniona	referenciats
wymieniona	referenciat
podanie	aplicació
podanie	passen
podanie	passi
podanie	pass
luca	luca
akademickie	acadèmica
akademickie	acadèmic
szt	pcs
dialogi	diàlegs
aparatu	càmera
przywilej	privilegi
przywilej	privilegis
sri	sri
lekki	llum
lekki	lleuger
karaibów	carib
konserwatorium	conservatori
basen	piscina
roll	rotllo
roll	roll
roll	rotlle
uchodźców	refugiat
uchodźców	refugiats
owoc	fruit
owoc	fruita
empire	imperi
pióra	pens
pióra	corrals
pióra	plomes
okręgów	districtes
regularne	regulars
regularne	regular
break	break
break	descans
druku	impressió
zasoby	recurs
zasoby	recursos
zasoby	estoc
zasoby	stock
ran	ferida
ran	ferides
objętości	volum
objętości	volums
radosław	radosław
czystości	puresa
oskar	òscar
oskar	oscar
oskar	oskar
szczęścia	felicitat
modlitwa	resant
modlitwa	precs
modlitwa	preguem
modlitwa	oració
modlitwa	pregària
marine	marine
rasa	raça
rasa	cursa
tymczasowy	temporal
tymczasowy	provisional
tymczasowy	provisionals
pérez	pérez
przykładów	exemples
era	època
era	era
lang	lang
królowie	kings
królowie	reis
pascal	pascal
szóste	sisena
szóste	sisè
pomógł	ajudat
gridcolor	gridcolor
teatrów	teatres
dyskografia	discografia
koń	cavall
pacjenta	pacient
potrzebna	necessitat
proponuje	proposa
uderzenie	impacte
uderzenie	encertar
uderzenie	hit
popełnił	comès
piaski	sands
annie	annie
secret	secret
zmniejsza	redueix
zmniejsza	disminucions
zmniejsza	disminueix
polecenia	ordres
polecenia	ordre
polecenia	comandament
aleksandrii	alexandria
praktyka	pràctiques
praktyka	suplència
praktyka	pràctica
sainte	sainte
środowisk	entorns
ska	ska
zaangażowany	implicats
zaangażowany	involucrat
zaangażowany	comès
zakończony	rescindit
pomiarów	mesuraments
renesansu	renaixement
częste	comunes
częste	comú
częste	comuns
częste	freqüent
częste	freqüents
jelita	intestí
jelita	intestinal
jelita	intestins
zdrowie	sanitat
zdrowie	salut
cbs	cbs
rolnicze	agrícola
partnerem	soci
przedstawiono	presentat
przedstawiono	presentats
honoru	honor
square	quadrat
square	plaça
odrębne	diferenciades
obydwa	ambdós
obydwa	ambdues
czaszki	calaveres
czaszki	crani
fischer	fischer
białek	proteïnes
publiczny	públic
publiczny	públics
publiczny	public
publiczny	públiques
mail	correu
nieznacznie	lleugerament
tronie	tron
kogo	qui
kogo	who
heaven	cel
heaven	heaven
cen	cen
rozkładu	descomposició
piła	saw
śniegu	neu
śniegu	snow
damian	damià
damian	damian
istoty	éssers
ołtarzu	altar
policjant	cop
cannes	canes
cannes	cannes
informacyjny	informatiu
geschichte	geschichte
gospodarstwo	granja
czwartego	quart
czwartego	quarta
wiosce	poble
wiosce	aldea
ograniczona	limitades
ograniczona	limitat
ograniczona	limitats
ograniczona	restringits
ograniczona	restringida
ograniczona	restringeix
ograniczona	restringit
kontynuować	procedeixi
dem	dem
potwierdzenie	confirmació
management	gestió
split	divideix
split	split
kenneth	kenneth
przeżył	sobreviscut
sosna	pi
sosna	pine
paragwaju	paraguai
bunt	motí
pete	pete
suche	secà
ward	ward
baz	baz
promieniowanie	radiació
promieniowanie	radiacions
eduardo	eduardo
sweet	dolç
sweet	dolços
sweet	dolça
skierowane	dirigit
skierowane	dirigida
kolorów	colors
fernández	fernández
rycerz	cavaller
watson	watson
wyraża	expressa
wprowadzona	introduïdes
wprowadzona	introduït
wprowadzona	introduïda
wprowadzona	introduïts
zwrot	restitució
zwrot	retornar
zwrot	retorn
zwrot	devolució
przypisuje	assigna
funkcjonowanie	funcionament
funkcjonowanie	operació
białoruś	bielorússia
socjalistyczna	socialista
czołg	tanc
egzemplarze	còpies
egzemplarze	exemplars
zboczach	talussos
słowackiej	eslovac
widział	saw
połączona	fusionat
patrol	patrulla
litera	carta
oznaczony	etiquetat
oznaczony	etiquetada
oznaczony	etiquetats
oznaczony	marcat
control	control
chóru	chorus
starcia	enfrontaments
maroka	marroquí
athletic	athletic
aresztowania	detencions
okien	windows
okien	finestres
karen	karen
reorganizacji	reorganització
odpowiedni	apropiat
odpowiedni	correspongui
enwiki	enwiki
wrc	wrc
względnie	relativament
praktyczny	pràctic
ograniczony	limitades
ograniczony	limitat
ograniczony	limitats
ograniczony	restringits
ograniczony	restringida
ograniczony	restringeix
ograniczony	restringit
arabskie	arab
arabskie	àrab
lewo	esquerra
lewo	esquerre
dno	bottom
dno	fons
kopenhadze	copenhagen
kopenhadze	copenhaguen
wyścigi	racing
gracze	jugadors
gracze	gamers
holland	holanda
holland	holland
halle	halle
sumy	sumatori
sumy	suma
sumy	sumes
sumy	totals
bractwa	fraternitat
bractwa	germandat
bractwa	germanor
bractwa	hermandad
tajemnica	misteri
tajemnica	secret
targ	mercat
targ	mercat
połączony	connectat
kraina	land
szeregi	files
szeregi	escalafó
szeregi	sèries
szeregi	sèrie
potrzebny	necessitat
oryginalna	original
kanały	canals
kanały	canals
kanały	canal
inicjatorem	iniciador
boczny	lateral
boczny	laterals
zoo	zoològics
zoo	zoològic
zoo	zoo
pokryta	cobert
pokryta	cobertes
turner	turner
ambasady	ambaixades
ambasady	ambaixada
jefferson	jefferson
spartak	spartak
partner	soci
partner	afiliat
transmisji	transmissió
transmisji	emissió
teodora	teodora
właściciele	propietaris
albrecht	albrecht
kolonie	colònies
joão	joão
heinz	heinz
wygrana	guanyar
lekkie	lleuger
regulamin	regulació
regulamin	reglament
regulamin	reglamentació
rachel	rachel
flotylli	flotilla
wenecja	venècia
idee	idees
idee	ideas
sierżant	sergent
wynalazca	inventor
bei	bei
skarb	precious
skarb	tresor
ogrody	jardins
prokurator	fiscal
piąta	cinquè
piąta	cinquena
pamiętnik	journal
pamiętnik	diari
pamiętnik	diari
stawu	estany
stawu	pond
prawdopodobne	probable
procedury	procediments
procedury	procediment
disco	discoteca
disco	disco
barona	baró
sumę	sumatori
sumę	suma
uczestniczyło	participat
prawny	jurídic
prawny	legal
prawny	legals
cząsteczki	partícules
cząsteczki	molècules
cząsteczki	partícula
fair	fira
wstawić	insereix
czysto	purament
czysto	neteja
czysto	clars
urzędy	oficines
radnych	regidors
plemiona	tribus
nadzwyczajny	extraordinaris
nadzwyczajny	extraordinària
nadzwyczajny	extraordinàries
linda	linda
musical	musical
zawodowo	professionalment
virginia	virgínia
virginia	virginia
mistrzowie	masters
mistrzowie	amos
mistrzowie	champions
mistrzowie	campions
drewno	fusta
salvador	salvador
islam	islam
bloków	blocs
wagner	wagner
prasa	press
prasa	premsa
łańcuch	cadena
łańcuch	cadena
grubość	gruix
stevens	stevens
kapitał	capital
monica	mònica
monica	monica
galaktyki	galàxies
galaktyki	galàxia
aktualny	actuals
aktualny	actual
aktualny	corrent
kontrola	control
kontrola	auditoria
kontrola	inspecció
mieszane	mixta
mieszane	mixt
mieszane	mesclat
mieszane	blended
typowo	típicament
typowo	típica
typowo	típic
warunek	condició
zawieszenia	suspensió
zawieszenia	suspensions
koleje	ferrocarrils
stowarzyszeń	associacions
regina	regina
sokół	falcon
sokół	falcó
działka	trama
rozwiązany	dissolts
rozwiązany	resolt
znaczny	substancial
znaczny	significatives
znaczny	significatius
floryda	bolvir
floryda	florida
księżnej	duquessa
geograficzny	geogràfic
autobus	bus
autobus	autobús
wirnika	rotor
właścicielami	propietaris
wewnętrzny	intern
wewnętrzny	interna
jeana	jean
sex	sexe
sex	sex
samców	mascles
zbrodnie	crims
zbrodnie	delictes
zbrodnie	crim
filharmonii	filharmònica
bycie	essent
bycie	being
dar	dar
dar	regal
row	fila
row	filera
wewnętrzna	intern
wewnętrzna	interna
podróże	viatges
pokrywy	abasta
pokrywy	caràtules
pokrywy	fundes
lewandowski	lewandowski
przekazano	reenviat
przekazano	delegades
umieszczenie	emplaçament
umieszczenie	situant
umieszczenie	posant
grabowski	grabowski
kapłan	sacerdot
aktów	actes
twierdzenia	declaracions
twierdzenia	reclamacions
twierdzenia	pretensions
aglomeracji	aglomeracions
aglomeracji	aglomeració
pokrewne	relacionat
pokrewne	relacionada
pokrewne	relacionats
artystyczna	artístic
artystyczna	artística
artystyczna	artístics
orlando	orlando
opinia	opinió
opinia	dictamen
opinia	opinions
opinia	feedback
alessandro	alessandro
pogoń	chase
bycia	essent
bycia	being
postawy	actitud
postawy	actituds
postawy	postura
kasy	diners
kasy	diner
kasy	obtenció
kasy	cash
kasy	efectiu
klaus	klaus
studenci	estudiants
studenci	alumnat
studenci	alumnes
studenci	alumne
studenci	estudiant
zęby	dents
duszy	ànima
przeznaczeniem	destinació
przeznaczeniem	destí
finały	finals
obywatel	ciutadà
irlandia	irlanda
irlandia	bellvís
osobno	separadament
zeszyt	llibreta
zeszyt	quadern
ferdinand	ferran
act	acte
act	act
nationale	nationale
skała	roca
skała	rock
ponownego	recurrència
leonarda	leonard
łaski	pietat
łaski	misericòrdia
łaski	gràcia
łaski	gracia
wykorzystane	emprat
wykorzystane	utilitzat
wykorzystane	utilitzats
wykorzystane	usat
wykorzystane	explotat
wykorzystane	explotada
nieliczne	sparse
