sneg	сніг
frentzen	френтцен
zasebni	приватні
zasebni	приватна
zasebni	особисте
zasebni	приватний
spretnosti	навички
spretnosti	уміння
spretnosti	навики
bernhard	бернгард
zmagovalci	переможці
soba	кімната
soba	кімнату
galaksije	галактики
galaksije	галактик
novinarka	журналіст
novinarka	репортер
mod	mod
napisi	написів
napisi	текстами
napisi	підписи
ujeli	зловили
ujeli	спіймав
ujeli	перебір
ujeli	полон
ujeli	спіймав
ujeli	захопили
ujeli	захоплені
švice	швейцарія
švice	швейцарії
cfg	cfg
svetlana	світлана
usmerjena	орієнтований
usmerjena	направлена
usmerjena	орієнтовані
off	off
off	вимкнено
abc	abc
skok	стрибати
skok	перехід
skok	стрибок
skok	перейти
skok	стрибок
esej	есе
zmožnosti	здатність
zmožnosti	можливість
huda	суворі
huda	тяжкий
mitchell	мітчелл
nadomestila	винагорода
nadomestila	компенсація
padlo	упав
padlo	впала
padlo	впав
padlo	кинули
padlo	скинули
padlo	падати
padlo	осінь
padlo	fall
padlo	падіння
padlo	впала
padlo	провалився
padlo	падали
colorado	колорадо
zmes	суміш
zaslužil	заслужена
zaslužil	заслужив
zaslužil	заслужили
zaslužil	заробив
mer	мер
zapor	тюрму
zapor	ґрати
zapor	тюрма
zapor	тюрми
paula	паула
tradicija	традиція
tradicija	традиції
tine	tine
tine	тіна
praksa	вправи
praksa	вправа
praksa	практика
komedija	комедія
komedija	комедії
sprejema	приймає
sprejema	підтвердити
gsub	gsub
nikjer	нікуди
nikjer	ніде
promocijo	підвищення
promocijo	просування
promocijo	заохочення
slabosti	слабкості
device	діва
scoreb	scoreb
preprosta	просту
preprosta	простий
preprosta	проста
preprosta	прості
preprosta	просте
unija	union
unija	союз
unija	юніон
sky	небом
sky	небо
dnevni	щоденне
dnevni	щоденно
dnevni	щодня
dnevni	щоденні
julia	юлія
julia	джулія
tanja	таню
tanja	таня
tanja	таню
predstavljen	обрані
predstavljen	представили
predstavljen	презентували
predstavljen	представлена
predstavljen	презентувала
beck	бек
obvezno	примусово
june	червня
june	червні
june	червень
svobodna	вільна
svobodna	безкоштовне
svobodna	вільний
svobodna	безкоштовно
svobodna	вільно
jose	хосе
jose	жозе
jose	хосе
kraljico	цариці
kraljico	королева
kraljico	queen
kraljico	краля
kraljico	цариця
predniki	пращурів
colin	колін
razmišljanja	роздуми
razmišljanja	мислення
nameščena	придатний
nameščena	встановлені
nameščena	встановлено
nameščena	встановлений
garda	охорона
garda	гвардія
ločeni	відокремлених
ločeni	розійшлися
ločeni	розділені
ločeni	розлучена
ločeni	окреме
ločeni	відокремити
suzuki	suzuki
dansko	данська
dansko	данія
dansko	данії
osebah	звернення
veriga	ланцюжок
veriga	ланцюг
hingis	хінгіс
reaktor	реактор
cleveland	клівленд
usoda	доля
usoda	доля
usoda	долі
usoda	долю
učinkovita	ефективна
učinkovita	ефективний
učinkovita	ефективна
učinkovita	ефективно
vesnina	весніна
opisana	описано
opisana	описані
prizadevanja	зусилля
prizadevanja	зусилля
bistvo	суть
bistvo	сутність
nicholas	миколай
nicholas	ніколас
nicholas	миколая
fazo	етапу
fazo	фаза
fazo	фазу
fazo	фази
izpostavljenosti	експозиція
izpostavljenosti	експозиції
talent	талант
podrejen	підпорядкувати
začetnik	початківця
amsterdam	амстердам
gosti	гості
redir	redir
zelandija	зеландії
zelandija	земельні
zelandija	зеландія
jez	гребля
party	вечірка
party	партії
party	вечірки
party	партія
party	party
dovoljenja	дозволи
regij	регіони
regij	регіонів
regij	регіонах
regij	областях
pozitiven	позитивне
pozitiven	позитивні
pozitiven	позитивний
pozitiven	позитивно
pozitiven	позитив
galerije	галереях
galerije	галереї
dež	дощ
ajdovščina	айдовщина
institut	institut
institut	інститут
nasledstvo	спадщину
nasledstvo	застаріла
nasledstvo	спадок
nasledstvo	успадкування
tovor	вантаж
tovor	перевезення
tovor	вантажний
tovor	вантажу
tovor	вантаж
razporeditev	розподіл
razporeditev	компонування
razporeditev	розкладка
razporeditev	домовленість
razporeditev	аранжування
razporeditev	розташування
najmanjše	найменша
najmanjše	найменший
najmanjše	найменше
vdova	вдова
vdova	вдови
izbruh	епідемія
izbruh	breakout
izbruh	виверження
izbruh	спалах
trikotnika	трикутник
davenport	девенпорт
kocka	кубик
kocka	куб
nižja	нижній
nižja	опустити
nižja	нижня
nižja	нижча
nenad	ненад
ledena	крижані
stabilnost	стабільність
slatina	слатина
krst	хрестини
krst	хрещення
kongo	конго
konflikt	конфлікт
arabci	араби
uniči	знищить
uniči	знищити
uniči	руйнувати
uniči	занепад
uniči	нищить
uniči	знищує
razvito	розробили
razvito	розроблений
razvito	розроблено
umetniška	художні
umetniška	художнього
mlajše	молодша
mlajše	молодший
mlajše	молодшою
mlajše	молодше
anja	аня
lyon	ліон
breda	бреда
možen	можливе
možen	можливо
možen	можлива
založnik	видавець
morris	морріс
zlatko	златко
možje	чоловіки
pripravljena	готовий
pripravljena	напоготові
pripravljena	готові
pripravljena	готове
pripravljena	готовність
pripravljena	готова
pripravljena	підготувала
pripravljena	суспільно
pripravljena	підготовлено
pripravljena	підготував
označevanje	позначення
označevanje	розмітка
označevanje	позначення
označevanje	позначки
fokker	fokker
steven	стівен
eugene	євген
eugene	юджин
eugene	євгеній
firence	флоренція
firence	флоренції
ron	рон
obstoječe	існуюче
obstoječe	існуючий
obstoječe	існуючі
obstoječe	існуючу
veleposlanik	посол
ista	збігається
ista	однаковий
ista	однакові
ista	same
ista	самий
državljanstvo	нації
državljanstvo	країна
državljanstvo	націю
državljanstvo	громадянство
državljanstvo	нація
državljanstvo	громадянство
usta	рот
usta	рота
usta	роті
usta	рот
usta	устами
