から	from
日本	japó
日本	japan
日本	nippon
この	això
この	aquesta
この	aquest
まで	fins
また	també
もの	coses
大学	universitats
大学	universitat
大学	college
テレビ	televisions
テレビ	televisió
放送	emissió
放送	radiodifusió
東京	tòquio
東京	tokyo
より	than
削除	esborrat
削除	eliminat
削除	supressió
削除	elimina
削除	esborra
現在	actuals
現在	actual
現在	corrent
現在	actualment
現在	presents
現在	present
平成	heisei
学校	escoles
学校	escola
これ	això
これ	aquesta
これ	aquest
世界	món
世界	world
アメリカ	amèrica
でも	però
について	about
作品	obres
作品	discografia
時代	era
映画	cinema
映画	film
監督	director
監督	directora
監督	realitzador
監督	supervisió
鉄道	ferrocarril
鉄道	ferrocarrils
鉄道	ferrocarril
使用	usa
使用	utilització
使用	ús
出演	elenc
出演	repartiment
明治	meiji
時間	hores
時間	hora
時間	temps
時間	time
開始	inici
開始	comença
開始	iniciació
シリーズ	sèries
シリーズ	sèrie
のみ	només
記事	article
記事	història
記事	històries
記事	relats
記事	articles
活動	activitats
選手	jugadors
選手	esportistes
選手	atletes
しかし	però
研究	estudis
研究	recerca
研究	investigació
会話	conversa
会話	converses
大阪	osaka
大会	conveni
大会	convenció
チーム	equips
チーム	equip
存在	existència
作詞	lletres
作詞	lletra
所属	afiliació
所属	pertanyen
国際	internacional
国際	international
国際	internacionals
一部	alguns
一部	algunes
一部	parcialment
結果	resultat
結果	resultats
アルバム	àlbum
アルバム	àlbums
バス	bus
バス	autobús
バス	autobusos
ゲーム	partida
ゲーム	joc
ゲーム	jocs
問題	problema
問題	problemes
問題	qüestions
リーグ	lliga
リーグ	lligues
利用	bescanviar
開発	desenvolupament
事業	negoci
事業	negocis
決定	decisió
決定	decisions
音楽	música
転送	traspàs
転送	transferència
転送	trasllat
転送	transmissió
転送	transmetre
転送	transferències
転送	trasllats
情報	info
情報	informació
公式	fórmula
公式	official
参加	uneix
参加	participació
地域	regions
地域	regió
変更	canvis
変更	modifica
変更	canvia
変更	canvi
編曲	disposades
編曲	arreglat
記録	gravació
記録	enregistrament
記録	rècord
関係	relacions
クラブ	club
クラブ	clubs
クラブ	trèvols
中央	chūō
中央	centrals
中央	central
中央	centra
中央	center
中央	centre
中央	centre
同じ	mateixa
同じ	mateix
設立	establerta
設立	incorporació
設立	establiment
考え	pensant
考え	pensaments
教育	educació
プロ	pro
発表	anunci
小学校	elemental
編集	edita
編集	edicions
編集	edició
編集	modifica
シーズン	temporada
シーズン	temporades
シーズン	estacions
ファイル	fitxers
ファイル	arxius
ファイル	arxiu
ファイル	fitxer
フランス	frança
都市	ciutat
都市	ciutats
出版	editorial
出版	edició
出版	publicant
出版	publicació
会社	ferm
会社	companyia
会社	empresa
会社	empreses
会社	companyies
世紀	segles
世紀	segle
ノート	nota
ノート	quaderns
ノート	llibretes
ノート	notes
ノート	llibreta
ノート	quadern
京都	kyoto
社会	societat
社会	societats
ドイツ	alemanya
開催	celebrat
シングル	single
センター	centra
センター	center
センター	centre
センター	centre
終了	abandona
終了	acabat
終了	finalitza
終了	final
終了	acabada
終了	finalitzat
終了	acabat
終了	sortida
中心	centra
中心	center
中心	centre
中心	centre
内容	contingut
内容	continguts
文化	cultura
イギリス	anglaterra
ドラマ	drama
ドラマ	drames
中国	xina
撮影	cinematografia
撮影	fotografia
撮影	filmació
選手権	campionats
選手権	campionat
選手権	championship
野球	beisbol
指定	especifica
指定	especificar
位置	posició
マン	mann
卒業	graduat
卒業	graduació
人物	persona
文庫	bunko
公開	públic
公開	públics
公開	public
公開	públiques
公開	publicarà
北海道	hokkaido
北海道	hokkaidō
最終	darrer
最終	últim
最終	última
最終	darrera
アニメ	anime
確認	confirmació
確認	confirmar
確認	confirma
一般	general
歴史	història
選挙	eleccions
計画	planificat
計画	planejat
計画	planificació
計画	planejament
計画	pla
計画	plans
経済	economies
経済	economia
ページ	pàgina
ページ	pàgines
教授	catedràtic
教授	professor
ラジオ	ràdio
ラジオ	radio
劇場	theater
劇場	teatre
劇場	teatre
グループ	grup
グループ	grups
英語	anglès
女性	dona
女性	femení
女性	femella
女性	dones
地区	districte
得点	puntuació
コメント	comentari
コメント	comenta
コメント	comentant
コメント	comentat
コメント	comentaris
コメント	observacions
漫画	còmic
漫画	còmics
漫画	manga
他の	altres
就任	assumpció
廃止	abolició
販売	vendes
販売	surts
攻撃	atacs
攻撃	atac
サッカー	soccer
リー	lee
議員	senador
デビュー	debut
協会	associació
協会	association
路線	rutes
フジ	fuji
戦争	guerra
戦争	guerres
製作	producció
部分	part
高校	highschool
番号	número
番号	nombre
当初	inicialment
最初	primer
最初	primera
最初	primers
受賞	premis
受賞	premi
受賞	adjudicació
受賞	guardó
期間	durada
期間	duració
期間	període
広島	hiroshima
場所	lloc
場所	place
場所	localització
場所	ubicació
場所	emplaçament
場所	llocs
技術	tecnologia
海軍	armada
リンク	vinculació
リンク	enllaç
リンク	enllaços
合併	fusions
道路	camins
道路	carretera
道路	road
特定	específics
特定	específic
特定	especificat
特定	especificats
朝日	asahi
意味	significat
意味	significats
システム	system
システム	sistema
システム	sistemes
モデル	models
モデル	model
対応	correspondència
列車	tren
列車	entrena
列車	trens
建設	construcció
とき	quan
最後	darrer
最後	últim
最後	última
最後	darrera
科学	ciència
科学	ciències
理由	motius
理由	raons
理由	raó
理由	motiu
一つ	one
大正	taisho
大正	taishō
最高	millor
ブロック	blocs
ブロック	bloqueja
ブロック	bloc
車両	vehicles
車両	vehicle
自動車	cotxe
人口	poblacions
人口	població
特に	particularment
特に	sobretot
特に	especialment
営業	negoci
営業	negocis
発生	ocurrència
新聞	periòdic
新聞	periódico
新聞	diari
新聞	periòdics
新聞	diaris
連続	continuïtat
連続	continu
政府	govern
構成	configuració
構成	composició
構成	estructura
最大	màxim
キャラクター	caràcter
キャラクター	personatge
キャラクター	personatges
キャラクター	caràcters
それぞれ	cadascú
それぞれ	cadascuna
それぞれ	cadascun
機関	òrgans
機関	institució
機関	institucions
参照	referència
参照	referències
参照	referenciació
メンバー	membre
メンバー	membres
発行	expedit
発行	emès
画像	imatges
画像	imatge
画像	pictòrics
状態	estat
状態	condició
名称	denominació
名称	nom
名称	denominació
名称	noms
ダム	presa
ホーム	domicili
ホーム	llar
運行	funcionament
運行	operació
投稿	publicació
投稿	publicacions
名前	nom
名前	denominació
名前	noms
福岡	fukuoka
施設	institució
調査	enquestes
調査	survey
調査	enquesta
製造	fabricat
製造	fabricats
イタリア	itàlia
ロシア	rus
ロシア	rússia
独立	independents
独立	independent
独立	independència
物語	monogatari
物語	història
物語	narrativa
物語	narració
企画	planificació
企画	planejament
サン	san
名古屋	nagoya
通常	normalment
通常	habitualment
通常	normalment
企業	enterprise
航空	aviació
航空	aire
航空	air
スーパー	super
帝国	imperi
トン	tones
トン	tona
影響	influència
影響	influències
勝利	victòries
勝利	guanyar
勝利	victòries
勝利	guanya
勝利	victòria
デザイン	dissenya
デザイン	dissenys
デザイン	disseny
デザイン	dissenyant
全て	everything
全て	tot
本社	seu
人間	humà
人間	humans
千葉	chiba
アン	anne
アン	ang
アン	ann
交通	trànsit
交通	tràfic
交通	transport
交通	transports
交通	transport
組織	organització
構造	estructures
構造	estructura
戦い	batalla
実施	implementació
ここ	aquí
ここ	aqui
ここ	ací
以前	antigament
以前	abans
サービス	serveis
サービス	servei
統合	consolidar
統合	integrats
統合	integrat
統合	fusiona
統合	fusionar
統合	integració
統合	integracions
テーマ	temes
テーマ	temàtica
テーマ	tema
面積	àmbit
面積	àrea
エンジン	motor
エンジン	dorsal
エンジン	motors
エンジン	dorsals
主演	protagonitzat
ビル	bill
日本語	japonès
契約	contractes
契約	contracte
設定	preferències
設定	arranjaments
設定	arranjament
設定	configuració
設定	configuració
設定	configura
ライブ	viure
ライブ	live
含む	conté
含む	inclou
含む	inclòs
専門	peritatge
専門	especialitzats
専門	especialitzat
機能	funció
機能	funcionalitats
機能	característiques
機能	característica
機能	funcionalitat
身長	alçada
身長	alçària
身長	altura
所在地	ubicacions
所在地	localitzacions
所在地	localització
所在地	ubicació
所在地	emplaçament
完成	finalització
完成	compleció
表記	notació
運転	conducció
写真	foto
写真	fotografia
写真	fotografía
写真	fotografiar
写真	fotografia
関連	rellevant
関連	relacionat
関連	relacionada
関連	relacionats
書店	llibreria
高い	alta
高い	high
高い	alt
高い	car
生産	producció
横浜	yokohama
宇宙	univers
管理	gestió
管理	gestiona
管理	gestionar
バー	barrots
バー	bars
バー	barres
バー	barra
バー	bar
ジョン	john
ジョン	joan
部隊	tropa
公園	park
公園	parc
公園	parcs
スポーツ	esport
スポーツ	sport
スポーツ	esports
脚本	script
脚本	guió
目的	finalitats
目的	finalitat
目的	propòsit
生活	vida
生活	life
カード	cartes
カード	targetes
カード	targeta
基本	fonaments
基本	bàsic
基本	bàsics
基本	bàsiques
基本	basic
女優	actrius
女優	actriu
不明	desconegut
不明	desconeguda
タイトル	títols
タイトル	títol
政治	política
電気	electricitat
電気	elèctric
電気	electric
警察	policia
作成	crear
作成	crea
作成	creació
作成	creades
作成	creats
作成	creat
ガン	pistola
ガン	arma
予定	programades
予定	planificat
予定	programada
予定	planificat
予定	planejat
スター	estel
スター	estrella
経営	gestió
自由	llibertat
自由	llibertat
自由	lliure
自由	gratuït
自由	lliures
自由	llibertats
過去	passat
陸軍	exèrcit
運営	funcionament
運営	operació
愛知	aichi
表示	vista
表示	visualitza
表示	visualització
社長	president
社長	presidents
団体	organitzacions
団体	organització
工業	industrials
工業	industrial
通り	carrer
外部	externs
外部	extern
外部	externa
通信	correspondència
通信	comunicació
通信	comunicacions
俳優	actors
俳優	actriu
俳優	actor
スペシャル	especial
スペシャル	especials
少年	noi
病院	hospital
病院	hospitals
結婚	matrimoni
結婚	matrimonis
個人	personals
個人	individu
個人	individuals
個人	individual
個人	particulars
区間	interval
銀行	bank
銀行	banc
研究所	institut
主に	principalment
学園	gakuen
彼女	ella
ニュース	notícia
ニュース	notícies
その他	altres
その他	altres
ソフト	suaus
ソフト	soft
ソフト	suau
文学	literatura
なし	cap
なし	sense
江戸	edo
国内	domèstics
国内	domèstica
国内	domèstic
空港	aeroport
空港	aeroports
ヨーク	york
高速	ràpid
言語	llengües
言語	idiomes
言語	idioma
言語	llenguatge
言語	llengua
設計	disseny
韓国	corea
韓国	korea
リリース	alliberació
リリース	alliberament
ベスト	armilla
ベスト	millor
現代	contemporani
現代	contemporània
会議	conferència
会議	reunions
会議	sessió
会議	reunió
会議	trobada
バンド	banda
バンド	bandes
追加	afegir
追加	afegeix
成功	èxit
移動	mou
移動	movent
オリンピック	olimpíades
国民	national
国民	nacional
国民	nació
ファン	fans
ファン	admiradors
ファン	ventiladors
ファン	fan
すべて	everything
すべて	tot
すべて	tots
すべて	totes
山口	yamaguchi
運動	exercici
運動	moviment
環境	entorn
環境	entorns
競技	competició
競技	competència
ヨーロッパ	europe
ヨーロッパ	europa
紹介	introducció
形式	forma
形式	formulari
工場	fàbriques
工場	fàbrica
相手	oponent
相手	adversari
戦闘	batalla
戦闘	combat
労働	laborals
事務所	despatx
事務所	office
事務所	oficina
限定	limitades
限定	limitat
限定	limitats
データ	dades
作戦	funcionament
作戦	operació
オリジナル	originalitat
オリジナル	original
オリジナル	originals
可能性	possibilitats
可能性	possible
可能性	possibles
可能性	possibilitat
演出	escenificació
種類	tipus
文字	caràcter
文字	personatge
文字	personatges
文字	caràcters
大統領	president
協力	cooperació
指導	orientació
判断	fallada
判断	sentència
連邦	federació
ネット	net
共和国	república
引退	jubilar
引退	jubila
引退	retirat
引退	jubilats
引退	jubilat
部門	departament
産業	indústria
プロデューサー	productors
プロデューサー	productor
系統	llinatge
誕生	naixements
誕生	naixement
指揮	ordre
指揮	comandament
レース	cursa
レース	racing
レース	encaix
レース	puntes
郵便	correu
神奈川	kanagawa
岡山	okayama
カップ	cups
カップ	tasses
カップ	tassa
カップ	cup
ラン	executa
ラン	córrer
レイ	ray
移転	traspàs
移転	transferència
移転	trasllat
移転	reubicació
ほぼ	gairebé
交差点	intersecció
イベント	esdeveniments
イベント	esdeveniment
異なる	diferent
異なる	diferents
神戸	kobe
カー	kerr
出典	fonts
出典	font
ほとんど	gairebé
行動	comportament
重要	important
プロジェクト	projecte
プロジェクト	projectes
九州	kyushu
電車	tren
電車	entrena
電車	trens
建築	arquitectura
クラス	classes
クラス	classe
導入	introducció
アジア	àsia
全体	sencer
全体	sencera
タイ	tailàndia
タイ	tai
普通	ordinari
普通	ordinària
普通	normal
普通	normals
一人	one
舞台	etapes
舞台	etapa
舞台	escenari
一方	mentrestant
スペイン	espanya
意見	opinió
意見	dictamen
意見	dictàmens
発見	descobrint
発見	descobreix
発見	descobriment
鈴木	suzuki
ローマ	roman
ローマ	romà
ローマ	roma
保護	protegint
保護	protegir
保護	protecció
少女	noia
試験	examen
試験	exàmens
