εξερευνητής	துருவி
άντον	அன்ரன்
λισαβόνας	லிஸ்பன்
αστικές	நகர்ப்புற
ορατή	காணக்கூடியது
ορατή	தெரியும்
συναισθηματική	உணர்ச்சி
πείνα	பஞ்சம்
πείνα	பட்டினி
πείνα	பசி
πιθανότητας	சாத்தியக்கூறு
ενδιαφέρονται	ஆர்வமுள்ளவர்கள்
ενδιαφέρονται	ஆர்வம்
ενδιαφέρονται	விருப்பமுள்ளவர்கள்
χειρισμό	கையாளுதல்
χέρμπερτ	ஹெர்பர்ட்
σεμινάρια	கருத்தரங்குகள்
μπόμπι	பாபி
ομάρ	உமர்
μπορντό	bordeaux
απόφοιτος	பட்டதாரி
τζέισον	ஜேசன்
αυτόνομο	தன்னாட்சி
μεθάνιο	மீத்தேன்
ανάμειξη	அரைத்து
απόρριψη	நிராகரிப்பு
απόρριψη	விலக்கு
απόρριψη	நிராகரிக்கப்பட்டது
απόρριψη	காட்டப்பட்டது
ζητήθηκε	கோரப்பட்டது
παράδοξο	தோற்றமுரண்
οχτώ	எட்டு
βαλτική	பால்டிக்
αγοράστηκε	வாங்கியது
αγοράστηκε	வாங்கியுள்ளார்
αγοράστηκε	வாங்கிய
αγοράστηκε	வாங்கியது
αγοράστηκε	வாங்கினேன்
κέιμπριτζ	கேம்பிரிட்ஜ்
μεταλλικά	உலோகம்
μεταλλικά	உலோக
μεταλλικά	மெட்டல்
μεταλλικά	உலோக
εστιατόρια	உணவகங்கள்
προτείνεται	பரிந்துரைக்கப்பட்டவை
προτείνεται	பரிந்துரைக்கப்படுகிறது
προτείνεται	பரிந்துரைக்கப்பட்டது
εφαρμόστηκε	விண்ணப்பித்த
σύντροφος	துணை
σύντροφος	பங்குதாரர்
σύντροφος	கூட்டாளர்
σύντροφος	துணைவர்
σύντροφος	தோழர்
σύντροφος	தோழர்
γονίδια	மரபணுக்கள்
ακραίες	அதீத
έτοιμο	தயாராக
έτοιμο	தயார்
μπερνάρ	பெர்னார்ட்
ψυχική	மன
συνθέτουν	எழுது
καταστρέφει	அழிக்கிறது
γαμπρός	மணமகன்
γαμπρός	மணமகன்
σομαλία	சோமாலியா
σεμπάστιαν	செபாஸ்டியன்
χορηγός	விளம்பரதாரர்கள்
χορηγός	ஸ்பான்சர்
αντιστοιχία	போட்டி
αντιστοιχία	ஆட்டம்
αντιστοιχία	பொருத்தம்
ντόπιοι	உள்ளூர்வாசிகள்
ντόπιοι	இனப்படுகொலைகள்
διέλευση	அபராதம்
διέλευση	கடக்கும்
μερίδιο	பகிர்வில்
μερίδιο	பகிர்
μερίδιο	பகிரவும்
ουγκάντα	உகாண்டா
σχεδιάσει	திட்டமிட்டு
πυρετό	காய்ச்சல்
αποκαλύψει	வெளிப்படுத்த
αποκαλύψει	வெளிப்படுத்தும்
ζάχαρη	சுகர்
ζάχαρη	சர்க்கரை
ζάχαρη	சீனி
παράγραφο	பத்தி
διευθέτηση	தீர்ப்பு
χρησιμοποίηση	பயன்படுத்து
βέρνερ	வெர்னர்
εξαφανίστηκε	காணாமல்
αντίστροφη	reverse
μάνο	மனோ
δικαστές	நீதிபதிகள்
ράλι	ஊர்வலம்
ράλι	பேரணி
τζουζέπε	ஜூசெப்பே
μπρούνο	bruno
δημόσιος	பொதுவானது
δημόσιος	பொதுவான
δημόσιος	பொது
άλλως	இல்லையெனில்
ποινικό	கிரிமினல்
ποινικό	குற்றவியல்
όγδοη	எட்டாவது
δημιουργίες	படைப்புகள்
υποδιαίρεση	subsection
ρέμπραντ	ரெம்பிரான்ட்
λεφτά	பணம்
λεφτά	பணத்தை
υπολογισμός	calculation
υπολογισμός	கணி
κουρτ	குர்ட்
πελάτη	வாடிக்கையாளர்
πελάτη	வாடிக்கையாளரின்
πελάτη	வாடிக்கையாளர்
πελάτη	உறுப்பினர்
πελάτη	கிளையன்ட்
δείχνοντας	காட்டுகிறது
δείχνοντας	குறிக்கும்
έκκληση	முறையீடு
έκκληση	மேல்முறையீடு
ευρωπαίων	ஐரோப்பியர்கள்
ευρωπαίων	ஐரோப்பியர்
διαχωρισμού	பிரிவினையை
διαχωρισμού	பிரித்தல்
υγρή	திரவ
υγρή	திரவம்
υγρή	ஈரமான
υγρή	ஈர
υγρή	ஈரம்
υγρή	ஈரமாக
διαγράμματα	தட்டிகள்
κλωντ	கிளாட்
απαγωγή	கடத்தல்
απαγωγή	கடத்தலுக்கு
απαγωγή	கடத்தல்
απαγωγή	கடத்தினார்
απαγωγή	கடத்தப்பட்ட
ζάμπια	சாம்பியா
ενεργοποίηση	இயக்கு
μηχανικά	மெக்கானிக்கல்
σεπτέμβρη	செப்டம்பர்
διακριτικά	insignia
καμπύλες	வளைவுகள்
διαβάστε	வாசி
διαβάστε	படியுங்கள்
διαβάστε	வாசிக்க
διαβάστε	படித்த
διαβάστε	படித்தது
διαβάστε	படி
καλλιεργούνται	வளர்ந்த
ξίφος	வாள்
αισθήσεις	புலன்கள்
καινοτομία	கண்டுபிடிப்பு
παράδεισο	சொர்க்கம்
παράδεισο	சொர்க்கம்
βαρσοβία	வார்சா
χωράφια	புலங்கள்
ντίζελ	டீசல்
υπουργούς	அமைச்சர்கள்
υπουργούς	மந்திரிகள்
ευγενία	eugenia
κατηγορεί	வியந்தது
διάσημοι	பிரபல
διάσημοι	பிரபலம்
διάσημοι	பிரபலங்கள்
παρουσιαστής	தொகுப்பாளர்
παρουσιαστής	சேவையகம்
παρουσιαστής	ஹோஸ்ட்
παρουσιαστής	புரவலன்
παρουσιαστής	புரவன்
παρουσιαστής	வழங்குநர்
ψηλότερη	உயரமான
αϊτή	ஹெய்டி
εξάρτηση	சார்ந்த
κώδικες	குறியீடுகள்
γκάνα	கானா
κλίντον	கிளின்டன்
κλίντον	கிளிண்டன்
διακριτικό	டோக்கன்
λιμνών	ஏரிகள்
εξαφανιστεί	மறைந்து
εύνοια	அருள்
ανησυχίες	கவலைகள்
ανησυχίες	கவலைகளை
ανησυχίες	கவலைகள்
εστιατόριο	உணவகம்
ιππότη	குதிரை
ιππότη	நைட்
αλβανοί	அல்பேனிய
χειρότερο	மோசமான
χειρότερο	மோசமாக
οπίσθια	பின்புறம்
κλοντ	கிளாட்
ράιαν	ரியான்
ισχυρότερη	பலமாக
νουβέλα	புதினம்
νουβέλα	நாவல்
ψηφία	இலக்கங்கள்
πρίνσιπε	பிரின்சிப்பி
ράπερ	ராப்பர்
άουσβιτς	auschwitz
γουέλς	வெல்ஸ்
γουέλς	கிணறுகள்
ενδιάμεση	இடைநிலை
κόσοβο	கொசோவோ
φθόριο	புளோரின்
χείλος	லிப்
χείλος	உதடு
χείλος	உதட்டு
χείλος	கட்டடத்தை
σκαρφάλωσε	ஏறு
