筋	τένοντες
安藤	άντο
和諧	αρμονία
撤消	ανακαλέσει
室外	έξω
室外	εξω
室外	υπαίθρια
室外	υπαίθρια
鵝	χήνας
鵝	χήνα
鵝	χήνες
刺殺	δολοφονία
彈劾	μομφή
彈劾	μομφής
坐標	συντεταγμένες
永恆	αιωνιότητα
永恆	διαχρονικό
永恆	αιώνιος
永恆	αιώνιο
永恆	αιώνια
津貼	επιδόματα
津貼	αποζημιώσεις
津貼	επίδομα
破解	κρακ
破解	ρωγμή
甲殼類	μαλακόστρακα
捲	roll
捲	ρολό
卡車	φορτηγάκι
卡車	φορτηγό
卡車	φορτηγά
麻雀	σπουργίτια
麻雀	σπάροου
麻雀	σπουργίτι
阻力	αντοχή
阻力	αντίστασης
阻力	αντίσταση
阻力	ανθεκτικότητα
關懷	φροντίδα
沙拉	σαλάτα
耳朵	αυτί
耳朵	αφτί
耳朵	αυτιά
耳朵	αφτιά
熔岩	λάβα
啟發	εμπνευσμένη
啟發	εμπνευσμένο
啟發	ενέπνευσε
盧森堡	λουξεμβούργο
疼痛	άλγος
疼痛	πόνο
疼痛	πόνος
鷗	γλάρος
佔有	κατοχή
獨家	αποκλειστική
獨家	αποκλειστικός
獨家	αποκλειστικό
獨家	αποκλειστικά
獨家	αποκλειστικότητα
冥王星	πλούτωνα
冥王星	πλούτο
停火	εκεχειρία
掩護	κάλυμμα
掩護	κάλυψη
掩護	εξώφυλλο
鈍	μπλαντ
鈍	αμβλύ
復原	αποκατάσταση
復原	ανάκαμψη
復原	ανάκτηση
復原	ανάρρωση
真主	αλλάχ
清潔	καθαριότητα
清潔	καθαρισμός
清潔	καθαρισμού
清潔	καθάρισμα
清潔	καθαριότητα
清潔	καθαρή
清潔	καθαρό
清潔	καθαρά
清潔	καθαρός
清潔	καθαροί
長壽	μακροζωία
友誼	φιλια
友誼	φιλία
多元化	διαφοροποίηση
多元化	πολυφωνία
多元化	πλουραλισμό
多元化	ποικιλία
多元化	ποικιλομορφία
多元化	πολυμορφία
多元化	πολυφωνία
友善	φιλικοί
友善	φιλικά
友善	φιλική
友善	φιλικός
友善	φιλικό
山麓	πεδεμόντιο
山麓	πρόποδες
甜蜜	γλυκό
甜蜜	γλυκά
甜蜜	γλυκιά
甜蜜	γλυκός
瘦	αδύνατος
瘦	slim
瘦	σλιμ
瘦	λεπτό
瘦	λεπτή
瘦	αδύνατος
甲烷	μεθάνιο
優質	ποιότητας
優質	ποιότητα
書法	καλλιγραφία
船員	πλήρωμα
前衛	εμπροσθοφυλακή
稀少	αραιό
山羊	κατσίκα
山羊	τράγος
山羊	κατσίκες
丟	πέτα
雪梨	σίντνεϊ
雪梨	σίδνεϊ
財團	κοινοπραξία
批量	χύδην
批量	χύμα
消化	χωνέψει
消化	πέψη
消化	πεπτικό
消化	digest
成效	αποτελεσματικότητα
樹木	δέντρο
樹木	δένδρο
樹木	δεντρο
樹木	δένδρα
樹木	δέντρα
陶器	κεραμικά
陶器	κεραμικής
租賃	μίσθωση
租賃	εκμίσθωση
租賃	μισθώσεις
租賃	μίσθωση
租賃	ενοικίαση
租賃	μίσθωση
租賃	εκμίσθωση
凱撒	καίσαρας
凱撒	σίζαρ
凱撒	καίσαρ
凱撒	καίσαρα
馬達加斯加	μαδαγασκάρης
馬達加斯加	μαδαγασκάρη
胖	λίπος
胖	χοντρός
狹窄	στένωση
狹窄	στενό
狹窄	στενή
狹窄	στενός
裁決	ετυμηγορία
裁決	κυβερνών
無力	ανίσχυρος
節省	αποταμιεύσεις
節省	οικονομίες
節省	εξοικονόμηση
節省	αποταμίευση
節省	εξοικονόμηση
節省	αποταμίευση
磚	τούβλα
磚	τούβλο
磚	μπρικ
利率	ρυθμός
利率	ποσοστό
利率	συντελεστής
高大	ψηλή
高大	ψηλό
高大	ψηλός
高大	ψηλοί
水下	υποβρύχια
意向	προθέσεις
意向	κλίση
意向	πρόθεση
意向	πρόθεσή
意向	πρόθεση
壓制	καταπίεση
壓制	καταστολή
壓制	καταστείλει
壓制	καταστολή
壓制	καταστολή
進度	progress
進度	πρόοδος
進度	πρόοδο
指稱	ισχυρισμούς
指稱	ισχυρισμοί
指稱	ισχυρισμός
哺乳動物	θηλαστικό
哺乳動物	θηλαστικά
爺爺	παππούς
爺爺	παππού
突襲	έφοδος
突襲	επιδρομή
突襲	επιδρομές
情侶	ζευγάρια
情侶	ζευγάρι
情侶	εραστές
情侶	ερωμένες
示範	μοντελο
示範	υπόδειγμα
示範	μοντέλο
示範	πρότυπο
示範	διαδήλωση
示範	επίδειξη
示範	demo
示範	δοκιμαστικό
示範	ντέμο
保全	διαφύλαξη
保全	διατήρηση
宮殿	ανάκτορα
宮殿	palace
宮殿	παλάτι
智力	εξυπνάδα
智力	ευφυία
智力	νοημοσύνη
智力	πνευματική
智力	διανοητική
爆破	ανατινάξεις
渡口	φέρι
糾紛	διενέξεις
糾紛	διαφορές
糾紛	διαφωνίες
糾紛	αμφισβητήσεις
糾紛	διαφορών
糾紛	αμφισβήτηση
糾紛	διαφωνία
糾紛	διένεξη
糾紛	διαμάχη
發光	λάμψει
發光	λαμπερό
發光	λαμπερή
