bitk	battles
evangelij	gospel
bruins	bruins
giacomo	giacomo
zaščiti	protect
prečka	crosses
ledvic	kidney
spomini	memories
spomini	memory
kopenski	terrestrial
bakra	copper
poklicno	occupational
poklicno	professionally
poklicno	vocational
miles	miles
kristus	christ
vsebovala	contained
predsednica	president
predsednica	chairwoman
shranjevanje	storing
shranjevanje	saving
shranjevanje	storage
zdravniki	physicians
zdravniki	doctors
raziskuje	exploring
raziskuje	explores
lopez	lopez
veri	faith
federacije	federation
hudi	severe
lisa	lisa
nedelja	sunday
sedmi	seventh
piramide	pyramid
piramide	pyramids
biolog	biologist
gerald	gerald
aus	aus
profesorica	professor
nekaterim	some
anders	anders
neil	neil
edwin	edwin
princeton	princeton
todd	todd
univerz	universities
spremenljivke	variables
prejšnji	previous
mathieu	mathieu
odstranitev	removal
sladkorja	sugar
ein	ein
nepravilnosti	irregularity
nepravilnosti	anomalies
nepravilnosti	irregularities
han	han
roland	roland
billie	billie
krajevna	local
spreminjanje	changing
uspešnost	performance
uspešnost	effectiveness
uspešnost	success
molitve	prayers
celine	céline
celine	celine
celine	continents
battista	battista
tretjini	thirds
orel	eagle
jasna	jasna
jasna	clear
hubert	hubert
opredelitev	definition
charlotte	charlotte
bella	bella
nominiran	nominated
rumeni	yellow
papirja	paper
zaposlitev	recruitment
zaposlitev	job
zaposlitev	employment
lucija	lucy
lucija	lucia
dostopna	accessible
ušesa	ear
ušesa	ears
nataša	nataša
nataša	natasha
boljša	better
shs	shs
razpad	breakup
razpad	disintegration
razpad	collapse
razpad	decay
rektor	provost
rektor	rector
petrova	petrova
označene	tagged
označene	marked
kolonija	colony
broughton	broughton
spol	gender
spol	sex
razviti	developed
razviti	develop
barry	barry
oborožitev	armaments
mcdonnell	mcdonnell
hčerke	daughters
sofija	sofia
sofija	sophia
fotografij	photos
hong	hong
trak	headband
trak	strip
trak	tape
trak	ribbon
trak	strap
tennessee	tennessee
sončne	solar
vidik	aspect
učiteljev	teachers
costa	costa
dokazano	proved
dokazano	proven
kit	whale
kit	kit
västra	västra
plašč	coat
plašč	cloak
odpovedal	canceled
sneg	snow
frentzen	frentzen
zasebni	private
spretnosti	skills
bernhard	bernhard
zmagovalci	winners
soba	room
galaksije	galaxies
novinarka	journalist
novinarka	reporter
mod	mod
napisi	inscriptions
ujeli	caught
ujeli	captured
potisk	thrust
švice	switzerland
cfg	cfg
svetlana	svetlana
usmerjena	directed
usmerjena	oriented
irvine	irvine
off	off
abc	abc
evrov	euros
skok	jump
skok	leap
esej	essay
zmožnosti	ability
zmožnosti	capabilities
huda	severe
huda	badass
mitchell	mitchell
nadomestila	compensations
nadomestila	refunds
nadomestila	remuneration
nadomestila	compensation
nadomestila	allowances
padlo	fell
padlo	fall
padlo	fallen
colorado	colorado
zmes	mixture
zaslužil	deserved
zaslužil	earned
mer	mer
zapor	jail
zapor	prison
paula	paula
tradicija	tradition
tine	tine
tine	tina
praksa	practice
