mtv	mtv
avgang	відправлення
avgang	виліт
carsten	карстен
pistol	пістолет
pistol	рушниця
pistol	гармата
pistol	пістолет
brigade	бригада
brigade	бригади
fisher	фішер
primær	основний
primær	основне
primær	основна
odense	оденсе
strategiske	стратегічний
strategiske	стратегічного
strategiske	стратегічна
rico	ріко
thoresen	торесен
tydeligvis	начебто
tydeligvis	очевидно
tydeligvis	мабуть
tydeligvis	виявляється
tydeligvis	вочевидь
tydeligvis	чітко
tydeligvis	суто
tydeligvis	очевидно
tydeligvis	явно
skjell	патрони
skjell	оболонки
skjell	мушлі
oppmerksom	слідкую
oppmerksom	ввічливий
blogg	блог
ansiktet	обличчя
ansiktet	обличчям
ansiktet	face
say	say
say	скажуть
say	кажу
say	сказати
say	кажеш
beat	били
beat	біт
beat	побили
jomfru	діва
jomfru	богородиці
jomfru	дівоче
jomfru	дівоча
ferdige	завершено
ferdige	завершені
ferdige	закінчено
ferdige	закінчиться
ferdige	закінчив
camilla	камілла
punk	панк
bagdad	багдада
elst	ельст
sum	сума
sum	суму
sum	сум
ruiner	руїни
fabrikk	фабрика
designer	designer
designer	дизайнер
designer	дизайнера
designer	розробка
sjuende	сьомому
sjuende	сьомий
sjuende	сьома
viggo	вігго
tyskere	німці
religioner	релігії
religioner	релігій
small	малий
small	малі
small	маленькі
elektroniske	електронне
elektroniske	електронні
elektroniske	електроніка
elektroniske	електронна
elektroniske	електронний
ronny	рон
ronny	ронні
myspace	myspace
skytter	шутер
skytter	стрілок
familiene	сімей
familiene	родин
familiene	родини
inspirerte	натхненно
inspirerte	надихали
rick	рік
düsseldorf	дюссельдорф
perry	перрі
oppføringer	списки
oppføringer	записів
oppføringer	пункти
oppføringer	записи
oppføringer	елементи
helene	гелен
helene	хелен
hart	гарт
opposisjon	протистояння
seven	сім
seven	сімка
farlige	небезпечні
farlige	небезпечна
farlige	небезпечний
farlige	небезпечно
bachelor	холостяк
bachelor	бакалавр
bokstav	лист
bokstav	літера
bokstav	листі
sean	шон
anmeldelse	переглянути
anmeldelse	рецензування
anmeldelse	відгук
anmeldelse	огляд
konsekvens	наслідок
konsekvens	наслідки
konsekvens	сумісність
hop	гоп
hop	hop
hop	хоп
gjest	гостя
gjest	гість
gjest	guest
gjest	гостем
rise	rise
pater	батька
pater	батько
pater	батьку
pater	отець
pearl	перл
pearl	перли
pearl	перлина
pearl	перлини
negativt	негативний
negativt	негативне
negativt	негативна
negativt	негатив
negativt	негативні
böhmen	bohemia
irish	ірландський
irish	irish
irish	ірландська
artilleri	озброєння
artilleri	артилерії
hrsg	hrsg
oval	овал
lagre	зберегти
arkansas	арканзасу
kyst	узбережжя
kyst	берег
illustrasjon	ілюстрація
illustrasjon	ілюстрації
deltagere	учасників
deltagere	учасники
deltagere	учасникам
orleans	орлеан
splittet	розділена
splittet	розділив
varm	гаряча
varm	hot
varm	гарячий
varm	гаряче
varm	гарячі
varm	тепло
varm	теплі
varm	тепла
massakren	злочини
mekanisk	механічна
mekanisk	механічний
helgen	вихідні
helgen	святий
helgen	saint
helgen	сен
aston	aston
terreng	місцевість
mason	муляр
miljøer	середовища
striper	смужки
striper	смуги
arkeologisk	археологічний
xiv	xiv
gatene	вулицям
gatene	вулиць
gatene	вуличками
gatene	вулицями
gatene	вулиці
gene	ген
gene	джин
tunisia	тунісі
tunisia	туніс
tunisia	тунісу
annie	енні
ammunisjon	снаряд
ammunisjon	боєприпаси
ammunisjon	боєприпасів
ammunisjon	боєприпаси
kiss	поцілунок
kiss	kiss
sigmund	зигмунд
eriksson	ерікссон
campus	університеті
annonsert	оголосили
annonsert	повідомляється
balkan	півострова
balkan	балканський
kommersielt	комерційне
kommersielt	комерційного
kommersielt	комерційні
kommersielt	комерційна
kommersielt	комерційний
frittstående	автономному
stabile	стабільна
stabile	стійкий
fangene	затримані
fangene	полонених
christoph	крістоф
parentes	дужки
parentes	дужки
fornøyd	задоволені
fornøyd	задоволена
fornøyd	задоволений
fornøyd	щаслива
fornøyd	щасливі
fornøyd	щасливе
fornøyd	щасливий
fornøyd	щасливим
nettverket	мережа
nettverket	network
nettverket	мережі
nettverket	мережеві
kaliber	калібр
gerais	жерайс
holocaust	голокосту
cello	віолончель
mangfold	різноманітність
mangfold	diversity
mangfold	різноманітності
mangfold	різноманіття
cover	обкладинку
cover	cover
cover	обкладинка
cover	обкладинки
rolig	спокійний
rolig	спокій
rolig	спокійні
rolig	легка
rolig	легкі
rolig	легко
rolig	легке
santo	санто
ryttere	вершники
ryttere	вершники
deltaker	учасник
deltaker	учасник
filosofen	філософ
gjenopprettet	відійшов
gjenopprettet	відновлено
forent	уніфіковані
forent	універсальний
forent	united
forent	юнайтед
utenlandsk	іноземних
utenlandsk	іноземні
utenlandsk	іноземний
nedgang	відхилити
nedgang	зменшити
federation	федерація
agnes	агнес
isaac	ісаак
