και	そして
από	から
για	for
κατηγορία	カテゴリー
κατηγορία	区分
κατηγορία	カテゴリ
κατηγορία	分類
ήταν	was
ένα	一つ
ένα	one
ένα	一人
ένα	ワン
μια	一つ
μια	one
μια	一人
μια	ワン
έχει	has
θα	ウィル
θα	遺言
αλλά	でも
αλλά	しかし
μετά	それから
μετά	アフター
επίσης	also
επίσης	また
είχε	had
ενώ	while
δύο	二つ
δύο	二人
αυτό	この
αυτό	これ
αυτή	彼女
όπου	どこ
όταν	いつ
όταν	とき
μέχρι	until
μέχρι	まで
μία	一つ
μία	one
μία	一人
μία	ワン
μπορεί	can
ομάδα	分隊
ομάδα	集団
ομάδα	グループ
ομάδα	チーム
θέση	位置
θέση	ポジション
θέση	役職
χρόνια	慢性
χρόνια	持病
χρόνια	年数
πρώτη	ファースト
πρώτη	最初
πιο	もっと
ένας	一つ
ένας	one
ένας	一人
ένας	ワン
πόλη	タウン
πόλη	シティ
πόλη	都市
σύνδεσμοι	リンク
μόνο	のみ
κάθε	それぞれ
περιοχή	リージョン
περιοχή	地域
περιοχή	面積
περιοχή	領域
περιοχή	エリア
αιώνα	世紀
αιώνα	センチュリー
αθήνα	アテネ
περίοδο	期間
περίοδο	ピリオド
τότε	それから
όνομα	名前
όνομα	氏名
όνομα	名称
ελλάδα	ギリシャ
μέρος	パート
μέρος	部分
μέρος	place
μέρος	場所
μέρος	スポット
σήμερα	トゥデイ
σήμερα	今日
μέσα	インサイド
πως	how
μαζί	together
διάρκεια	期間
ιστορία	記事
ιστορία	ストーリー
ιστορία	物語
ιστορία	履歴
ιστορία	由緒
ιστορία	歴史
ιστορία	沿革
πρωτάθλημα	リーグ
πρωτάθλημα	チャンピオンシップ
πρωτάθλημα	選手権
αργότερα	後で
νέα	new
νέα	新しい
νέα	新規
νέα	news
νέα	ニュース
περίπου	について
περίπου	おおよそ
αυτά	これらの
αυτά	これら
πριν	以前
χωρίς	なし
εθνική	国民
εθνική	ナショナル
συζήτηση	会話
συζήτηση	スレッド
συζήτηση	話し合い
συζήτηση	ディスカッション
συζήτηση	ディベート
αρχείο	書庫
αρχείο	アーカイブ
αρχείο	ファイル
φορά	タイム
φορά	時間
πάνω	二階
ομάδες	グループ
ομάδες	チーム
πρώτο	ファースト
πρώτο	最初
έργο	プロジェクト
έργο	作業
έργο	仕事
έργο	ワーク
κυρίως	主に
όχι	not
μεγάλη	大きな
μεγάλη	大きい
μεγάλη	ビッグ
έως	until
έως	まで
ταινία	映画
ταινία	ムービー
ταινία	テープ
ταινία	映画
ταινία	フィルム
άλλα	その他
άλλα	他の
άλλα	その他
τμήμα	部署
τμήμα	学科
τμήμα	部門
τμήμα	セクション
εκεί	そこ
ωστόσο	しかしながら
άλλες	その他
τέλος	ついに
τέλος	やっと
τέλος	遂に
τέλος	終了
τέλος	エンド
σειρά	シリーズ
σειρά	オーダー
σειρά	注文
στοιχεία	要素
στοιχεία	元素
στοιχεία	エレメント
στοιχεία	データ
συνέχεια	連続
συνέχεια	続行
συνέχεια	continue
συνέχεια	続ける
συνέχεια	続き
συνέχεια	継続
κάτω	ダウン
κάτω	階下
κάτω	以下
πολλές	多数
όλα	すべて
όλα	全て
όλα	all
όλα	すべて
σύστημα	システム
ακόμα	スティル
ακόμα	それでも
ακόμα	まだ
φορές	タイムズ
ίδια	同一
ίδια	同じ
ίδια	おなじ
χώρα	国名
χώρα	カントリー
αποτέλεσμα	結果
αποτέλεσμα	エフェクト
αποτέλεσμα	効果
οκτωβρίου	十月
σεπτεμβρίου	九月
νοεμβρίου	十一月
αγώνες	マッチ
αγώνες	一致
αγώνες	ゲーム
ταινίες	映画
μέσω	via
μέσω	through
μέσω	スルー
μαρτίου	マーチ
μαρτίου	行進曲
ιουνίου	六月
αυτές	これらの
αυτές	これら
πολλά	多数
απριλίου	四月
απριλίου	エイプリル
τρεις	三人
τρεις	three
τρεις	スリー
αυγούστου	アウグスト
έργα	ワークス
έργα	作品
έργα	プロジェクト
χρήση	使用
πρόεδρος	大統領
πρόεδρος	プレジデント
πρόεδρος	社長
πολιτική	ポリシー
πολιτική	政策
πολιτική	方針
πολιτική	政治
ακόμη	スティル
ακόμη	それでも
ακόμη	まだ
ίδιο	同じ
ίδιο	おなじ
εκλογές	選挙
εκλογές	選任
εκλογές	選挙
μέλη	メンバー
μέλη	メンバ
τελικά	ついに
τελικά	やっと
τελικά	遂に
μέλος	メンバ
μέλος	会員
μέλος	メンバー
εποχή	紀元
εποχή	エポック
εποχή	季節
εποχή	シーズン
εποχή	時代
χωριό	村落
χωριό	ヴィレッジ
αρχικά	当初
αρχικά	イニシャル
αρχικά	頭文字
περίοδος	期間
περίοδος	ピリオド
δήμος	市町村
κύπελλο	カップ
κύπελλο	コップ
κύπελλο	cup
