dhe	en
një	een
nga	van
nga	vanuit
nga	vanaf
për	vir
për	altesaam
edhe	selfs
nuk	nie
ishte	was
duke	ondervind
shumë	baie
por	maar
pas	na
pas	nadat
pas	ná
pas	volg
këtë	dit
këtë	hierdie
këtë	dié
parë	gesien
tyre	hul
tyre	hulle
mund	kon
mund	kan
gjatë	lank
disa	sommige
lidhje	skakels
lidhje	verhouding
lidhje	konneksie
lidhje	skakel
kjo	dit
kjo	hierdie
kjo	dié
kjo	dat
kjo	wat
kjo	dai
kur	wanneer
mbi	bo
deri	tot
deri	totdat
jashtme	eks
jashtme	eksterne
saj	its
saj	haar
kishte	moes
ajo	sy
vetëm	alleen
vetëm	slegs
vetëm	net
vetëm	slegs
vetëm	net
ata	hulle
ata	daardie
ata	diegene
tjera	ander
pjesë	dele
pjesë	parte
pjesë	deel
pjesë	gedeelte
atë	hom
shqiptare	albanees
rreth	oor
rreth	rond
para	geld
para	kontant
para	voor
para	before
ishin	was
ishin	were
per	oor
per	vir
per	altesaam
banorë	inwoners
komuna	munisipaliteit
cila	watter
cila	watse
nje	een
kundër	teller
kundër	toonbank
lista	lyste
qenë	gewees
kantoni	canton
gjithashtu	ook
ndërsa	ruk
ndërsa	terwyl
cilat	watter
cilat	watse
ndryshme	verskillende
ndryshme	anders
etj	ens
duhet	nood
duhet	benodig
duhet	moet
sipërfaqe	oppervlaktes
sipërfaqe	oppervlak
ato	hulle
ato	daardie
ato	diegene
përgjithshëm	herhaal
përgjithshëm	algemene
përgjithshëm	generaal
tjetër	ander
tjetër	volgende
njohur	herken
njohur	erkende
njohur	herken
njohur	erkende
shqiptar	albanees
dytë	sekondes
dytë	sekonde
mirë	goeie
mirë	goed
fundit	last
fundit	laas
fundit	laaste
fundit	jongste
fundit	nuutste
fundit	jongste
pasi	na
pasi	nadat
pasi	ná
shiko	sien
shiko	kyk
nën	onder
nën	hieronder
nën	onderstaande
nën	sub
jpg	jpg
herë	vou
herë	tye
herë	kere
viti	jaar
sot	vandag
çdo	elke
çdo	enige
lartë	hoë
lartë	hoog
popullsi	bevolking
popullsi	populasie
kosovës	kosovo
komunë	munisipaliteit
jetë	lewe
president	president
bërë	voltooi
bërë	gedoen
bërë	klaar
mes	middelste
mes	midde
mes	midde
mes	mid
mes	tussen
vonë	laat
vend	country
vend	land
vend	plek
vend	venue
vend	lokaal
vend	plek
shqipëri	albanië
pak	bietjie
pak	effens
francë	frankryk
fshat	village
fshat	dorpie
zyrtare	amptelik
zyrtare	amptenaar
zyrtare	amptelike
kryetari	speaker
kryetari	luidspreker
kryetari	spreker
kryetari	chairman
vendosur	geleë
pasur	moes
pasur	ryk
sepse	want
sepse	oorsaak
sepse	saak
sepse	veroorsaak
kishin	moes
vitet	jare
tre	drie
fund	eindig
fund	einde
fund	beëindig
marrë	geneem
harta	kaart
harta	kaarte
mbreti	heer
mbreti	king
mbreti	koning
midis	tussen
vogël	klein
vogël	tiny
kosovë	kosovo
vjet	jare
pastaj	then
pastaj	dan
shtetit	staat
shtetit	deelstaat
shtetit	provinsie
shtetit	toestand
shtetit	spasie
tiranë	tirana
kombëtare	nasionale
kombëtare	national
kombëtare	nasionaal
emrin	naam
emrin	benoem
emrin	gebruikernaam
mori	ontvang
mori	took
filloi	aanvang
ish	former
ish	voormalige
mars	maart
mars	optog
mars	mars
presidenti	president
lindur	gebore
lindi	geboorte
kryesore	hoof
aktualisht	tans
qyteti	town
qyteti	stad
politike	politieke
qershor	junie
pse	hoekom
pse	waarom
maj	may
maj	mei
maj	mag
vetë	self
nëntor	november
janar	januarie
shtator	september
brenda	brenda
brenda	binne
shteteve	provinsies
shteteve	deelstate
shteteve	state
kryesisht	meestal
prill	april
ditë	dag
ditë	dae
tetor	oktober
shkurt	februarie
shkurt	kort
shkurt	kortliks
shkurt	sorteer
bëhet	word
bëhet	geword
vjetër	oud
vjetër	ou
kodi	kode
monark	monarch
monark	monargie
dhjetor	desember
dhjetor	desimale
dhjetor	desimaal
mbret	heer
mbret	king
mbret	koning
gjuhën	tong
tani	nou
tani	now
tani	tans
frëngjisht	frans
frëngjisht	franse
km²	km²
shtetet	provinsies
shtetet	deelstate
shtetet	state
shtetet	lande
informacion	informasie
informacion	inligting
shume	baie
shume	much
gusht	august
gusht	augustus
shba	vsa
pranë	naby
top	bokant
top	bo
top	hoogs
korrik	julie
katër	vier
rëndësishme	belangrik
rëndësishme	belangrike
prishtinë	pristina
jashtë	buite
jashtë	uit
përbërja	samestelling
përbërja	komposisie
shën	heilige
shën	saint
qytet	town
qytet	stad
këtu	hier
