категория	categorie
като	zoals
като	like
година	jaar
след	na
след	after
това	dit
това	deze
български	bulgaarse
български	bulgaars
българия	bulgarije
част	deel
част	gedeelte
години	jaar
години	jaren
време	tijd
със	met
която	welke
което	welke
външни	extern
външни	uitwendig
външни	externe
препратки	verwijzingen
препратки	referenties
град	stad
град	stad
много	zeer
много	veel
много	velen
много	vele
също	ook
век	eeuw
село	dorpje
село	dorp
един	one
един	één
един	een
един	eén
между	tussen
около	rondom
около	rond
софия	sofia
софия	sophia
други	overige
други	andere
други	ander
други	overig
други	overige
други	andere
други	overigen
други	anderen
още	nog
още	more
още	meer
война	oorlog
само	alleen
само	enkel
само	slechts
само	gewoon
област	regio
област	oblast
област	district
област	gebied
област	oppervlakte
под	onder
под	under
място	plaats
място	lokatie
място	locatie
място	ligging
когато	wanneer
вид	typ
вид	type
вид	soort
вид	diersoort
вид	diersoorten
вид	soorten
вид	soort
една	edna
една	one
една	één
една	een
една	eén
всички	allen
всички	alle
всички	allemaal
всички	alles
всички	iedereen
семейство	familie
семейство	gezin
започва	begint
започва	begint
македония	macedonië
над	over
над	hierboven
над	boven
него	hem
срещу	versus
срещу	tegen
тези	deze
души	zielen
мини	mini
мини	mijnen
мини	mijnbouw
мини	minnie
намира	vindt
република	republiek
късно	late
късно	laat
май	mogen
май	may
май	mei
май	mag
май	moge
път	pad
път	route
път	weg
отбор	team
няколко	weinigen
няколко	paar
няколко	weinig
няколко	meerdere
няколко	verschillende
няколко	verscheidene
август	august
август	augustus
август	aug
роден	born
роден	geboren
беседа	conversatie
беседа	gesprek
септември	september
преди	voordat
преди	vóór
името	naam
група	band
група	groep
група	fractie
език	tongue
език	tong
език	taal
език	taalgebruik
юли	juli
някои	enkele
някои	sommigen
някои	sommige
тях	hen
река	rivier
река	river
януари	januari
юни	juni
юни	june
две	twee
две	two
октомври	oktober
октомври	october
октомври	lgo
име	naam
заедно	samen
фон	von
фон	achtergrondinformatie
фон	achtergrond
американски	amerikaan
американски	amerikaans
американски	amerikaanse
март	maart
март	marcheren
ноември	november
ноември	nov
април	apr
април	april
декември	december
декември	dec
чрез	via
история	verhaal
история	story
история	geschiedenis
жители	inwoners
жители	bewoners
