och	और
med	मेड
med	साथ
som	like
som	जैसे
som	जिससे
runt	दौर
runt	गोल
runt	राउंड
runt	गोलाकार
månaden	मासिक
månaden	महीना
månaden	महीने
månaden	माह
nederbörd	वर्षा
nederbörd	वर्षण
ligger	झूठ
ligger	स्थित
ligger	स्तिथ
ingår	शामिल
ingår	शामिल
att	उस
att	कि
ett	एक
familjen	फैमिली
familjen	परिवार
för	लिये
inga	इंगा
delen	हिस्से
delen	हिस्सा
delen	पार्ट
delen	भाग
underarter	subspecies
life	जिंदगी
life	ज़िन्दगी
life	ज़िंदगी
life	जिन्दगी
life	जीवन
listade	सूचीबद्ध
landet	देश
meter	मीटर
meter	मीटर
meter	मीटर
meter	मीटर
meter	गज
huvudstaden	कैपिटल
huvudstaden	राजधानी
huvudstaden	पूंजी
havet	सागर
havet	समुद्र
havet	महासागर
havet	समंदर
invånare	निवासी
invånare	निवासियों
invånare	निवासी
invånare	निवासियों
invånare	नागरिकों
januari	जनवरी
genomsnitt	औसत
genomsnittlig	औसत
var	था
var	थी
var	यहूद
var	कहाँ
var	कहां
var	जहां
var	जहाँ
juli	जुलाई
han	हान
har	रै
per	स्वादानुसार
per	प्रति
vattendrag	नहरें
vattendrag	नदियाँ
från	से
från	इससे
kanada	कनाडा
provinsen	प्रान्त
provinsen	प्रांतों
provinsen	प्रांत
närheten	निकटता
men	परन्तु
men	लेकिन
men	लेकीन
men	मगर
men	लकिन
högsta	सुप्रीम
högsta	सर्वोच्च
högsta	परम्
högsta	अधिकतम
högsta	सर्वोच्च
högsta	उच्चतम
augusti	अगस्त
länkar	लिंक
länkar	लिंक्स
länkar	कड़ियाँ
länkar	कड़ी
externa	बाहरी
externa	बाह्य
läge	लोकेशन
läge	अवस्थिति
läge	स्थान
läge	मोड
läge	विधि
även	सम
även	भी
även	भी
februari	फरवरी
februari	फ़रवरी
under	दौरान
under	तहत
under	अधीन
under	अंतर्गत
lake	झील
sjö	झील
sjö	सागर
sjö	समुद्र
inte	नही
inte	नहीं
kommun	नगरपालिका
två	दो
lac	लाख
terrängen	मैदान
long	लंबी
long	लंबा
long	लम्बी
long	long
juni	juni
juni	जून
lat	आलसी
december	दिसंबर
december	दिसम्बर
många	कई
