アダムズ	адамс
ジュース	сік
ルージュ	руж
バーツ	бат
従兄弟	кузен
ギルド	цех
ギルド	гільдії
ニュルンベルク	нюрнберг
ニュルンベルク	нюрнберг
ブラザー	брат
ブラザー	брата
ブラザー	братик
チューリッヒ	цюрих
チューリッヒ	zurich
内線	суфікс
内線	розширення
ルクス	люкс
浅い	мілка
カブ	капусти
カブ	совка
カブ	малому
カブ	дитинча
パウル	пол
パウル	пауль
パウル	павло
故人	померлих
ハンドボール	гандбол
ハンドボール	гандболу
オークス	дуби
オークス	отой
エッグ	яйця
エッグ	яєчка
エッグ	яйце
更生	реабілітація
スキン	оболонка
スキン	шкіра
スキン	шкіри
ピンチ	повертали
ピンチ	стискання
パース	perth
エマ	емма
ヌード	nude
ヌード	ню
メビウス	мебіус
公害	забруднення
コペンハーゲン	копенгаген
りんご	яблуками
りんご	яблука
りんご	яблуко
りんご	apple
りんご	яблучко
インフルエンザ	грип
インフルエンザ	грип
インフルエンザ	грипу
関税	тариф
オーボエ	гобой
毒性	токсичні
毒性	токсичність
メカニズム	механізми
メカニズム	механізм
ファンタジア	фантазію
ファンタジア	фантазія
ファンタジア	фантазії
やさしい	легка
やさしい	легкі
やさしい	легко
やさしい	легке
ネギ	лік
燃える	палає
体質	конституція
イヌ	собака
イヌ	собачка
イヌ	пес
苦しみ	страждання
キノコ	гриби
キノコ	гриб
キノコ	гриби
グラン	гран
厚い	жирна
厚い	товстий
厚い	товста
厚い	густе
ヤンキー	янки
ヤンキー	янкі
飛躍	стрибок
ボア	удав
麻痺	параліч
中古	уживаних
オリンピア	олімпія
クラウス	краус
クラウス	клаус
証人	свідки
証人	свідок
賞賛	милуватися
賞賛	захват
シリアル	послідовний
シリアル	серійний
シリアル	пластівці
ウィンドウ	вікно
乱闘	сутичка
聴く	слухайте
聴く	прослухати
聴く	слухати
聴く	слухай
バーバラ	барбара
遊ぶ	відтворити
遊ぶ	грати
遊ぶ	програти
決済	сплати
決済	платежі
決済	поселення
決済	сплата
決済	оплати
決済	оплата
決済	платіж
決済	сплати
サニー	сонячний
サニー	сонячно
嫉妬	заздрить
嫉妬	ревнощів
ディスコ	диско
ブタ	свині
ブタ	свиня
ブタ	свині
ノーマン	норман
尾翼	хвіст
退却	відступати
大場	оба
悪意	шкідливим
悪意	шкідливий
悪意	malice
受け取る	отримувати
アーロン	аарон
アーロン	арон
アンチ	анти
アンチ	anti
ベストセラー	бестселер
ピコ	піко
エンブレム	емблеми
エンブレム	емблема
素敵	гарно
思想家	мислителі
ピクセル	пікселів
ピクセル	піксель
ピクセル	пікселів
ピクセル	пікселі
コントローラ	регулятори
コントローラ	контролер
コントローラ	регулятор
たまに	місцями
外科医	хірург
伝送	перенесення
木戸	кідо
トロイ	троя
二条	нідзьо
面会	візитації
タンカー	танкер
タンカー	танкера
気体	газова
気体	газу
気体	газ
気体	гази
処罰	покарати
処罰	карати
処罰	покарання
ロータス	lotus
キャンセル	скасувати
キャンセル	скасовано
キャンセル	скасовано
キャンセル	скасування
不完全	недосконала
ウィキ	вікі
リスボン	лісабон
剥奪	позбавив
剥奪	позбавили
掘削	бурова
ボリビア	болівійський
ボリビア	болівії
幼虫	личинки
悪夢	жахіття
悪夢	кошмар
演目	програми
標準化	стандартизація
チェルシー	челсі
ナンシー	ненсі
カタール	катару
カタール	катарський
解読	декодування
ゲイリー	гарі
ゲイリー	гері
やまと	ямато
タンゴ	танго
濡れ	змочування
濡れ	мокра
濡れ	мокрий
ロンド	rondo
キックボクシング	кікбоксинг
台北市	тайбей
諮問	консультацію
諮問	консультація
諮問	консультації
火事	fire
火事	вогнем
火事	вогонь
火事	пожежа
ジュリエット	джульєтта
マクラーレン	mclaren
プファルツ	pfalz
オアシス	oasis
オアシス	оазис
赤道	екватор
クウェート	кувейт
疲労	втома
疲労	виснаження
平壌	пхеньян
国々	країн
国々	країни
ディー	ді
タコ	восьминіг
内訳	зриву
ジャイアント	giant
ジャイアント	велетенська
ジャイアント	гігант
ジャイアント	велетень
バディ	друже
出願	програми
出願	програма
出願	застосунок
出願	додаток
ウォーレン	воррен
銃弾	кулю
銃弾	постріли
銃弾	позначки
銃弾	куля
妥協	компроміс
ピストン	поршень
鉄拳	tekken
グラミー	медовий
抗体	антитіла
抗体	антитіло
トモ	томо
風船	кулі
風船	кульки
リターン	повернутися
リターン	повернення
ユーラシア	євразійський
安定性	стабільність
コメディアン	комік
コメディアン	коміки
フェリックス	фелікс
エレクトロニクス	електроніка
パトロール	патруль
パトロール	патрульний
パトロール	патрулювання
クレーター	кратери
クレーター	кратер
キャピタル	капітал
キャピタル	столиця
チャット	спілкування
チャット	балачки
チャット	чат
高句麗	когурьо
糖尿病	діабет
ディズニーランド	діснейленд
エルフ	elf
エルフ	ельфи
バーガー	burger
カリウム	калію
サバイバル	виживання
シックス	шість
シックス	шестеро
可愛い	мило
可愛い	милі
スピリット	колорит
スピリット	дух
スピリット	spirit
民兵	міліції
ルター	лютер
