емерсон	에머슨
пустина	사막
хромозоми	염색체
тесен	타이트
тесен	좁은
тесен	좁아
тесен	좁다
приватно	비공개
приватно	비공개로
приватно	비공개
интересен	흥미롭다
интересен	흥미로운
интересен	재미있는
рагби	럭비
коен	코헨
показател	지표
кадри	프레임
систематски	체계적
цвеќиња	꽃이
скарлет	스칼렛
скарлет	스칼렛
дефинитивно	확실히
размер	스케일
размер	축척
размер	척도
размер	규모
кратенка	단축키
кратенка	바로가기
марин	마린
појаси	벨트
колинс	콜린스
старбакс	스타벅스
мочуришта	습지
ајдахо	아이다호
земјоделска	농업
земјоделска	농지
земјоделска	농업
земјоделска	농사
земјоделска	농장
централа	공장
централа	식물
централа	식물학
централа	중부
централа	센트럴
централа	디스패치
советување	상담
трага	흔적
трага	트레일
трага	추적
трага	트레이스
трага	흔적
трага	리드
дрес	유니폼
сериски	직렬
сериски	시리얼
албанска	알바니아
албанска	알바니아인
албанска	알바니아어
микроскоп	현미경
оператори	연산자
оператори	운영자
ракописот	사본
датуми	날짜
датуми	데이트
исчезнат	실종
исчезнат	누락
исчезнат	missing
исчезнат	사라져
сенегал	세네갈
пинк	분홍색
пинк	분홍
пинк	핑크
запише	입학하기
запише	등록
приоритет	우선순위
науру	나우루
хирургија	수술
хирургија	외과
хирургија	수술과
бонд	채권
бонд	결합
бонд	본드
ретка	희귀한
ретка	귀한
ретка	희귀
ретка	드문
засолниште	쉼터
реализам	현실주의
арамејски	아람어
алфонсо	알폰소
преведување	번역중
преведување	번역기
преведување	번역
преведување	번역하기
преведување	번역
седи	앉아
седи	착석
седи	앉은
флеминг	플레밍
изложување	노출
калциум	칼슘
римјани	로마인
фреска	벽화
проценки	추정치
проценки	추정
марина	마리나
катастрофа	재난
катастрофа	재난
катастрофа	재앙
тед	테드
тед	ted
индустрии	업종
индустрии	산업
пери	페리
убави	아름다운
убави	아름다워
убави	아름답다
терористите	테러리스트
призна	자백
заработка	이익
заработка	적립
заработка	수입
заработка	수익금
заработка	수익
пиј	음료
пиј	음료수
версај	베르사이유
версај	베르사유
оценување	평가
долини	골짜기
сузан	수잰
сузан	수잔
сели	샐리
мед	여보
мед	허니
јунак	히어로
јунак	영웅
автобуси	버스
мексикански	멕시코인
мексикански	멕시코
изненадување	서프라이즈
дизајни	설계
дизајни	디자인
миранда	미란다
ема	엠마
застапеност	표현
хомер	호머
окленд	오클랜드
стипендија	장학금
маски	변장
маски	마스크
маски	가면
седми	일곱번째
часовници	시계
часовници	시계
тркала	바퀴
бохемија	보헤미아
кантон	캔턴
раководење	경영
раководење	관리
случајна	무작위
случајна	무작위로
случајна	랜덤
студена	춥다
студена	감기
студена	추위
студена	차가운
забранета	금지
забранета	금지
забранета	차단됨
афро	아프로
доброволци	자원봉사자
доброволци	자원봉사
доброволци	봉사자
терминологија	용어
вулкани	화산
данте	단테
управител	주지사
едвардс	에드워즈
кристоф	크리스토프
практични	실무
практични	실용적
практични	실용
глазгов	글래스고
истакнато	하이라이트
истакнато	추천
истакнато	대표
референци	참조
референци	참고
кент	켄트
отпорност	저항운동
отпорност	저항성
отпорност	저항
отпорност	탄력성
хејс	헤이즈
хејс	헤이스
невработеноста	실업
илустрација	일러스트
илустрација	삽화
тесни	좁은
тесни	좁아
тесни	좁다
вртење	빙글빙글
вртење	스핀
карактери	문자
карактери	등장인물
прстите	손가락
моќна	강력
моќна	강력한
моќна	강력하다
белешка	노트
белешка	참고
стекнување	습득
стекнување	확보
стекнување	획득
литературна	문학
долар	달러
тувалу	투발루
тувалу	투발루의
седница	세션
сосем	상당히
пронаоѓање	찾기
задачите	작업
задачите	태스크
полицајци	장교
водеше	led
комунист	공산주의자
анкара	앙카라
мареј	머리
кривични	범죄자
хелен	헬렌
електро	일렉트로
повелба	헌장
повелба	전세
добивањето	수신
претходен	이전
анимиран	애니메이션
инчи	인치
сајтови	사이트
сребрена	실버
таџикистан	타지키스탄
рамо	어깨
рекламирање	광고
алјаска	알래스카
скорпија	전갈자리
бактериите	세균
бактериите	박테리아
цвет	꽃이
цвет	플라워
селтик	켈트
селтик	셀틱
премини	건널목
семјуел	새뮤얼
семјуел	사무엘
демонстрации	시위
демонстрации	시연
демонстрации	시위
ахил	아킬레스
сојузник	앨리
дождови	폭우
хардвер	하드웨어
ладење	냉각
ладење	냉방
остар	샤프
остар	예리
федерални	연방
погребот	장례식장
погребот	장례식
погребот	장례
пронајдоци	발명
моли	몰리
мтв	mtv
покрив	옥상
покрив	지붕
чудо	기적
отсуството	부재
рајт	라이트
матка	자궁
матка	자궁
хрвати	크로아티아인
бунтовниците	반군
бунтовниците	반란군
топологија	위상수학
сличност	닮음
влажни	습작
влажни	습윤
влажни	습기
влажни	젖은
влажни	젖어
прецизност	정밀도
прецизност	정밀
прецизност	정확도
прецизност	정밀도
прецизност	정확성
лама	라마
автобиографија	자서전
муслиманско	이슬람교
муслиманско	무슬림
лувр	루브르
шведскиот	스웨덴어
шведскиот	스웨덴
шведскиот	스웨덴인
страст	열정
словачки	슬로바키아
словачки	슬로바키아인
словачки	슬로바키아어
срцева	심장
величини	사이즈
величини	크기
муниција	탄약
муниција	탄약
надминат	극복
професионалци	전문가
функционални	함수형
конфигурација	설정
конфигурација	구성
нашироко	널리
дует	듀엣
дует	duet
првичните	초기
првичните	이니셜
бремена	임신
сериозен	심각한
сериозен	심각해
сериозен	심각하다
сериозен	심각하게
точките	dots
точките	반점
испит	시험
хорор	공포
зрелост	성숙
зрелост	성숙도
тенка	얇은
древни	고대
хемијата	화학
романтична	낭만
романтична	낭만주의
романтична	로맨틱
романтична	낭만적
лео	리오
лео	사자자리
лео	레오
мулти	멀티
мирно	꾸준히
мирно	평화로운
мирно	평화롭고
цивили	민간인
планинарски	등산
желби	소망
желби	소원
желби	갈망
желби	욕망
желби	욕구
утврден	설립
мат	매트
мат	마테
мат	매트
мат	mat
мат	매트
алтернативна	대체
насилно	폭력적인
насилно	폭력적
свињи	돼지
анимирани	애니메이션
корелација	상관
корелација	상관관계
формација	형성
опус	오푸스
ловец	사냥꾼
ловец	헌터
екрани	화면
екрани	스크린
потсдам	포츠담
длабок	깊은
длабок	깊게
земјотреси	지진
покривот	옥상
покривот	지붕
интересна	흥미롭다
интересна	흥미로운
интересна	재미있는
виолина	바이올린
пресуда	문장
пресуда	판결
пресуда	판결
пресуда	판결
пресуда	판단력
пресуда	심판
пресуда	판단
даб	더빙
мајер	마이어
мајер	마이어
пишан	서면
чума	전염병
чума	흑사병
чума	페스트
вокер	워커
регистар	레지스터
регистар	등록
регистар	레지스트리
присуствува	참석하기
присуствува	참석
фраза	어구
фраза	구문
фото	사진
емилија	에밀리아
машко	남성
машко	수컷
перси	퍼시
трон	왕좌
трон	왕위
никарагва	니카라과
никарагва	니카라과의
ликвидност	유동성
законодавство	입법
законодавство	법률
