jonas	jonas
szárnya	wing
szárnya	krilo
növekedés	povećanje
növekedés	rast
növekedés	rasta
tanulás	učim
tanulás	studiranje
tanulás	uči
tanulás	učenje
tanulás	učiti
tanulás	studij
tanulás	prouči
tanulás	studija
tanulás	učim
tanulás	uči
tanulás	učenje
egyenlet	jednadžbe
egyenlet	jednadžba
flash	blic
flash	bljesak
computer	računalo
toszkána	toskani
moto	moto
börtön	zatvor
börtön	zatvor
una	una
okos	pametna
okos	pametan
okos	pametno
okos	pametna
okos	pametni
okos	pametan
okos	smart
okos	pametno
mélység	dubina
lane	lane
grafika	grafika
divízió	odsjek
divízió	odjel
divízió	podjela
divízió	divizija
személyisége	osobnost
személyisége	osobnosti
személyisége	ličnost
atlas	atlas
kalózok	gusari
kalózok	pirati
isère	isère
brad	brad
kapcsolódott	povezano
kapcsolódott	povezani
kapcsolódott	spojeni
kapcsolódott	povezani
problémás	problematično
alexandre	alexandre
szászok	saksonci
fehéroroszország	bjelorusiji
fehéroroszország	bjeloruski
versailles	versailles
sainte	sainte
tények	činjenice
ger	ger
bass	bas
bass	bass
spirituális	duhovna
spirituális	duhovni
spirituális	duhovne
spirituális	duhovno
sekély	plitka
sekély	plitak
sekély	plitko
kulcs	tipke
kulcs	ključeve
kulcs	ključevi
kulcs	tipka
kulcs	ključ
ajánlatot	ponudi
ajánlatot	ponudu
ajánlatot	ponuda
újonc	pridošlica
újonc	novak
újonc	početnik
újonc	rookie
hannover	hannover
schiller	schiller
leone	leone
lmbt	lgbt
jövőbeli	budućnosti
jövőbeli	budućnost
kezeli	ručke
kezeli	drške
asszonyok	žene
jogszabályok	zakon
jogszabályok	zakone
jogszabályok	zakoni
legendája	legende
legendája	legenda
chuck	chuck
planet	planet
planet	planeta
mer	mer
megközelítőleg	približno
megközelítőleg	otprilike
megközelítőleg	približno
torres	torres
hong	hong
miles	milje
miles	miles
miles	milja
szárnyak	krila
szárnyak	krilima
szárnyak	krilca
gees	gees
műveletek	operacije
műveletek	operacija
műveletek	postupci
műveletek	radnje
műveletek	akcije
műveletek	djela
szenátus	senatu
szenátus	senat
rendezvények	događaji
rendezvények	događaja
rendezvények	događaje
arányos	proporcionalan
humanista	humanista
festői	scenski
festői	slikoviti
aragón	aragón
nancy	nancy
filmeket	filmovi
filmeket	filmove
filmeket	kino
filmeket	filmovi
mesterek	masters
mesterek	gazde
mesterek	gospodari
mesterek	majstori
anita	anita
lausanne	lausanne
készülék	uređaj
készülék	pomagalo
készülék	aparati
hétvégén	vikendom
hétvégén	vikendima
hétvégén	vikend
házas	oženjen
tirol	tirol
extrém	ekstremna
extrém	ekstremni
extrém	ekstremno
aug	aug
márka	brand
márka	marka
márka	brend
terra	terra
sawyer	sawyer
birkózó	hrvanje
birkózó	hrvač
vladimir	vladimira
vladimir	vladimir
atom	atomska
atom	atomski
atom	atoma
atom	atom
menő	cool
hotspur	hotspur
basszusgitáros	basist
janus	janus
szabványos	standardni
szabványos	standardno
szabványos	standardna
szabványos	standard
októberi	listopada
októberi	listopad
októberi	oktobar
arabul	arapski
milliméter	milimetara
kábel	kabel
kábel	cable
büntetést	kažnjeni
büntetést	kažnjen
nyak	vrat
légitársaság	airlines
érsekség	nadbiskupije
többségi	većinski
többségi	većina
spears	koplja
spears	spears
univerzum	univerzum
univerzum	svemir
indulás	polazak
indulás	odlazak
kenny	kenny
jakob	jakob
műholdas	satelitski
műholdas	satelitska
műholdas	satelit
cső	cijev
cső	cijevi
cső	cijev
könyvtárosok	knjižničari
gyümölcs	voće
gyümölcs	voce
gyümölcs	voćni
gyümölcs	plod
gyümölcs	voće
gyümölcs	plodovi
gyümölcs	voce
model	manekenka
model	model
model	maneken
szociológiai	sociološki
elisabeth	elizabeta
elisabeth	elisabeth
specifikus	specifično
specifikus	specifične
specifikus	specifičan
specifikus	specifična
természettudós	prirodoslovac
diktatúra	diktature
rachel	rachel
projektek	projekte
projektek	projektima
projektek	projekti
viselkedése	ponašanje
oldódik	topiv
firenzei	florentine
csillagkép	zviježđe
#fff	#fff
holló	crow
holló	vrana
holló	vrane
holló	raven
holló	gavran
anti	anti
hírességek	slavna
auguste	auguste
werder	werder
térbeli	prostorne
térbeli	prostorno
hetente	tjedni
hetente	tjedno
köd	magla
köd	magle
köd	magla
köd	maglica
tang	tang
demográfiai	stanovništvo
demográfiai	demografske
értékelte	cijenjena
értékelte	cijenio
baptista	baptističkoj
mostanában	nedavno
kompatibilis	kompatibilni
edge	rub
edge	rubu
fokozott	povećana
fokozott	povećan
jam	džem
jam	pekmez
creek	creek
ajánlom	preporučam
ajánlom	preporučujemo
ajánlom	preporučujem
ajánlom	preporučiti
sarki	polarni
figyelmeztetés	upozorenje
figyelmeztetés	upozorenja
figyelmeztetés	uzbuna
figyelmeztetés	upozorenja
narancssárga	narančasta
narancssárga	orange
narancssárga	narančasto
narancssárga	naranče
meggyilkolták	ubijena
meggyilkolták	ubijen
scooby	scooby
lent	ispod
boldogság	sreća
boldogság	sreću
boldogság	sretno
boldogság	sretan
szög	noktiju
szög	čavao
szög	nokat
szög	kut
megválasztott	izabran
időszakos	periodične
időszakos	isprekidana
julian	julian
biológus	biolog
trombita	truba
trombita	trubu
pan	pana
pan	pan
péntek	petak
moldova	moldavija
monumentális	monumentalna
bányászati	rudarske
poroszország	pruskoj
korrekt	ispravi
korrekt	pošteno
korrekt	sajam
annie	eni
annie	annie
kalauz	vodič
kalauz	kondukter
kalauz	dirigent
vasutak	željeznice
vasutak	željeznica
vizsgált	testirao
vizsgált	testirali
vizsgált	testiran
vizsgált	pregledao
vizsgált	istraživao
tölgy	hrast
tölgy	oak
tölgy	hrasta
tojás	jaja
tojás	jaje
létesítmény	instalacija
létesítmény	instalacije
létesítmény	instalaciju
létesítmény	ustanova
létesítmény	postrojenje
létesítmény	uspostavljanje
létesítmény	osnivanje
létesítmény	uspostavu
létesítmény	uspostava
megszállt	posjedovao
megszállt	opsjednuti
klorid	klorid
mialatt	dok
fix	popraviti
fix	popravi
fix	popravio
fix	fiksna
fix	fiksne
fix	fiksni
fix	popravljen
homok	pijesak
homok	sand
homok	pješčana
homok	sands
csók	ljubim
csók	pusa
csók	poljupci
csók	ljubi
csók	poljubac
csók	pusa
csók	kiss
csók	ljubim
veszteségeket	gubitke
veszteségeket	gubitaka
veszteségeket	gubici
spontán	spontana
spontán	spontani
spontán	spontano
spontán	spontano
derby	derby
derby	derbi
evolúció	evolucije
evolúció	evolucija
evolúció	evolucijski
szurkolók	ljubitelji
szurkolók	navijači
szurkolók	obožavatelji
szurkolók	fanovi
üzemeltető	operater
conrad	conrad
analízis	analize
analízis	analiza
mongólia	mongoliji
luna	luna
privát	privatno
privát	private
privát	privatni
kezdetek	početku
kezdetek	pocetak
kezdetek	početak
