den	на
med	със
som	като
som	like
som	което
som	която
runt	около
runt	наоколо
runt	кръгла
runt	кръгли
runt	рунд
runt	кръгло
runt	кръг
månaden	месечна
månaden	месечно
månaden	месечни
månaden	месечен
månaden	месец
nederbörd	валежи
nederbörd	валежи
nederbörd	утаяване
ligger	лъжи
ligger	разположена
ligger	разположен
ligger	разположени
ligger	разположено
ingår	включени
ingår	включено
ingår	включена
ingår	включен
ingår	включват
ingår	включва
att	че
ett	една
ett	един
ett	едно
över	над
familjen	семейство
familjen	семейството
för	за
inga	инга
delen	част
släktet	род
underarter	подвид
life	живот
life	живота
life	life
life	лайф
life	животът
listade	изброени
landet	държава
landet	страна
meter	метър
meter	метри
meter	метра
meter	метри
meter	метър
meter	ярда
huvudstaden	капитолия
huvudstaden	столица
huvudstaden	капитал
huvudstaden	капитали
huvudstaden	столицата
havet	море
havet	морето
havet	океан
invånare	обитатели
invånare	жители
invånare	пребиваващи
invånare	обитатели
invånare	жители
invånare	граждани
invånare	гражданите
januari	януари
millimeter	милиметров
millimeter	милиметър
millimeter	милиметри
millimeter	милиметра
millimeter	милиметър
millimeter	милиметър
millimeter	милиметра
genomsnitt	среден
genomsnitt	средно
genomsnittlig	среден
genomsnittlig	средно
var	var
var	вар
var	бе
var	бяха
var	къде
juli	юли
juli	джули
han	хан
per	пер
vattendrag	реки
vattendrag	реките
vattendrag	ривърс
från	от
kanada	канада
provinsen	провинцията
provinsen	провинция
närheten	близост
men	но
högsta	върховен
högsta	върховния
högsta	върховна
högsta	върховно
högsta	максимална
högsta	максимален
högsta	максимум
högsta	максимално
augusti	август
augusti	аугуст
kan	могат
kan	can
länkar	връзки
externa	външна
externa	външно
externa	външни
externa	външен
läge	местоположение
läge	място
läge	местонахождение
läge	локация
läge	режим
även	дори
även	даже
även	също
februari	февруари
under	под
lake	езерото
lake	лейк
lake	езеро
sjö	езерото
sjö	лейк
sjö	езеро
sjö	море
sjö	морето
inte	не
sig	сиг
kommun	община
två	двама
två	две
lac	лак
terrängen	терена
terrängen	терен
terrängen	терени
long	дълги
long	дълго
long	дълъг
long	лонг
juni	джун
juni	юни
lat	лат
lat	мързелива
lat	мързеливи
lat	мързелив
lat	мързеливо
