레프	lev
리에주	liège
브루나이	brunei
쌓인	istiflenmiş
움직여	hareket
움직여	taşı
냉방	soğutma
나카타	nakata
원고	davacı
원고	şikayetçi
크리스티	christie
해외로	denizaşırı
해외로	yurtdışı
해외로	yurtdışında
해외로	yurtdışı
해외로	yurtdışında
유리코	yuriko
엑스포	fuar
엑스포	expo
컴파일러	derleme
컴파일러	derleyicileri
컴파일러	derleyici
앙상블	topluluğu
앙상블	topluluk
시체	ceset
시체	vücut
시체	beden
시체	cesetler
시체	cesetleri
시체	ceset
시체	kadavra
거미	jelibon
거미	örümcek
거미	spider
거미	örümcek
거미	örümcekler
그릇	kase
그릇	kâse
그릇	kase
그릇	kâse
힐러리	hillary
힐러리	hilary
모델링	modellik
모델링	modellik
캅카스	kafkasya
캅카스	polis
나카니시	nakanishi
촛불	mum
촛불	kandil
촛불	mum
촛불	mumlar
가축	sığır
가축	sığırlar
웨딩	düğün
웨딩	nikah
웨딩	evlilik
무스카트	muscat
우랄	ural
상점	shop
상점	alışveriş
상점	dükkan
상점	mağaza
상점	dükkanlar
상점	mağazalar
상점	mağazaları
상점	dükkanlar
상점	mağazalar
상점	mağazası
상점	mağazadan
상점	dükkan
상점	store
상점	mağaza
스티븐스	steven
스티븐스	stevens
부재	yokluğu
부재	yokluğunda
바꾸기	değiştirme
바꾸기	yerine
바꾸기	değiştir
바꾸기	değiştir
바꾸기	geçiş
바꾸기	takas
바꾸기	değişim
바꾸기	değiştir
바꾸기	değişiklik
바꾸기	değiştirme
카운트다운	countdown
분홍색	pink
분홍색	pembe
요리사	cook
요리사	çook
요리사	aşçı
요리사	chef
요리사	aşçı
요리사	şef
할당된	atanmış
할당된	atandı
할당된	atanan
저작권자	telif
말하기	konuşan
말하기	konuş
헤더	başlık
헤더	başlığı
헤더	heather
헤더	başlıklar
산술	aritmetik
십자	karşıya
십자	haç
십자	çapraz
십자	hacı
십자	cross
의자	koltuk
의자	sandalye
레일	demiryolu
레일	raylar
간격	boşluk
간격	aralık
간격	aralığı
간격	aralıklı
간격	boşluklar
간격	boşluk
간격	boşluklar
카스트로	castro
라이스	pirinç
라이스	pilav
페르미	fermi
사춘기	ergen
사춘기	ergenlik
사춘기	ergenlik
베넷	bennett
베넷	bennet
액정	lcd
후드	başlıklı
후드	hood
페인	payne
페인	paine
요셉	yusuf
요셉	joseph
포커	poker
디아블로	diablo
커플	çiftlere
커플	çiftler
커플	çifti
커플	çift
불안	güvensiz
불안	kaygı
불안	endişe
퀸즈	queens
프린터	basım
프린터	baskı
프린터	yazıcı
프린터	yazıcılar
프린터	yazıcı
터미네이터	terminatör
일렉트로니카	elektronika
양서류	amfibiler
채소	sebze
채소	bitkisel
채소	sebze
채소	sebzeler
문구	başlık
문구	açıklama
문구	manşet
문구	yazı
문구	mesaj
문구	metin
문구	ifadeler
문구	cümleler
문구	kırtasiye
스트라스부르	strazburg
키르기스스탄	kırgızistan
단층	fay
도마뱀	kertenkele
도마뱀	kertenkeleler
도마뱀	kertenkele
무라타	murata
이끼	yosun
이끼	moss
계몽	aydınlanma
바트	bart
바트	baht
시리우스	sirius
킹스턴	kingston
소실	kaybolması
소실	kaybolma
부활절	paskalya
랄프	ralph
클릭	tıklama
클릭	tıklayın
클릭	tıkla
클릭	tıklama
하디	hardy
직물	tekstil
직물	kumaş
직물	kumaşlar
직물	tekstil
파스타	makarna
메시	messi
다스	darth
북서	northwestern
북서	kuzeybatı
북서	kuzeybatı
페르시아어	pers
페르시아어	iran
페르시아어	iranlı
페르시아어	farsça
노르딕	iskandinav
매리너스	mariners
플랜	plân
플랜	planla
플랜	plan
플랜	planı
플랜	planlar
플랜	planları
플랜	plan
의미있는	anlamlı
신용	kredi
미아	mia
야채	sebze
야채	bitkisel
야채	sebze
야채	sebzeler
렌더링	hazırlama
바이애슬론	biatlon
적분	integral
삼각주	delta
사각형	karesi
사각형	meydan
사각형	kare
사각형	dikdörtgen
청소	temizlik
청소	temizleme
청소	tertemiz
청소	temizle
청소	temiz
청소	temizledim
청소	temizlenmiş
청소	temizlendi
거기	orada
거기	orda
세미	yarı
세미	yari
중등	ikincil
베이시스트	basçı
캐롤	carol
캐롤	carroll
캐롤	carole
엘리	ellie
엘리	eli
부채	borç
부채	borçları
부채	borçlar
부채	borç
부채	borcu
부채	borçlar
히로세	hirose
발효	mayalanmış
발효	fermantasyon
체리	cherry
체리	kiraz
체리	vişne
체리	kiraz
코덱	codec
경관	memur
경관	subay
경관	yatay
경관	manzara
퍼텐셜	potansiyel
생각하기	düşün
생각하기	düşünün
수용체	reseptör
버섯	mantarlar
버섯	mantarlı
버섯	mantar
버섯	mantarlı
버섯	mantar
익숙한	tanıdık
익숙한	aşina
파이팅	dövüşmek
파이팅	kavga
파이팅	dövüş
파이팅	mücadele
튀니스	tunus
매력	cazibe
매력	allure
매력	cazibesi
매력	tılsım
매력	çekicilik
매력	cazibe
매력	etkileyici
매력	büyüleyici
매력	çekici
매력	charming
태양광	güneş
태양광	solar
선진	gelişmiş
선진	geliştirilmiş
선진	geliştirildi
공연장	mekanı
공연장	mekan
공연장	yer
공연장	mekân
타카기	takagi
조건부	koşullu
조건부	şartlı
메세지	ileti
메세지	mesajınız
메세지	mesaj
메세지	mesajı
아우디	audi
벨트	kemerleri
벨트	kemer
벨트	kayış
벨트	kemer
벨트	kuşak
비엔나	viyana
예의	görgü
예의	görgü
예의	terbiye
예의	kibar
예의	kibarlık
예의	nazik
예의	nezaket
노리치	norwich
선구자	öncüler
받았습니다	alındı
받았습니다	alınan
받았습니다	aldı
아키오	akio
블라디보스토크	vladivostok
인플레이션	enflasyon
카나코	kanako
인질	rehine
인질	rehin
인질	rehine
인질	rehineler
켈트	kelt
후지사와	fujisawa
생태	ekolojik
증언	tanıklık
증언	tanık
증언	şahit
증언	ifade
증언	tanıklık
증언	ifadesi
트루먼	truman
노보루	noboru
모하마드	muhammed
오마르	omar
오마르	ömer
축하	kutlama
축하	kutlamaları
축하	kutlamalar
축하	kutlama
축하	kutlamalar
일반인	genel
일반인	general
싱어	şarkıcı
싱어	singer
관세	tarifeleri
관세	gümrük
관세	tarife
벨파스트	belfast
잔혹한	zalimce
잔혹한	zalim
잔혹한	acımasız
얼라이언스	ittifak
하이드	hyde
벨라	bella
인사이드	içi
인사이드	içeride
인사이드	içinde
인사이드	içerde
네번째	dördüncüsü
네번째	dördüncü
제네시스	yaratılış
제네시스	genesis
브릿	ingiliz
잉글리시	ingiliz
잉글리시	türkçe
잉글리시	turkish
잉글리시	ingilizce
스쿼시	kabak
스쿼시	squash
냉각	soğutma
냉각	soğutucu
냉각	soğutma
레즈비언	lezbiyen
레즈비언	lezbiyenler
레즈비언	lezbiyen
포클랜드	falkland
차단되었습니다	engellenmiş
차단되었습니다	engellendi
램프	lamba
램프	kandil
램프	lambalar
포격	bombardıman
새크라멘토	sacramento
콴타스	qantas
힉스	hicks
힉스	higgs
영화관	tiyatrolar
영화관	sinemalarda
영화관	tiyatrolar
영화관	tiyatro
레지옹	lejyonu
레지옹	lejyon
깨진	kırıldı
깨진	kırık
깨진	bozuk
깨진	kırgın
깨진	kırılmış
특공대	komando
풀기	özü
풀기	çöz
풀기	çözmek
아카사카	akasaka
딜런	dillon
딜런	dylan
선샤인	sunshine
선샤인	güneş
선샤인	günışığı
폴란드어	polonyalı
폴란드어	lehçe
마스터즈	masters
마스터즈	efendiler
회상	nostalji
회상	nostaljik
표본	numune
표본	örnek
보내기	gönderiliyor
보내기	gönderiyor
보내기	gönderiyorum
보내기	gönderin
보내기	gönder
황소자리	tauri
황소자리	boğa
황소자리	taurus
위조	sahte
위조	dövülmüş
위조	kalpazanlık
위조	sahte
마사시	masashi
게오르기	georgy
게오르기	georgi
모모코	momoko
고추	biber
고추	chili
가슴이	sandık
가슴이	göğsü
가슴이	göğüs
인용된	alıntı
오리엔트	doğu
아나톨리아	anadolu
스탠더드	standard
스탠더드	standart
스토어	mağazaları
스토어	dükkanlar
스토어	mağazalar
스토어	mağazası
스토어	mağazadan
스토어	dükkan
스토어	store
스토어	mağaza
패치	yamalar
패치	yama
포트리스	kale
탐험	keşfetmek
탐험	keşif
탐험	explorer
탐험	kaşif
탐험	keşfetmek
탐험	keşfedin
탐험	keşfet
탐험	keşif
탐험	keşif
탐험	kaşifler
대처	thatcher
덕이	doug
클라리넷	klarnet
제레미	jeremy
강아지	yavrular
강아지	yavru
버터	yağ
버터	tereyağı
버터	tereyağlı
캐피탈	başkent
캐피탈	capitol
캐피탈	başkent
캐피탈	sermaye
캐피탈	başkenti
예언자	peygamber
예언자	peygamberlerin
예언자	kehanetler
예언자	peygamberler
평형	denge
제곱	karesi
제곱	meydan
제곱	kare
마트	mart
면책	bağışıklık
면책	dokunulmazlık
앨리슨	allison
앨리슨	alison
쇼팽	chopin
애너하임	anaheim
자동화	otomatik
자동화	otomasyon
나카이	nakai
매력적인	etkileyici
매력적인	büyüleyici
매력적인	çekici
매력적인	charming
샤프	keskin
샤프	sivri
샤프	sharp
신타로	shintaro
채워	doldur
채워	doldurun
채워	doldurma
백조자리	cygnus
백조자리	cygni
양곤	yangon
마나	mana
폴로	polo
포츠머스	portsmouth
기차	trenle
기차	tren
기차	trenler
기차	trenleri
기차	tren
강좌	kursları
강좌	kurs
강좌	dersler
쿠키	çerez
쿠키	kurabiye
쿠키	cookie
쿠키	çerez
쿠키	kurabiye
이오니아	iyon
복잡도	karmaşıklık
발명	icat
발명	buluş
발명	icatlar
발명	icat
발명	icat
발명	mucit
보좌관	yardımcıları
편견	önyargılı
편견	önyargı
조지타운	georgetown
버퍼	tampon
증인	tanık
증인	tanıklar
증인	şahitler
증인	şahit
증인	tanık
증인	şahit
모니카	monica
클라인	klein
평화로운	huzur
평화로운	huzurlu
평화로운	barışçıl
끝없는	bitmez
끝없는	sonsuz
끝없는	bitmeyen
끝없는	sınırsız
이웃집	komşum
이웃집	komşusu
이웃집	komşu
더러운	iğrenç
더러운	terbiyesiz
더러운	pis
더러운	edepsiz
더러운	pis
더러운	terbiyesiz
더러운	kirli
더러운	pis
스프링필드	springfield
부서	bölümü
부서	departman
부서	bölüm
부서	departmanı
노드	düğümü
노드	düğüm
노드	düğümler
박해	zulüm
박해	eziyet
박해	zulüm
바흐	bach
다무라	tamura
발전기	jeneratörler
발전기	jeneratör
발전기	jeneratör
트라이앵글	üçgen
욕구	arzu
욕구	arzular
바벨	babil
타지키스탄	tacik
타지키스탄	tacikistan
스웨덴어	isveçli
잠비아	zambiya
길거리	sokak
길거리	cadde
길거리	street
길거리	sokak
길거리	sokaklar
길거리	sokaklarda
길거리	sokakları
글로리아	gloria
흡혈귀	vampir
흡혈귀	vampire
무엇이든	herneyse
레이아웃	düzenler
레이아웃	düzen
레이아웃	düzeni
레이아웃	yerleşim
스케치	çizimler
스케치	çizimleri
스케치	çizim
스케치	skeç
자극	uyarıcı
자극	tahriş
