है	hai
श्रेणी	serija
श्रेणी	serijos
यह	šio
इस	šio
कि	kad
भारत	indija
भारत	indijos
जो	kas
जो	kurie
ही	hee
कर	mokestis
कर	mokesčiai
नहीं	nea
उत्तराखण्ड	utarakhandas
पूर्व	rytų
होता	būtų
तक	takas
तक	tak
अपने	tavo
अपने	savo
अपने	jūsų
राज्य	narės
बाहरी	lauko
बाहरी	lauke
बाहरी	išorinis
गाँव	kaimo
गाँव	kaime
गाँव	jonava
गाँव	kaimas
कड़ियाँ	nuorodos
समय	laikas
समय	laiko
समय	laikas
वे	jie
भारतीय	indas
भारतीय	indijos
किसी	kažkas
अधिक	daugiau
कई	daug
मण्डल	zona
जैसे	lyg
जैसे	kaip
उनके	jais
उनके	jas
उनके	joms
उनके	jiems
उनके	jomis
उनके	juos
हिन्दी	hindi
बहुत	labai
दो	du
जिला	rajonas
उन्होंने	jie
उन्होंने	egiptiečiai
जन्म	gimimas
कोई	koi
इन	inn
लेकिन	bet
ये	šio
ये	šių
आदि	daugiau
आदि	lpd
उसके	jo
प्राचीन	senovės
देखें	saugok
देखें	prižiūrėti
उत्तर	atsakymas
उत्तर	atsakyti
उत्तर	atsakymai
भाषा	kalbos
भाषा	kalbos
भाषा	kalba
प्राप्त	gautas
प्राप्त	gavimo
प्रयोग	eksperimentus
प्रयोग	eksperimentai
प्रयोग	eksperimentų
प्रयोग	eksperimentas
प्रयोग	bandymą
उन्हें	jais
उन्हें	jas
उन्हें	joms
उन्हें	jiems
उन्हें	jomis
उन्हें	juos
उस	kad
स्थान	vieta
स्थान	vietose
स्थान	vietovės
स्थान	vieta
हुई	hujų
बीच	beach
गए	dingo
बिहार	biharas
उसे	jį
कार्य	uždaviniai
कार्य	užduotys
कार्य	darbas
कार्य	darbas
कार्य	uždavinys
कार्य	užduotis
आंध्र	andhra
आंध्र	andra
काम	darbas
जीवन	gyvenimo
जीवन	gyvybės
जीवन	gyvybė
जीवन	gyvenimas
भाग	dalies
भाग	dalis
निर्माण	kūryba
निर्माण	laikinojo
निर्माण	statyba
निर्माण	statybos
निर्माण	gamyba
दोनों	abi
दोनों	abu
जानकारी	info
जानकारी	informacija
शहर	miestai
बार	barų
बार	kartus
वाली	wali
फिल्म	filmas
फिल्म	filmai
फिल्म	filmas
फिल्म	plėvelė
यहाँ	čia
यहाँ	cia
प्रसिद्ध	žymi
विकास	augimas
विकास	augimo
केवल	tik
देश	tauta
वेबसाइट	svetainė
