euroncap	euroncap
konfliktów	bentrok
konfliktów	konflik
wikicytaty	wikiquote
piersi	chest
piersi	dada
piersi	payudara
piersi	payudara
piersi	dada
piersi	breast
piersi	payudara
piersi	dada
uderzenia	impact
uderzenia	berdampak
uderzenia	dampak
uderzenia	benturan
rozdzielczość	resolusi
raper	rapper
osadników	pemukim
operacje	operasi
operacje	operasi
symbole	simbol
kongresie	kongres
tablicy	array
tablicy	larik
kentucky	kentucky
ważna	jga
ważna	penting
ważna	valid
ważna	sah
agata	agatha
agata	agata
badacz	peneliti
szanse	peluang
szanse	chance
szanse	peluang
szanse	berpeluang
szanse	kesempatan
rezygnacji	pengunduran
niezależny	independen
niezależny	independent
niezależny	mandiri
niezależny	freelance
olivier	olivier
podpisano	menandatangani
podpisano	ditandatangani
podpisano	signed
luigi	luigi
fritz	fritz
ron	ron
ncaa	ncaa
włosy	hair
włosy	rambut
pancerna	panzer
mieszkalnych	pemukiman
mieszkalnych	perumahan
żydowska	yahudi
ball	bola
ball	ball
pozytywnie	positive
pozytywnie	positif
pozytywnie	positif
waży	beratnya
wątroby	hati
wątroby	liver
przedstawiony	digambarkan
przedstawiony	dikirimkan
przedstawiony	dikirim
przedstawiony	diajukan
przedstawiony	disajikan
przedstawiony	dihadirkan
girls	cewek
girls	girls
girls	gadis
neutralności	netralitas
bilans	keseimbangan
bilans	saldo
bilans	balance
potter	potter
julien	julien
kalendarza	kalender
wyborczych	pemilu
marshall	marshall
znaczący	substansial
znaczący	berarti
znaczący	bermakna
znaczący	signifikan
autostrady	highway
morris	morris
lipsku	leipzig
spadła	dijatuhkan
spadła	menjatuhkan
zakupu	pembelian
zakupu	membeli
zakupu	pembelian
zakupu	membeli
znaczące	berarti
znaczące	bermakna
znaczące	signifikan
samiec	jantan
samiec	male
lokalizacji	lokasi
panna	virgo
panna	miss
panna	nona
panna	kangen
panna	rindu
obliczu	menghadapi
obliczu	menghadap
obliczu	dihadapi
geografia	geografi
naukowcy	peneliti
naukowcy	ilmuwan
warren	warren
castle	kastil
castle	istana
castle	castle
castle	benteng
napisała	tulis
napisała	menulis
uda	paha
uda	paha
algierii	aljazair
algierii	aljazair
loty	penerbangan
badacze	penjelajah
badacze	peneliti
współczesna	modern
współczesna	kontemporer
włącznie	inklusif
włącznie	termasuk
psy	psy
psy	anjing
psy	anjing
psy	dog
poetów	penyair
poetów	pujangga
apg	apg
liczyć	hitunglah
liczyć	hitung
liczyć	menghitung
liczyć	hitungan
liczyć	cacah
liczyć	menghitung
portrety	potret
ofiarą	korban
warstwa	lapis
warstwa	lapisan
warstwa	layer
warstwa	stratum
pomiaru	pengukuran
pomiaru	mengukur
pomiaru	pengukuran
osobowości	kepribadian
osobowości	kepribadian
kamiński	kamiński
seulu	seoul
poprzednie	mantan
poprzednie	sebelumnya
maryland	maryland
electric	listrik
electric	elektrik
electric	electric
schumacher	schumacher
królową	ratu
królową	queen
komentarze	komentar
keith	keith
naczynia	bejana
naczynia	piring
zastąpić	replace
zastąpić	ganti
zastąpić	mengganti
zastąpić	menggantikan
zastąpić	gantikan
zastąpić	tergantikan
zastąpić	digantikan
zastąpić	diganti
zastąpić	pengganti
zastąpić	gantikan
reakcje	reaksi
reakcje	tanggapan
reakcje	reaksi
reakcje	tanggapan
ekipa	tim
ekipa	team
ekipa	crew
ekipa	kru
piętrze	lantai
piętrze	lantainya
piętrze	floor
reklamy	iklan
reklamy	iklan
reklamy	periklanan
reklamy	mengiklankan
reklamy	iklan
reklamy	beriklan
odznaki	badge
odznaki	lencana
kent	kent
zestawienie	rangkuman
zestawienie	ringkasan
pomocnicze	auxiliary
mali	mali
pruski	prg
colin	collin
colin	colin
początkowa	inisial
pacific	pacific
pacific	pasifik
ralph	ralph
joan	joan
encyklopedyczna	encyclopedic
global	global
karla	karla
karla	karl
ośrodki	resorts
ośrodki	resor
ośrodki	pusat
ośrodki	pusat
stwierdzenie	pernyataan
zwalczania	pemberantasan
zwalczania	pertempuran
zwalczania	tempur
zwalczania	combat
autonomii	otonomi
powszechne	universal
fotografie	foto
fotografie	photography
fotografie	fotografi
zależne	bergantung
niebieskie	blue
niebieskie	biru
zenon	zenon
uam	uam
niszczyciele	penghancur
owoców	buah
owoców	buah
pius	pius
męski	jantan
męski	male
męski	manly
męski	maskulin
tarnów	tarnów
weryfikacji	verifikasi
chińskich	tionghoa
chińskich	china
chińskich	cina
narzędzie	perkakas
narzędzie	alat
uznawane	dikenal
uznawane	dikenali
uznawane	diakui
uznawane	mengenali
uznawane	dikenal
uznawane	diakui
organizmów	organisme
używanie	menggunakan
używanie	using
cząstek	partikel
cząstek	partikel
przypuszczalnie	agaknya
xxx	wkwkwk
duchu	ghost
duchu	hantu
duchu	semangat
duchu	ruh
duchu	spirit
komputerów	komputer
amt	amt
niebo	sorga
niebo	kayangan
niebo	surga
niebo	heaven
niebo	sky
niebo	langit
niebo	angkasa
niebo	langit
niebo	skies
kłopoty	solat
kłopoty	masalah
kłopoty	trouble
kłopoty	kesulitan
węgierska	hongaria
węgierska	hungaria
cleveland	cleveland
kampanię	kampanye
kampanię	campaign
tłumaczy	menjelaskan
tłumaczy	penerjemah
piątej	kelima
piątej	fifth
piątej	seperlima
wood	kayu
wood	wood
odkryte	diungkap
odkryte	ditemukan
odkryte	menemukan
odkryte	ketahuan
mont	mont
tlenu	oksigen
franciszkanów	franciscan
classic	klasik
classic	classic
konto	rekening
konto	account
konto	akun
pat	kebuntuan
pat	buntu
pat	tepuk
pat	pat
solidarność	solidaritas
castro	castro
zalecenia	rekomendasi
zalecenia	rekomendasi
zalecenia	saran
roberts	roberts
róża	rose
róża	mawar
róża	rosa
armaty	meriam
armaty	cannon
jung	jeong
jung	jung
dowody	buktinya
dowody	bukti
dowody	pembuktian
dowody	bukti
zachowany	dipertahankan
zachowany	dipelihara
zachowany	diawetkan
zachowany	dipertahankan
ósemka	eight
ósemka	delapan
obsługiwane	didukung
obsługiwane	dioperasikan
obsługiwane	dioperasi
kwitnie	mekar
basista	bassist
notowania	kutipan
impreza	party
impreza	berpesta
impreza	partai
impreza	pesta
impreza	pihak
uszkodzony	rusak
uszkodzony	rusak
uszkodzony	dirusak
uszkodzony	cacat
administratorem	admin
administratorem	pengurus
administratorem	administrator
kierunki	arah
airways	airways
trofeum	trophy
trofeum	piala
trofeum	trofi
mandatu	mandat
legia	legion
legia	legiun
legia	legia
gabinet	lemari
gabinet	kabinet
zniszczenie	penghancuran
zniszczenie	kerusakan
zniszczenie	kehancuran
zniszczenie	penghancuran
zniszczenie	pengrusakan
zniszczenie	kehancuran
libertadores	libertadores
umieścić	menempatkan
umieścić	put
pfalz	pfalz
zabrze	zabrze
iran	iran
iran	banten
icao	icao
han	han
dekret	dekrit
dekret	titah
pisanie	mengetikkan
pisanie	mengetik
pisanie	penulisan
pisanie	menulis
pisanie	tulisan
olympic	olympic
olympic	olimpiade
słownika	kamus
dochód	pendapatan
dochód	pendapatan
dochód	penghasilan
dochód	pemasukan
dochód	income
winter	winter
poprawki	koreksi
samolotem	pesawat
samolotem	pesawat
samolotem	plane
zhang	zhang
anioł	bidadari
anioł	malaikat
anioł	angel
seattle	seattle
nadawania	siaran
nadawania	penyiaran
łączna	kumulatif
zawartych	menyimpulkan
zawartych	disimpulkan
santo	santo
bristol	bristol
jolanta	jolanta
centralna	central
centralna	tengah
centralna	pusat
centralna	sentral
centralna	upt
mosty	bridges
mosty	jembatan
traci	traci
traci	kehilangan
działki	plot
działki	plot
działki	alur
działki	makar
krajowym	prt
krajowym	domestik
nazwane	bernama
nazwane	dinamai
nazwane	dinamakan
autorskie	copyright
gilbert	gilbert
równanie	persamaan
równanie	persamaan
davisa	davis
więzień	tawanan
więzień	tahanan
więzień	narapidana
więzień	napi
więzień	penjara
poinformował	diinformasikan
poinformował	diberitahu
telefon	phone
telefon	ponsel
telefon	telepon
telefon	telepon
telefon	telephone
jasno	terang
jasno	bright
jasno	cerah
kuba	cuba
kuba	kuba
utc	utc
felix	felix
aktualne	current
aktualne	arus
aktualne	skrg
franka	frank
ujednoznacznienie	disambiguasi
dachau	dachau
przemiany	transformasi
dziwne	aneh
dziwne	weird
dziwne	aneh
dziwne	strange
dziwne	aneh
dziwne	ganjil
gerard	gérard
gerard	gerard
zagraniczne	outbound
zagraniczne	asing
zagraniczne	foreign
wyrzutni	launcher
wyrzutni	peluncur
turynie	torino
turynie	turin
recenzji	ulasan
recenzji	review
recenzji	resensi
recenzji	tinjauan
pastor	pendeta
pastor	pastor
brzegi	pinggir
brzegi	tepi
brzegi	pinggiran
urban	urban
urban	perkotaan
fotograf	photographer
fotograf	fotografer
zaatakował	diserang
zaatakował	menyerang
zaatakował	diserang
turystyczna	wisatawan
turystyczna	turis
symboli	simbol
podania	lamaran
podania	aplikasi
zabił	dibunuh
zabił	tewas
zabił	terbunuh
rzeczywistość	kenyataan
rzeczywistość	realitas
rzeczywistość	reality
rzeczywistość	realita
korporacji	korporasi
korporacji	perusahaan
korporacji	corporation
korporacji	korporasi
ludzkości	kemanusiaan
twierdza	benteng
obserwacje	pengamatan
obserwacje	observasi
obserwacje	pengamatan
satelity	satelit
satelity	satellite
satelity	satelit
szyi	leher
szyi	neck
młodzi	muda
młodzi	young
młodzi	mudanya
akademickich	akademik
akademickich	akademisi
akademickich	akademis
ligue	ligue
stalina	stalin
borys	boris
uznana	dikenal
uznana	dikenali
uznana	diakui
uznana	mengenali
uznana	dikenal
uznana	diakui
tożsamość	identitas
tożsamość	ijabah
machine	mesin
składników	bahan
sławy	selebritis
sławy	selebriti
sławy	ketenaran
sławy	fame
wykonawcy	seniman
wykonawcy	artis
wykonawcy	kontraktor
wykonawcy	penghibur
wykonawcy	kontraktor
zaliczony	dihitung
beta	beta
rodríguez	rodriguez
zysk	profit
zysk	laba
zysk	keuntungan
zysk	keuntungan
zysk	bati
zysk	gain
zysk	profit
ring	ring
ring	cincin
instruktor	instruktur
iata	iata
ludzkie	manusiawi
ludzkie	manusia
ludzkie	human
wykonywanie	tampil
resztki	sisa
zagrożony	terancam
zagrożony	mengancam
zagrożony	terancam
zagrożony	diancam
martínez	martínez
portów	pelabuhan
portów	port
nicholas	nicholas
mateusza	matius
mateusza	matthew
punk	punk
punk	berandalan
brać	ambil
brać	take
specjalistów	spesialis
specjalistów	profesional
spencer	spencer
wiatru	angin
wiatru	wind
ósmy	kedelapan
ósmy	eighth
syberii	siberia
tarcza	perisai
tarcza	tameng
tarcza	shield
romuald	romualdo
przedstawiciela	perwakilan
piwo	beer
piwo	bir
piwo	bir
arystokrata	bangsawan
kultur	kultur
willi	willi
willi	villas
katastrof	bencana
komenda	perintah
komenda	komando
atlantic	atlantic
atlantic	atlantik
uni	uni
pokonać	beat
pokonać	mengalahkan
pokonać	kalahkan
pokonać	mengatasi
pokonać	diatasi
pokonać	mengalahkan
pokonać	kalahkan
pokonać	kekalahan
age	usia
age	umur
rysunek	picture
rysunek	gambar
rysunek	sketch
rysunek	sketsa
rysunek	figure
rysunek	figur
rysunek	tokoh
rysunek	sosok
rysunek	gambar
rysunek	menggambar
widząc	melihat
widząc	ngeliat
urzędnicy	panitera
urzędnicy	pejabat
panorama	panorama
gitarze	guitar
gitarze	gitar
karne	penalti
karne	pinalti
dole	sedekah
dole	dole
dole	bawah
dole	terbawah
dole	bottom
marsa	mars
podpis	caption
podpis	keterangan
podpis	tandatangan
podpis	signature
znajomości	koneksi
nigerii	nigeria
nigerii	pekanbaru
nigerii	nigeria
posiadać	telah
posiadać	memiliki
posiadać	miliki
posiadać	merasuki
potencjał	potensi
potencjał	potensial
włoskie	italia
xbox	xbox
boeing	boeing
niespodziewanie	mendadak
niespodziewanie	anehnya
wirginia	virginia
dick	dick
konie	kuda
konie	horse
konie	kuda
agresji	agresi
kiss	cium
kiss	kiss
kiss	ciuman
kolejność	pesanan
kolejność	pemesanan
kolejność	order
kolejność	urutan
kolejność	urutan
imigrantów	imigran
imigrantów	imigran
pogrzeb	pemakaman
pogrzeb	penguburan
pogrzeb	pemakaman
angelo	angelo
leszno	leszno
mostów	bridges
mostów	jembatan
petra	petra
bułgaria	bulgaria
straße	straße
lekkoatletyka	atletik
kopia	menyalin
kopia	copy
kopia	salin
kopia	salinan
podróżnik	pengembara
podróżnik	wisatawan
podróżnik	musafir
podróżnik	traveler
podróżnik	pelancong
podróżnik	wisatawan
podróżnik	traveller
podróżnik	musafir
bogate	rich
bogate	kaya
odziedziczył	diwariskan
odziedziczył	mewarisi
odziedziczył	turunan
odziedziczył	diwarisi
delegacji	delegasi
ems	ems
chelsea	chelsea
zwolennicy	pendukung
wątek	benang
wątek	thread
wątek	utas
związani	terikat
związani	diikat
związani	bound
nigdzie	nowhere
ograniczone	limited
ograniczone	terbatas
ograniczone	dibatasi
ograniczone	terbatas
ograniczone	dibatasi
kowalczyk	kowalczyk
dowolny	freestyle
dowolny	setiap
dowolny	sembarang
dowolny	any
sosnowiec	sosnowiec
