padaju	落下
keller	ケラー
planinu	マウンテン
prapovijesti	先史時代
prapovijesti	前史
piva	ビール
piva	ビール
upoznati	meet
upoznati	会う
zviježđe	星座
mrežnice	網膜
kandidati	候補者
prijateljica	友人
prijateljica	友だち
prijateljica	フレンド
prijateljica	友達
lakši	ライター
ravnotežu	残高
ravnotežu	バランス
gandalf	ガンダルフ
slavna	セレブリティ
slavna	有名人
linda	linda
linda	リンダ
vicente	ビセンテ
učinkovito	効率
učinkovito	実効
raznolikost	品種
raznolikost	バラエティ
raznolikost	変種
drassodes	drassodes
brončana	青銅
brončana	ブロンズ
nancy	ナンシー
ocjena	評価
ocjena	格付
ocjena	スコア
ocjena	得点
konsenzus	合意
učiti	勉強
vitezovi	ナイツ
vitezovi	騎士
nakit	ジュエリー
nakit	宝石
nakit	ジュエリー
mirna	平和
greg	グレッグ
nord	ノール
kriterija	基準
kriterija	条件
izazov	チャレンジ
izazov	挑戦
deeleman	deeleman
domovi	住宅
commonwealtha	コモンウェルス
negativan	ネガティブ
negativan	マイナス
negativan	ネガ
bale	ベール
pax	pax
elite	エリート
mjesečno	毎月
mjesečno	月間
mjesečno	月刊
leteći	飛ぶ
leteći	フライング
sljedbenici	フォロワー
nacrt	blueprint
nacrt	ドラフト
nacrt	下書き
sjena	シャドー
sjena	シャドウ
posjetiti	訪問
kontinent	大陸
cca	cca
brignoli	brignoli
grijeh	シン
grijeh	sin
tanasevitch	tanasevitch
putnik	乗客
putnik	旅客
putnik	トラベラー
putnik	トラベラー
planova	計画
planova	プラン
pripojena	併合
proboj	違反
ssr	ssr
stupovi	カラム
prosječni	平均
pittsburgh	ピッツバーグ
detalj	ディテール
mišići	筋肉
mišići	マッスル
mišići	筋肉
algoritam	アルゴリズム
skladište	倉庫
skladište	ストレージ
kostura	スケルトン
kostura	骨格
kostura	骨格
eve	イブ
eve	イヴ
narav	気性
brandt	ブラント
izgubi	失う
potrošnja	消費
učinkovitosti	効率
organizmi	生物
mudrosti	知恵
izolacije	隔離
izolacije	孤立
lucije	ルシウス
lucije	ルキウス
kanali	チャネル
kanali	チャンネル
kanali	運河
stabilnosti	安定
stabilnosti	安定性
liberty	リバティ
liberty	自由
pehar	カップ
pehar	コップ
pehar	cup
topla	あったかい
topla	暖かい
topla	温かい
kapeli	チャペル
matematiku	数学
matematiku	数学
standardno	基準
standardno	スタンダード
standardno	標準
stolac	いす
stolac	チェア
stolac	椅子
družina	フェローシップ
reci	say
reci	セイ
modula	モジュール
modula	モジュール
slo	slo
izračunati	計算
izračunati	計算
julie	ジュリー
terminal	端末
terminal	ターミナル
dano	与えられた
prilagođen	適応
hugh	ヒュー
imenica	名詞
stanislav	スタニスラフ
uređaje	デバイス
uređaje	機器
imenovanje	選任
imenovanje	任用
imenovanje	任命
imenovanje	予約
planiranja	計画
planiranja	企画
planiranja	プランニング
preostala	残り
preostala	残額
bombarder	ボンバルディア
galeb	かもめ
hvata	キャプチャ
kuba	キューバ
ilustracija	イラスト
ajax	アイアース
vlage	水分
vlage	湿度
homoseksualnost	同性愛
alati	ツール
alati	道具
barokna	バロック
mode	ファッション
kanadska	カナダ
kanadska	カナダ
kanadska	カナディアン
lansiranje	打ち上げ
lansiranje	起動
izjavu	ステートメント
izjavu	声明
mesto	place
mesto	場所
mesto	スポット
kvalitetno	品質
kvalitetno	クオリティ
kvalitetno	画質
kvalitetno	quality
mediteranske	地中海
opisa	説明
opisa	解説
ulicu	ストリート
ulicu	通り
tenuis	tenuis
romeo	ロミオ
romeo	ロメオ
pojedinac	個人
pojedinac	個別
cox	コックス
kontekst	コンテクスト
kontekst	コンテキスト
kontekst	context
dozvola	免許
dozvola	ライセンス
dozvola	許可
dozvola	許諾
dozvola	ライセンス
dozvola	許可証
dozvola	許可
meksička	メキシコ
meksička	メキシカン
ovce	ヒツジ
vita	ヴィータ
blagoslov	祝福
blagoslov	恵み
blagoslov	祝福
nafta	石油
nafta	オイル
izgaranje	燃焼
zvono	ベル
majstori	マスターズ
izgubljena	ロスト
nož	ナイフ
migracije	移行
todd	トッド
nintendo	任天堂
promijenjen	変更された
svjedoci	証人
dina	ディナ
tragedije	悲劇
tragedije	悲劇
buxwv	buxwv
bridge	ブリッジ
dozvole	ライセンス
dozvole	権限
dozvole	許可
programiranje	プログラミング
prizor	現場
prizor	シーン
prizor	場面
prizor	光景
trbuh	お腹
jednakost	平等
clinton	クリントン
orijentacija	方向
orijentacija	向き
orijentacija	オリエンテーション
kupi	買う
kupi	購入
zaposlenika	社員
zaposlenika	職員
zaposlenika	社員
dne	dne
gospodari	諸侯
gospodari	マスターズ
istván	イシュトヴァーン
stilski	オシャレ
stilski	おしゃれ
stilski	スタイリッシュ
padovi	パドヴァ
uništi	破壊
potrošača	消費者
laser	レーザー
zvuči	サウンド
parametar	パラメータ
civilni	文官
betty	ベティ
magnus	マグナス
rektor	総長
obožavatelji	ファン
guma	ラバー
guma	ゴム
guma	タイヤ
guma	タイヤ
poboljšati	向上
poboljšati	改善
pakistanu	パキスタン
dawson	ドーソン
ograničene	限定
ograničene	limited
prijatelju	友人
prijatelju	友だち
prijatelju	フレンド
prijatelju	友達
vozači	ドライバ
vozači	ドライバー
stvorenja	生き物
rome	rom
izvući	エキス
elektroda	電極
klinika	クリニック
klinika	診療所
zviježđa	星座
ultimate	アルティメット
plivanje	泳ぐ
plivanje	水泳
plivanje	泳ぎ
plivanje	スイミング
plivanje	競泳
plivanje	水泳
progon	迫害
topništvo	大砲
tetragnatha	tetragnatha
rgb	rgb
alma	アルマ
newman	ニューマン
opasan	危険
istanbulu	イスタンブール
paviljon	パビリオン
kontinentu	大陸
muško	男性
muško	オス
norma	ノーマ
prodano	落札
piano	ピアノ
pravosuđa	司法
gaze	ガーゼ
gaze	ガザ
regent	摂政
escobar	エスコバル
nastavnik	教員
nastavnik	教師
nastavnik	先生
disco	ディスコ
adresu	アドレス
adresu	住所
misleći	考え
misleći	思考
zore	明け方
zore	夜明け
zore	ドーン
trave	grass
trave	雑草
tenkove	戦車
jaguar	ジャガー
zadovoljan	満足
pob	pob
hana	ハナ
hana	ハン
mitra	ミトラ
halen	ヘイレン
marvin	マーヴィン
očekivati	expect
naglasio	ストレス
upravljati	管理
zlatan	ズラタン
indica	インディカ
danak	朝貢
izlaganje	照射
izlaganje	被曝
izlaganje	露出
osjetila	感覚
osjetila	フェルト
cola	コーク
cola	コーラ
cola	コーラ
krede	チョーク
matematika	数学
matematika	数学
adriana	アドリアーナ
sastojak	材料
sastojak	食材
tamna	ダーク
tamna	暗い
annie	アニー
mega	メガ
mega	mega
triler	スリラー
sisavci	哺乳類
ira	アイラ
ekstremno	エクストリーム
leach	リーチ
sevilla	セビリア
sevilla	セビージャ
posjete	訪問
presl	presl
ward	ウォード
carevi	皇帝
rtv	rtv
juda	ユダ
prognoza	予後
prognoza	予報
prognoza	予測
