din	から
care	who
mai	マイ
mai	もっと
pentru	for
lui	his
sunt	are
sit	サイト
sit	敷地
după	アフター
ale	エール
prin	through
prin	スルー
regiunea	リージョン
regiunea	地域
mare	グレート
mare	大きな
mare	大きい
mare	ビッグ
mare	sea
anul	イヤー
comună	共通
are	has
externe	外部
locuitori	住民
locuitori	住民
legături	リンク
legături	つながり
legături	接続
vezi	見る
dar	でも
dar	しかし
cod	コード
cod	符号
cod	コッド
cod	タラ
populație	人口
bucurești	ブカレスト
fiind	being
românia	ルーマニア
jpg	jpg
lista	リスト
ucraina	ウクライナ
nume	ワル
nume	名前
nume	氏名
nume	名称
ani	アニ
ani	年数
avea	had
până	まで
până	until
până	まで
comuna	市町村
comuna	共通
poate	たぶん
poate	多分
poate	未定
două	二つ
două	二人
rege	king
rege	国王
rege	キング
alte	その他
când	いつ
când	とき
regiune	リージョン
regiune	地域
anii	年数
parte	パート
parte	部分
județul	カウンティ
centura	シートベルト
centura	ベルト
dinastia	王朝
septembrie	九月
timp	タイム
timp	時間
despre	について
unde	どこ
majoritatea	過半数
densitate	密度
limbă	言語
iunie	六月
multe	多数
prima	ファースト
prima	最初
octombrie	十月
august	アウグスト
sat	村落
sat	ヴィレッジ
sat	sat
martie	マーチ
martie	行進曲
biserica	チャーチ
biserica	教会堂
biserica	教会
fișier	ファイル
toate	all
toate	すべて
latns	latns
latd	latd
longd	longd
adresă	アドレス
adresă	住所
noiembrie	十一月
cum	how
imagine	画像
imagine	写真
imagine	画像
imagine	イメージ
statul	都道府県
statul	状態
avut	had
familia	家族
numele	名前
numele	氏名
numele	名称
timpul	タイム
timpul	時間
nord	ノース
nord	ノール
principală	メイン
sud	サウス
aprilie	四月
aprilie	エイプリル
erau	were
loc	place
loc	場所
loc	スポット
primul	ファースト
primul	最初
doar	のみ
doar	ちょうど
doar	ジャスト
doar	ただ
editura	出版
editura	パブリッシャー
editura	出版社
asteroid	小惑星
februarie	二月
recensământului	国勢調査
listă	リスト
trei	三人
trei	three
trei	スリー
asteroizi	小惑星
limba	言語
longm	longm
latm	latm
discuție	話し合い
discuție	ディスカッション
franța	フランス
partea	パート
partea	部分
fără	なし
departamentul	部署
departamentul	学科
departamentul	部門
raionul	通路
data	デート
data	日付
data	データ
departament	部署
departament	学科
departament	部門
unul	一つ
unul	one
unul	一人
unul	ワン
apoi	それから
grup	集団
grup	グループ
locul	place
locul	場所
locul	スポット
oraș	タウン
oraș	シティ
oraș	都市
pot	can
camp	camp
camp	キャンプ
germania	ドイツ
face	メイク
face	make
satul	村落
satul	ヴィレッジ
național	国民
național	ナショナル
note	注記
note	メモ
note	備考
note	ノート
perioada	期間
perioada	ピリオド
minoritate	少数
general	全般
general	一般
general	将軍
război	戦争
peste	オーバー
peste	over
află	学習
află	学ぶ
iii	iii
duce	公爵
duce	デューク
existând	既存
vedere	表示
vedere	見る
vedere	ビュー
wikipedia	wikipedia
wikipedia	ウィキペディア
punct	ドット
punct	dot
punct	ポイント
stat	都道府県
stat	状態
unite	ユナイテッド
moldova	モルドバ
file	タブ
atunci	それから
aceste	これらの
aceste	これら
secolul	世紀
secolul	センチュリー
una	一つ
una	one
una	一人
una	ワン
aceasta	この
aceasta	これ
life	生活
life	生命
life	人生
life	ライフ
reședință	住居
reședință	居所
orașul	シティ
orașul	都市
tot	all
tot	すべて
tot	スティル
tot	それでも
tot	まだ
chiar	偶数
chiar	even
făcut	made
film	映画
film	ムービー
film	映画
film	フィルム
perioadă	期間
perioadă	ピリオド
vorbitori	スピーカー
date	日付
date	データ
decât	より
aici	ここ
mari	大きな
mari	大きい
mari	ビッグ
mari	マリ
zile	日数
față	フロント
față	表側
față	前面
față	フェイス
club	クラブ
club	棍棒
componente	コンポーネント
est	イースト
est	東部
est	est
nou	new
nou	新しい
nou	新規
