переворот	apvērsuma
допомагають	palīdzot
стокгольм	stokholmā
стокгольм	stokholmas
стокгольм	stokholma
рукопис	manuskriptu
комерційний	komerciāls
комерційний	komerciālais
комерційний	komerciālie
комерційний	komerciālā
комерційний	komerciāli
хроніки	hronikas
автобусів	pārsteidzoša
автобусів	pārsteidzoši
гарнізон	garnizons
матеріально	finansiāli
сьєрра	sierra
апостолів	apustuļiem
оператори	operatori
оператори	uzņēmēji
прикраси	rotaslietas
прикраси	juvelierizstrādājumu
прикраси	ornamentu
прикраси	rotaslietas
прикраси	konfektes
прикраси	saldumu
конференцій	konferencēm
конференцій	konferencēs
конференцій	konferenču
конференцій	konferences
витоків	noplūdes
витоків	noplūde
починаються	sāk
починаються	sākot
починаються	sākas
екран	ekrāns
стратегія	stratēģija
економічне	ekonomikas
економічне	ekonomiskais
економічне	ekonomiskā
економічне	ekonomiska
економічне	ekonomiska
арабських	arābu
альманах	almanahu
франк	frenks
франк	franku
мама	māmiņa
мама	mamma
мама	mammu
мама	mammai
мама	mamma
мама	mammas
мама	mamma
богиня	dieviete
публічно	publiski
валовий	bruto
псевдо	pseido
арешт	arests
арешт	apcietināšanas
одесса	odesā
кримський	krimas
кримський	krimas
сел	sal
льюїс	luiss
льюїс	lūiss
овернь	auvergne
заявки	piedāvājumi
носити	valkā
носити	uzvilkt
розширити	paplašināties
розширити	izvērst
розширити	paplašinās
розширити	paplašināt
підземні	pazemē
підземні	pazemes
індустрії	nozares
змінили	izmainīts
поїздки	braucieni
поїздки	trips
поїздки	ceļojumi
передні	priekšējais
передні	fronte
передні	priekšpusē
передні	priekšā
передні	priekšējie
маяк	bāka
магістр	kapteinis
магістр	meistars
магістр	saimnieks
вбив	nogalināti
вбив	nogalināts
вбив	nogalinājis
вбив	nogalināja
демонстрації	demonstrācijas
прикладу	piemērs
приватний	privāti
приватний	privāta
приватний	privātie
приватний	private
приватний	privātais
приватний	privāts
заборони	aizliegums
заборони	aizliegumi
заборони	aizliegšana
бактерії	baktēriju
бактерії	baktērija
бактерії	baktērijas
шаром	slānis
хроніка	hronika
яно	jana
кевін	kevins
віллі	villijs
угод	vienošanās
угод	līgumi
високе	augstā
високе	augstu
високе	augsts
високе	augsta
наполеон	napoleons
космічні	kosmiskā
торф	kūdras
марта	marta
марта	marta
розвідка	izlūkošanas
розвідка	izlūkošanas
показу	attēlotājs
волокна	šķiedra
волокна	fiber
волокна	šķiedras
мез	mēza
перегляд	pārlūkot
перегляд	apskatīt
перегляд	skats
перегляд	apskatīt
ведучий	svins
ведучий	svina
ведучий	svinu
приєдналися	pievienojās
процедура	tiesvedība
процедура	procedūru
процедура	procedūra
гамма	gamma
воїни	warriors
воїни	kareivji
небагато	maz
важка	cieto
важка	smagi
важка	cietās
важка	grūti
важка	cietais
щиро	sirsnīgi
дипломатичних	diplomātisko
дипломатичних	diplomātiskās
дипломатичних	diplomātiskā
композицію	celiņš
композицію	celiņa
композицію	trases
композицію	celiņu
норма	norma
норма	norma
норма	norm
продажі	noiets
продажі	pārdošana
ввести	ievadīt
ввести	ievadi
ввести	ieiet
бур	boer
бур	treniņa
визначив	atzītas
визначив	atzīta
визначив	atzīti
визначив	atzīts
складові	sastāvdaļām
складові	sastāvdaļas
салон	salons
дівчинка	meitiņa
дівчинка	meitene
дівчинка	meitenei
написали	sastādīts
спадок	legacy
спадок	mantojums
голландії	holland
голландії	holande
виготовлено	ražoti
виготовлено	izgatavota
виготовлено	izgatavots
виготовлено	izgatavo
виготовлено	ražots
виготовлено	ražotājs
боєприпасів	munīcija
боєприпасів	munīcijas
ферма	saimniecība
ферма	audzētava
ферма	ferma
ферма	saimniecības
оперативного	operatīvā
оперативного	operatīvais
посиланням	saikne
посиланням	saite
таємно	secret
таємно	slepeni
таємно	slepens
таємно	noslēpums
незалежна	neatkarīgais
незалежна	neatkarīgi
незалежна	neatkarīga
незалежна	neatkarīgs
незалежна	neatkarīgas
впав	krita
впав	nokrita
впав	iekrita
садів	dārzi
садів	dārzos
гектарів	hektārus
гектарів	hektāri
пауль	pauls
пауль	pols
шведська	zviedru
шведська	zviedrijas
онук	mazdēls
кроком	step
кроком	posms
кроком	soli
кроком	solis
імператорів	imperatori
точність	precizitāte
точність	precizitātes
точність	frakcija
точність	precizitāte
точність	precizitāti
прихильником	atbalstītājs
прихильником	atbalstītāja
зникає	pazūd
зникає	izzūd
вірмени	armēņiem
бангладеш	bangladešas
бангладеш	bangladeša
ворожих	naidīgu
сприяти	atvieglot
експерименти	eksperimentos
експерименти	izmēģinājumi
експерименти	eksperimenti
мікеланджело	mikelandželo
поглинання	iegāde
поглинання	iegādes
поглинання	pārņemšanas
поглинання	pārņemšana
покажчик	rādītājs
покажчик	indekss
давній	senas
давній	senā
давній	senās
давній	senie
спробувати	mēģini
спробувати	pamēģini
спробувати	mēģināt
міграції	migrācija
міграції	migrācijas
продажів	noiets
продажів	pārdošana
індійський	indiešu
індійський	indijas
еміль	emils
еміль	emīls
каменів	akmeņiem
каменів	akmeņi
вузли	vienaudžiem
вузли	saimnieki
вузли	mezgli
вузли	mezglus
вогези	vogēzu
літер	vēstulēs
літер	vēstules
літер	burti
організована	organizēti
організована	organizēta
організована	organizēts
обкладинка	vāks
обкладинка	vāka
обкладинка	segums
обкладинка	segtu
збирати	savāktu
збирати	vāc
збирати	savākt
збирати	vākt
збирати	savāc
бурі	vētras
трасі	treisija
сірі	pelēks
сірі	siri
різниці	starpība
різниці	atšķirība
розпочати	sākt
розпочати	palaist
розпочати	sākums
розпочати	starts
розпочати	iniciēt
газетах	avīzes
газетах	laikraksti
страх	baiļu
страх	bailes
страх	bailēs
детектив	detektīvs
географічний	ģeogrāfiskais
географічний	ģeogrāfiskā
звільнити	noslaucīt
анатоліївна	sobčaka
словники	vārdnīcas
словники	vārdnīcas
гине	mirst
володарі	apgalvojums
володарі	prasība
вбили	nogalināti
вбили	nogalināts
вбили	nogalinājis
вбили	nogalināja
такао	takao
службовців	nodarbinātie
службовців	darbinieki
перерви	pārrāvums
перерви	lauzt
перерви	pārtraukums
перерви	salauzt
орла	ērglis
класична	klasiskais
класична	klasisko
класична	klasiskā
класична	klasisks
класична	klasika
класична	klasiska
класична	klasisks
помирає	mirst
гордон	gordon
кроки	pakāpieni
кроки	soļi
кроки	posmi
поради	konsultācijas
поради	padoms
поради	ieteikumi
поради	uzgaļi
поради	padomi
поради	ieteikumi
авторського	auteur
живі	dzīvošana
живі	dzīvo
винищувач	cīnītājs
косово	kosova
землеробства	lauksaimniecība
землеробства	audzēšana
дуглас	douglas
девіс	davis
девіс	davies
тертя	berzes
посуд	ēdieni
накопичення	uzkrāšanas
накопичення	uzkrāšanās
накопичення	uzkrāšana
папуа	papua
осінь	rudens
осінь	rudenī
осінь	krist
осінь	kritiens
осінь	kritums
осінь	krīt
юзеф	józef
рекомендується	ieteikts
рекомендується	ieteicams
рекомендується	ieteikta
рекомендується	ieteica
пфальц	pfalca
стандартний	standartam
стандартний	standarta
стандартний	standarts
душа	dvēseli
душа	dvēsele
гризунів	grauzēju
гризунів	grauzēji
прим	prima
паоло	paolo
ефір	raidorganizācija
савченко	savčenko
гвинтівки	šautenes
гвинтівки	šautene
закрито	slēgta
закрито	slēgti
закрито	slēgts
закрито	slēgtas
алгоритми	algoritmus
кіпр	kipras
кіпр	kipra
кіпр	cyprus
кіпр	kiprā
виклик	challenge
виклик	izaicinājums
виклик	saukt
пакистану	pakistāna
австралійський	austrālijas
вклад	iemaksu
вклад	ieguldījums
вклад	devums
мозок	smadzenes
мозок	smadzeņu
гніздо	nišu
гніздо	ligzda
гніздо	nest
безкоштовно	bezmaksas
безкоштовно	brīva
безкоштовно	free
безкоштовно	brīvs
тепло	silti
тепло	silts
тепло	siltums
осло	oslo
принесли	atnesa
принесли	atvedis
принесли	atveda
спини	sandija
ріст	pieaugums
ріст	augšana
ріст	izaugsme
дізнатися	mācies
дізнатися	mācīties
передмісті	piepilsētā
кристали	kristāli
мартіна	martina
інтерпретації	interpretācijas
ковальчук	kovaļčuks
комунікацій	komunikācija
комунікацій	sakari
комунікацій	paziņojumi
комунікацій	saziņa
комунікацій	komunikāciju
комунікацій	komunikācijas
мадонна	madonna
спільну	dalīta
спільну	kopīga
спільну	koplietošanas
спільну	kopīgs
спільну	kopīgas
небезпеку	briesmas
саксонія	saksijas
пожежа	ugunsgrēks
пожежа	uguns
пожежа	uguni
підвіска	apturēšana
підвіска	suspensijas
підвіска	suspensija
дехто	dažas
дехто	dažiem
дехто	daži
сумніви	šaubas
всеволод	vsevolods
гребля	dam
гребля	dambis
гребля	aizsprostam
оснащений	dubultā
чоловічі	vīrietis
чоловічі	vīriešu
чоловічі	tēviņi
чоловічі	vīrieši
купив	nopirka
політикою	politika
політикою	politikā
політикою	politikas
бухарест	bukarestē
бухарест	bukarestes
вибрати	izvēlies
вибрати	izvēlēties
вибрати	izvēlēties
унікальні	unikāla
унікальні	unikālais
унікальні	unikāli
унікальні	unikāls
чиновників	ierēdņi
чиновників	amatpersonas
оцінити	novērtēt
оцінити	novērtē
оцінити	novērtēt
оцінити	izvērtēt
оцінити	vērtēt
оцінити	izvērtē
оцінити	novērtē
оцінити	likme
небезпеки	briesmas
небезпеки	draudi
архіви	arhīvi
архіви	arhīvs
статевий	seksuālās
статевий	seksuālā
статевий	seksuāla
відійшов	prom
відійшов	atgūti
відійшов	atgūta
кулемети	mgs
ісус	jēzus
теоретично	teorētiski
хмельницькому	sākusies
вчителі	skolotāji
вчителі	skolotājiem
вчителі	pasniedzēji
заявила	deklarēts
однакові	identiskas
однакові	identiska
однакові	identisks
однакові	identiski
однакові	pašas
однакові	pašu
секс	sekss
секс	dzimums
чутки	baumas
чутки	baumas
визнала	atzina
визнала	atzīta
визнала	atzīts
