기독교인	キリスト教徒
소원	wish
소원	ウィッシュ
소원	願いごと
비례	比例
비례	比率
비례	割合
베스트셀러	ベストセラー
모니터링	モニタリング
모니터링	監視
모니터링	モニター
모니터링	モニタ
엣지	エッジ
엣지	edge
하모니카	ハーモニカ
파이썬	python
파이썬	ニシキヘビ
쓸데없는	役立たず
난이도	困難
오구라	小倉
브룩스	ブルック
브룩스	ブルックス
협동	チームワーク
나뭇잎	葉っぱ
나뭇잎	葉っぱ
현관	ポーチ
미니애폴리스	ミネアポリス
스바루	スバル
파라	ファラー
아이디어	アイデア
아이디어	アイディア
아이디어	アイデア
아이디어	観念
아이디어	アイディア
관습	風習
캐롤라이나	カロライナ
인터랙티브	インタラクティブ
부상당한	負傷
페널티	ペナルティ
합금	合金
합금	合金
케이시	ケーシー
우회	回り道
우회	遠回り
우회	バイパス
애니멀	アニマル
애니멀	動物
죄수	囚人
기증	募金
기증	寄付
훔볼트	フンボルト
패킷	パケット
패킷	パケット
아카기	赤城
다카기	高木
공학자	エンジニア
프리덤	freedom
프리덤	自由
서킷	サーキット
서킷	回路
요시키	yoshiki
동지	同志
동지	仲間
동지	同志
메이슨	メイソン
결정하기	決める
침묵	サイレント
침묵	無音
침묵	サイレンス
침묵	無音
침묵	沈黙
중성	中性
중성	ニュートラル
헌트	ハント
헌트	狩り
괴산	拉致
부등식	不平等
부등식	不等式
여자들	女性
융합	フュージョン
니코	ニコ
니코	ニコ
장화	ブーツ
스나이퍼	スナイパー
커리어	経歴
커리어	キャリア
커리어	キャリア
커리어	求人
공구	ツール
공구	工具
공구	道具
일자리	ジョブ
일자리	求人
프로스트	フロスト
셰인	シェーン
아바타	アヴァターラ
아바타	アバター
맥도널드	マクドナルド
마늘	にんにく
마늘	ニンニク
마늘	ガーリック
절벽	クリフ
유머	ユーモア
유머	ユーモア
박쥐	bat
박쥐	コウモリ
박쥐	バット
박쥐	コウモリ
올림푸스	オリンポス
듀엣	デュエット
스타킹	ストッキング
스타킹	ストッキング
콤플렉스	コンプレックス
콤플렉스	錯体
콤플렉스	複雑
빈곤	貧困
럭셔리	贅沢
어쨌거나	とにかく
보츠와나	ボツワナ
물결	さざ波
물결	波動
물결	ウェーブ
스트레이트	まっすぐ
스트레이트	ストレート
이탈리아인	イタリアン
생태계	生態系
생태계	生態系
듀티	義務
무작위	ランダム
무작위	ランダム
발렌타인	バレンタイン
처칠	チャーチル
랜스	ランス
엑셀	excel
엑셀	エクセル
서스펜션	休止
서스펜션	サスペンション
스킨	スキン
스킨	皮膚
니노미야	二宮
헬레나	ヘレナ
이사벨라	イサベル
이사벨라	イザベッラ
각도	角度
각도	アングル
토네이도	トルネード
토네이도	竜巻
습지	湿地
습지	湿地
열쇠	キー
봄바디어	ボンバルディア
아들들	息子
시리얼	シリアル
시리얼	シリアル
시리얼	シリアル
예언	予言
예언	預言
점화	イグニッション
프레스	プレス
마스터스	マスターズ
마스터스	マスター
토양	土壌
레이첼	レイチェル
아론	アロン
아론	アーロン
아론	アロン
신념	信仰
신념	信念
신념	フェイス
신념	信念
신념	信仰
신념	信念
얼티밋	アルティメット
변조	変調
플라즈마	プラズマ
복음	ゴスペル
복음	福音書
복음	指導
복음	ガイダンス
우표	切手
우표	スタンプ
우표	切手
조앤	ジョーン
일본항공	jal
이온화	イオン化
오리온자리	オライオン
오리온자리	オリオン
소수점	小数
타악기	打楽器
썬더	サンダー
마샬	マーシャル
라이징	ライジング
라이징	rising
셰이크	シャイフ
셰이크	シーク
아이카와	相川
창문	ウィンドウ
댄싱	ダンス
댄싱	ダンシング
댄싱	踊り
댄싱	踊る
저수지	貯水池
슈가	砂糖
관리하기	管理
피사	ピサ
리오넬	ライオネル
판도라	パンドラ
인터럽트	割り込み
인터럽트	中断
