баку	baku
специфична	tukoy
специфична	tiyak
специфична	partikular
погребението	libing
рой	roy
живите	buhay
живите	tinitirahan
живите	pamumuhay
монахиня	nun
спонсор	sponsor
луиджи	luigi
робство	slavery
робство	bondage
остър	matalim
остър	pagkagising
остър	malalang
остър	matinding
вестфалия	westphalia
детство	pagkabata
стаята	silid
стаята	kuwarto
стаята	kwarto
битките	battles
подобие	pagkakatulad
патрон	patron
патрон	cartridge
таня	tanya
увеличение	zoom
увеличение	pagtaas
увеличение	dagdagan
увеличение	taasan
увеличение	magnipikasyon
възпитание	magpalaki
възпитание	pagyamanin
възпитание	edukasyon
заслужил	kinita
заслужил	nakuha
устойчивост	katatagan
устойчивост	paglaban
устойчивост	pagtutol
устойчивост	pagtitiyaga
бъркли	berkeley
експерти	eksperto
подчинение	pagsunod
подчинение	isinumite
подчинение	pagsusumite
изключен	disable
изключен	excluded
блокиран	hinarangan
затруднения	nahirapan
приказка	tale
приказка	story
приказка	kuwento
приказка	kwento
метър	metro
метър	meter
модификации	pagbabago
джан	jan
джан	zhang
саймън	simon
свързване	binding
свързване	koneksyon
свързване	connection
свързване	bonding
свързване	kumokonekta
свързване	pagkonekta
свързване	kinokonekta
свързване	ikonekta
свързване	kumonekta
променливи	variable
променливи	variables
удоволствие	tuwa
удоволствие	kasiyahan
лийдс	leeds
шумахер	schumacher
плутарх	plutarko
сок	katas
сок	juice
сок	sock
пейзаж	senaryo
пейзаж	telon
пейзаж	pahiga
пейзаж	landscape
пейзаж	tanawin
влияе	nakakaapekto
ивици	stripes
базел	basel
затваря	nagsasara
клетва	panunumpa
покровител	patron
наталия	natalia
разделено	hinati
разделено	nahahati
кери	carrie
кери	cary
кери	kerry
съветници	tagapayo
съветници	councillors
леонард	leonard
показател	index
пробив	paglabag
комунизма	komunismo
църквите	simbahan
домашен	tahanan
домашен	bahay
домашен	makauwi
домашен	domestic
построи	bumuo
построи	magtayo
кооперация	matulungin
кооперация	kooperatiba
ален	alain
конкурси	competitions
бук	haya
компютъра	kompyuter
компютъра	computer
делегати	delegates
гуам	guam
ботове	bot
повреда	pagkabigo
повреда	damage
повреда	pinsala
повреда	malfunction
оксфорд	oxford
сет	seth
съдържащ	naglalaman
дива	wild
дива	ligaw
дива	diva
девети	ikasiyam
двоен	dobleng
двоен	double
двоен	doble
археология	arkeolohiya
шум	ingay
опитът	maranasan
опитът	karanasan
психологически	sikolohikal
бенджамин	benjamin
стълб	pillar
стълб	pole
стълб	poste
заден	hulihan
описана	inilarawan
описана	inilalarawan
абдул	abdul
прием	reception
прием	pagtanggap
пен	penn
специализирана	espesyal
луизиана	louisiana
сух	tuyo
сух	tuyong
сървър	server
хофман	hoffmann
хофман	hoffman
мей	mei
фотограф	photographer
лого	logo
лого	logo
материалите	materyales
атлетика	athletics
хирургия	surgery
хирургия	operasyon
отражение	reflection
вегас	vegas
влакна	fibers
влакна	hibla
влакна	fiber
бенедикт	benedict
бенедикт	benedicto
поделение	yunit
поделение	unit
предложена	inaalok
предложена	inalok
предложена	inaalay
предложена	iminungkahing
насърчава	hinihikayat
насърчава	nagtataguyod
признати	nakakilala
признати	kinikilalang
признати	nakilalang
признати	kinikilala
признати	nakilala
джонатан	jonathan
отдели	departamento
катя	katia
катя	katya
никита	nikita
илюстрация	illustration
романс	romance
романс	romansa
романс	pagmamahalan
дик	dick
дик	titi
дъно	ibaba
дъно	ilalim
санчес	sanchez
заплахи	banta
женско	pambabae
женско	babae
женско	female
интерпретация	interpretation
щастлив	masaya
нина	nina
изтрита	tinanggal
изтрита	natanggal
изтрита	delete
изтрита	mabubura
кухина	cavity
анонимен	anonymous
предупреждение	babala
имущество	property
приключения	adventures
приключения	pakikipagsapalaran
приключения	adventure
спасение	kaligtasan
доклади	ulat
домове	homes
домове	tahanan
белене	pagbabalat
вагнер	wagner
олтара	dambana
нютон	newton
решено	nalutas
решено	nagpasya
решено	naisipang
решено	nagdesisyon
решено	napagdesisyunan
решено	tinutukoy
оставката	pagbibitiw
винсент	vincent
реализация	katuparan
достъпна	mapupuntahan
изключителна	exclusive
изключителна	eksklusibo
изключителна	eksklusibong
изключителна	extraordinary
изключителна	outstanding
изключителна	natatanging
усвояване	absorption
палма	palma
шапка	sombrero
шапка	sumbrero
татяна	tatiana
карат	itaboy
сократ	socrates
сянка	shadow
сянка	anino
сянка	lilim
сянка	shade
сребърна	pilak
сребърна	silver
честта	advertise
честта	karangalan
светло	liwanag
светло	magaan
светло	ilaw
светло	bright
светло	maliwanag
минск	minsk
рот	roth
героиня	heroine
лисица	fox
хребет	ridge
синя	blue
синя	bughaw
синя	asul
кръгла	round
кръгла	bilog
ритуали	rituals
ритуали	ritwal
ритуали	rites
паунда	pounds
титан	titanium
титан	titan
гугъл	google
вдовицата	balo
магия	salamangka
магия	magic
палуба	kubyerta
палуба	deck
мусолини	mussolini
ранд	rand
уравнение	equation
включване	login
включване	magsama
включване	isama
включване	paganahin
включване	pagsasama
включване	isasama
остри	matalim
остри	pagkagising
експерт	dalubhasa
експерт	expert
експерт	eksperto
въведени	nagpakilala
въведени	pinakilala
въведени	nagpasimula
въведени	ipinakilala
регионално	pampook
регионално	regional
регионално	rehiyonal
влакове	tren
алесандро	alessandro
продаден	nabenta
продаден	nabili
уикимедия	wikimedia
равновесие	balanse
подробна	detalyadong
процедури	pamamaraan
съюзи	unyon
възли	knots
възли	nodes
индивидуално	magkakahiwalay
индивидуално	indibiduwal
изразен	ipinahayag
изразен	nagpahayag
изразен	nakiramay
пери	peri
пери	perry
пери	parry
групова	grupo
групова	pangkat
групова	group
трансилвания	transylvania
фрг	frg
трън	tinik
барабанист	drummer
червеи	bulate
червеи	uod
барбароса	barbarossa
положителни	positive
положителни	positibong
положителни	positibo
отбелязано	mapapansin
отбелязано	noted
отбелязано	kilala
мурад	murad
чака	chaka
буквите	letra
буквите	letters
буквите	titik
кирибати	kiribati
анатолий	anatoly
дебели	taba
дебели	mataba
баница	pie
осъзнава	natanto
атентат	asasinasyon
атентат	pambobomba
атентат	pagbomba
пейзажи	senaryo
пейзажи	telon
възрастен	adult
соли	salts
водачи	driver
бягане	takbo
бягане	pagtakbo
бягане	tumatakbo
бягане	jogging
колин	colin
преден	harapan
преден	harap
комунист	komunista
шампиона	champion
мине	pumasa
мине	ipasa
мине	pass
крилото	wing
крилото	pakpak
преработка	pinoproseso
преработка	pagpoproseso
преработка	processing
преработка	pagproseso
преработка	pagbabago
фриц	fritz
озаглавена	entitled
молитва	panalangin
молитва	prayers
молитва	panalangin
молитва	dasal
молитва	prayer
дълбок	malalim
дълбок	deep
небе	sky
небе	kalangitan
небе	himpapawid
небе	skies
канцлер	kansilyer
силезия	silesia
случаят	case
случаят	kaso
случаят	kasong
държавник	statesman
божество	diyos
домейн	domain
елиът	elliott
елиът	eliot
елиът	elliot
мейн	maine
сложно	komplikado
сложно	kumplikado
съдействие	pagtutulungan
съдействие	kooperasyon
каринтия	carinthia
плат	tela
плат	tela
точни	tumpak
точни	tama
съливан	sullivan
разум	kahulugan
разум	sense
служил	served
служил	nagsilbi
служил	hinahatid
отсъствие	absent
отсъствие	kawalan
райт	wright
забранени	forbidden
забранени	ipinagbabawal
забранени	ipinagbabawal
забранени	bawal
забранени	pinagbabawal
забранени	pinagbawalan
ферара	ferrara
нанси	nancy
шанхай	shanghai
технологичен	teknolohikal
духовни	espirituwal
духовни	spiritual
съвместна	dugtong
съвместна	pinagsamang
съседи	kapitbahay
въртене	iikot
въртене	spin
въртене	spinning
въртене	ikutan
въртене	rotation
въртене	ikot
сул	sul
атоми	atoms
облак	ulap
хищници	predators
съмнения	pagdududa
съмнения	duda
съмнения	doubt
съмнения	alinlangan
реагира	react
продължения	sequels
възможна	maaari
възможна	posible
възможна	possible
възможна	maari
възможна	posibleng
джоан	joanne
джоан	joan
румънска	romanian
легендите	legends
енрике	enrique
мелбърн	melbourne
синоним	magkasingkahulugan
синоним	synonym
мрамор	marmol
водопад	talon
часовник	orasan
икономисти	ekonomista
тезата	thesis
притежание	pagkontrol
отказа	tumanggi
обединено	united
обединено	nagkakaisa
послание	mensahe
послание	message
пясък	buhangin
пясък	sand
пясък	sands
вселена	sansinukob
вселена	universe
горещо	hot
горещо	mainit
океания	oceania
споразумения	kasunduan
смесен	mixed
смесен	magkahalong
съществени	mahalaga
съществени	mahahalagang
надеждата	umaasa
надеждата	umasa
надеждата	sana
надя	nadia
устав	statute
победители	winners
гимнастика	gymnastics
предградие	naik
нестор	nestor
тенденции	uso
тенденции	trend
тенденции	uso
кратер	crater
въглероден	karbon
въглероден	carbon
залцбург	salzburg
мак	mac
мак	mack
уникални	natatanging
уникални	kakaibang
уникални	unique
уникални	natatangi
осветена	lit
осветена	maliwanag
влияния	nakakaimpluwensiya
влияния	impluwensya
паркър	parker
красив	pogi
красив	gwapo
логото	logo
унищожаване	sirain
унищожаване	wasakin
унищожаване	itapon
унищожаване	destruction
тувалу	tuvalu
изчисления	kalkulasyon
алис	alice
консултант	consultant
познание	kaalaman
познание	knowledge
скулптури	iskultura
трансфер	paglilipat
трансфер	ilipat
трансфер	transfer
пивоварна	brewery
офанзива	nakakasakit
хървати	croats
куинсланд	queensland
споменато	nabanggit
споменато	binanggit
баскетбол	basketbol
баскетбол	basketball
бирмингам	birmingham
кралици	queens
взрив	bang
взрив	sabog
взрив	pagsabog
уникална	natatanging
уникална	kakaibang
уникална	unique
уникална	natatangi
оръдието	cannon
ралф	ralph
недостатъци	pagkukulang
предложи	alok
предложи	offer
посещения	pagbisita
бот	bot
зърно	utong
зърно	butil
запаси	stocks
здравословни	healthy
здравословни	malulusog
здравословни	malusog
противоречия	controversy
съперник	karibal
съперник	kalaban
поетът	makata
съгласието	pahintulot
верен	loyal
верен	tapat
верен	faithful
антоан	antoine
руси	blonde
руси	blond
палубата	kubyerta
палубата	deck
господ	god
господ	diyos
антиохия	antioch
антиохия	antioquia
аякс	ajax
руда	ore
скоби	staples
скоби	braces
фрази	parirala
тунел	tunnel
картофи	patatas
картофи	potato
картофи	patatas
инфекции	impeksiyon
уолис	wallis
елита	pili
елита	elite
изхода	sketch
изхода	outlet
еквивалент	katumbas
еквивалент	equivalent
експеримент	eksperimento
арабска	arab
арабска	arabic
арабска	arabe
арабска	arabo
арабска	arabian
батак	batak
ислям	islam
риска	panganib
замени	palitan
ярко	brightly
ярко	bright
ярко	maliwanag
иврит	griyego
иврит	ebreo
иврит	hebreo
петдесет	fifty
джефри	geoffrey
джефри	jeffrey
номинирана	nominee
номинирана	nominate
иконата	imahen
иконата	icon
епидемия	pagkalat
епидемия	salot
епидемия	epidemya
крус	cruz
племенница	pamangkin
племенница	niece
кристоф	christophe
кристоф	christoph
гьоте	goethe
селекция	selection
селекция	pagpili
предадени	sinira
предадени	transmitted
предадени	bumigay
отпред	harapan
отпред	harap
джесика	jessica
пътувания	journeys
пътувания	bumiyahe
пътувания	travel
пътувания	paglalakbay
пътувания	trips
бай	bai
застрашени	endangered
толстой	tolstoy
ибрахим	ibrahim
постановка	setup
плуване	lumangoy
плуване	lumalangoy
плуване	swimming
ъгъла	kanto
ъгъла	sulok
астрономически	astronomical
ръба	gilid
ръба	edge
ръба	dulo
лири	quid
лири	lira
лири	pounds
жозеф	joseph
науру	nauru
нож	kutsilyo
антоанета	antoinette
изключителни	exclusive
изключителни	eksklusibo
изключителни	eksklusibong
изключителни	natatanging
стадий	entablado
стадий	yugto
стадий	stage
арка	arko
арка	arch
феномен	phenomena
феномен	kababalaghan
пакет	bundle
пакет	pakete
пакет	package
цецилий	caecilius
дружба	pagkakaibigan
дружба	pakikipagkaibigan
фази	phases
гигантски	giant
гигантски	higante
гигантски	napakalaki
означение	designation
сюзън	susan
сеул	seoul
фламандски	flemish
