battista	battista
tretjini	tredjedele
orel	eagle
orel	ørn
orel	ørnen
orel	ørne
jasna	klart
jasna	ryd
jasna	klar
hubert	hubert
opredelitev	definition
charlotte	charlotte
bella	bella
nominiran	udnævnt
nominiran	nomineret
nominiran	nominerede
nominiran	udpeget
rumeni	gult
rumeni	gule
rumeni	yellow
rumeni	gul
papirja	papir
zaposlitev	ansættelser
zaposlitev	ansættelse
zaposlitev	rekruttering
zaposlitev	jobbet
zaposlitev	job
zaposlitev	beskæftigelsen
zaposlitev	ansættelse
zaposlitev	beskæftigelse
lucija	lucy
lucija	lucia
dostopna	tilgængeligt
dostopna	tilgængelige
dostopna	tilgængelig
ušesa	øre
ušesa	øre
ušesa	øren
ušesa	ørene
ušesa	ørerne
ušesa	ører
nataša	natasha
boljša	bedre
shs	shs
razpad	kollapse
razpad	sammenbrud
razpad	kollaps
razpad	forfald
rektor	rektor
novejši	nyere
petrova	petrova
označene	tagget
označene	taggede
označene	markeret
označene	afmærket
označene	mærket
označene	markerede
kolonija	koloni
kolonija	kolonien
broughton	broughton
spol	køn
spol	køn
spol	sex
razviti	fremkaldt
razviti	udviklede
razviti	udviklet
razviti	udvikler
razviti	udvikle
barry	barry
oborožitev	oprustning
mcdonnell	mcdonnell
hčerke	døtre
sofija	sofia
sofija	sofie
sofija	sophia
fotografij	billeder
fotografij	fotos
fotografij	fotografier
hong	hong
trak	pandebånd
trak	strimler
trak	strip
trak	båndet
trak	tape
trak	bånd
trak	bånd
trak	gjord
trak	rem
tennessee	tennessee
sončne	sol
sončne	solceller
sončne	solenergi
vidik	aspektet
vidik	aspekt
učiteljev	lærere
učiteljev	undervisere
učiteljev	lærerne
costa	costa
dokazano	beviste
dokazano	bevist
dokazano	påvist
dokazano	dokumenteret
dokazano	bevist
kit	hval
kit	hvaler
kit	hvalen
kit	kit
västra	västra
plašč	frakke
plašč	jakke
plašč	frakken
plašč	kappe
plašč	kåbe
odpovedal	annullerede
odpovedal	aflyst
odpovedal	aflyste
odpovedal	annulleret
sneg	snefald
sneg	sne
sneg	vinterdæk
zasebni	privat
zasebni	private
spretnosti	kvalifikationer
spretnosti	kompetencer
spretnosti	færdigheder
bernhard	bernhard
zmagovalci	vindere
zmagovalci	vinderne
soba	værelse
soba	stue
soba	værelset
soba	rum
galaksije	galakser
novinarka	journalisten
novinarka	journalist
novinarka	journalist
novinarka	reporter
mod	forsvarsministeriet
mod	mod
napisi	undertekster
ujeli	fanget
ujeli	fangede
ujeli	smadret
ujeli	fanget
ujeli	fangede
ujeli	indfanget
švice	schweiz
cfg	cfg
svetlana	svetlana
usmerjena	instrueret
usmerjena	orienteret
usmerjena	orienterede
irvine	irvine
off	slukket
off	off
abc	abc
evrov	euros
evrov	euro
skok	spring
skok	hoppe
skok	hop
skok	springe
skok	spring
esej	essay
zmožnosti	evner
zmožnosti	evnen
zmožnosti	evne
zmožnosti	kapaciteter
zmožnosti	evner
huda	alvorlig
huda	alvorlige
huda	alvorligt
huda	svær
mitchell	mitchell
nadomestila	kompensationer
nadomestila	tilbagebetaling
nadomestila	vederlag
nadomestila	aflønning
nadomestila	godtgørelse
nadomestila	kompensationer
nadomestila	kompensation
nadomestila	godtgørelse
nadomestila	erstatning
nadomestila	kvoter
padlo	faldt
padlo	faldet
padlo	væltede
padlo	faldt
padlo	droppet
padlo	falder
padlo	falde
padlo	efterår
padlo	fald
padlo	falden
padlo	faldne
padlo	faldet
colorado	colorado
zmes	blandingen
zmes	blanding
zaslužil	velfortjent
zaslužil	fortjent
zaslužil	fortjente
zaslužil	opnåede
zaslužil	fortjent
zaslužil	optjente
zaslužil	optjent
mer	mer
zapor	fængsel
zapor	fængslet
zapor	fængsler
