vajdasági	vojvodine
népszavazás	referendum
felvételi	prijímanie
felvételi	nábor
felvételi	prijatie
alessandro	alessandro
vse	vse
védi	ochraňuje
védi	ochráni
védi	chráni
square	štvorcový
square	námestie
square	štvorec
square	square
square	štvorcových
pol	pol
nagymester	veľmajster
emeletes	lôžko
vállalati	firemné
vállalati	firemný
pokol	hell
pokol	peklo
pokol	čert
pokol	pekla
pokol	inferno
termelési	produkciu
termelési	výroby
termelési	výroba
termelési	produkcia
megakadályozza	bráni
megakadályozza	zabraňuje
katonaság	armáda
katonaság	vojsko
katonaság	vojenský
katonaság	vojenské
ward	ward
leverkusen	leverkusen
garfield	garfield
naplója	denníku
naplója	denník
fiktív	fiktívne
járni	kráčať
járni	peši
járni	chôdza
járni	prechádzka
julie	julie
julie	júlia
theodor	theodor
nemzedék	generácie
nemzedék	generácia
nemzedék	generáciu
nemzedék	generovanie
közepette	uprostred
közepette	uprostred
mare	mare
gloria	gloria
vinci	vinci
novi	novi
itf	itf
kutyák	psov
kutyák	psi
kutyák	psy
meghatározni	určovať
meghatározni	určiť
meghatározni	určenie
meghatározni	definovať
meghatározni	vymedziť
meghatározni	definovanie
meghatározni	vymedzenie
hart	hart
dordogne	dordogne
tapasztalatok	zážitky
tapasztalatok	skúsenosti
tapasztalatok	skúsenosť
tapasztalatok	prax
tapasztalatok	skúsenosti
tapasztalatok	zažiť
tapasztalatok	zážitok
fernández	fernández
császárok	cisári
cpu	procesor
cpu	cpu
hajós	námorník
hajós	lodi
hajós	čln
hajós	loď
felajánlotta	ponúkané
felajánlotta	ponúknutá
felajánlotta	ponúknuté
felajánlotta	ponúkol
megegyező	zhodné
megegyező	identické
emlékezetes	nezabudnuteľný
volvo	volvo
elment	preč
elment	prec
amazon	amazon
formátum	formáte
formátum	formátu
formátum	formát
pokémon	pokémon
innsbruck	innsbruck
dobott	vyhodené
dobott	kopačky
néztem	sledovaní
néztem	pozerali
néztem	sledované
néztem	sledoval
néztem	pozeral
néma	tiché
néma	tichá
néma	tichý
néma	pozastaviť
néma	vypnúť
néma	nemý
monica	monika
monica	monica
fájdalom	bolesti
fájdalom	bolesť
fehérek	bielych
alakulat	zboru
alakulat	zbor
csaták	boje
csaták	bitky
leszállás	pristátia
leszállás	pristáť
leszállás	pristátie
fender	fender
foglaló	depozit
foglaló	vkladov
foglaló	vklad
meglátogatta	navštívil
meglátogatta	navštívili
meglátogatta	navštívila
geometria	geometria
geometria	geometrie
geometria	geometrické
domináns	dominantný
domináns	dominantné
domináns	dominantným
költségek	náklady
költségek	trovy
költségek	nákladov
költségek	náklady
költségek	výdaje
költségek	výdavky
elhagyott	opustené
elhagyott	opustenej
elhagyott	opustený
elhagyott	opustená
dalmácia	dalmácia
sergio	sergio
szikla	boulder
szikla	útes
szikla	cliff
szikla	skala
szikla	kameň
szikla	skaly
szikla	rock
mecset	mešity
leggazdagabb	najbohatších
leggazdagabb	najbohatších
richter	richter
samsung	samsung
pascal	pascal
láthatatlan	neviditeľné
láthatatlan	neviditeľná
láthatatlan	neviditeľný
láthatatlan	nepozorovane
láthatatlan	neviditeľné
láthatatlan	neviditeľný
birkózás	wrestling
férj	manžela
férj	manžel
warren	warren
szuper	pecka
szuper	super
szuper	úžasné
szuper	paráda
szuper	super
állítható	nastaviteľné
bond	väzba
