vennaskonna	братство
väljuvad	вихідний
väljuvad	вихідні
kõrgused	висоти
lõigatud	різати
lõigatud	вирізати
põhjendatud	домовитись
epitsenter	епіцентр
samoa	самоа
seksuaalne	сексуальний
seksuaalne	сексуальної
seksuaalne	статевий
seksuaalne	сексуальне
juurdepääs	доступ
juurdepääs	доступність
juurdepääs	доступності
igavene	вічне
igavene	вічні
igavene	вічна
igavene	безсмертні
igavene	вічний
ootamatu	неочікуваний
ootamatu	несподіваний
ootamatu	несподіване
bayern	bayern
bayern	баварія
rääkides	говорячи
rääkides	speaking
madu	змія
madu	змії
madu	serpent
tükk	шматок
tükk	інсталяція
tükk	фігуру
tasakaal	баланс
tasakaal	рівноваги
tasakaal	рівновага
mateeria	речовина
ühised	спільними
ühised	поширені
ühised	спільне
ühised	загальні
ühised	common
olend	істота
olend	створіння
neutraalne	нейтральний
neutraalne	нейтральна
inspiratsiooni	натхнення
discovery	відкриття
discovery	знахідка
omavalitsused	підпорядкування
petri	петрі
sööt	подача
sööt	годувати
sööt	стрічці
sööt	стрічка
sööt	подачу
piero	piero
tüür	стерно
liitrit	літри
liitrit	літрів
liitrit	літр
mootorid	motors
mootorid	рушії
mootorid	двигуни
mootorid	рушії
läbipaistev	прозоре
läbipaistev	прозорість
läbipaistev	прозоре
läbipaistev	прозорі
läbipaistev	прозора
läbipaistev	прозорий
potentsiaali	потенціал
leslie	леслі
keiserlik	імператорський
keiserlik	імперський
keiserlik	imperial
lineaarne	лінійна
lineaarne	лінійний
illustratsioonid	ілюстрації
illustratsioonid	ілюстрацій
traadita	бездротовий
muda	бруд
mõõtmine	вимірювання
mõõtmine	виміри
mõõtmine	вимірювання
lõhna	запах
lõhna	запахи
lõhna	запаху
lõhna	пахощі
õnnetus	аварія
suurused	розміри
kommunismi	комунізм
kommunismi	комуністів
babüloonia	вавилонський
semper	semper
tragöödia	трагедія
meeli	відчуває
eeldused	передумови
václav	вацлав
valdkond	домен
valdkond	область
valdkond	ділянка
valdkond	площа
valdkond	місцевість
konkurentsi	змагання
vicente	вісенте
liu	лю
johansson	юганссон
jälgib	стежить
jälgib	монітори
marge	мардж
stein	стайн
pen	перо
pen	ручка
arendab	розвиває
ungarlased	угорці
germain	жермен
kommentaar	коментар
kommentaar	коментувати
kommentaar	прокоментувати
sean	шон
shanghai	шанхай
armastaja	коханець
orange	апельсин
orange	помаранчевий
sõnaraamat	словник
tuld	fire
tuld	вогнем
tuld	вогонь
tuld	пожежа
viimasena	останній
viimasena	остання
viimasena	останнє
ilmaliku	вікова
ilmaliku	вікові
odavam	найдешевший
odavam	дешевше
odavam	дешевші
edge	ребро
edge	край
edge	ребра
edge	edge
kiili	бабка
individuaalne	окремих
individuaalne	індивідуальна
individuaalne	індивідуальні
individuaalne	індивідуальне
individuaalne	окремі
individuaalne	індивідуальний
myspace	myspace
robot	робот
geneetiliselt	генетично
pilv	хмара
autosid	автомобілі
autosid	тачки
litsents	ліцензію
litsents	ліцензія
litsents	ліцензії
litsents	ліцензію
litsents	ліцензія
kristlus	християнство
java	java
java	ява
opel	opel
esinemise	повторення
nero	nero
pakkumise	тендер
pakkumise	ніжна
säilitab	здійснює
thorpe	торп
mir	мір
konsul	консул
rõõm	ласки
rõõm	задоволенням
rõõm	задоволення
rõõm	радості
rõõm	радість
olümpia	олімпіади
olümpia	олімпійська
olümpia	олімпійський
olümpia	олімпійські
dünaamiline	динамічний
dünaamiline	динамічні
dünaamiline	динамічна
dünaamiline	динамічне
owen	оуен
järg	нетерпінням
seen	гриба
thor	тор
agentuuri	агенція
agentuuri	агентство
sang	співав
sang	співали
sang	заспівав
sang	співала
sang	заспівали
terav	гострий
terav	гострі
foorum	форум
luuletus	вірш
luuletus	вірша
luuletus	поема
õpetab	навчає
õpetab	викладає
väidetud	забрала
traditsioonilised	традиційними
traditsioonilised	традиційний
traditsioonilised	традиційні
traditsioonilised	традиційна
traditsioonilised	традиційне
sõnumid	повідомлення
sõnumid	повідомлень
timothy	тимофія
timothy	тімоті
cat	кіт
cat	кішка
kajastab	відображає
gnu	gnu
faktid	факти
täpsed	точні
täpsed	точна
täpsed	акуратно
pete	піт
diameeter	діаметр
gloria	глорія
kursused	курси
suomen	suomen
constantin	константін
horisontaalselt	горизонтально
suurenemine	збільшити
suurenemine	підвищити
triinu	елла
triinu	ella
léon	леон
strauss	штраус
institutsioonid	закладів
institutsioonid	установи
institutsioonid	інституції
institutsioonid	установ
institutsioonid	топові
romantiline	романтик
romantiline	романтична
romantiline	романтичний
romantiline	романтичні
uhke	гордий
uhke	горді
uhke	proud
uhke	горда
uhke	вишукана
uhke	вишуканий
kirjutades	введення
haruldased	рідкісна
haruldased	рідкісні
haruldased	рідкісний
haruldased	рідкість
haruldased	рідкісне
kohvi	кава
marianne	маріанна
tegija	maker
tegija	творця
jeemeni	ємен
jeemeni	єменський
omar	омар
pinnas	ґрунту
pinnas	ґрунт
pinnas	земля
kodakondsus	нації
kodakondsus	країна
kodakondsus	націю
kodakondsus	громадянство
kodakondsus	нація
kodakondsus	громадянство
ajavahemik	строк
ajavahemik	період
giulio	джуліо
standardid	стандартів
standardid	стандартами
standardid	стандартам
standardid	стандарти
albumid	альбомів
albumid	альбоми
pühendunud	відданого
pühendunud	присвячується
pühendunud	присвяченого
pühendunud	присвячено
pühendunud	присвятив
pühendunud	вчинив
pühendunud	скоїв
tselluloosi	целюлоза
tselluloosi	штучне
liigitada	класифікувати
tasapisi	повільно
romano	романо
resolutsioon	resolution
andrzej	анджей
philadelphia	філадельфія
oulu	оулу
mürgine	токсичні
mürgine	отруйні
väärt	варта
väärt	варто
väärt	варте
väärt	варті
tapmine	вбивство
tapmine	припинення
tapmine	вбивають
esa	еса
read	рядками
read	рядків
read	черевички
read	рядки
read	лінії
read	рядками
read	рядків
read	лініями
read	рядки
michele	мікеле
korsika	корсика
kaksteist	дванадцять
histoloogia	гістологія
ekspert	експертні
ekspert	експерт
ökoloogiline	екологічної
ökoloogiline	екологічна
ökoloogiline	екологічний
sool	сіль
sool	солі
jung	чон
müük	продажів
müük	продаж
müük	продажі
müük	розпродаж
müük	продаж
vähendamine	заднє
vähendamine	сприятиме
vähendamine	зменшення
smithi	сміт
smart	розумним
smart	смарт
smart	розумний
smart	smart
loobunud	відрікся
viljakas	родючі
viljakas	плідної
hell	ніжний
kokkupõrge	вплив
kokkupõrge	зіткнення
paber	папір
alasti	голі
alasti	медом
alasti	голий
alasti	naked
alasti	nude
alasti	ню
sammas	колонка
sammas	стовпчик
sammas	колона
sammas	стовп
mitt	mitt
maatriks	матриця
maatriks	матриці
neljandaks	четверта
neljandaks	четвертий
neljandaks	четверте
parameeter	параметр
žanr	жанр
stella	стела
stella	стелла
oskuste	майстерність
oskuste	уміння
otsustanud	вирішили
otsustanud	вирішив
otsustanud	вирішила
sinised	blue
sinised	блакитні
sinised	блакитний
sinised	блакитна
sinised	синій
sinised	сині
schultz	шульц
lapselaps	онука
lapselaps	внук
lapselaps	онук
wales	уельсу
wales	уельс
elbe	ельба
kogemata	випадково
uuem	новіші
hani	гусей
hani	хан
hani	хана
rex	рекс
territoriaalne	територіальних
jeffersoni	джефферсон
harrison	гаррісон
maia	мая
maia	майя
chicagos	чикаго
turba	торф
hävitatud	знищені
hävitatud	знищено
hävitatud	зруйновано
hävitatud	знищили
karistuse	покарання
liigitus	класифікація
hävitamine	знищить
hävitamine	знищити
hävitamine	руйнування
hävitamine	знищення
korrus	підлога
korrus	поверх
beach	пляжний
beach	біч
beach	пляж
õiglane	праведний
õiglane	ярмарок
õiglane	справедливо
õiglane	справедлива
õiglane	справедливий
pööre	крути
pööre	хід
pööre	черга
pööre	повернути
sõitja	пасажир
kuru	перевал
kuru	передати
kuru	проїхати
kliendi	замовник
kliendi	клієнт
kliendi	клієнта
kliendi	клієнт
katoliiklased	католики
pidulik	святкову
pidulik	святкові
pidulik	святково
võrreldav	comparable
phillips	філліпс
kaas	кришку
kaas	кришка
lennata	fly
lennata	літати
lennata	муха
lennata	лети
lõpetatud	завершене
lõpetatud	завершити
lõpetatud	повний
lõpetatud	завершення
lõpetatud	завершений
lõpetatud	завершено
lõpetatud	завершені
lõpetatud	виконано
lõpetatud	завершено
lõpetatud	завершені
lõpetatud	закінчено
lõpetatud	закінчиться
lõpetatud	закінчив
alumiiniumi	алюміній
yves	ів
ted	ted
ted	тед
kümmekond	десяток
kümmekond	десятки
abt	абат
möödub	минає
möödub	мине
möödub	завершилися
tõlked	переклади
camille	каміла
camille	каміль
meeldis	кохав
meeldis	коханою
meeldis	коханим
meeldis	подобалось
meeldis	терпів
meeldis	сподобався
meeldis	сподобалося
liides	інтерфейс
toll	дюйм
toll	митниця
toll	звичаї
tammeka	дуб
kaaslased	сподвижників
cook	готувати
cook	кухаря
cook	кук
cook	повар
cook	кухар
stressi	стрес
varad	активи
amy	емі
kive	камені
kive	камінці
kive	каменів
kive	камені
kive	скелі
kive	астероїди
kive	каміння
kive	скелях
zürichi	цюрих
brüssel	брюсселі
brüssel	брюссель
kaltsiumi	кальцій
kaltsiumi	кальцію
gonzález	гонсалес
sigmund	зигмунд
ahven	окунь
suurendatud	зросли
suurendatud	збільшили
laienenud	збільшив
töölised	робітників
töölised	працівників
töölised	працівники
töölised	робітники
flash	флеш
flash	flash
flash	спалах
göteborgi	гетеборг
projektid	проекти
projektid	проектів
june	червня
june	червні
june	червень
parasvöötme	помірні
gérard	жерар
konsooli	консолі
konsooli	консоль
siena	siena
verona	верона
singapuri	сінгапурі
singapuri	сінгапуру
rühmitus	групування
religioosne	релігійна
religioosne	релігійні
muljet	вразив
muljet	вразити
vincenzo	вінченцо
ülekanne	перенесення
ülekanne	трансфер
ülekanne	перенесення
ülekanne	трансляція
mõjud	ефекти
arvud	фігури
arvud	фігурки
arvud	показники
määr	оцінити
määr	частота
määr	швидкість
määr	оцініть
määr	ставка
opositsioon	протистояння
irene	ірен
üheksas	ninth
mošee	мечеть
benito	беніто
valentina	валентина
mõistab	розуміє
revolutsiooniline	революційний
mitmekesine	особливі
joonia	іонічне
käimine	побачення
käimine	побачень
käimine	знайомств
bauer	бауер
näita	показати
näita	шоу
näita	показувати
näita	show
budism	буддизм
koguma	зібрати
koguma	збирати
laenatud	запозичено
laenatud	позичив
tunnistama	підтвердити
ruumiline	просторовий
magma	магма
raudteede	залізниця
raudteede	залізниці
sektor	сектор
enterprise	підприємство
enterprise	підприємства
enterprise	enterprise
keskmised	середній
keskmised	носій
keskmised	середня
keskmised	середні
joone	лінія
joone	рядок
joone	рядка
joone	пряма
sõnum	повідомлення
beethoven	бетховен
arenema	розвиватися
teadis	знала
teadis	знало
teadis	знали
teadis	знав
cura	кура
tipu	вершиною
tipu	вершина
tipu	вершину
città	città
augusta	августа
nielsen	нільсен
fra	фра
jános	янош
hobused	коней
hobused	коні
rongi	потяг
rongi	поїзд
rikkus	копійки
rikkus	багатство
rikkus	багатства
rikkus	багатство
rikkus	зруйнували
rikkus	зруйнував
etendus	показати
etendus	шоу
etendus	показувати
etendus	show
marshalli	маршалл
marshalli	маршал
kvalifikatsioon	кваліфікації
kvalifikatsioon	кваліфікацію
kvalifikatsioon	кваліфікація
intensiivsus	інтенсивність
marss	марс
marss	mars
springer	springer
teave	відомості
teave	інформація
signaale	сигнали
ridades	звання
kõrgele	високий
kõrgele	висока
kõrgele	значне
kõrgele	високе
kõrgele	високі
dakota	дакота
rey	рей
dresdeni	дрезден
katastroofi	катастрофа
muusikal	музична
muusikal	музичний
muusikal	мюзикл
muusikal	музичні
nigeri	нігер
satelliit	супутник
rick	рік
poom	boom
poom	бум
astronaut	космонавт
unenägu	сон
unenägu	dream
unenägu	мрія
suundumused	тренди
suundumused	тенденції
herakles	hercules
herakles	еркюль
aspekte	аспекти
aspekte	аспектів
vastastikku	взаємопов
lootes	сподіваючись
andersen	андерсен
firmad	корпоративному
firmad	компаній
firmad	фірм
firmad	компанії
firmad	компаній
firmad	компаніями
michelangelo	мікеланджело
võti	ключ
võti	клавіша
kliiniline	клінічних
väljatöötamine	проведення
väljatöötamine	розробку
väljatöötamine	розвиваються
välised	зовнішнє
välised	зовнішні
välised	зовнішній
välised	зовнішня
välised	зовнішня
võõras	незнайомця
tuttav	знайомі
tuttav	знайомі
madalamad	нижній
madalamad	опустити
madalamad	нижня
madalamad	нижча
baltimore	балтимор
päevik	журнал
päevik	journal
päevik	щоденник
päevik	щоденник
platvorm	платформи
platvorm	платформу
platvorm	платформа
paradigma	парадигма
nähtavad	видима
nähtavad	видимий
nähtavad	видно
nähtavad	видимі
emilia	емілія
metallica	metallica
pidu	вечірка
pidu	партії
pidu	вечірки
pidu	партія
pidu	party
meeleolu	настрій
sata	sata
alternatiiv	альтернатива
alternatiiv	варіант
alternatiiv	альтернативне
alternatiiv	альтернативні
alternatiiv	альтернативна
alternatiiv	альтернативний
alternatiiv	альтернативне
alternatiiv	альтернативний
hiv	віл
tarn	тарн
disainitud	розроблена
disainitud	розробив
disainitud	розроблено
geneetika	генетика
gov	gov
adolph	адольф
täitnud	наповнене
ingel	янгол
ingel	ангел
kohane	відповідний
kohane	відповідні
kohane	відповідну
enrico	енріко
cfg	cfg
vangistatud	закрила
vangistatud	полон
vangistatud	спіймав
vangistatud	захопили
vangistatud	захоплені
vaatas	дивились
vaatas	дивилися
vaatas	дивився
akna	вікно
maximus	максим
meelega	добровільно
samsung	самсунг
samsung	samsung
clemente	клементе
variandid	варіанти
hüüdnime	псевдонім
hüüdnime	прізвисько
pühak	святий
pühak	saint
pühak	сен
craig	крейг
honda	honda
florence	флоренція
florence	флоренції
reporter	репортер
geoloogiline	геологічні
geoloogiline	геологічних
hampshire	гемпшир
jutud	історії
jutud	публікації
jutud	розповіді
atmosfäär	атмосфера
sissetulek	вклади
sissetulek	прибуток
sissetulek	дохід
sissetulek	прибутки
lame	рівна
elena	олена
elena	елена
brand	бренду
brand	бренд
brand	brand
augustin	augustin
võrgus	онлайн
võrgus	online
hunter	мисливець
nõutud	надійшов
nõutud	звертався
nõutud	запит
nõutud	потрібен
nõutud	необхідні
nõutud	необхідне
nõutud	необхідний
moodul	модуль
han	хан
han	хана
chapelle	шапель
mungad	монахи
sauna	сауна
ameeriklane	американський
ameeriklane	американець
ameeriklane	американські
ameeriklane	американська
ameeriklane	американської
hinnad	ціни
diktaator	диктатор
meta	мета
lane	вуличка
armastatud	коханої
armastatud	коханим
armastatud	кохана
armastatud	коханий
armastatud	коханого
eesistuja	голова
eesistuja	головою
ragnar	рагнар
canterbury	кентербері
kulu	вартість
kulu	витрати
kulu	витратами
kulu	витрат
ettepanekuid	пропозиції
tagajärg	наслідок
julge	жирний
julge	жирним
julge	сміливий
julge	мужнім
julge	наважився
julge	сміливу
tasane	рівна
mune	яйця
mune	яєчка
konkreetsete	конкретних
konkreetsete	певне
konkreetsete	конкретні
olli	оллі
voyager	voyager
jõulud	різдво
jõulud	новорічний
plus	плюс
plus	plus
baltica	baltica
nõbu	кузен
klaviatuuri	клавіатуру
klaviatuuri	клавіатура
klaviatuuri	клавіатури
ökosüsteemi	екосистема
aurora	аврора
kirgiisi	киргизька
stanislav	станіслав
spencer	спенсер
kõneleja	доповідач
kõneleja	гучномовець
kõneleja	диктора
kõneleja	диктор
terminoloogia	термінології
nokk	дзьоб
hirv	олень
hirv	олені
hirv	оленя
jefferson	джефферсон
tunnel	тунель
mahajäetud	покинуті
mahajäetud	відмовилися
kiired	проміння
kiired	промені
bagdadi	багдада
leib	хліба
leib	хліб
lendavad	польоту
isabel	ізабель
edvard	едвард
secret	таємний
secret	секретний
secret	таємна
secret	таємниця
secret	таємно
laagris	табір
snake	змія
snake	змії
avaldus	заява
avaldus	виписка
avaldus	твердження
väiksemaks	меншим
väiksemaks	менша
väiksemaks	менший
väiksemaks	менше
väiksemaks	менші
kontor	офіс
kontor	office
oskus	майстерність
oskus	уміння
emily	емілі
aldo	альдо
väljendus	вираз
kattis	розібралися
kattis	покрита
kahur	гармата
kahur	гармати
esitus	презентацію
esitus	презентації
esitus	презентація
esitus	виступів
paas	піст
toodang	продакшн
toodang	виробництво
toodang	продукція
dante	данте
bordeaux	бордо
nuku	лялька
stsenaarium	сценарій
õigustada	вирівняти
õigustada	виправдовує
kaar	арк
kaar	дуга
kaar	арка
skp	ввп
autod	автомобілі
autod	тачки
oranž	апельсин
oranž	помаранчевий
ideaalne	perfect
ideaalne	ідеально
ideaalne	ідеальні
ideaalne	ідеальне
ideaalne	ідеальна
ideaalne	досконало
ideaalne	ідеал
leedulased	литовці
ani	ані
serv	ребро
serv	край
serv	ребра
serv	edge
muster	взірець
muster	взірцем
muster	візерунок
muster	шаблон
castle	замок
identiteet	особа
identiteet	особистість
identiteet	профіль
identiteet	ідентичність
zhang	чжан
geoffrey	джеффрі
zhou	чжоу
par	par
ainulaadne	унікальний
ainulaadne	унікальне
ainulaadne	унікальні
algataja	запрошений
algataja	ініціатор
sissetung	вторгнення
vastuluure	контррозвідка
avastamise	виявлення
altari	вівтар
altari	сесії
magneesiumi	магній
mona	мона
grey	сіра
grey	сірий
grey	грей
teresa	тереза
luca	лука
oskused	навички
oskused	уміння
oskused	навики
oskused	майстерність
oskused	уміння
solomon	соломон
solomon	соломона
intervall	інтервал
intervall	проміжок
oklahoma	оклахома
leopard	барс
osaka	осака
kusagil	кудись
kusagil	десь
vastused	відповіді
vastused	відповіді
vastused	відповіді
tundeid	почуття
hannah	ганна
trotski	троцького
esitamine	підкорення
esitamine	відправки
esitamine	надсилання
järjekord	черги
järjekord	чергу
järjekord	черга
järjekord	поставити
järjekord	замовити
järjekord	ордер
järjekord	наказ
järjekord	порядок
franklini	франклін
karistus	пенальті
karistus	штраф
karistus	покарання
montgomery	монтгомері
ilmnes	виявив
kuulnud	почув
kuulnud	чув
kuulnud	почула
kuulnud	чули
kuulnud	чула
aspekt	співвідношення
benedict	бенедикт
filter	фільтрувати
filter	фільтр
lindi	стрічку
lindi	стрічка
lindi	плівка
lindi	стрічки
milton	мілтон
vinci	вінчі
pol	пол
pan	пан
pan	випічки
reguleeritud	контрольовані
lendu	польоту
lendu	переліт
lendu	рейс
lendu	політ
augsburgi	augsburg
stephan	стефан
stephan	штефан
abstraktne	абстрактний
plaanitud	запланована
plaanitud	заплановано
plaanitud	запланований
plaanitud	заплановане
valle	валле
puudused	слабкості
todd	тодд
todd	тод
olympic	олімпіади
olympic	олімпійська
olympic	олімпійський
olympic	олімпійські
wilde	уайльд
leiba	хліба
leiba	хліб
kontserdid	концерти
newcastle	ньюкасл
õpetlane	історик
õpetlane	вченим
volinik	комісар
pioneer	pioneer
ravenna	равенна
tapab	вбиває
arendus	розвитку
arendus	розвиток
arendus	розробка
raskused	складності
raskused	складність
raskused	труднощі
sotsialismi	соціалізм
grupid	групи
grupid	груп
grupid	спільноти
nael	nail
nürnbergi	нюрнберг
eraldunud	відокремленим
veerand	квартал
veerand	чверть
püssi	гвинтівки
püssi	гвинтівка
irl	irl
konstrueeritud	побудовано
konstrueeritud	проведена
mix	мікс
mix	суміші
mix	суміш
vari	тіней
vari	морок
vari	shadow
vari	тінь
derek	дерек
vesinik	водню
usd	usd
reed	рід
motiiv	мотив
motiiv	мотив
motiiv	можливість
usbeki	узбецька
björn	бйорн
veebisait	сайті
veebisait	сайт
adobe	adobe
positiivselt	позитивно
oswald	освальд
galileo	галілео
kuuli	кулю
kuuli	постріли
kuuli	позначки
kuuli	куля
evelyn	евелін
serblased	сербів
rabas	муром
nahka	оболонка
nahka	шкіра
nahka	шкіри
haydn	гайдн
tiiger	tiger
tiiger	тигр
rostovi	ростов
sood	болота
bahreini	бахрейн
vega	вега
küljed	боки
küljed	сторони
küljed	сторін
winkler	вінклер
nõude	копальні
nõude	стверджують
nõude	вимагати
nõude	володарі
võimed	здібності
võimed	живить
võimed	здібності
võimed	силами
küllastunud	насичені
ever	ever
raoul	рауль
kile	фільм
kile	плівка
cohen	коен
oodatud	очікується
oodatud	очікували
oodatud	очікувана
oodatud	очікувані
oodatud	очікувалося
kartis	боявся
kartis	бояться
kartis	боялися
marilyn	мерилін
osake	частка
osake	частинки
osake	частинка
sara	сара
zeus	зевс
energeetika	енергія
act	діяти
act	акт
häda	лихо
häda	горе
parandab	покращує
parandab	виправляє
chang	чан
horst	горст
walt	уолт
harmoonia	гармонія
harmoonia	harmony
harmoonia	гітари
mahler	малер
muld	ґрунту
muld	ґрунт
muld	земля
muld	виноробстві
pinged	напругу
pinged	напруга
pinged	заворушення
kontroller	контролер
kontroller	регулятор
bock	бок
arve	білла
arve	білл
arve	фактура
arve	біл
tõstetud	виховали
tõstetud	виростили
tõstetud	карпатські
tõstetud	підняли
austin	остін
klassid	класи
laser	лазер
jessica	джессіка
jessica	джесіка
romaane	романів
romaane	романи
hardcore	хардкор
informaatika	інформатики
informaatika	обчислення
laienemine	розширення
laienemine	розгортання
laienemine	розширення
marguerite	маргерит
delegatsioon	спрямування
delegatsioon	делегації
delegatsioon	делегація
col	стовп
molotovi	молотова
õiglus	справедливість
õiglus	правосуддя
deutschland	важкі
kolooniad	колонії
ülalt	згори
ülalt	вгорі
ülalt	топ
ülalt	верхній
ülalt	найпопулярніші
ülalt	зверху
formaat	формат
formaat	форматування
berger	бергер
hannover	hannover
vöönd	зона
hetk	момент
hetk	мить
telefon	телефон
telefon	телефон
telefon	телефоном
carol	керол
carol	колядки
arktika	arctic
locke	лок
spektri	спектр
soomlased	фіни
mag	mag
minevik	минулий
minevik	минулі
minevik	минуле
luksemburg	люксембургу
luksemburg	люксембург
gerard	герард
teadvus	свідомість
aadel	знать
faktor	фактори
faktor	коефіцієнт
faktor	фактор
tegur	фактори
tegur	коефіцієнт
tegur	фактор
lepingud	контракти
lepingud	договорах
lepingud	договори
lepingud	угод
curie	кюрі
räägi	скажи
räägi	розказати
räägi	розкажіть
räägi	розкажу
räägi	розкажи
räägi	поговоримо
räägi	розмова
räägi	talk
räägi	говорити
räägi	розмовляють
räägi	говоріть
räägi	вимовляти
räägi	говорити
räägi	speak
valima	виберіть
valima	вибрати
valima	обрати
valima	вибір
valima	виберіть
valima	вибрати
valima	позначити
oksad	філії
oksad	гілками
oksad	гілки
portreed	портрети
lahkumine	відправлення
lahkumine	виліт
lahkumine	залишаючи
lahkumine	відправляється
lahkumine	йдемо
eelistatud	основний
eelistatud	бажана
eelistatud	головна
eelistatud	бажаний
demo	демонстрація
demo	демо
efektiivsus	ефективність
efektiivsus	ефективність
efektiivsus	результативність
efektiivsus	віддача
ülesehitus	реконструкція
ülesehitus	реконструкції
ülesehitus	структура
ülesehitus	структури
norbert	норберт
esperanto	есперанто
roth	рот
resolutsiooni	resolution
tuuri	тури
tuuri	турів
reformid	реформи
laskemoona	снаряд
laskemoona	боєприпаси
laskemoona	боєприпасів
laskemoona	боєприпаси
väljund	вивести
väljund	вивід
väljund	виведення
väljund	висловлювання
väljund	виводу
clara	клара
ligipääs	доступ
psühholoogiline	душевний
psühholoogiline	психологічний
psühholoogiline	психологічна
ekvatoriaal	екваторіальної
tsivilisatsiooni	цивілізації
tsivilisatsiooni	цивілізація
tsivilisatsiooni	цивілізація
saun	сауна
presidendid	президентів
komponendi	компонент
komponendi	компонента
domineerib	домінує
kirjutised	writings
asendus	заміна
asendus	замінник
asendus	замініть
asendus	замінник
asendus	замініть
asendus	заміна
asendus	замінити
davidson	девідсон
maksud	податки
elmo	ельма
päikest	нд
päikest	сонця
päikest	сонцю
päikest	sun
päikest	сонце
päikest	сонце
päikest	сонечка
võidetud	переміг
võidetud	виграв
võidetud	вон
võidetud	виграли
võidetud	перемогли
võidetud	поразки
laua	стіл
laua	столик
laua	таблиця
laua	таблиці
illustraator	ілюстратор
kaisa	кайса
harta	хартія
ursula	урсула
nõudmised	запити
nõudmised	запитів
nõudmised	запит
nõudmised	вимагає
kriteeriumid	критерії
kriteeriumid	критерій
allkiri	підпис
maas	вниз
maas	down
maas	униз
maas	даун
ten	десять
ten	десятка
ten	десяти
ten	тен
otsustav	рішучий
palub	запитує
palub	питає
mainis	згадала
mainis	згадав
mainis	згадував
meteoroloogia	метеорологія
