die	করে
van	পদবী
van	পদবি
van	থেকে
van	প্রেরক
het	পেয়ে
het	পেয়েছে
het	পেয়েছিলাম
het	রয়েছে
het	আছে
wat	কি
wat	যা
wat	কী
wat	যে
wat	সেই
wat	যেটা
word	হয়ে
met	সহ
met	দিয়ে
met	সাথে
was	ছিলেন
was	ছিলো
was	হয়েছিল
was	ছিল
was	গেলেন
was	ছিলো
was	ছিল
vir	জন্য
vir	জন্যে
nie	নয়
nie	না
dit	এই
dit	এটি
dit	এটা
deur	দরজার
deur	দরজা
ook	কেও
ook	এছাড়াও
tot	পর্যন্ত
dat	যে
dat	সেই
dat	যেটা
hulle	তাদের
hulle	সেগুলি
hulle	তাদেরকে
suid	দক্ষিণ
uit	বের
uit	বাহিরে
uit	আউট
jaar	সাল
jaar	বছরে
jaar	বৎসর
jaar	বছর
jaar	বছরের
eerste	প্রথম
eerste	প্রথমে
maar	কিন্ত
maar	কিন্তু
kan	পারেন
kan	পারবো
kan	পারে
kan	পারবে
hierdie	এই
hierdie	এটি
hierdie	এটা
ander	অন্য
ander	অন্যান্য
soos	মতো
soos	লাইক
soos	পছন্দ
soos	মত
soos	যেমন
afrika	আফ্রিকা
afrika	আফ্রিকান
oor	পরিচিতি
oor	সম্বন্ধে
oor	সম্পর্কে
oor	কানে
oor	কানের
oor	কান
oor	অবশিষ্ট
een	এক
een	অনলাইন
een	একটি
gebruik	ব্যবহার
gebruik	ব্যবহার
afrikaanse	আফ্রিকান
groot	গ্রেট
groot	দুর্দান্ত
groot	দারুণ
groot	মহান
groot	দারুন
meer	হ্রদ
meer	লেক
meer	অতিরিক্ত
meer	বেশি
meer	আরো
meer	আরও
meer	বেশী
onder	নীচে
onder	নিচে
onder	নীচে
twee	দুটি
twee	দুটো
twee	দুইটা
twee	দুই
kerk	চার্চ
kerk	গির্জার
kerk	গির্জা
kerk	গীর্জা
gemeente	সংসদ
gemeente	সমাবেশ
baie	অত্যন্ত
baie	খুবই
baie	খুব
baie	অনেকেই
baie	বহু
baie	অনেক
begin	শুরু
begin	আরম্ভ
hul	তাদের
lêer	খতিয়ান
lêer	লেজার
waar	কোথায়
waar	যেখানে
waar	সত্য
waar	প্রকৃত
waar	সত্যিকারের
waar	সত্যি
dié	এই
dié	এটি
dié	এটা
eeu	সেঞ্চুরি
eeu	শতাব্দী
eeu	শতক
eeu	শতাব্দীতে
haar	তার
haar	তাকে
haar	তাহার
haar	ওনার
eksterne	বহিঃস্থ
eksterne	বাহ্যিক
eksterne	বহিরাগত
sien	দেখা
sien	দেখি
sien	দেখুন
sien	দেখবে
sien	দেখে
nuwe	নতুন
leë	ফাঁকা
leë	খালি
leë	ফাঁকা
hom	তাকে
voor	সম্মুখ
voor	ফ্রন্ট
voor	সামনে
voor	সামনের
voor	আগে
voor	পূর্বে
voor	আগেই
stad	শহর
stad	নগর
land	দেশের
land	দেশ
land	কান্ট্রি
skakels	লিঙ্কগুলি
skakels	লিঙ্ক
later	পরে
nog	অতিরিক্ত
nog	বেশি
nog	আরো
nog	আরও
nog	বেশী
net	কেবলমাত্র
net	মাত্র
net	শুধু
net	কেবল
net	শুধুমাত্র
net	মাত্র
net	শুধু
tydens	চলাকালীন
sou	যেত
sou	যেতাম
naam	নাম
deel	শেয়ার
deel	অংশ
deel	পার্ট
deel	অংশটি
drie	তিনজন
drie	তিন
egter	যাহোক
egter	তবে
pous	পোপ
sal	করবে
sal	করবো
sal	দেবো
sal	করবি
kon	পারতাম
kon	পেতাম
ons	আমাদের
mense	লোকেরা
mense	লোকজন
mense	মানুষ
mense	জনগণ
mense	ব্যক্তিগণ
mense	লোকে
bestaan	উপস্থিত
bestaan	উপস্থিত
nasionale	ন্যাশনাল
nasionale	জাতীয়
kom	আসে
kom	এসে
kom	এসো
noord	উত্তর
jpg	jpg
gebied	এলাকা
gebied	অঞ্চল
vanaf	থেকে
vanaf	প্রেরক
laat	দেরীতে
laat	দেরী
laat	দেরি
saam	একত্রে
saam	একসাথে
terwyl	while
terwyl	অথচ
veral	বিশেষত
weer	আবার
weer	পুনরায়
weer	আবহাওয়া
werk	কর্মস্থল
werk	কর্ম
werk	কাজকর্ম
werk	কর্মস্থল
werk	চাকরি
werk	কর্ম
werk	চাকুরি
werk	চাকরী
werk	কাজ
klein	ক্ষুদ্র
klein	স্বল্প
klein	ছোট
klein	নাবালক
klein	গৌণ
klein	মাইনর
klein	ক্ষুদ্র
oos	পূর্ব
oos	পুর্ব
hier	এখানে
tyd	সময়
geword	হয়ে
vlag	নিশান
vlag	অপ্রাসঙ্গিক
vlag	পতাকা
verskeie	বিবিধ
verskeie	বিভিন্ন
verskeie	বিবিধ
verenigde	ইউনাইটেড
verenigde	ঐক্যবদ্ধ
mei	সোমবার
mei	মে
wes	পশ্চিম
vorm	আকার
staan	দাঁড়িয়ে
staan	দাড়িয়ে
staan	দাঁড়ানো
staan	স্ট্যান্ড
isbn	isbn
genoem	উল্লেখিত
dan	অতঃপর
dan	এরপর
dan	তারপর
dan	তখন
bevolking	জনসংখ্যা
bevolking	জনপরিসংখ্যান
gemaak	বানানো
gemaak	বানিয়ে
gemaak	তৈরি
gebou	নির্মাণকার্য
gebou	ভবন
gebou	বিল্ডিং
jare	বত্সর
jare	বছর
jare	হেডার
januarie	জানুয়ারি
januarie	জানুয়ারী
januarie	ম্যানুয়াল
junie	জুন
junie	অবাঞ্ছিত
junie	জুন
amerikaanse	আমেরিকার
amerikaanse	আমেরিকান
slegs	কেবলমাত্র
slegs	মাত্র
slegs	শুধু
slegs	কেবল
slegs	শুধুমাত্র
slegs	মাত্র
slegs	শুধু
nadat	পরেও
nadat	পরও
nadat	পর
nadat	পরে
april	এপ্রিল
lank	লম্বা
lank	দীর্ঘ
lank	লম্বা
gestig	স্থাপিত
oktober	অক্টোবর
oktober	অন্যান্য
julie	জুলাই
sedert	থেকে
reeds	ইতি
reeds	ইতিমধ্যে
reeds	ইতিমধ্যেই
kaapstad	বার্সেলোনা
september	সদস্য
september	সেপ্টেম্বর
engels	ইংরেজী
engels	ইংরাজি
engels	ইংরেজি
engels	ইংলিশ
party	পার্টি
party	পার্টির
desember	সদস্য
desember	ডিসেম্বর
maart	মার্চ
alle	সব
alle	সকল
augustus	অগাস্ট
augustus	আগস্ট
gevolg	অনুসরণ
februarie	ফেব্রুয়ারি
februarie	ফেব্রুয়ারী
februarie	ফ্রেব্রুয়ারি
gaan	যাচ্ছেন
gaan	যাচ্ছে
gaan	যাচ্ছি
nou	এখন
nou	এবার
meeste	অধিকাংশ
meeste	সবচেয়ে
meeste	মোস্ট
gebore	জন্ম
gebore	জন্মেছেন
gebore	জন্মগ্রহন
gebore	বর্ন
provinsie	প্রদেশ
provinsie	রাজ্য
provinsie	কাউন্টি
provinsie	প্রদেশ
provinsie	রাজ্যের
provinsie	অবস্থা
