המשלוח	expediere
להינשא	căsători
פורמלי	formale
פורמלי	formală
פורמלי	formal
הערכת	evaluarea
הערכת	evaluare
סיפון	punte
סיפון	puntea
בכר	behar
בכר	bakr
הגיל	varsta
הגיל	vârstă
הגיל	vârsta
טק	tec
טק	tech
בצמוד	alăturate
בצמוד	adiacente
תומפסון	thompson
הש	hesh
שלד	scheletice
שלד	scheletul
שלד	schelet
כותבת	scrierea
כותבת	scriind
כותבת	scriere
כותבת	scriu
פרננדו	fernando
חיתוך	tăiere
פסוקים	versuri
גויס	recrutat
הנאה	plăcerea
הנאה	placere
הנאה	placerea
הנאה	plăcere
קודמת	anterior
קודמת	precedentă
קודמת	anterioare
קודמת	precedent
נורמן	norman
מוקשים	minele
חסד	mercy
חסד	milă
חסד	mila
חסד	bunătate
חסד	bunătatea
חסד	har
חסד	harul
חסד	grace
חסד	grație
הולמס	holmes
גולדשטיין	goldstein
מליון	milioane
מליון	milion
אתגר	provocare
אתגר	provocarea
נערים	baieti
נערים	băieți
נערים	adolescenti
נערים	flăcăi
החשבון	cont
החשבון	contul
במעט	ușor
הדוק	strans
הדוק	strâns
ליישם	implementează
ליישם	implementeze
צריכת	aportul
צריכת	admisie
צריכת	consumul
צריכת	consum
צריכת	consumului
לותר	lothar
לותר	luther
לותר	luthor
פרוטוקול	protocol
פרוטוקול	protocolul
לחזית	front
לחזית	față
ליף	leif
אוסטרי	austrieci
אוסטרי	austriece
אוסטרי	austriac
אוסטרי	austriacă
המחיר	pret
המחיר	prețul
המחיר	pretul
המחיר	preț
פרסומת	comerciale
פרסומת	comercial
פרסומת	reclamă
פרסומת	comercială
בהרחבה	extensiv
חלשה	slaba
חלשה	slăbit
חלשה	slab
חלשה	slabă
סערה	furtună
סערה	furtuna
סערה	storm
מנגן	redarea
מנגן	jucând
מנגן	mangan
מנצחים	învingători
הורג	ucidere
הורג	uciderea
מל	mel
מל	mal
הומור	umorul
הומור	umor
הומור	umorul
הומור	umor
ששון	sasson
ששון	sassoon
טיים	timp
טיים	ora
טיים	timpul
מירון	meron
השכונות	cartierele
השכונות	cartiere
אשראי	credit
אשראי	creditul
רוזנברג	rosenberg
ארנה	arena
ארנה	arenă
זרמים	fluxuri
גדודים	cohorte
גדודים	batalioane
רוצח	killer
רוצח	criminal
רוצח	criminal
רווחה	bunăstarea
רווחה	bunăstare
אורלינס	orleans
הפיליפינים	filipine
חסידים	urmăritorii
חסידים	urmăritori
חסידים	discipolii
חסידים	discipoli
ניסים	minuni
ניסים	miracolele
ניסים	miracole
ניסים	nissim
נשימה	respiratie
נשימה	respirație
נשימה	respiratie
נשימה	respirând
נשימה	respirație
המשיח	christos
המשיח	hristos
המשיח	cristos
המשיח	hristoase
ריקו	rico
זירת	scena
זירת	scenă
סטודיו	studiouri
סטודיו	studiourile
סטודיו	studios
סטודיו	studio
סטודיו	studioul
נפגעה	deteriorat
נפגעה	deteriorată
נפגעה	avariate
נפגעה	avariat
נפגעה	deteriorate
גורל	destiny
גורל	destinul
גורל	destin
גורל	soarta
גורל	soartă
גורל	destin
אריזונה	arizona
בטוחה	încrezătoare
בטוחה	încrezător
בטוחה	încrezători
אסטוניה	estoniei
אסטוניה	estonia
בודק	verific
בודק	verificarea
קונצרטים	concertele
